标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园 3室2厅 南 北,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 2天以前发布,116,"9,355元/平"
出售铁塔厂家属院2室2厅1卫毛坯满五唯一可以按揭,铁塔厂家属院 -伏羲庙,2室2厅 | 96平米 | 东 西 | 简装 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,87,"9,063元/平"
南北通透.采光充足.户型方正.有电梯上下方便,天水恒洋小区 -万达,3室2厅 | 84平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 29天以前发布,90,"10,715元/平"
急售  石马坪旁边小三室   大产权,石马坪办事处家属楼 -秦州区,3室1厅 | 57.8平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,50,"8,651元/平"
火柴厂家属院2-1-1-1 52.92m² 52.92 万,火柴厂家属院 -未知商圈,2室1厅 | 52.92平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,52.92,"10,000元/平"
东方红小区 2室2厅1卫 105平 南北通透 随时看房,东方红小区 -万达,2室2厅 | 105平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,84,"8,000元/平"
天水郡东煜广场新小区   两居室 南北通透,东煜广场 -天水郡,3室2厅 | 120平米 | 东南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 17天以前发布,94,"7,834元/平"
春风佳苑 2室2厅1卫 精装修 业主急售,春风佳苑 -万达,2室2厅 | 94.41平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,2人关注 / 8个月以前发布,88,"9,322元/平"
兰天广场 金地花园 精装2室2厅 电梯房 商品房可按揭,金地花园 -秦州区,2室2厅 | 99平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,93,"9,394元/平"
建三五中片区 149地质队家属院 2室 首付19万单价低,天水一四九地质队家属院 -秦州区,2室1厅 | 81.49平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,62,"7,609元/平"
149地质队家属院   罗玉小区那边  交通方便,天水一四九地质队家属院 -秦州区,2室2厅 | 85.3平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 18天以前发布,65,"7,621元/平"
149地质队家属院  罗玉小区  交通便利,天水一四九地质队家属院 -秦州区,2室2厅 | 85.3平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 18天以前发布,65,"7,621元/平"
东桥头 万达广场 安居小区 精装2室2厅南北通透可按揭,秦州区安居小区 -万达,2室2厅 | 95平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 18天以前发布,98,"10,316元/平"
此房地理位置好，南北通透格局，价格好商量。,春风小区 -万达,1室1厅 | 30.13平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 8天以前发布,32,"10,621元/平"
盛达新城 2室2厅 南 北,盛达新城 -马跑泉,2室2厅 | 98.44平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 14天以前发布,83,"8,432元/平"
景茂苑 2室1厅 南 北,景茂苑 -东桥头,2室1厅 | 73.6平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 14天以前发布,62,"8,424元/平"
房满五唯一 户型方正，南北通透 中间楼层，采光好,秦州区安居小区 -万达,2室2厅 | 79.8平米 | 东 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 13天以前发布,74,"9,274元/平"
西十里产证齐全.满屋唯一.可按揭.,二一三家园 -西十里,2室1厅 | 63平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,53,"8,413元/平"
上亿广场旁 佳水岸小镇精装小3房，全新装修即买即住,佳·水岸小镇 -王家磨,3室2厅 | 105.5平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 10天以前发布,100,"9,479元/平"
八建集团南大桥家属院 2室1厅 南 北,八建集团南大桥家属院 -秦州区,2室1厅 | 67.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,80,"11,870元/平"
满五唯一  保养较好   可议价  看房提前联系,和谐家园(孙家坪路) -七里墩,2室2厅 | 93.92平米 | 南 北 | 精装 | 低楼层(共13层)  | 暂无数据,0人关注 / 2个月以前发布,69,"7,347元/平"
藉河边上  天湖名府  全南2居  可按揭  河景房,金都天湖名府 -东桥头,2室2厅 | 96平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,110,"11,459元/平"
八建集团南大桥家属院 2室1厅 南 北,八建集团南大桥家属院 -秦州区,2室1厅 | 67.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,80,"11,870元/平"
和谐家园低价好房，精装着急出手，价格可谈,和谐家园 -七里墩,2室2厅 | 96平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 8天以前发布,70,"7,292元/平"
首付15万  中间楼层   2室1厅   实用面积大 随时看房,煤田普查队家属院 -王家磨,2室1厅 | 66.1平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,52,"7,867元/平"
如意苑精装好房拎包入住随时过户,如意苑 -七里墩,2室2厅 | 96.28平米 | 东 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 12天以前发布,94,"9,764元/平"
万达商圈     安居小区  南北2居  户型好 可按揭,秦州区安居小区 -万达,2室2厅 | 91平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 13天以前发布,82,"9,011元/平"
正大花苑2-1-1-1 69.00m² 60 万,正大花苑 -万达,2室1厅 | 69平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 12天以前发布,60,"8,696元/平"
逸夫  长通厂 家属院  电梯2居  可按揭  交通便利,长通家园 -秦州区,2室2厅 | 92平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 8天以前发布,110,"11,957元/平"
八建集团南大桥家属院 1室2厅 南 北,八建集团南大桥家属院 -秦州区,1室2厅 | 55.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,58,"10,395元/平"
上亿广场旁 佳水岸小镇精装小3房，全新装修即买即住,佳·水岸小镇 -王家磨,3室2厅 | 105.5平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 10天以前发布,100,"9,479元/平"
南北通透的三室两厅户型 通风采光都很好,佳水豪庭 -七里墩,3室2厅 | 113.4平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,89,"7,849元/平"
岷山万达广场3室2厅2卫 全明户型 业主诚心出售,天水万达广场 -万达,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,10人关注 / 8个月以前发布,120,"9,600元/平"
兰大桥旁两室，精装修，产权清晰,金宇花苑 -秦州区,2室2厅 | 84.7平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,130,"15,349元/平"
房子产权清晰，支持按揭贷款，南北通透采光好，,永红家园 -伏羲庙,2室1厅 | 65平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,72,"11,077元/平"
八建家园90平米两室两厅一梯两户南北通透诚意出售,八建和顺家园 -七里墩,2室2厅 | 90.33平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,70,"7,750元/平"
天庆嘉园 好房出售，户型方正，南北通透,天庆嘉园 -秦州区,2室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,105,"10,000元/平"
此房南北通透格局、楼层好、可按揭,春风佳苑 -万达,2室1厅 | 97平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,96,"9,897元/平"
出售 五建公司 精装好房  两室一厅 房本在手 随时过户,甘肃五建陇泰家园 -王家磨,2室2厅 | 60平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,50,"8,334元/平"
核地质二一九大队东院小区2-2-1-1  90平   53万,核地质二一九大队东院小区 -分路口,2室2厅 | 90平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,53,"5,889元/平"
长控南家属区 2室1厅 南 北,长控南家属区 -七里墩,2室1厅 | 72平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 31天以前发布,54,"7,500元/平"
房子满五唯一 采光充足 楼层适中  配套设施齐全,宝泰雅苑 -天水郡,2室2厅 | 76.9平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,70,"9,103元/平"
兰天 石马坪 品质小区 电梯房 精装修 可按揭,开元国际 -秦州区,2室2厅 | 94.63平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,102,"10,779元/平"
项目交通便利，南北通透，配套成熟，,天翔瀚庭名苑 -秦州区,2室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,75,"7,654元/平"
南北通透格局、中间楼层，楼层好、视野宽阔、采光充足,碧桂园·御府 -麦积区,2室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 31天以前发布,88,"8,980元/平"
此房子上亿广场，纯商品房，楼栋间距大，采光好,上亿广场 -西十里,2室1厅 | 48平米 | 南 北 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 28天以前发布,52,"10,834元/平"
广场旁  重新街  南北小三居  无公摊  实用面积大,重新街住宅小区 -兰天,3室1厅 | 91平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,75,"8,242元/平"
市中广场 繁华地段 实用面积大 两室 可按揭 看房方便,重新街住宅小区 -兰天,2室1厅 | 65.03平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,66,"10,150元/平"
绿色市场 东方名城 两居室 交通便利,东方名城 -未知商圈,2室2厅 | 90.01平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,79,"8,777元/平"
绿色市场 东方名城 两居室 视野广阔,东方名城 -未知商圈,2室2厅 | 90.01平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 28天以前发布,76.5,"8,500元/平"
绿色市场 东方名城 两居室 交通便利,东方名城 -未知商圈,2室2厅 | 90.01平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,79,"8,777元/平"
绿色市场 东方名城 两居室 视野广阔,东方名城 -未知商圈,2室2厅 | 90.01平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 28天以前发布,76.5,"8,500元/平"
绿色市场 东方名城 两居室 交通便利,东方名城 -未知商圈,2室2厅 | 90.01平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 28天以前发布,76.5,"8,500元/平"
新华门片区 共和巷小区 2室2厅 繁华地段 可按揭贷款,共和巷小区 -东桥头,2室2厅 | 97平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,105,"10,825元/平"
百货大楼 东达大厦 两居室 交通便利,东达大厦 -未知商圈,2室2厅 | 101平米 | 南 北 | 简装 | 高楼层(共19层)  | 暂无数据,0人关注 / 28天以前发布,99,"9,802元/平"
此房南北通透格局，楼层好，视野宽阔，采光充足,宏安英郡 -万达,2室2厅 | 94.42平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 28天以前发布,85,"9,003元/平"
尚真印象精装修可按揭拎包入住，，，，,尚真印象 -七里墩,2室2厅 | 93.62平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 27天以前发布,95,"10,148元/平"
南北通透  中间楼层  随时看房  可议价,天河家园 -七里墩,2室2厅 | 90.5平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 29天以前发布,69,"7,625元/平"
小区环境优雅，绿化覆盖全小区。物业专业负责。,共和巷小区 -东桥头,2室1厅 | 79.82平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 29天以前发布,80,"10,023元/平"
建三五中 地区医院旁 东升花园 2室2厅 便繁华地段,东升大厦东升花园 -东桥头,2室2厅 | 85.64平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 29天以前发布,94,"10,977元/平"
重新街小区 86平米 简装低价出售,重新街住宅小区 -兰天,2室2厅 | 86.66平米 | 西北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,86,"9,924元/平"
坚家河 两室两厅 大产权 可按揭 随时过户,天缆家园4号院 -伏羲庙,2室2厅 | 85.45平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 30天以前发布,74,"8,661元/平"
东升大厦东升花园 2室2厅 南 北,东升大厦东升花园 -东桥头,2室2厅 | 87.65平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 17天以前发布,80,"9,128元/平"
红山家园 3室1厅 南 北,红山家园 -秦州区,3室1厅 | 91.03平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,62,"6,811元/平"
精装修 一室复式  业主诚心出售,上亿广场 -西十里,1室1厅 | 32平米 | 南 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 26天以前发布,36,"11,250元/平"
坚家河河景房  两居室 议价空间大可按揭,正大水岸都市 -伏羲庙,2室2厅 | 99平米 | 南 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 29天以前发布,92,"9,293元/平"
带外伸露台的经适房，南北通透格局，合理分配居住面积,志航佳苑 -七里墩,2室2厅 | 75.74平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,53,"6,998元/平"
福迪瑞府 2室2厅 南 北,福迪瑞府 -秦州区,2室2厅 | 104.23平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 15天以前发布,120,"11,514元/平"
逸夫二幼旁 自来水公司家属楼 产权清晰可按揭有柴房,东团庄自来水公司家属楼 -未知商圈,2室1厅 | 51平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,55,"10,785元/平"
长开小区 2室1厅 南,长开小区 -七里墩,2室1厅 | 80平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,72,"9,000元/平"
福门 3室2厅 南 北,福门 -万达,3室2厅 | 100.03平米 | 南 北 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 13天以前发布,96,"9,598元/平"
景茂苑2-2-1-1 91.06m² 88 万,景茂苑 -东桥头,2室2厅 | 91.06平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 15天以前发布,88,"9,664元/平"
钢厂家属院 2室1厅 东 西,钢厂家属院 -秦州区,2室1厅 | 65.87平米 | 东 西 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,62,"9,413元/平"
南山房产东团庄小区 2室1厅 南 北,南山房产东团庄小区 -秦州区,2室1厅 | 64.85平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,70,"10,795元/平"
边户楼，采光很好，南北通透，舒适透气,碧桂园 -成纪新城,3室2厅 | 108平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,109,"10,093元/平"
南北通透，标准3室2厅1厨2卫的经典户型。,恒顺锦润悦府 -成纪新城,3室2厅 | 128平米 | 南 北 | 简装 | 中楼层(共27层)  | 板楼,0人关注 / 一年前发布,125,"9,766元/平"
御园财富公馆三室两厅一厨两卫.南北通透，落地大窗户,御园财富公馆 -秦州区,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,105,"8,537元/平"
永生博爱居，电梯房，满五唯一，,永生博爱居 -天水郡,3室2厅 | 120.97平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,110,"9,094元/平"
西桥头天润苑小区精装三居室有房本手续齐全随时过户,天润苑 -天水郡,3室2厅 | 120.11平米 | 东 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,112,"9,325元/平"
碧桂园三室方正户型 业主诚心出售 随时看房,碧桂园 -成纪新城,3室2厅 | 134.38平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,1人关注 / 9个月以前发布,134,"9,972元/平"
永生博爱居，电梯房，满五唯一，,永生博爱居 -天水郡,3室2厅 | 120.97平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,110,"9,094元/平"
佳水岸小镇 配套齐全 教育齐全 价钱便宜,佳·水岸小镇 -王家磨,3室2厅 | 120.5平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,2人关注 / 一年前发布,104,"8,631元/平"
南北通透格局、视野宽阔、采光充足,碧桂园·御府 -麦积区,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 9个月以前发布,135,"9,441元/平"
南北通透 大四室 户型方正 朝南大阳台 视野开阔,恒顺锦润悦府 -成纪新城,4室2厅 | 175平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 一年前发布,180,"10,286元/平"
和谐家园 精装修 南北通透 电梯房 价格可谈 业主急售,和谐家园(孙家坪路) -七里墩,3室2厅 | 129.7平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 8个月以前发布,105,"8,096元/平"
此房使用面积大，采光好，舒适通透，气派奢华,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,4人关注 / 一年前发布,116,"9,355元/平"
碧桂园127平米三室两厅南北通透 精装修业主诚意出售,碧桂园 -成纪新城,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,1人关注 / 10个月以前发布,119,"9,371元/平"
南北通透，楼层好，视野宽阔，交通便利,财富阳光住宅小区 -道北,3室2厅 | 123.3平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 5个月以前发布,108,"8,760元/平"
逸夫公园片区 复试四室精装房 价钱便宜 单价不过万,富安南溪苑 -秦州区,4室2厅 | 123.5平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,123,"9,960元/平"
恒顺锦润悦府可按揭楼层好 视野无遮挡 随时可看,恒顺锦润悦府 -成纪新城,4室2厅 | 175平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,168,"9,600元/平"
和谐家园三室128户型精装修南北通透100万可谈 可按揭,和谐家园 -七里墩,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,2人关注 / 一年前发布,100,"7,813元/平"
御园财富公馆三室两厅一厨一卫 ，，,御园财富公馆 -秦州区,3室2厅 | 107平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,4人关注 / 一年前发布,91,"8,505元/平"
碧桂园三室两厅一厨一卫精装修带家具家电业主诚意出售,碧桂园 -成纪新城,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,109,"8,583元/平"
公摊面积小使用面积，南北通透，采光好,长开小区 -七里墩,2室2厅 | 114.64平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,103,"8,985元/平"
恒顺锦润悦府 小区娄王位置 80万装修成本 一天未住,恒顺锦润悦府 -成纪新城,4室2厅 | 175平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,1人关注 / 5个月以前发布,205,"11,715元/平"
此房、南北通透格局、楼层好、视野宽阔、采光充足,碧桂园·御府 -麦积区,4室2厅 | 143平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,134,"9,371元/平"
秦州区 东桥头 万达商圈精装可拎包入住 房源,福门 -万达,3室2厅 | 153平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,168,"10,981元/平"
此房南北通透，视野宽阔，采光充足,盛世桃园 -秦州区,3室2厅 | 153.85平米 | 南 北 | 其他 | 低楼层(共13层)  | 板楼,1人关注 / 一年前发布,190,"12,350元/平"
逸夫公园片区，南北通透格局好，高层视野宽阔,金宇花苑 -秦州区,3室2厅 | 178.9平米 | 南 北 | 精装 | 高楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,240,"13,416元/平"
三开间朝南 大三室 中间楼层 视野开阔 双卫 标配硬装,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,124,"10,000元/平"
碧桂园御府  143平 四室两厅两卫 带屋顶露台,碧桂园·御府 -麦积区,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,1人关注 / 一年前发布,130,"9,091元/平"
逸夫公园 学 石马坪  南大桥 兰天 业主急售,金宇花苑 -秦州区,3室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,145,"11,329元/平"
碧桂园御府 大面积四室全明户型,碧桂园·御府 -麦积区,4室2厅 | 145平米 | 南 | 毛坯 | 高楼层(共15层)  | 暂无数据,1人关注 / 一年前发布,140,"9,656元/平"
解放路满五唯一，中间楼层，支持各种按揭贷款,聚宝梧林苑 -兰天,4室2厅 | 142平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,160,"11,268元/平"
石马坪新小区三居室，单价便宜，看房方便,天宝名都 -秦州区,3室2厅 | 132.96平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,1人关注 / 5个月以前发布,120,"9,026元/平"
安居小区 复式好房 南北通透  带大平台,秦州区安居小区 -万达,3室2厅 | 113.5平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,108,"9,516元/平"
万达商圈 三室两厅一厨一卫 大面积,秦州区安居小区 -万达,3室2厅 | 135.8平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,135,"9,942元/平"
此房南北通透格局、楼层好、视野宽阔、采光充足,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 9个月以前发布,124,"10,000元/平"
建二片区天庆嘉园精装3室2厅电梯130平 可按揭随时看房,天庆嘉园 -秦州区,3室2厅 | 129.67平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,2人关注 / 一年前发布,132,"10,180元/平"
恒顺锦润悦府四室两厅一厨一卫带花园,恒顺锦润悦府 -成纪新城,2室2厅 | 94.39平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,136,"14,409元/平"
恒顺锦润悦府四室两厅一厨一卫带花园,恒顺锦润悦府 -成纪新城,2室2厅 | 94.39平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,136,"14,409元/平"
此房、南北通透格局、楼层好、采光充足，河景房,恒顺锦润悦府 -成纪新城,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共15层)  | 暂无数据,2人关注 / 一年前发布,130,"9,849元/平"
兰天新华苑三室一厅，南北通透，中间楼层,兰天新华苑 -东桥头,3室1厅 | 119.12平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,2人关注 / 一年前发布,140,"11,753元/平"
此房南北通透格局、楼层好、视野宽阔、采光充足,碧桂园 -成纪新城,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 8个月以前发布,118,"9,440元/平"
此房是商品房，中高楼层，河景房,御园财富公馆 -秦州区,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,135,"10,715元/平"
此房五室两厅两厨三卫，楼层好采光足,碧桂园 -成纪新城,5室2厅 | 280平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,240,"8,572元/平"
满五唯一，南北通透，一梯两户的户型，无公摊,永红家园 -伏羲庙,3室1厅 | 97平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,100,"10,310元/平"
东桥头 四室两厅一厨两卫  精装修  可按揭,东苑花园 -东桥头,4室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,185,"12,500元/平"
碧桂园御府精装修四室两厅两卫，合景房采光足,碧桂园·御府 -麦积区,4室2厅 | 144.33平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,1人关注 / 8个月以前发布,163,"11,294元/平"
此房三室两厅两卫 一厨 公摊面积小 生活便利 交通方便,林家大院 -七里墩,3室2厅 | 122.18平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,11人关注 / 一年前发布,80,"6,548元/平"
园丁苑   3室2厅1厨2卫   精装修  随时看房 业主急售,园丁苑 -天水郡,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,113,"8,693元/平"
恒顺锦润悦府180户型洋房精装修带车位 柴房 看房方便,恒顺锦润悦府 -成纪新城,4室2厅 | 187.66平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,2人关注 / 8个月以前发布,275,"14,655元/平"
碧桂园3室2厅2卫  全明户型 精装修  业主急售,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,112,"9,033元/平"
精装修带家具 增车位 楼层好 可按揭 业主诚心出售,碧桂园 -成纪新城,4室2厅 | 152平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,130,"8,553元/平"
天河家园三室两厅一卫简单装修看房方便南北通透,天河家园 -七里墩,3室2厅 | 148.7平米 | 南 北 | 简装 | 中楼层(共14层)  | 板楼,0人关注 / 3个月以前发布,110,"7,398元/平"
天水碧桂园，天水市精装品质小区、交通便利，生活便捷,碧桂园 -成纪新城,3室2厅 | 166.68平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2人关注 / 一年前发布,134,"8,040元/平"
西十里三居室房子   实用面积大   公摊小   可按揭,新华家苑 -西十里,3室2厅 | 116平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,95,"8,190元/平"
伏羲庙坚家河6+7大复式  无公摊带车位,江南花园 -伏羲庙,3室2厅 | 138.36平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,3人关注 / 5个月以前发布,118,"8,529元/平"
急售！天水碧桂园 精装修123㎡ 河景房 可按揭,碧桂园 -成纪新城,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,3人关注 / 一年前发布,106,"8,618元/平"
永生博爱居，电梯房，满五唯一，,永生博爱居 -天水郡,3室2厅 | 120.97平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,110,"9,094元/平"
东桥头.精装修.房东好说话.房东急售,活塞家园 -东桥头,3室2厅 | 130平米 | 南 | 简装 | 高楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,123,"9,462元/平"
