标题,开发商,房子信息,发布信息,售价/万,单价
精装修 产证在手满二 户型方正 采光无遮挡,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,60,"5,942元/平"
地铁口，精装小三房，南北通透，满二无抵押,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 96.46平米 | 东南 南 北 | 精装 | 中楼层(共31层)  | 塔楼,5人关注 / 4个月以前发布,72,"7,465元/平"
苏州园林景观房满两年节省购房成本，随时看房过户。,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,3室2厅 | 112.38平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 塔楼,1人关注 / 7个月以前发布,69,"6,140元/平"
此房满二，户型方正，视野宽阔，采光辣眼,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 133.92平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 6个月以前发布,83,"6,198元/平"
房主急售 全天未住 价格可以谈 户型方正,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室1厅 | 100.87平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,65,"6,444元/平"
前后楼间距宽 采光通风效果很好,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 112.38平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,1人关注 / 8个月以前发布,69.5,"6,185元/平"
南京城东 S6地铁口处116平精致三房首付20万即可,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 116.03平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,12人关注 / 一年前发布,90,"7,757元/平"
精装三房   户型方正   采光通透,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,94,"7,068元/平"
此房源满两年，无增值税 此房二次装修，家具家电,濠锋星钻 -宝华商圈,2室2厅 | 90.9平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,79,"8,691元/平"
有地暖有车位二次装修房主急售价格可以谈,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,3室2厅 | 136.34平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,3人关注 / 8个月以前发布,95,"6,968元/平"
精装修双阳台，采光好，视野开阔,云玺苑 -碧桂园凤凰城,3室2厅 | 107.47平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,47人关注 / 一年前发布,84,"7,817元/平"
地铁口舒适电梯房，户型好，三面采光舒适性好,建中御东国际六期 -句容市区,3室2厅 | 79.71平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,65,"8,155元/平"
碧桂园大三房 三室两厅两卫 视野开阔,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 136.26平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,3人关注 / 8个月以前发布,96,"7,046元/平"
主卧朝南带阳台 楼层好，配套设施齐，交通便利,四季金辉 -宝华商圈,3室2厅 | 78.99平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 一年前发布,81.8,"10,356元/平"
精装满二，随时可看，楼层好，视野开阔，采光充足。,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,3室2厅 | 138.79平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,18人关注 / 一年前发布,90,"6,485元/平"
碧桂园凤凰城凤雅苑园区苏州园林风格,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 113.64平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,1人关注 / 一年前发布,82,"7,216元/平"
仙林东万达茂双地铁，户型方正环境优美,同城世家 -宝华商圈,3室2厅 | 142.37平米 | 南 北 | 毛坯 | 10层  | 板楼,4人关注 / 一年前发布,165,"11,590元/平"
碧桂园凤凰城新户型 精装小三房,云玺苑 -碧桂园凤凰城,3室2厅 | 88.85平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,62.5,"7,035元/平"
翡翠华府 3室 精装 楼层好 环境优 看房方便,碧桂园翡翠华府 -宝华商圈,3室2厅 | 114.94平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,14人关注 / 一年前发布,138,"12,007元/平"
此房户型方正前后无遮挡视野好，中间楼层边户离轻轨近,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 136.87平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 一年前发布,107.3,"7,840元/平"
碧桂园临湖苑99平米湖边高楼层采光好二次装修诚心出售,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 99.26平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,75,"7,556元/平"
二次装修，全屋墙暖，定制家具，楼下环湖跑道环境优美,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125.56平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,99.3,"7,909元/平"
宝华山下。六层电梯洋房。顶楼带阁楼。绿城物业,九曲花苑 -宝华商圈,2室2厅 | 89.27平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,11人关注 / 8个月以前发布,95,"10,642元/平"
楼层好，视野宽阔，采光充足，配套完整，交通便利,凤坛花园 -宝华商圈,2室2厅 | 91.07平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 8个月以前发布,60,"6,589元/平"
小区环境好 位置好 楼层好 视野开阔,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,29人关注 / 一年前发布,86,"6,992元/平"
此房满二无抵押，视野开阔，小区环境优美宜居,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 136.81平米 | 南 北 | 简装 | 高楼层(共29层)  | 塔楼,9人关注 / 一年前发布,98,"7,164元/平"
南京东 近地铁 交通便利 配套齐全,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 116.03平米 | 南 | 简装 | 高楼层(共32层)  | 塔楼,3人关注 / 一年前发布,74,"6,378元/平"
恒大领寓户型方正，采光好。楼层好。,恒大雅苑 -宝华商圈,1室1厅 | 59.27平米 | 东 | 精装 | 低楼层(共26层)  | 塔楼,27人关注 / 一年前发布,31,"5,231元/平"
仙林东片区精装三房 品质社区 环境好 间距大视野开阔,恒大雅苑 -宝华商圈,3室2厅 | 130.97平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,6人关注 / 一年前发布,120,"9,163元/平"
仙林东  彩虹城精装标准的户型开间明亮,彩虹城 -宝华商圈,2室2厅 | 81平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,78,"9,630元/平"
格局好，楼层好，采光足，视野开阔，朝南,九曲花苑 -宝华商圈,2室1厅 | 80.19平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,75,"9,353元/平"
京东紫晶精装二房，拎包即住，家具家电齐全,京东紫晶 -宝华商圈,2室2厅 | 61.29平米 | 南 | 精装 | 中楼层(共35层)  | 板楼,0人关注 / 1个月以前发布,79,"12,890元/平"
崇明小 学旁，好楼层三房两厅，适合三代人居住,金润香江丽景北区 -句容市区,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 一年前发布,148,"11,747元/平"
领秀星城4-2-1-2 135.00m² 95 万,领秀星城 -句容市区,4室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,3人关注 / 9个月以前发布,80,"5,926元/平"
楼层好，采光足，视野好，户型方正，诚心出售,仙林悦城 -宝华商圈,3室2厅 | 115.45平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,27人关注 / 一年前发布,100,"8,662元/平"
户型优质，有观景飘窗，卧室带阳台，南北通透,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 133.66平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,6人关注 / 一年前发布,79.8,"5,971元/平"
新小区，绿化高，采光好，地铁口，配套好,云玺苑 -碧桂园凤凰城,3室2厅 | 130.2平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,93.8,"7,205元/平"
位置佳‘，毛坯，经典三房，交通便利,碧桂园·江南世家 -句容市区,3室2厅 | 117.21平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,16人关注 / 一年前发布,79.8,"6,809元/平"
南北通透，户型好，格局好，小区内部环境优美,招商国际E城 -宝华商圈,3室2厅 | 91.05平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,106,"11,642元/平"
京东紫晶亏本急卖自住装修边户山景房采光好 楼下菜场,京东紫晶 -宝华商圈,3室2厅 | 110.68平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,31人关注 / 一年前发布,92,"8,313元/平"
新空毛坯  山景房   配套成熟,香山壹境 -宝华商圈,2室2厅 | 79.71平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,61人关注 / 一年前发布,57,"7,151元/平"
精装修拎包入住70年产权通天然气,京东紫晶 -宝华商圈,2室2厅 | 46.63平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,50,"10,723元/平"
碧桂园凤凰城新户型 精装小三房,云玺苑 -碧桂园凤凰城,3室2厅 | 88.85平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,62.5,"7,035元/平"
双面采光，小区环境好，随时看房,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 92.52平米 | 南 东南 | 简装 | 中楼层(共32层)  | 塔楼,2人关注 / 6个月以前发布,65,"7,026元/平"
恒大雅苑 户型方正 一家三口居住的选择,恒大雅苑 -宝华商圈,2室1厅 | 89.27平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 3个月以前发布,89,"9,970元/平"
好房在线 房东急售 视野开阔  格局方正 拎包入住,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 122.88平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 1个月以前发布,72,"5,860元/平"
楼层好，采光视野佳，好楼栋位置佳，精装修拎包入住,仙林悦城 -宝华商圈,3室2厅 | 67平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,75,"11,195元/平"
碧桂园凤凰城 新空三房  满两年 欢乐城 地铁口,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,3室2厅 | 139.97平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,3人关注 / 1个月以前发布,75,"5,359元/平"
仙林东 万达茂旁 碧桂园大学印象,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,3人关注 / 一年前发布,79,"8,316元/平"
领秀星城4-2-1-2 135.00m² 95 万,领秀星城 -句容市区,4室2厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,3人关注 / 9个月以前发布,80,"5,926元/平"
崇明小 学旁，好楼层三房两厅，适合三代人居住,金润香江丽景北区 -句容市区,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 一年前发布,148,"11,747元/平"
京东紫晶  得房率高  业主诚心出售，看房方便,京东紫晶 -宝华商圈,3室2厅 | 83平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,1人关注 / 一年前发布,89,"10,723元/平"
满两年，视野宽阔，采光充足，配套设施完整，交通便利,京东紫晶 -宝华商圈,1室1厅 | 41.55平米 | 北 | 简装 | 高楼层(共34层)  | 板塔结合,0人关注 / 30天以前发布,32,"7,702元/平"
山城美景 2室1厅 南,山城美景 -宝华商圈,2室1厅 | 88.92平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,55,"6,186元/平"
宝华商圈 恒大雅苑大四房 边户自住精装保养好 急卖,恒大雅苑 -宝华商圈,4室1厅 | 167平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 12天以前发布,145,"8,683元/平"
满五年，视野宽阔，采光充足，配套设施完整，交通便利,仙林悦城 -宝华商圈,3室2厅 | 106平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 12天以前发布,98,"9,246元/平"
碧桂园凤凰城 3室2厅 东 东南,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 108平米 | 东 东南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 6天以前发布,95,"8,797元/平"
格局好 楼层好 视野好 ，顶楼复式带露台,京东紫晶 -宝华商圈,4室1厅 | 110.68平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 8天以前发布,95,"8,584元/平"
云玺苑 4室2厅 东南 南,云玺苑 -碧桂园凤凰城,4室2厅 | 192平米 | 东南 南 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 5天以前发布,150,"7,813元/平"
满五年，视野宽阔，采光充足，配套设施完整，交通便利,恒大雅苑 -宝华商圈,3室2厅 | 145.85平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 9天以前发布,135,"9,257元/平"
三房两厅一厨两卫  采光充足 交通便捷  购物方便,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,3室2厅 | 136.88平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 4天以前发布,85,"6,210元/平"
京东紫晶  毛坯两房   配套齐全,京东紫晶 -宝华商圈,2室2厅 | 68.69平米 | 南 | 毛坯 | 低楼层(共35层)  | 塔楼,0人关注 / 3天以前发布,84,"12,229元/平"
碧桂园大学印象 4室2厅 南,碧桂园大学印象 -宝华商圈,4室2厅 | 145平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 9天以前发布,170,"11,725元/平"
幸福里小区出入口，交通便利，小区环境好，大阳台,碧桂园凤凰城幸福里 -碧桂园凤凰城,3室1厅 | 88平米 | 东南 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 1天以前发布,58.8,"6,682元/平"
四房两卫 东边户 南北双阳台，视野无遮挡,云玺苑 -碧桂园凤凰城,4室1厅 | 192平米 | 东南 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 1天以前发布,128,"6,667元/平"
小区门口，近地铁口、交通方便、毛坯交付、总价低,碧桂园凤凰城星悦湾 -碧桂园凤凰城,3室1厅 | 104平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2天以前发布,80.8,"7,770元/平"
小区中间位置，环境好，配套齐全，交通方便。,恒大雅苑 -宝华商圈,3室1厅 | 124.66平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,5人关注 / 一年前发布,138,"11,071元/平"
仙林东 万达茂旁 精装满二  房东诚心出售,恒大雅苑 -宝华商圈,3室2厅 | 136平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 一年前发布,133,"9,780元/平"
恒大雅苑 精装南北双阳台三房两卫 业主诚心出售随时看,恒大雅苑 -宝华商圈,3室2厅 | 131.61平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,131,"9,954元/平"
恒大少有户型  精装小三房  三房朝南  交通便捷环境好,恒大雅苑 -宝华商圈,3室2厅 | 102平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,1人关注 / 9个月以前发布,112,"10,981元/平"
山景美宅，领包入住，价格可谈，低价出手，随时看房,碧桂园仙林东郡 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,91,"9,579元/平"
楼层好采光足，视野开阔，朝南 ，配套齐全，交通便利,仙林悦城 -宝华商圈,3室2厅 | 113.04平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,129,"11,412元/平"
和南京一河之隔，南北格局好，四房，采光足，,和昌仙林国际 -宝华商圈,4室2厅 | 103.06平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,9人关注 / 一年前发布,115.5,"11,208元/平"
仙林东  宝华镇  恒大雅苑小区  精装3房 2卫,恒大雅苑 -宝华商圈,3室2厅 | 134.2平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 8个月以前发布,145,"10,805元/平"
精装修楼层好采光充着环境好近万达茂,仙林悦城 -宝华商圈,3室2厅 | 115.45平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 6个月以前发布,124,"10,741元/平"
仙林东 宝华镇  碧桂园翡翠华府 小区看房方便,碧桂园翡翠华府 -宝华商圈,3室2厅 | 96.19平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 8个月以前发布,103,"10,708元/平"
仙林东 万达茂旁  仙林大道 恒大雅苑,恒大雅苑 -宝华商圈,3室2厅 | 123.56平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,5人关注 / 一年前发布,119,"9,631元/平"
世纪城，268平大平层，户型方正,碧桂园世纪城邦 -句容,5室2厅 | 268平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 一年前发布,258,"9,627元/平"
满五唯一，精装修有车位，家具家电全不要。,招商国际E城 -宝华商圈,3室2厅 | 118.11平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 6个月以前发布,150,"12,701元/平"
招商国际 央企品质 改善四房 装修花了30万,招商国际E城 -宝华商圈,4室2厅 | 133.35平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,8人关注 / 4个月以前发布,142,"10,649元/平"
恒大雅苑 湖景房 2房朝南 满2年 精装修 采光好,恒大雅苑 -宝华商圈,2室2厅 | 86.84平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,100,"11,516元/平"
万达茂三公里，东边户，三房两卫，满两年，恒大雅苑,恒大雅苑 -宝华商圈,3室2厅 | 111.02平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,17人关注 / 6个月以前发布,92,"8,287元/平"
此房是金装带地暖空房  全新未入住  位置好,濠锋星钻 -宝华商圈,2室2厅 | 82平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,71,"8,659元/平"
阳光花园好楼层110平大阳台配套齐全地段好满五年,阳光花园(句容) -句容市区,3室2厅 | 109.96平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,85,"7,731元/平"
业主诚心出售，满两年，位置楼层好,招商国际E城 -宝华商圈,3室1厅 | 91.32平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,100,"10,951元/平"
房屋格局好，无改造，无遮挡，配套成熟,京东紫晶 -宝华商圈,4室2厅 | 110.68平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,1人关注 / 6个月以前发布,98,"8,855元/平"
碧桂园大学印象一期峰景苑 风景优美，视野开阔,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123.08平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,106.8,"8,678元/平"
朝南大露台采光充足。2次精装全屋家居,恒大雅苑 -宝华商圈,3室2厅 | 94.26平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,3人关注 / 一年前发布,120,"12,731元/平"
四季金辉新出精装三房 满五年且唯一无个税增值税,四季金辉 -宝华商圈,3室2厅 | 86.04平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,3人关注 / 9个月以前发布,89,"10,345元/平"
满两年，全屋实木加暖气，精装，交通便利,招商国际E城 -宝华商圈,3室2厅 | 104.75平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,2人关注 / 6个月以前发布,141.5,"13,509元/平"
万达茂 四季金辉 边户 三房 精装修,四季金辉 -宝华商圈,3室2厅 | 86平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,3人关注 / 8个月以前发布,90,"10,466元/平"
恒大雅苑旁 人车分流小区 户型好 采光好 装修好 急售,四季金辉 -宝华商圈,3室2厅 | 76.3平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,1人关注 / 8个月以前发布,100,"13,107元/平"
楼层好，视野宽阔，采光充足，配套设施完整，交通便利,仙林悦城 -宝华商圈,3室2厅 | 97.75平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,11人关注 / 一年前发布,101,"10,333元/平"
仙林东 万都朗诗 品质小区 花园电梯精致科技洋房,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 91.85平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,4人关注 / 一年前发布,174,"18,944元/平"
招商依云尚城 精装3房带家电家具 位置佳 采光好,招商国际E城 -宝华商圈,3室2厅 | 86.58平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,6人关注 / 一年前发布,89.6,"10,349元/平"
仙林东 宝华镇  招商国际小区   家具家电齐全,招商国际E城 -宝华商圈,3室2厅 | 95平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,1人关注 / 11个月以前发布,92,"9,685元/平"
恒大精致三房 南北双阳台 业主诚心卖 看房专车接待,恒大雅苑 -宝华商圈,3室2厅 | 131平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,145,"11,069元/平"
19年新装修3房！多层电梯房！得房率高！,义台街 -句容市区,3室2厅 | 113.16平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,141,"12,461元/平"
南京东 宝华 碧桂园仙林东郡好房 满二 业主急售,碧桂园仙林东郡 -宝华商圈,2室2厅 | 84.28平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,87,"10,323元/平"
精装修楼层好采光充着环境好近万达茂,碧桂园翡翠华府 -宝华商圈,4室2厅 | 138.17平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,175,"12,666元/平"
满两年，楼层好，采光充足，自住精装标准,碧桂园翡翠华府 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 6个月以前发布,130,"13,685元/平"
仙林东  宝华镇  彩虹城精装好房 直接可住  业主急售,彩虹城 -宝华商圈,3室2厅 | 86.32平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 4个月以前发布,91,"10,543元/平"
仙林大道仙林东经天路站仙林湖站精装修3房拎包入住,彩虹城 -宝华商圈,3室2厅 | 86.36平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,5人关注 / 一年前发布,93,"10,769元/平"
仙林东万达茂碧桂园翡翠华二期精装修带地暖三房两卫,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 117.24平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 6个月以前发布,135,"11,515元/平"
品质小区，精装二十万，楼层好，视野佳。诚心出售,四季金辉 -宝华商圈,3室2厅 | 88.75平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 3个月以前发布,97.5,"10,986元/平"
南京仙林东宝华碧桂园仙林东郡精装修,碧桂园仙林东郡 -宝华商圈,3室2厅 | 123.56平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,115,"9,308元/平"
山城美景 近学X 精装三房 拎包入住 店长推荐好房,山城美景 -宝华商圈,3室2厅 | 94.81平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,68,"7,173元/平"
满两年，楼层好，采光足，视野好，户型方正,碧桂园仙林东郡 -宝华商圈,3室2厅 | 82.81平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,18人关注 / 11个月以前发布,73,"8,816元/平"
通透户型 格局好，楼层好，采光足，视野开阔，朝南.,金科观天下 -宝华商圈,5室2厅 | 138平米 | 南 | 毛坯 | 3层  | 板楼,3人关注 / 一年前发布,264,"19,131元/平"
仙林东宝华 央企开发 远洋心里 精装三房 诚售,远洋心里 -宝华商圈,3室1厅 | 87.75平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 30天以前发布,85,"9,687元/平"
彩虹城 3室2厅 南 北,彩虹城 -宝华商圈,3室2厅 | 111.4平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 21天以前发布,120,"10,772元/平"
学林苑精装大平层带地暖 景观视野 采光足,碧桂园凤凰城 -碧桂园凤凰城,5室2厅 | 274平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 31天以前发布,230,"8,395元/平"
采光好，楼层好，视野开阔 电梯洋房，直通地下车库,碧桂园中天东方骏庭 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 6层  | 板楼,0人关注 / 30天以前发布,156,"13,566元/平"
现代简约装修，格局好，采光充足，四开间朝南。,碧桂园大学印象 -宝华商圈,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 20天以前发布,68,"7,011元/平"
台北上上城多层洋房，精装大三房，南北通透户型。,台北上上城 -句容市区,3室2厅 | 99.27平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 26天以前发布,67,"6,750元/平"
仙林东好房推荐 碧桂园翡翠华府 拎包入住 视野佳,碧桂园翡翠华府 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 19天以前发布,92,"9,685元/平"
近南京，房子格局好，户型方正，双开间开间朝南,仙林首望城 -宝华商圈,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 19天以前发布,112,"12,585元/平"
城西 中央美地 纯毛坯四房 西边户 采光好！,中央美地 -句容市区,4室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 26天以前发布,86,"6,371元/平"
城西 盛世嘉园 毛坯大三房 随时看房,盛世嘉园 -句容市区,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 25天以前发布,72,"6,667元/平"
世茂香樟园毛坯大三房，全天采光，视野好，随时看房,世茂·香樟园 -句容市区,3室2厅 | 121.84平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 26天以前发布,87,"7,141元/平"
此房小高层的中层，户型好，楼层好，视野开阔,碧桂园·中央公园 -句容市区,4室2厅 | 140平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 19天以前发布,125,"8,929元/平"
碧桂园仙林东郡 3室2厅 南,碧桂园仙林东郡 -宝华商圈,3室2厅 | 83平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 21天以前发布,71,"8,555元/平"
此房满2年，装修保养情况好，楼层好，采光好视野开阔,恒大雅苑 -宝华商圈,1室1厅 | 46平米 | 东 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 18天以前发布,32,"6,957元/平"
格局好，楼层好，采光足，视野开阔，,碧桂园大学印象 -宝华商圈,6室2厅 | 267平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,2人关注 / 10个月以前发布,366,"13,708元/平"
宝华山脚下 户型方正 视野开阔,碧桂园大学印象 -宝华商圈,4室2厅 | 140平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,189,"13,500元/平"
房东诚心出售，户型方正，一梯一户,碧桂园大学印象峰景苑 -宝华商圈,6室2厅 | 267平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,1人关注 / 一年前发布,350,"13,109元/平"
