标题,开发商,房子信息,发布信息,售价/万,单价
开发商统装大三房，满5唯一，自住保养新,澜调国际 -湖东,3室2厅 | 141.36平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 6天以前发布,550,"38,908元/平"
满二年，诚心出售，有意向可谈！,华润悦府东 -松陵,3室1厅 | 88.49平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,1人关注 / 2个月以前发布,153,"17,291元/平"
全明户型 三个房间都很大 带独立车库,干将东路散盘 -苏州大学,3室1厅 | 78.99平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,186,"23,548元/平"
园区飞地 全新装修 直接拎包入住 税少,阳光城丽景湾 -甪直,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,189,"19,895元/平"
苏州湾 电梯洋房 融创开发 绿城物业 通透4房 满二,枫丹壹號 -太湖新城（吴江）,4室2厅 | 125.37平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,330,"26,323元/平"
一梯一户 刷卡上楼 私密性好 精装满二 采光好,山湖湾北区 -科技城,3室2厅 | 93.2平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,25人关注 / 4个月以前发布,255,"27,361元/平"
吴越锦源，精装带地暖，空调，新风，大横厅开间！,吴越锦源 -松陵,3室2厅 | 127.56平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,2人关注 / 1个月以前发布,338,"26,498元/平"
公元二期满两年三房，全新毛坯，楼间距大，采光佳,公元壹号上东区 -开发区,3室2厅 | 97平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,215,"22,165元/平"
六期精装修。全新从未住人。采光无遮挡随时签约,万科未来之城 -玉山高新区,3室1厅 | 105.38平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 5个月以前发布,168,"15,943元/平"
诚心出售，价格可谈，全天采光。,绿地太湖城 -太湖新城（吴江）,4室2厅 | 190.23平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,1人关注 / 4个月以前发布,370,"19,451元/平"
大阳山新出清水毛坯三室价格美观,长成锦溪禾府 -阳山生态区,3室1厅 | 99.35平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,3人关注 / 2个月以前发布,168,"16,910元/平"
带车库  格局好 位置好   好楼层户型通风采光好,花园二村 -城厢,3室2厅 | 116.68平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,162,"13,885元/平"
急售五期小三房 江景房采光无遮挡 满五税少 随时可看,新城域花园 -玉山城南,3室2厅 | 89.89平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,157,"17,466元/平"
急售精装四房两卫 双阳台 有车位  满五唯一 看房方便,伟业迎春华府 -太湖新城（吴江）,4室2厅 | 141.09平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,788人关注 / 一年前发布,218,"15,452元/平"
满五唯一，全新自住装修，次顶楼，采光视野佳，诚售,华丽家族太湖汇景 -香山,3室2厅 | 127.78平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,18人关注 / 4个月以前发布,167,"13,070元/平"
美华西村  3房格局无改动    采光耀眼,美华西村 -青阳路,3室2厅 | 84.61平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,148.88,"17,597元/平"
中间楼层，视野好、百米栋距、采光全天没遮挡,嘉宝梦之晨 -花桥,3室1厅 | 89.76平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,183,"20,388元/平"
婚装满两年，保养好，房东急售随时可看,南山柠檬花园柠府 -浒关,3室2厅 | 95.3平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,20人关注 / 6个月以前发布,184,"19,308元/平"
园区南低首付精装三房自住保养好 全天采光诚心出售,奥林运河湾 -松陵,3室2厅 | 78.74平米 | 南 | 精装 | 中楼层(共13层)  | 板塔结合,28人关注 / 6个月以前发布,138,"17,527元/平"
四开间朝南，中上楼层，采光好，视野开阔，不靠高架,绿地苏州ONE -松陵,3室2厅 | 98.06平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,179,"18,255元/平"
友联一村  三房中间楼层，满五年不唯一 户型方正,友联一村 -沧浪新城,3室1厅 | 75.6平米 | 南 北 | 简装 | 5层  | 板楼,6人关注 / 一年前发布,160,"21,165元/平"
地铁口，采光好，毛坯，满二，诚心出售,天城花园 -松陵,3室2厅 | 100.06平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,2人关注 / 1个月以前发布,165,"16,491元/平"
东环南延，全新装修未入住，看房随时，房东急售,绿地苏州ONE -松陵,3室2厅 | 98.85平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 3个月以前发布,178,"18,008元/平"
满五唯一，精装拎包入住1T2户私密性好南北通，楼层好,万科魅力花园 -花桥,3室2厅 | 104.84平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,264,"25,182元/平"
华德力公园壹号 3室2厅 南,华德力公园壹号 -张浦,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,165,"15,715元/平"
近地铁口 近公园 精装大三房 带车库 房东诚意出售,花溪畔居南区 -花桥,3室2厅 | 126.23平米 | 南 | 精装 | 中楼层(共6层)  | 平房,2人关注 / 1个月以前发布,221,"17,508元/平"
新上房源，园区南，全新精装未住过人,千邑悦庭 -松陵,3室2厅 | 92.39平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 4个月以前发布,165,"17,860元/平"
苏大旁 建发中泱天成 精装修三房 楼层佳全天采光,建发中泱天成 -高铁新城,3室2厅 | 87.35平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,3人关注 / 1个月以前发布,252,"28,850元/平"
边户两卫，中间楼层，满二，精装自住,千邑悦庭 -松陵,3室2厅 | 91.32平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 2个月以前发布,178,"19,492元/平"
店长推荐！有母子车位!全天采光！拎包入住！,金辉融侨城 -元和,5室2厅 | 135.79平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,12人关注 / 6个月以前发布,340,"25,039元/平"
2019年全新装修小三房，好楼层，出行方便,香城花园一区 -元和,3室2厅 | 105.81平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 1个月以前发布,215,"20,320元/平"
全天采光，过堂风直接穿过房间，房东急售，看房方便,新城红树湾 -太湖新城（吴江）,3室1厅 | 85.64平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,9人关注 / 3个月以前发布,168,"19,618元/平"
大润发旁，s1近在眼前出门就是集善中小xue，诚心出售,滨江汇 -花桥,3室1厅 | 87.46平米 | 南 | 精装 | 34层  | 塔楼,11人关注 / 7个月以前发布,188,"21,496元/平"
链接人间美好 点亮万家灯火 永旺地铁边 柠檬花园 急卖,南山柠檬花园柠府 -浒关,3室2厅 | 94.46平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,24人关注 / 6个月以前发布,198,"20,962元/平"
湖东奥体板块，成熟配套，好区位，好楼层，带地暖,东湖林语 -湖东CBD,3室2厅 | 135.75平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,10人关注 / 8个月以前发布,527,"38,822元/平"
南北通透，精装大四房，楼层好，采光无遮挡。,绿地江南华府 -松陵,4室2厅 | 143.87平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,13人关注 / 10个月以前发布,243,"16,891元/平"
大成珺地铁口诚意出售 看中价格可谈清水毛坯,永新大成珺 -木渎,3室2厅 | 123.28平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,11人关注 / 4个月以前发布,185,"15,007元/平"
8号公馆，精装保养新，两房朝南，高楼层，视野棒,中海8号公馆 -湖东,3室2厅 | 86.12平米 | 南 | 精装 | 24层  | 板塔结合,26人关注 / 5个月以前发布,455,"52,834元/平"
南北通，中间楼层，格局好，纯边套，西边套,可逸兰亭 -花桥,3室2厅 | 94.05平米 | 北 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,187,"19,884元/平"
低密舒适安静宜居，保养如新高楼层视野开阔大四房,九龙仓时代上城 -东沙湖,4室2厅 | 140.48平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 1个月以前发布,650,"46,270元/平"
地铁口，南北通双阳台，有车位，装修拎包入住，楼层好,鑫苑世家 -花桥,4室2厅 | 117.42平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 3个月以前发布,299,"25,465元/平"
满二，楼层好采光刺眼，品牌自住，诚心出售价格可谈！,万科四季风景花园 -松陵,3室2厅 | 91.77平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,7人关注 / 2个月以前发布,182.8,"19,920元/平"
梧桐园户型方正 中间楼层 业主诚心出售,小石城8区梧桐园 -城南,3室2厅 | 95.72平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 2个月以前发布,206,"21,522元/平"
星汇兰亭小高层，全新家具 可做婚房,星汇兰亭 -花桥,3室2厅 | 88.64平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,9人关注 / 11个月以前发布,234,"26,399元/平"
国风华府 花园电梯洋房 通透户型 房东诚心出售,首开国风华府 -城南,2室2厅 | 88.93平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,33人关注 / 一年前发布,173,"19,454元/平"
新湘苑 附 三阳台 带独立车库 中间楼层 看房有钥匙,新湘苑 -苏州大学,3室2厅 | 104.52平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 6个月以前发布,309,"29,564元/平"
诚意出售 装修保养好 玲珑大三房 中Y空调 地暖,玲珑湾花园三区 -玲珑,3室2厅 | 150.51平米 | 南 | 精装 | 27层  | 板楼,27人关注 / 10个月以前发布,899,"59,731元/平"
地铁口 中房颐园  精装修三房 可看太湖  看房随时,中房颐园 -太湖新城（吴江）,3室2厅 | 132.89平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,328,"24,683元/平"
一楼带80平院子十梓街古色古香小桥流水等待有缘人,严衙弄散盘 -十全街,3室2厅 | 66.59平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,61人关注 / 一年前发布,298,"44,752元/平"
小石城毛坯通透大三房 房东急售！,小石城6区香樟园 -城南,3室1厅 | 128.64平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,29人关注 / 一年前发布,235,"18,269元/平"
含两个产权车位、装修未住、中 央空调、地暖,岳阳尚品花苑 -城厢,3室2厅 | 152.43平米 | 南 北 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,438.6,"28,774元/平"
永旺宜家 房子精装修的，78平 满五唯一,宝祥苑 -金阊新城,3室1厅 | 79.09平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,43人关注 / 5个月以前发布,125,"15,805元/平"
新上高楼层精装三房 可看湖景 满五唯一,中海独墅岛 -郭巷,3室2厅 | 87.6平米 | 南 | 精装 | 33层  | 板塔结合,6人关注 / 2个月以前发布,220,"25,115元/平"
满五唯一，万科物业，居住时间短，诚心出售,恒基水漾花城 -元和,3室2厅 | 121.67平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,18人关注 / 4个月以前发布,279,"22,931元/平"
精装四房，小区中间位置，中间楼层，采光刺眼,嘉和丽园 -元和,4室2厅 | 162.94平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,19人关注 / 一年前发布,257,"15,773元/平"
大运河府，苏州南，配套设施齐全，看房方便，,大运河府 -松陵,3室2厅 | 99.93平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,3人关注 / 6个月以前发布,183,"18,313元/平"
精装修，小三房，格局好，看房有钥匙，有车库,苏苑新村北区 -苏苑,3室2厅 | 70.2平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,165,"23,505元/平"
东山；小别墅窗外就是山环境好，300万诚意出售。,新义村 -东山,3室2厅 | 223平米 | 南 | 简装 | 低楼层(共2层)  | 暂无数据,125人关注 / 一年前发布,226,"10,135元/平"
全明户型，产权清晰、交易安心、随时签约！！！,新港名墅花园西区 -浒墅关经济技术开发区,3室2厅 | 111.37平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,13人关注 / 6个月以前发布,170,"15,265元/平"
急售！急售 全小区z低价，精装修三房，可拎包入住,中海独墅岛 -郭巷,3室2厅 | 88.49平米 | 南 | 精装 | 31层  | 板楼,31人关注 / 5个月以前发布,209,"23,619元/平"
吴中太湖新城热盘珺未来大四房纯毛坯,新城湾语城 -太湖新城（吴中）,4室2厅 | 145.58平米 | 南 北 | 毛坯 | 34层  | 板塔结合,24人关注 / 8个月以前发布,305,"20,951元/平"
S1地铁口，品质小区，大三房，满两年，无抵押，急售,嘉宝梦之晨 -花桥,3室2厅 | 118.07平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,8人关注 / 5个月以前发布,271.5,"22,995元/平"
南北通，中间楼层，格局好，纯边套，西边套,可逸兰亭 -花桥,3室2厅 | 94.05平米 | 北 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,187,"19,884元/平"
湖东奥体板块，成熟配套，好区位，好楼层，带地暖,东湖林语 -湖东CBD,3室2厅 | 135.75平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,10人关注 / 8个月以前发布,527,"38,822元/平"
大润发旁，s1近在眼前出门就是集善中小xue，诚心出售,滨江汇 -花桥,3室1厅 | 87.46平米 | 南 | 精装 | 34层  | 塔楼,11人关注 / 7个月以前发布,188,"21,496元/平"
链接人间美好 点亮万家灯火 永旺地铁边 柠檬花园 急卖,南山柠檬花园柠府 -浒关,3室2厅 | 94.46平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,24人关注 / 6个月以前发布,198,"20,962元/平"
店长推荐！有母子车位!全天采光！拎包入住！,金辉融侨城 -元和,5室2厅 | 135.79平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,12人关注 / 6个月以前发布,340,"25,039元/平"
2019年全新装修小三房，好楼层，出行方便,香城花园一区 -元和,3室2厅 | 105.81平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 1个月以前发布,215,"20,320元/平"
低密舒适安静宜居，保养如新高楼层视野开阔大四房,九龙仓时代上城 -东沙湖,4室2厅 | 140.48平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 1个月以前发布,650,"46,270元/平"
地铁口，南北通双阳台，有车位，装修拎包入住，楼层好,鑫苑世家 -花桥,4室2厅 | 117.42平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 3个月以前发布,299,"25,465元/平"
全天采光，过堂风直接穿过房间，房东急售，看房方便,新城红树湾 -太湖新城（吴江）,3室1厅 | 85.64平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,9人关注 / 3个月以前发布,168,"19,618元/平"
8号公馆，精装保养新，两房朝南，高楼层，视野棒,中海8号公馆 -湖东,3室2厅 | 86.12平米 | 南 | 精装 | 24层  | 板塔结合,26人关注 / 5个月以前发布,455,"52,834元/平"
房子满五唯一.诚心出售，看房子随时,雅戈尔潇邦东区 -玲珑,3室2厅 | 88.17平米 | 南 | 精装 | 19层  | 板楼,1人关注 / 1个月以前发布,535,"60,679元/平"
2房2卫  好位置 独立小区物业管理,南珠园 -城厢,2室2厅 | 82平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 1个月以前发布,142,"17,318元/平"
"方正改善型四房,位置视野,楼层采光好，房东诚心出售",卓锦兰香 -松陵,4室2厅 | 110.87平米 | 南 | 简装 | 中楼层(共20层)  | 板塔结合,10人关注 / 7个月以前发布,186,"16,777元/平"
新上好位置，前排别墅，视野好，楼层佳,中航樾玺 -科技城,3室2厅 | 97.51平米 | 南 | 简装 | 高楼层(共20层)  | 板塔结合,2人关注 / 1个月以前发布,222,"22,767元/平"
万科物业，采光刺眼，近花园里，地铁口,樾碧花园 -太湖新城（吴江）,3室1厅 | 93.67平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,37人关注 / 2个月以前发布,176,"18,790元/平"
奥体低总价精装两房，急急急急售,路劲主场双层纪 -湖东,2室1厅 | 102.64平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,26人关注 / 4个月以前发布,215,"20,947元/平"
精装全屋定制装修   全屋暖气   3室2卫   拎包入住,蓝光天悦城 -太湖新城（吴江）,3室2厅 | 100.52平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 1个月以前发布,266,"26,463元/平"
张浦新小区 精装修大3房  带汽车位,馨悦家园 -张浦,3室2厅 | 127.08平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,12人关注 / 8个月以前发布,156,"12,276元/平"
新上官庄前花园 新精装3室 诚新出售有钥匙 看房方便,官庄前花园 -沧浪新城,3室2厅 | 116.19平米 | 南 | 精装 | 11层  | 板楼,28人关注 / 5个月以前发布,317,"27,283元/平"
南山巴黎 有电梯三房两卫 中间位置 中间楼层,南山巴黎印象 -湖东CBD,3室2厅 | 136.42平米 | 南 北 | 精装 | 8层  | 板塔结合,83人关注 / 11个月以前发布,555,"40,684元/平"
此房满两年大四房   南北通透格局  楼层好  交通便利,尚景湾 -元和,4室2厅 | 133.56平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,41人关注 / 一年前发布,230,"17,221元/平"
全新品质 次新小区   清水毛坯 中间位置,金辉尊域雅苑 -斜塘,3室2厅 | 124.75平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,42人关注 / 5个月以前发布,378,"30,301元/平"
绿地联排别墅，有花园，环境优美，适合居住，有钥匙,绿地博墅 -临湖,3室2厅 | 176.18平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,4人关注 / 1个月以前发布,270,"15,326元/平"
地铁口，精装好房，自住保养好，品质小区,中房颐园 -太湖新城（吴江）,3室1厅 | 100.86平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,28人关注 / 5个月以前发布,239,"23,697元/平"
晨曦馨苑 精装大两房 三开间朝南户型 诚售 钥匙在手,晨曦馨苑 -元和,2室2厅 | 107.84平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,24人关注 / 一年前发布,175,"16,228元/平"
满二  经典3房   视野全天360度  钥匙看房  诚心出售,绿地江南华府 -松陵,3室2厅 | 97.17平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,2人关注 / 1个月以前发布,177,"18,216元/平"
洋房东边套一梯二户   三房 全屋采光 好楼层,万科魅力花园 -花桥,3室1厅 | 86.28平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,212,"24,572元/平"
"全新装修25万，户型通透，钻石楼层，有钥匙,随时看房",森隆满园 -张浦,3室2厅 | 95.48平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,10人关注 / 3个月以前发布,148,"15,501元/平"
房东诚心出售，考虑置换，中间楼层，满两年,象屿都城怡园 -花桥,3室2厅 | 83.93平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,172,"20,494元/平"
三开间朝南 精装三房，拎包入住,可逸兰亭 -花桥,3室2厅 | 92.03平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,179,"19,451元/平"
洋房东边套一梯二户   三房 全屋采光 好楼层,万科魅力花园 -花桥,3室1厅 | 86.28平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,212,"24,572元/平"
环湖低密度小高层 中海青公馆品质大三房  全新未住人,中海青公馆 -尹山湖,3室2厅 | 107.87平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,2人关注 / 1个月以前发布,248,"22,991元/平"
新上4号线 团结桥 正3房 独立车库 金楼层  南环西路,南环西路23号 -南门,3室2厅 | 94.29平米 | 南 | 简装 | 5层  | 板楼,0人关注 / 1个月以前发布,215,"22,802元/平"
锦荷苑通透大三房，中间楼层，满五年唯一，草桥教科院,锦荷苑 -平江新城,3室2厅 | 115.88平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,21人关注 / 一年前发布,305,"26,321元/平"
泾园二村南社区，50平，一楼带大车库！有钥匙,泾园二村南区 -跨塘,1室1厅 | 49.77平米 | 南 | 简装 | 低楼层(共4层)  | 板塔结合,3人关注 / 3个月以前发布,124,"24,915元/平"
美式装修，保养好，经典南北通透户型,云山诗意(吴中区) -木渎,4室2厅 | 124.3平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,22人关注 / 5个月以前发布,280,"22,527元/平"
中南世纪城三房二卫满二、好楼层全天采光、带八角窗,中南世纪城(昆山) -开发区,3室2厅 | 125.03平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,265,"21,195元/平"
急急售 单价2.1万四房全朝向南，带入户花园，房东急售,幸福未来花园 -科技城,4室2厅 | 164.89平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,47人关注 / 一年前发布,360,"21,833元/平"
云顶花园 门口地铁三号线 南北通透三房 全天采光,星海云顶花园 -跨塘,3室2厅 | 124.53平米 | 南 北 | 简装 | 低楼层(共15层)  | 板楼,6人关注 / 3个月以前发布,269.3,"21,626元/平"
满五不唯一，楼层好，采光佳，带电梯，户型好,仲雅苑北区 -平江新城,3室2厅 | 107.66平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,282人关注 / 一年前发布,287,"26,658元/平"
店长推荐！活力岛精装三居！拎包入住！出门地铁！,水韵花都三期南组团 -元和,3室2厅 | 90.82平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 2个月以前发布,248,"27,307元/平"
梅里弄 诚心出售 好房好楼层 低总价三房 看房方便,梅里弄15号 -松陵,3室2厅 | 79.97平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,18人关注 / 4个月以前发布,123,"15,381元/平"
标准三居室，双平江，满五，楼层不错，业主诚心出售,永林二区 -娄门,3室2厅 | 86.65平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,26人关注 / 一年前发布,225,"25,967元/平"
地铁令距离 招商依云华苑 中高楼层 装修好 满五年 急,招商依云华苑 -元和,3室2厅 | 88.32平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,9人关注 / 1个月以前发布,174,"19,702元/平"
迎春丽家主力户型，房屋格局好，明厨明卫，随时看,伟业迎春丽家 -太湖新城（吴江）,3室2厅 | 91.67平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,458人关注 / 10个月以前发布,155,"16,909元/平"
满五，有租约车位，看房有钥匙，看房方便！,越湖名邸 -城南,3室1厅 | 127.65平米 | 南 北 | 简装 | 11层  | 板楼,44人关注 / 7个月以前发布,245,"19,194元/平"
合景八期急售好房，别错过，一定来看看,合景峰汇八期 -元和,3室2厅 | 105.37平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,2人关注 / 3个月以前发布,220,"20,879元/平"
九方城，正4房，简约装修，诚心出售，随时看房签约,中航九方城市花园 -玉山城北,4室2厅 | 139.47平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,2人关注 / 5个月以前发布,377.6,"27,074元/平"
小区品质高，采光足，视野开阔，随时签约；,新城香悦花园 -花桥,3室2厅 | 89.77平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,216,"24,062元/平"
天境湖畔，海域天境苑136平飞机户型双阳台,海域天境苑 -科教新城,3室2厅 | 136平米 | 南 北 | 毛坯 | 21层  | 板塔结合,0人关注 / 1个月以前发布,265,"19,486元/平"
全新精装修，大三房，带独库，楼层好,观景新村 -留园西园,3室1厅 | 77.43平米 | 南 | 精装 | 6层  | 板楼,2人关注 / 2个月以前发布,162,"20,923元/平"
永旺旁 地铁沿线 四大商场配套 清水毛坯,南山楠 -浒关,3室2厅 | 99.88平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,21人关注 / 8个月以前发布,207,"20,725元/平"
此房适合老人小孩居住，通风采光视野都不错，,金辉正荣花漫四季 -临湖,3室2厅 | 86.48平米 | 东南 | 毛坯 | 高楼层(共10层)  | 板塔结合,1人关注 / 4个月以前发布,138,"15,958元/平"
急售园区地铁口洋房，通透，精装修，业主想快速卖掉。,金色尚城 -斜塘,2室2厅 | 83.17平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,15人关注 / 4个月以前发布,265,"31,863元/平"
自由都市精装修三房，装修不错拎包入住，看房方便,自由都市 -周市,3室2厅 | 88.53平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 3个月以前发布,185,"20,897元/平"
多层洋房 精装三房两卫 南北通风 诚售,锦和加州北区 -越溪,3室2厅 | 90.89平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,187,"20,575元/平"
精装修好房，边套通透三房，拎包入住,绿地21新城 -开发区,3室2厅 | 96.32平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,2人关注 / 3个月以前发布,206,"21,388元/平"
全新装修小三房，小高层，房东置换诚意出售,中南锦苑西区 -斜塘,3室2厅 | 92.31平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,1人关注 / 1个月以前发布,343,"37,158元/平"
万象汇 经典户型出售 随时看的 带车位 急售,华润国际社区 -玉山城西,3室2厅 | 107平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,420,"39,253元/平"
中高层精装三房，地铁沿线，生活配套齐全，视野采光好,新城招商香溪源 -太湖新城（吴江）,3室2厅 | 92.46平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,208,"22,497元/平"
小区很便宜的一套90平装修三房，业主急售，看房随时,旭辉苹果乐园 -浒关,3室2厅 | 89.86平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,7人关注 / 3个月以前发布,152,"16,916元/平"
绿地苏州ONE，电梯洋房，优质大横厅，婚装30W,绿地苏州ONE -松陵,4室2厅 | 129.06平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,9人关注 / 一年前发布,268,"20,766元/平"
i品质大平层 电梯独户洋房 奢阔大横厅4室2卫 清水毛坯,华润橡树湾二期 -元和,4室2厅 | 177.94平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,101人关注 / 一年前发布,456,"25,627元/平"
全新毛坯小三房，景观房，前后无遮挡，出入方便,首创悦都 -蓬朗（开发区）,3室2厅 | 87.18平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,12人关注 / 一年前发布,177,"20,303元/平"
双阳台户型 中间楼层 品牌家具家电全留下 可拎包入住,新城招商香溪源 -太湖新城（吴江）,3室2厅 | 93.15平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,39人关注 / 8个月以前发布,199,"21,364元/平"
通透大两室 位置OK 采光好，视野开阔，诚意出售，,昂内天骄花园 -跨塘,2室2厅 | 87.43平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,17人关注 / 一年前发布,189,"21,618元/平"
上河郡南区 精装自住大三房 边户 中间楼层,旭辉上河郡 -浒墅关经济技术开发区,3室2厅 | 104.25平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,2人关注 / 3个月以前发布,195,"18,706元/平"
店长推荐！活力岛精装三居！拎包入住！出门地铁！,水韵花都三期南组团 -元和,3室2厅 | 90.82平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 2个月以前发布,248,"27,307元/平"
