标题,开发商,房子信息,发布信息,售价/万,单价
翠竹新村 未占用 随时看房 价格好谈,翠竹新村 -红梅,2室1厅 | 67.21平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 3个月以前发布,76.8,"11,427元/平"
飞龙吾悦旁 绿都万和城 毛坯三室 楼层采光好,绿都万和城七区 -三井,3室2厅 | 140.1平米 | 东南 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 5个月以前发布,255,"18,202元/平"
绿地世纪城C区 采光无遮挡，视野通透 好楼层,绿地世纪城c区 -新闸,2室1厅 | 90.8平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,10人关注 / 8个月以前发布,116,"12,776元/平"
尚枫苑 小三房  户型方正 业主诚心出售 随时看房,尚枫澜湾 -三井,3室2厅 | 92平米 | 南 | 毛坯 | 19层  | 板塔结合,12人关注 / 一年前发布,178,"19,348元/平"
飞龙路大型综合体居住小区，万和城7区，户型佳采光好,绿都万和城七区 -三井,3室2厅 | 122.34平米 | 东 西 | 精装 | 低楼层(共34层)  | 板塔结合,5人关注 / 一年前发布,215,"17,574元/平"
公园壹号小高层开阔户型出入小区便捷全天无遮挡好视野,公园壹号花园 -潞城,3室2厅 | 122.57平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,160,"13,054元/平"
新城璞樾和山，中间楼层，小高层，采光无遮挡。,新城招商·璞樾和山 -雕庄,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 10个月以前发布,320,"22,378元/平"
高铁新城  精装修  户型好 楼层好 随时可看 业主诚售,金科·保利北郡花园 -新桥,3室1厅 | 116.22平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,4人关注 / 6个月以前发布,232,"19,963元/平"
房东在家  随时等候您的看房，诚心出售  价格可谈,清水湾花园三期 -新桥,3室2厅 | 127.45平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,185,"14,516元/平"
名仕佳园 业主诚心出售 有钥匙方便看房,名仕佳园 -湖塘镇,4室2厅 | 140.37平米 | 北 南 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,170,"12,111元/平"
香溢紫郡精装大四房 房东诚售 采光好 新城物业和品质,香溢紫郡 -青龙,3室2厅 | 133.56平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 7个月以前发布,241,"18,045元/平"
一梯两户，纯西边户，有钥匙看房方便。急售,玉龙湾花园 -三井,3室2厅 | 122.59平米 | 南 北 西南 西 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 3个月以前发布,182,"14,847元/平"
万和城七区，飞龙吾悦旁采光刺眼 三朝南户型 有钥匙,绿都万和城七区 -三井,3室2厅 | 86.68平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,3人关注 / 8个月以前发布,157.8,"18,205元/平"
万达旁中海一期，自住装修，拎包入住，诚心出售,中海龙城花园南区 -三井,3室2厅 | 87.42平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 11个月以前发布,230,"26,310元/平"
有钥匙随时看房 全朝南户型  采光好  位置佳,天安花园 -河海,3室2厅 | 135.29平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,3人关注 / 8个月以前发布,225,"16,631元/平"
硬装全新，面向公园，月星家居的全屋定制,天安花园 -河海,3室2厅 | 158.81平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,6人关注 / 6个月以前发布,280,"17,632元/平"
华润六期 毛坯4房  户型方正  随时看房,华润国际社区中吴府 -茶山,3室2厅 | 130.11平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,3人关注 / 7个月以前发布,269,"20,675元/平"
外滩花园联排毛坯别墅户型方正业主诚售,外滩壹号花园 -兰陵街道,5室2厅 | 337.31平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,3人关注 / 9个月以前发布,750,"22,235元/平"
吾悦广场旁，精装三房，紫金城北区，有钥匙随时看房。,紫金城北区 -湖塘镇,3室2厅 | 128.43平米 | 西 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,257,"20,011元/平"
名仕佳园 业主诚心出售 有钥匙方便看房,名仕佳园 -湖塘镇,4室2厅 | 140.37平米 | 北 南 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,170,"12,111元/平"
"复式层,新城域花园，四房，二层不算产证面积 采光好",新城域花园 -湖塘镇,4室2厅 | 83.82平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,29人关注 / 一年前发布,156,"18,612元/平"
诚售  万达商圈尚枫澜湾，格局方正，,尚枫澜湾 -三井,3室2厅 | 103.71平米 | 南 | 毛坯 | 30层  | 板塔结合,0人关注 / 3个月以前发布,186,"17,935元/平"
飞龙吾悦旁大名城毛坯大三房，楼层好，位置好随时看房,大名城西区 -三井,3室2厅 | 162.22平米 | 南 北 | 毛坯 | 中楼层(共38层)  | 板楼,9人关注 / 一年前发布,287.95,"17,751元/平"
世茂五期纯毛坯，南北通透3＋1户型，急售，好楼层,世茂香槟湖五期 -三井,4室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,325,"23,898元/平"
经开区公园壹号东边户 精装三房 保养好 看房方便,公园壹号四期 -潞城,3室2厅 | 127.73平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,193,"15,110元/平"
兰翔新村2室1厅1厨1卫 朝向：南 通透全明户型,兰翔新村 -河海,2室1厅 | 56.89平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 10个月以前发布,64.8,"11,391元/平"
怀德苑，两房，户型好，采光无遮挡，房东诚心出售。,怀德苑 -南大街,2室1厅 | 83.94平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,11人关注 / 11个月以前发布,141.5,"16,858元/平"
项家花苑 房东置换急售 新装修3房未入住,项家花苑 -南大街,3室1厅 | 84.83平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,400,"47,154元/平"
有钥匙随时看房  三朝南户型  采光刺眼  欢迎随时看房,天润园 -河海,3室2厅 | 111.76平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 5个月以前发布,197,"17,628元/平"
大名城，品牌精装大三室，带一百平露台，全天采光,大名城北区 -三井,3室2厅 | 130.33平米 | 南 西 北 | 精装 | 低楼层(共30层)  | 板塔结合,9人关注 / 7个月以前发布,258.5,"19,835元/平"
小区地理位置优越  交通便捷  满五唯一,绿地世纪城A区 -新闸,3室2厅 | 86.24平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,22人关注 / 一年前发布,120,"13,915元/平"
清水湾一期小高层，精装三房，中间层急售！,清水湾花园一期 -新桥,2室2厅 | 88.25平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 4个月以前发布,154.8,"17,542元/平"
新区公园天安花园 158平精装修3房2卫 250万,天安花园 -河海,3室2厅 | 158.81平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 一年前发布,250,"15,743元/平"
高铁新城  精装修  户型好 楼层好 随时可看 业主诚售,金科·保利北郡花园 -新桥,3室1厅 | 97.43平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,3人关注 / 6个月以前发布,194,"19,912元/平"
金坛区云湖山庄别墅5-2-1-3 279.38m²,云湖山庄 -未知商圈,5室2厅 | 279.38平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,275,"9,844元/平"
腾龙苑东区 楼层好 户型方正 有钥匙随时可看 业主诚售,腾龙苑东区 -新桥,3室2厅 | 128.62平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 3个月以前发布,145,"11,274元/平"
急售！精装复式 馨河郦舍 湖景房 三开间朝南 有钥匙,荣盛馨河郦舍 -河海,4室2厅 | 113.43平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,3人关注 / 6个月以前发布,202,"17,809元/平"
急售天润园毛坯大平层户型方正，随时看，有车位另算,天润园 -河海,4室2厅 | 183.1平米 | 南 北 | 简装 | 中楼层(共30层)  | 板塔结合,12人关注 / 8个月以前发布,365,"19,935元/平"
高铁新城锦海星城 品牌装修 婚装三房，有钥匙业主诚售,锦海星城 -新桥,3室2厅 | 131.24平米 | 北 南 | 精装 | 高楼层(共22层)  | 板塔结合,15人关注 / 一年前发布,167,"12,725元/平"
视野宽阔，采光充足。价格优势。地段好,新城帝景北区 -湖塘镇,3室2厅 | 109.68平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,9人关注 / 一年前发布,372,"33,917元/平"
港龙新港城 刚满2年 准新房 楼层佳 采光好,港龙.新港城 -潞城,3室2厅 | 87.24平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,5人关注 / 8个月以前发布,125,"14,329元/平"
此房户型方正，交通方便，绿化好,红菱南村 -红梅,3室2厅 | 73平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,6人关注 / 一年前发布,99,"13,562元/平"
璞樾和山中间楼层，跃层已浇筑，密码锁随时看房。,新城招商·璞樾和山 -雕庄,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,345.9,"24,189元/平"
大三房 前排无遮挡 婚房装修 诚心出售,怡景名园 -薛家,3室2厅 | 129.93平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,147.9,"11,384元/平"
精装三房 保养新 满2年 户型方正,紫廷名苑 -湖塘镇,3室2厅 | 120.17平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,4人关注 / 一年前发布,220,"18,308元/平"
此房户型方正，交通方便，绿化好,红菱南村 -红梅,3室2厅 | 73平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,6人关注 / 一年前发布,99,"13,562元/平"
璞樾和山中间楼层，跃层已浇筑，密码锁随时看房。,新城招商·璞樾和山 -雕庄,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,345.9,"24,189元/平"
中海锦珑湾精装三房，户型方正通透采光好，诚心出售,锦珑湾花园 -河海,3室2厅 | 110.31平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,9人关注 / 6个月以前发布,158,"14,324元/平"
白马公馆 三房两卫 看房方便 诚心出售,白马公馆 -薛家,3室2厅 | 112.04平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 3个月以前发布,156,"13,924元/平"
锦绣花园，满五唯一，楼层好随时看房,锦绣花园西区 -红梅,3室2厅 | 77.22平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,95,"12,303元/平"
红梅公寓两室两厅中间楼层户型周正出售,红梅公寓 -红梅,2室2厅 | 92.65平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,133.8,"14,442元/平"
悦隽公馆旁 常州万科城  精装四房  1梯1户 随时看房,常州万科城 -湖塘镇,4室1厅 | 140.82平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,11人关注 / 8个月以前发布,215,"15,268元/平"
房东外地发展，有钥匙随时看房，价格包含一个产权车位,九龙仓年华里  -薛家,4室2厅 | 133.35平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,197,"14,774元/平"
摩尔上品小三房，首付低，新装修，拎包入住,摩尔上品 -湖塘镇,3室2厅 | 88.19平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,11人关注 / 9个月以前发布,130,"14,741元/平"
三房毛坯 低总价 不靠高架 白马公馆,白马公馆 -薛家,3室2厅 | 89.54平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,135,"15,078元/平"
不靠高架，户型方正，有 入户花园，看房方便,白马公馆 -薛家,3室1厅 | 119.91平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,1人关注 / 一年前发布,180,"15,012元/平"
边户，远离高架，南北通透，毛坯，环境幽静，小区,白马公馆 -薛家,3室1厅 | 88.3平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 9个月以前发布,140,"15,856元/平"
新城锦域 毛坯 三房 淹城公园旁 楼层高 采光好,新城锦域 -湖塘镇,3室2厅 | 115.51平米 | 南 北 | 简装 | 高楼层(共33层)  | 暂无数据,3人关注 / 4个月以前发布,152,"13,160元/平"
地铁口/三井/小面积/钥匙房/市府版块,中央花园(天宁区) -红梅,2室1厅 | 94.99平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,2人关注 / 5个月以前发布,238,"25,056元/平"
白金汉宫满五无贷款 配套齐全 房东诚售随时看房有钥匙,绿地白金汉宫 -湖塘镇,3室2厅 | 134.26平米 | 南 北 | 简装 | 中楼层(共34层)  | 板塔结合,2人关注 / 7个月以前发布,229.8,"17,117元/平"
吾悦旁，实验小旁，玉兰全新毛坯四房，有钥匙,融创常州御园三期 -湖塘镇,4室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,293,"22,891元/平"
户型好 采光好 设施全 交通便利,丰乐公寓北区 -湖塘镇,3室2厅 | 111.5平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,158,"14,171元/平"
北环南村中层精装三房一厅西边户明厨明卫,北环南村 -红梅,3室1厅 | 86.46平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,112,"12,954元/平"
钟楼 御水华庭 天街 旁 龙湖好房,龙湖龙誉城北区 -五星,4室2厅 | 142.68平米 | 东南 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,2人关注 / 一年前发布,320,"22,428元/平"
地段好  好地段 怀德桥畔 独栋别墅  带2个车位,香江华廷花园 -南大街,6室2厅 | 566.41平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,4人关注 / 一年前发布,2150,"37,959元/平"
小区环境优美。房子为精装修可直接拎包入住,绿色家园 -河海,3室2厅 | 115.63平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,16人关注 / 10个月以前发布,155,"13,405元/平"
新城公馆新房 精装未入住 一梯一户采光好 新城品质,新城公馆荣域 -湖塘镇,4室2厅 | 140.98平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 7个月以前发布,338,"23,976元/平"
业主急售坛园小区地段好出行方便生活配套设施齐全,坛园 -红梅,3室1厅 | 77.86平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,118,"15,156元/平"
房子新装修没怎么住，业主外地考虑置换，价格可谈,绿地世纪城A区 -新闸,3室2厅 | 89.4平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,149.9,"16,768元/平"
万达商圈 品质小区 百米楼间距 中上楼层 视野开阔,雅居乐星河湾 -三井,4室2厅 | 140.62平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,6人关注 / 8个月以前发布,315,"22,401元/平"
好房必推+必看+必买。精致两房+拎包住+采光好+钥匙,阳光龙庭 -青龙,2室1厅 | 76.2平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,21人关注 / 6个月以前发布,136,"17,848元/平"
恐龙园商圈世茂一楼带前后院子小高层4房2卫精装修,世茂香槟湖二期 -三井,4室2厅 | 129.5平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,10人关注 / 一年前发布,297.8,"22,997元/平"
精装大三房边户，装修保养好，采光无遮，业主诚心出售,翡翠锦园 -三井,4室2厅 | 128.02平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,3人关注 / 6个月以前发布,276,"21,560元/平"
房子新装修没怎么住，业主外地考虑置换，价格可谈,绿地世纪城A区 -新闸,3室2厅 | 89.4平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,149.9,"16,768元/平"
区位成熟、交通便利、新北万达旁三房，房主诚心出售,太湖明珠苑 -三井,3室2厅 | 128.56平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,41人关注 / 一年前发布,180,"14,002元/平"
九龙仓荣华里毛坯小三房，户型正采光足,九龙仓荣华里 -薛家,3室2厅 | 87.8平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,130,"14,807元/平"
文化一村 库上四楼 老精装 四室两厅一卫 双阳台户型好,文化一村 -西城街道,4室2厅 | 123.93平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,58,"4,681元/平"
别不信，确实有这房，机会难得，很便宜。,虹桥新邨 -东城街道,4室2厅 | 176.67平米 | 东南 | 精装 | 低楼层(共5层)  | 板塔结合,3人关注 / 7个月以前发布,91.8,"5,197元/平"
位置好，全天采光无遮挡，楼间距宽，可随时看房,美林湖花园 -龙虎塘,2室2厅 | 91.31平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,6人关注 / 9个月以前发布,135,"14,785元/平"
东横街中上层三房采光佳视野开阔常州市少年宫东,东横街小区 -南大街,3室1厅 | 77平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,198,"25,715元/平"
采光充足 配套齐全  交通便利,香江庭院 -永红,3室2厅 | 103平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,4人关注 / 一年前发布,180,"17,476元/平"
装修保养很好，怀德名园三房，诚心出售！,常信怀德名园 -河海,3室2厅 | 120.49平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,12人关注 / 6个月以前发布,205,"17,014元/平"
金坛区，金桂园6-3-1-4 207.60m²,金桂园 -东城街道,6室3厅 | 207.6平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,14人关注 / 一年前发布,92,"4,432元/平"
恐龙园旁香树湾福园  经典3居室、看房方便有钥匙,香树湾福园 -三井,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,19人关注 / 一年前发布,165,"15,567元/平"
飞龙吾悦旁万和城七区 精装大三房 领包入住 房东急售,绿都万和城七区 -三井,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 8个月以前发布,175,"15,910元/平"
飞龙吾悦旁，万和城二期，毛坯，3室2卫，明厨明卫。,绿都万和城2区 -三井,3室2厅 | 116.36平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,3人关注 / 10个月以前发布,180,"15,470元/平"
新城璞樾和山 跃层空中墅 多享面积多 一梯一户小高层,新城招商·璞樾和山 -雕庄,4室2厅 | 173.16平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,350,"20,213元/平"
吾悦旁，大名城，精装修，交通便利，位置佳,大名城西区 -三井,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 5个月以前发布,210,"16,407元/平"
"经典小户型采光佳，南北户型,配套齐全",百草苑 -三井,2室2厅 | 80.85平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,5人关注 / 3个月以前发布,122.8,"15,189元/平"
绿都万和城五区 精装三房 业主诚心出售,绿都万和城五区 -三井,3室2厅 | 93.38平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,170,"18,206元/平"
新房房源，地铁口，纯毛坯房，中间楼层，诚心出售,豪庭花园 -三井,4室2厅 | 144平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,5人关注 / 一年前发布,350,"24,306元/平"
龙东花园三室两厅全天采光诚意出售,龙东花园 -青龙,3室2厅 | 110平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,127,"11,546元/平"
万达商圈通江路旁翡翠锦园满5唯一房东诚心,翡翠锦园 -三井,2室1厅 | 68.77平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,6人关注 / 一年前发布,122,"17,741元/平"
环球港旁 三江公园 楼层好，采光好，纯毛坯 随时可看,牡丹·三江公园 -龙虎塘,3室2厅 | 152平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 6个月以前发布,226,"14,869元/平"
金坛区香格里拉山庄6-2-1-2 258.00m²,香格里拉山庄 -东城街道,6室2厅 | 256.86平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板塔结合,9人关注 / 一年前发布,196,"7,631元/平"
东园新村全新装修，三室一厅好楼层,东园新村 -东城街道,3室1厅 | 85.97平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 6个月以前发布,56.6,"6,584元/平"
全明设计，配套齐全，交通便捷，人文环境好,藻江花园二期 -三井,3室2厅 | 104.81平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,26人关注 / 一年前发布,146.8,"14,007元/平"
香格里拉山庄3-2-1-2 123.00m²,香格里拉山庄 -东城街道,3室2厅 | 123.82平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,75,"6,058元/平"
前桥新村精装未入住带阁楼满2业主诚心出售,前桥新村 -三井,3室2厅 | 109.57平米 | 南 北 | 精装 | 6层  | 板楼,33人关注 / 一年前发布,117.8,"10,752元/平"
尚枫澜湾毛坯三房 万达商圈华山公园,尚枫澜湾 -三井,3室2厅 | 94.65平米 | 南 | 毛坯 | 15层  | 板塔结合,4人关注 / 一年前发布,175,"18,490元/平"
金坛区金湖花园3-2-1-2 140.00m²,金湖花园 -东城街道,3室2厅 | 140.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,5人关注 / 10个月以前发布,82,"5,837元/平"
御河湾精装三房 高楼层 采光无影响 有钥匙 随时看房,御河湾 -青龙,3室2厅 | 104.92平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,2人关注 / 5个月以前发布,183,"17,442元/平"
新北实中，高层采光充足，专业团队设计温馨典雅！,雅居乐星河湾 -三井,3室2厅 | 97.6平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,6人关注 / 4个月以前发布,203,"20,800元/平"
东横街中上层三房采光佳视野开阔常州市少年宫东,东横街小区 -南大街,3室1厅 | 77平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,198,"25,715元/平"
天隽峰大三室，双阳台，满2年，业主诚心出售,天隽峰 -湖塘镇,3室2厅 | 130.44平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,3人关注 / 11个月以前发布,200,"15,333元/平"
2.4米宽双阳台，全天采光，俯视小区景观，户型方正。,路劲城四期 -湖塘镇,4室2厅 | 163.99平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,7人关注 / 10个月以前发布,300,"18,294元/平"
锦绣花园1楼15平大院子 近新北高架万达文化广场地铁,锦绣花园西区 -红梅,2室1厅 | 60.82平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,90,"14,798元/平"
恒大翡翠华庭大三房南北双阳台精装修房东急售,恒大翡翠华庭 -湖塘镇,3室2厅 | 135平米 | 东 东南 | 精装 | 低楼层(共33层)  | 板塔结合,9人关注 / 7个月以前发布,190,"14,075元/平"
九龙仓荣华里毛坯小三房，户型正采光足,九龙仓荣华里 -薛家,3室2厅 | 87.8平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,130,"14,807元/平"
金坛区，金桂园6-3-1-4 207.60m²,金桂园 -东城街道,6室3厅 | 207.6平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,14人关注 / 一年前发布,92,"4,432元/平"
采光充足 配套齐全  交通便利,香江庭院 -永红,3室2厅 | 103平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,4人关注 / 一年前发布,180,"17,476元/平"
新城南都 保养很好 户型大开间 高得房率 诚售,新城南都雅苑 -湖塘镇,3室2厅 | 138.76平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,23人关注 / 一年前发布,203,"14,630元/平"
毛坯，未装修，客厅挑高 楼层好，仙湖公园旁。,观澜云庭 -遥观镇,3室2厅 | 108.4平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,116,"10,702元/平"
五洲国际 85.4平方 精装修  92万 二房二厅,五洲国际幸福湾 -未知商圈,2室2厅 | 85.4平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 2个月以前发布,89.8,"10,516元/平"
恐龙园九龙仓时代上院，经典小三房，有地暖 诚心出售,九龙仓时代上院 -三井,3室2厅 | 88.2平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,0人关注 / 6个月以前发布,176,"19,955元/平"
星海银园西区，环境好，万达旁，交通便利,星海银园西区 -三井,2室2厅 | 92.45平米 | 南 | 简装 | 低楼层(共17层)  | 板塔结合,6人关注 / 一年前发布,178,"19,254元/平"
大名城不靠高架 三开间朝南 精致两房 诚心卖有钥匙,大名城西区 -三井,2室1厅 | 68.32平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,125,"18,297元/平"
恐龙园 ，创意产业园旁，世茂四期经典两房,世茂香槟湖四期 -三井,2室1厅 | 80.17平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,150,"18,711元/平"
万达旁中海一期，不靠高架，带装修，拎包入住，诚心售,中海龙城花园南区 -三井,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,7人关注 / 一年前发布,248,"25,568元/平"
飞龙吾悦广场旁  交通便捷  繁华地段  毛坯,绿都万和城三区 -三井,4室2厅 | 134.23平米 | 东 西 | 毛坯 | 低楼层(共30层)  | 板塔结合,17人关注 / 一年前发布,180,"13,410元/平"
嘉禾尚郡 全天采光 业主诚心出售 小区环境优雅,嘉禾尚郡花园 -三井,2室2厅 | 88.03平米 | 东南 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,2人关注 / 6个月以前发布,125,"14,200元/平"
环境优美，舒适安全，生活交通便利,嘉禾尚郡花园 -三井,3室2厅 | 87.26平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,9人关注 / 一年前发布,145,"16,618元/平"
离飞龙吾悦广场和龙湖天街近，楼层佳，采光好,大名城西区二区 -三井,2室2厅 | 88.82平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,159,"17,902元/平"
精装修，拎包入住，保养的很好，南面前排，采光很奈斯,永宁雅苑 -青龙,2室2厅 | 88.77平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,1人关注 / 4个月以前发布,158,"17,799元/平"
有钥匙随时看房  户型方正  采光刺眼  视野开阔,世茂香槟湖一期 -三井,3室2厅 | 132.15平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,7人关注 / 一年前发布,228,"17,254元/平"
诚意出售 楼层好 采光佳 地段好,新城公馆尊域 -湖塘镇,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,0人关注 / 31天以前发布,237.3,"18,984元/平"
满五，朝南，南北通风，采光好。房东诚意出售。,北直街小区 -南大街,3室1厅 | 89.64平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,360,"40,161元/平"
华润中吴府 4室2厅2卫 毛坯 诚心出售 价格可谈,华润国际社区中吴府 -茶山,4室2厅 | 133.12平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 18天以前发布,266,"19,982元/平"
