标题,开发商,房子信息,发布信息,售价/万,单价
户型方正   采光靓 此房满五唯一,保利·领秀前城青秀郡 -凤岭南,4室2厅 | 109.49平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 14天以前发布,139,"12,696元/平"
地铁口1号线  精装3房 含家电家具,联发·西棠春晓 -石埠,3室2厅 | 75.7平米 | 东 | 精装 | 中楼层(共34层)  | 暂无数据,2人关注 / 2个月以前发布,72,"9,512元/平"
汇东星世界二期 3室2厅 南,汇东星世界二期 -经开区,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,92,"10,338元/平"
地铁5号线五一立交站，小区配套成熟，生活氛围浓郁。,富宁新兴苑 -五一路,4室2厅 | 112.01平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,81,"7,232元/平"
淡村路 两房户型 健康楼层 急售,国税局宿舍 -白沙星光,2室1厅 | 65.77平米 | 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 22天以前发布,43,"6,538元/平"
房子南北对流  小区有游泳池  配套齐全,天誉花园4组团 -五象文旅,1室1厅 | 36平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,34,"9,445元/平"
南铁北一区，两房75万，一次性，中间楼层，37,南铁北一区大板楼小区 -西大,2室1厅 | 65平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,75,"11,539元/平"
楼层采光好，户型方正，电梯房，小户型，总价低,保利城A区 -五一路,1室0厅 | 38.88平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 6个月以前发布,30,"7,717元/平"
建银咨询住宅楼小区 2室2厅 西北,建银咨询住宅楼小区 -白沙星光,2室2厅 | 61平米 | 西北 | 简装 | 低楼层(共2层)  | 暂无数据,13人关注 / 4个月以前发布,46,"7,541元/平"
中间楼栋 中间楼层 两房朝南 不看后山 没有入住过的,恒大绿洲 -大沙田,2室2厅 | 73.32平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 1个月以前发布,66.5,"9,070元/平"
18年新小区   一房精装领包入住,锦兰公馆 -经开区,1室1厅 | 29平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,9人关注 / 6个月以前发布,31,"10,690元/平"
中谷蓝枫 1房1厅 满五唯一 产权清晰 看房方便,中谷蓝枫 -心圩区,1室2厅 | 59.76平米 | 南 北 | 简装 | 中楼层(共16层)  | 暂无数据,2人关注 / 3个月以前发布,39,"6,527元/平"
江宇世纪城 ，楼下沃乐码，近地铁，业主诚心出售,江宇世纪城 -北湖南,2室2厅 | 76平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼,11人关注 / 7个月以前发布,75,"9,869元/平"
青秀万达商圈 小区园林绿化高，平层大四房 精装急卖,盛天果岭 -东沟岭,4室2厅 | 126平米 | 东南 | 简装 | 中楼层(共25层)  | 塔楼,4人关注 / 一年前发布,135,"10,715元/平"
地铁4号，满2年有证，房子自住保养9成新 ，2019年交房,新希望锦官城 -经开区,3室2厅 | 100.29平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,5人关注 / 4个月以前发布,110,"10,969元/平"
单位大院 工行宿舍 逸夫+天桃11 看房方便 小区环境好,中国工商银行广西分行营业部思贤路绿塘里宿舍 -东葛路,2室2厅 | 68平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,98,"14,412元/平"
精装大3房，3个阳台，采光好视野开阔，交通便利带车位,凤和花园 -凤岭北,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,2人关注 / 7个月以前发布,178,"13,186元/平"
龙光水悦龙湾漂亮大四房两厅出售,龙光·水悦龙湾 -西大,4室2厅 | 140平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,6人关注 / 一年前发布,138,"9,858元/平"
天昌东盟中央城，LOFT，酒店装修，拎包入住，，高楼层,天昌东盟中央城 -东盟商务区,1室1厅 | 49.53平米 | 南 | 其他 | 高楼层(共21层)  | 板塔结合,1人关注 / 2个月以前发布,98,"19,786元/平"
民主路段 同和华彩美地D区电梯三房 一梯两户 业主自住,同和华彩美地D区 -东沟岭,3室2厅 | 110平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,6人关注 / 一年前发布,78,"7,091元/平"
盛天茗城  精装大三房 户型方正  南北通透,盛天茗城 -东盟商务区,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,17人关注 / 10个月以前发布,210,"17,074元/平"
房子经典格局，开发商国企。实际使用面积很大。,天健城 -西大,3室2厅 | 97.5平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,115,"11,795元/平"
东葛商圈  户型方正 采光好 配套设施齐全,广西气象局生活小区 -东葛路,2室2厅 | 51.88平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,35人关注 / 7个月以前发布,59,"11,373元/平"
东盟商务区旁，一号线地铁，低总价精装2房,恒大苹果园·金色阳光 -琅东,2室1厅 | 80.08平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,2人关注 / 3个月以前发布,65,"8,117元/平"
83万，精装修，可领包入住，很划算，找不到第二,汇东星世界二期 -经开区,3室2厅 | 88平米 | 南 北 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,82.5,"9,375元/平"
急售   万象城   盛天地  幸福里后面  利海亚洲国际,利海亚洲国际B区 -东盟商务区,3室1厅 | 115平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 2个月以前发布,154,"13,392元/平"
五象自贸区 万达茂商圈 4号线地铁,天誉城 -五象文旅,1室1厅 | 29平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,17人关注 / 一年前发布,23,"7,932元/平"
地铁口，物业费低，保养好，生活交通方便电梯3房,广西送变电第二生活区 -白沙星光,3室2厅 | 101平米 | 北 | 其他 | 中楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,85,"8,416元/平"
新交付精装现房，证件齐全，中式园林，一级物业管家！,建发玺院 -五一路,2室2厅 | 65平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,72,"11,077元/平"
业主自己改造的户型，适合刚需的你，三房的看你喜欢吗,南宁奥园北京组团 -经开区,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,61,"6,422元/平"
凤岭北  儿童公园旁，双天桃，精装2房,荣和大地一组团花园里 -凤岭北,3室2厅 | 76平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,12人关注 / 11个月以前发布,110,"14,474元/平"
东葛路联发 民乐+天桃 地铁口 诚心出售,联发•臻品 -东葛路,1室1厅 | 69平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,108,"15,653元/平"
正对地铁口，住宅性质的小户型，有独立大阳台,和园小区 -北湖北,1室0厅 | 37.74平米 | 东 | 精装 | 低楼层(共32层)  | 暂无数据,2人关注 / 6个月以前发布,28,"7,420元/平"
3号地铁口 东沟岭 4房南北通透 开发商精装交付,碧桂园星荟 -东沟岭,4室2厅 | 122平米 | 南 北 | 精装 | 34层  | 塔楼,16人关注 / 一年前发布,120,"9,837元/平"
免-税，朝南精装2房，保养很好，可拎包入住,龙光·君御华府 -凤岭北,2室1厅 | 50平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 2个月以前发布,95,"19,000元/平"
地铁口300米 公园三房 欧式精装 产权清晰 随时看房,万宝苑 -北湖南,3室2厅 | 92.92平米 | 南 北 | 精装 | 低楼层(共16层)  | 塔楼,1人关注 / 8个月以前发布,75,"8,072元/平"
航洋城近地铁口1房精装修近学 校生活方便环境幽美,蓝山上城 -凤岭北,1室1厅 | 48平米 | 北 | 其他 | 中楼层(共17层)  | 塔楼,4人关注 / 一年前发布,66,"13,750元/平"
房子通风透气，户型方正，带生活阳台,台湾街·桃园居 -西大,2室1厅 | 49.25平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,2人关注 / 一年前发布,48,"9,747元/平"
经开区2房，地铁口，保养新，可拎包入住,中房▪碧翠园A区 -经开区,2室1厅 | 66.13平米 | 南 东南 | 其他 | 中楼层(共18层)  | 塔楼,2人关注 / 2个月以前发布,49.5,"7,486元/平"
看南湖，南湖全景，视野好，地铁三号线。,南湖国际广场 -青秀万达,2室1厅 | 88.78平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 10个月以前发布,198,"22,303元/平"
科瑞精装3房 满五唯一 产权清晰 看房方便,科瑞江韵 -心圩区,3室2厅 | 87平米 | 东南 南 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 3个月以前发布,73,"8,391元/平"
狮山公园地铁口单位房杂物间20多平米,广西建工三建 -北湖南,3室2厅 | 99平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,2人关注 / 2个月以前发布,66,"6,667元/平"
白沙大道，带车位 精装四房，诚心急售，看房方便,隆源华府 -经开区,4室2厅 | 115.51平米 | 南 | 其他 | 高楼层(共39层)  | 塔楼,0人关注 / 1个月以前发布,110,"9,523元/平"
尚城街区 中高楼层 精装房 诚心出售,润华·尚城街区 -凤岭北,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,1人关注 / 4个月以前发布,110,"8,149元/平"
西大商圈，户型方正，随时看房，产权清晰，随时可签。,瀚林·御景 -西大,3室2厅 | 89.78平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,29人关注 / 10个月以前发布,88,"9,802元/平"
民大 南职 鹏飞路地铁口78平3房 精装修 拎包入住 可谈,联发·西棠春晓 -石埠,3室2厅 | 78平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 3个月以前发布,73,"9,359元/平"
被地铁口包围，南北双阳台，户型Verg good的！,碧园南城故事 -经开区,3室2厅 | 128平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 2个月以前发布,71,"5,547元/平"
江南盛天地旁   电梯大三房 毛坯可任意装修 证件齐全,南航翔宇花园 -经开区,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,85,"7,457元/平"
东盟商务区商圈  1号线地铁 地段好 总价低 出租率高,利海亚洲国际B区 -东盟商务区,1室2厅 | 52平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 5个月以前发布,70,"13,462元/平"
成熟商圈，生活交通便利，户型方正，通风采光好,南宁市二建公司宿舍 -北湖南,2室1厅 | 58平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,4人关注 / 2个月以前发布,35,"6,035元/平"
东盟商务区2房出售，拎包入住，看房方便。,天昌东盟中央城 -东盟商务区,2室2厅 | 55.45平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,12人关注 / 10个月以前发布,120,"21,642元/平"
2号线地铁口 安吉雅苑 大两房 有20平大露台,安吉雅苑 -北湖北,3室2厅 | 86.5平米 | 南 | 简装 | 低楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,58,"6,706元/平"
金乐福花园 精装 电梯 大两房 总价65万 配套成熟,金乐福花园 -心圩区,2室2厅 | 90.5平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,65,"7,183元/平"
月供900元，就能在南宁安个家，70年产权商品房,南宁奥园洛杉矶组团 -经开区,1室1厅 | 38平米 | 西 | 简装 | 低楼层(共11层)  | 板楼,30人关注 / 一年前发布,25,"6,579元/平"
青秀区童心缘1房1厅 没有贷款 价格优惠 急卖,保利·童心缘 -凤岭北,1室1厅 | 45.08平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,5人关注 / 5个月以前发布,63,"13,976元/平"
地铁口房子，中间楼层，住宅性质的小住宅,和园小区 -北湖北,1室0厅 | 37.74平米 | 东 南 | 精装 | 中楼层(共32层)  | 暂无数据,9人关注 / 6个月以前发布,30,"7,950元/平"
房子刚装修好。户型方正。价格便宜,上乐湾 -沙井,2室1厅 | 60.24平米 | 东 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,42,"6,973元/平"
房子刚装修好。户型方正。价格便宜,上乐湾 -沙井,2室1厅 | 60平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,3人关注 / 1个月以前发布,37.8,"6,300元/平"
不唯一，无欠款。户型好，南北都通透，采光格局好，.,汇金苑 -金湖,1室1厅 | 46平米 | 西 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,44,"9,566元/平"
西大商圈 正恒国际精装一房 41平仅售45万 电梯中层,正恒国际 -西大,1室1厅 | 41平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 5个月以前发布,45,"10,976元/平"
14年重装过，精装修 可带租约卖 商务区 万象城商圈,利海亚洲国际B区 -东盟商务区,1室1厅 | 37平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,5人关注 / 10个月以前发布,58,"15,676元/平"
新小区，近邕江边！合适自住和养老，可看江,春江花月 -朝阳,2室2厅 | 76平米 | 南 北 | 精装 | 高楼层(共40层)  | 塔楼,3人关注 / 一年前发布,76,"10,000元/平"
凤翔+14 独立单间  可住 可租 天立TT 国际,天立TT国际 -金湖,1室1厅 | 54平米 | 东南 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 一年前发布,115,"21,297元/平"
秀厢大道内 嘉华绿洲 精装1房改2房 产权清晰 看房方便,嘉华绿洲 -心圩区,1室1厅 | 44平米 | 北 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,38,"8,637元/平"
西乡塘区 明秀西路 5号线地铁，精装2房,龙光·水悦龙湾 -西大,2室2厅 | 80.76平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 3个月以前发布,75,"9,287元/平"
此房满五年，装修保养好，地铁口公园家门口。,荣和·山水绿城B2组团 -北湖南,2室1厅 | 58平米 | 南 北 | 其他 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,65,"11,207元/平"
东盟商务区 翡翠园 小户型 高层看房提前联系可以看,中房翡翠园一期 -琅东,1室1厅 | 37.37平米 | 南 | 精装 | 中楼层(共12层)  | 塔楼,0人关注 / 1个月以前发布,48,"12,845元/平"
万达茂旁LOFT，四号线地铁，天誉东盟塔配套，片区成熟,天誉城 -五象文旅,1室1厅 | 28.5平米 | 东 | 毛坯 | 高楼层(共31层)  | 板塔结合,6人关注 / 一年前发布,16,"5,615元/平"
友爱衡阳路口广运都市景苑小区精装两房,广运·都市景苑小区一期 -西大,2室1厅 | 54平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,13人关注 / 9个月以前发布,56,"10,371元/平"
地鉄口一房一厅，价格可商量，有个税，随时看房666,嘉汇馨源南区 -西大,1室1厅 | 37.74平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,2人关注 / 7个月以前发布,34.9,"9,248元/平"
万科城 4室2厅 南 北,万科城 -凤岭北,4室2厅 | 129.14平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 6天以前发布,170,"13,165元/平"
万科公园里，南宁五象新区文旅板块,万科公园里 -五象文旅,4室2厅 | 125平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,139,"11,120元/平"
温馨电梯两房看房方便价格可以商量,江景华廷 -仙葫,2室2厅 | 84.15平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 27天以前发布,48,"5,705元/平"
台湾街·花莲府 3室2厅 东 西,台湾街·花莲府 -西大,3室2厅 | 105平米 | 东 西 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 2天以前发布,95,"9,048元/平"
此房满五，税少，户型方正实用，楼层好。百花岭站,华凯·逸悦豪庭二期 -凤岭北,3室2厅 | 119.5平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,146,"12,218元/平"
满五唯一 红本在手 公园式小区,融晟公園大地B区 -五一路,3室2厅 | 102平米 | 南 | 简装 | 低楼层(共31层)  | 板楼,4人关注 / 一年前发布,63,"6,177元/平"
钱隆公馆 电梯中层 精装三房 户型方正,云星钱隆公馆 -五一路,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 31天以前发布,95.8,"9,301元/平"
森林假日 精装3房2卫 中高层 朝南 满五唯一,森林假日 -经开区,3室2厅 | 84.52平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 5天以前发布,86,"10,176元/平"
八桂凤凰城  精装3房2卫 户型方正 适合养老,八桂凤凰城凤翔园 -经开区,3室2厅 | 121.12平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,1人关注 / 6天以前发布,51,"4,211元/平"
3房，户型合理，楼层好 ，采光好，，,嘉和城温莎北郡 -兴宁东,3室2厅 | 84.42平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 10天以前发布,60,"7,108元/平"
荣和*中*央公园  精装修大两房 好楼层 业主诚心出售,荣和·中央公园 -东葛路,2室1厅 | 76.81平米 | 西 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,135,"17,576元/平"
笋盘！单价8900 110平精装4房 高层 南北通透,云星钱隆江南 -白沙星光,4室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 27天以前发布,98,"8,910元/平"
朝阳广场 精装大单间 满五年无欠款 看房方便,金山广场 -朝阳,1室0厅 | 42.21平米 | 南 | 其他 | 中楼层(共21层)  | 塔楼,0人关注 / 10天以前发布,28,"6,634元/平"
南宁市体育局宿舍区2-2-1-1 76.00m² 95 万,南宁市体育局宿舍区 -星湖,2室2厅 | 77.98平米 | 东南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,95,"12,183元/平"
世茂茂御府 2室2厅 南 北,世茂茂御府 -龙岗,2室2厅 | 70.05平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,68,"9,708元/平"
宏桂东昇 3室1厅 西南,宏桂东昇 -仙葫,3室1厅 | 89.76平米 | 西南 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 8天以前发布,72.5,"8,078元/平"
业主精心保养的大三房，双阳台。满五唯一，无欠款,岭南名居 -东沟岭,3室2厅 | 126平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 8天以前发布,88,"6,985元/平"
5号地铁口 证件齐全 带车位 精装朝南 可拎包入住,昌泰尊府 -北湖南,3室2厅 | 89平米 | 东 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 6天以前发布,90,"10,113元/平"
龙光·水悦龙湾 2室1厅 东南,龙光·水悦龙湾 -西大,2室1厅 | 81平米 | 东南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 7天以前发布,70,"8,642元/平"
急售 兴宁区 快环次新小区 精装房   中间楼层,龙基传媒星城 -东沟岭,4室2厅 | 116.6平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,98,"8,405元/平"
公园式小区，与狮山公园一路之隔，中低楼层，精装修,荣和山水绿城B1组团 -北湖南,4室2厅 | 115平米 | 南 | 简装 | 低楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,110,"9,566元/平"
产权清晰，户型方正，视野开阔，诚心出售,宁铁馨苑 -凤岭北,4室2厅 | 131.96平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,120,"9,094元/平"
临靠风岭儿童公园、琅东客运站、火车东站，青秀万达,凤岭在水一方 -凤岭北,2室2厅 | 90平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 3天以前发布,90,"10,000元/平"
采光通风好，户型布局合理，精装修风格漂亮,合景·天峻广场 -龙岗,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共36层)  | 塔楼,0人关注 / 6天以前发布,82,"9,214元/平"
此房楼层好，采光通风好，户型布局合理精装风格漂亮,合景·天峻广场 -龙岗,2室1厅 | 71平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,69,"9,719元/平"
保利爱琴海小区-老城区-正常首付-免双税-家具全带,保利爱琴海 -北湖北,5室2厅 | 138.85平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,130,"9,363元/平"
盛天熙园 150平大4房 精装保养好 可看江 高新+三十五,盛天熙园 -西大,4室2厅 | 150平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,156,"10,400元/平"
好近万象汇，北湖衡阳老城区，宜居楼层，总价好低,中国农业银行广西分行营业部培训中心宿舍 -北湖南,2室2厅 | 59.63平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 24天以前发布,48,"8,050元/平"
盛科城精装三房 户型通透  业主诚心出售,盛科城 -五象核心区,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 8天以前发布,160,"16,327元/平"
保利天悦台 108平 130万尽收价  采光充足 看房方便,天悦台 -凤岭南,4室2厅 | 108平米 | 南 | 其他 | 高楼层(共34层)  | 暂无数据,0人关注 / 8天以前发布,130,"12,038元/平"
业主急售 带装修价格 好商量     小区环境优美,龙光玖珑臺 -龙岗,4室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 3天以前发布,109,"9,910元/平"
户型方正 空气清晰通透 优质地铁口,碧园南城故事 -经开区,4室2厅 | 120.99平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,100,"8,266元/平"
公园住宅，南北双阳台，电梯房，3加1房，2梯3户,融晟公園大地A区 -五一路,4室2厅 | 109.61平米 | 南 北 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 3天以前发布,66,"6,022元/平"
市博物馆地铁口 精装大两房 视野好，业主诚心卖,江悦蓝湾 -五象核心区,2室2厅 | 64平米 | 东 东南 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 2天以前发布,85,"13,282元/平"
想要找近人民公园的2房砍看这套吧 花园小区诚心出售,香樟林 -东沟岭,2室1厅 | 82平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 26天以前发布,78,"9,513元/平"
2号地铁口，欧式园林，精装三房,恒大御景 -玉洞,3室2厅 | 93平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 13天以前发布,75,"8,065元/平"
一线江景房 无抵押 价格可以商量看房方便,阳光城半山湾 -仙葫,3室2厅 | 89平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 14天以前发布,78,"8,765元/平"
兴宁东 吾悦广场旁 联发尚筑入户花园三房 诚心出售,联发尚筑 -东沟岭,3室2厅 | 105平米 | 西南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 15天以前发布,110,"10,477元/平"
西大商圈  沃尔玛 地铁口 便宜小三房,正恒国际 -西大,3室1厅 | 72.8平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,74.5,"10,234元/平"
急售友爱路金之岛城市广场单间配套,金之岛城市广场住宅 -朝阳,1室0厅 | 41.75平米 | 东北 | 简装 | 中楼层(共23层)  | 塔楼,0人关注 / 11天以前发布,29,"6,947元/平"
五象东精装四房十户型方正业主急卖,合景·天峻广场 -龙岗,4室2厅 | 117平米 | 东南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,107,"9,146元/平"
此房，格局好 楼层好 视野开阔 出行方便,骋望珺玺 -五一路,3室2厅 | 87.81平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 9天以前发布,95,"10,819元/平"
总部基地地铁户型方正，中低楼层 居家大三房,金源一品 -五象核心区,3室2厅 | 98.95平米 | 东 | 简装 | 低楼层(共39层)  | 塔楼,0人关注 / 1个月以前发布,115,"11,623元/平"
保利山渐青 3室2厅 南 北,保利山渐青 -兴宁东,3室2厅 | 108.04平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 30天以前发布,80,"7,405元/平"
过五年 全新装修未入住 看房方便 即买即住,荣和公园大道 -凤岭北,4室2厅 | 131平米 | 南 | 精装 | 中楼层(共44层)  | 塔楼,0人关注 / 26天以前发布,235,"17,939元/平"
看房方便，双鞋笑，D铁口，品质社区,青溪府 -经开区,4室2厅 | 120.02平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 24天以前发布,130,"10,832元/平"
业主含泪出售中海悦公馆92平3房，竟然只卖90万！,中海悦公馆 -东沟岭,3室2厅 | 92平米 | 南 | 简装 | 低楼层(共46层)  | 平房,0人关注 / 21天以前发布,90,"9,783元/平"
小区正中位置，高层朝南大3房，户型方正实用,香格里拉花园 -凤岭北,3室2厅 | 137平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 20天以前发布,160,"11,679元/平"
。。。。小户型，低总价，近地铁口,金碧花园 -凤岭北,1室1厅 | 47平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 23天以前发布,66,"14,043元/平"
此房满五年 税费低 电梯中间楼层 户型方正采光好,同和华彩美地D区 -东沟岭,3室2厅 | 108.56平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 26天以前发布,82,"7,554元/平"
联发尚品 经典两房 户型方正 产权清晰 看房方便,联发·尚品 -仙葫,2室2厅 | 84平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,70,"8,334元/平"
振宁商厦 2室1厅 南,振宁商厦 -北湖南,2室1厅 | 61.8平米 | 南 | 简装 | 中楼层(共14层)  | 板塔结合,0人关注 / 29天以前发布,51,"8,253元/平"
五象湖 万科金域蓝湾 精装3房2卫 配套齐全 生活方便,万科金域蓝湾 -五象湖,3室2厅 | 89.08平米 | 东南 | 精装 | 低楼层(共21层)  | 塔楼,0人关注 / 19天以前发布,155,"17,401元/平"
广西一建五一生活区 2室1厅 南 北,广西一建五一生活区 -白沙星光,2室1厅 | 58.02平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,3人关注 / 1个月以前发布,29.5,"5,085元/平"
恒大绿洲精装两房，小区中间楼栋，满五唯一。,恒大绿洲 -大沙田,2室2厅 | 83.5平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 15天以前发布,66,"7,905元/平"
万科公园里4房2厅2卫 4号地铁线 万科物业,万科公园里 -五象文旅,4室2厅 | 122.84平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,147,"11,967元/平"
下楼就是地铁5号线站口，次新小区，总价就是低！,江宇世纪城 -北湖南,3室2厅 | 92.39平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 4个月以前发布,88,"9,525元/平"
总部基地 90平米居家三房 总价52万,好和家园 -五象核心区,3室2厅 | 90平米 | 东南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 9天以前发布,52,"5,778元/平"
海普四季绿城 3室2厅 南,海普四季绿城 -兴宁东,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 9天以前发布,65,"7,304元/平"
万丰新新传说 4室2厅 北,万丰新新传说 -龙岗,4室2厅 | 112.76平米 | 北 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 9天以前发布,84,"7,450元/平"
