标题,开发商,房子信息,发布信息,售价/万,单价
视野好，采光好，户型方正，配套设施齐全，交通便利,东海岸 -河东北区,4室2厅 | 120.2平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,10人关注 / 10个月以前发布,96,"7,987元/平"
花果山脚下电梯三室业装出售！直接拎包入住！,紫光尚城 -射洪县,3室2厅 | 108.6平米 | 东 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 7天以前发布,65.8,"6,059元/平"
君豪明月阳光 3室2厅 东,君豪明月阳光 -北门区,3室2厅 | 126平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,62.8,"4,985元/平"
楼层好 现浇房 户型方正 配套齐全,福瑞花园 -南门区,3室2厅 | 121平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,65,"5,372元/平"
聚园小区3室2厅交通便利小区环境干净卫生适合居住,聚园小区 -射洪县,3室2厅 | 118平米 | 东 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,46.6,"3,950元/平"
河东中 心地段，业主诚心出售，拎包入住,尚城澜庭 -河东北区,3室2厅 | 89.94平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 2天以前发布,118.6,"13,187元/平"
花果山脚下电梯三室业装出售！直接拎包入住！,紫光尚城 -射洪县,3室2厅 | 108.6平米 | 东 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 7天以前发布,65.8,"6,059元/平"
德胜小区 3室2厅 南,德胜小区 -射洪县,3室2厅 | 112平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 1天以前发布,67.5,"6,027元/平"
介福路派出所集资楼 3室3厅 南,介福路派出所集资楼 -西山路区,3室3厅 | 185平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 4天以前发布,89,"4,811元/平"
武警支队宿舍 4室2厅 东,武警支队宿舍 -西山路区,4室2厅 | 156.5平米 | 东 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,78,"4,985元/平"
房子满5唯一，户型方正，出脚好，看房便意。,老兴街45号 -市中区,2室2厅 | 81.2平米 | 东南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 4天以前发布,50,"6,158元/平"
东湖丽景     电梯   三房看夹江,东湖丽景 -河东北区,3室2厅 | 108平米 | 西北 | 其他 | 高楼层(共24层)  | 塔楼,0人关注 / 1天以前发布,119.8,"11,093元/平"
东湖上院中庭位置，4房双卫 小区园林环境幽美,邦泰东湖上院 -河东北区,4室2厅 | 112.61平米 | 东 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 5天以前发布,119,"10,568元/平"
敏捷·锦绣源著 3室2厅 南,敏捷·锦绣源著 -河东北区,3室2厅 | 89.5平米 | 南 | 其他 | 低楼层(共23层)  | 板塔结合,0人关注 / 1天以前发布,89,"9,945元/平"
香溪苑 3室2厅 东南,香溪苑 -北门区,3室2厅 | 140平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,75,"5,358元/平"
河东 奥城花园 精装两房 可伶包入住,奥城花园南区 -河东北区,2室2厅 | 76.6平米 | 东南 | 其他 | 低楼层(共23层)  | 塔楼,0人关注 / 6天以前发布,68,"8,878元/平"
正黄金域峰景 3室2厅 东南,正黄金域峰景 -河东北区,3室2厅 | 98平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,89.6,"9,143元/平"
敏捷锦绣源著叠拼花园别墅，有花园。,敏捷·锦绣源著 -河东北区,5室2厅 | 152.3平米 | 西南 | 精装 | 低楼层(共2层)  | 板塔结合,0人关注 / 2天以前发布,338,"22,194元/平"
此房满两年，产权在手，户型通透,保利江语城 -河东北区,3室2厅 | 100.3平米 | 东北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 6天以前发布,122.8,"12,244元/平"
富民小区(船山区) 2室2厅 东,富民小区(船山区) -河东南区,2室2厅 | 86.5平米 | 东 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,49.8,"5,758元/平"
精装两室，位置好，装修年轻，楼层好,书香美邸(船山区) -河东南区,2室2厅 | 82平米 | 东南 | 其他 | 高楼层(共22层)  | 塔楼,0人关注 / 5天以前发布,64.8,"7,903元/平"
春天大道3室毛坯出售，改造方便，户型方正，采光好,君豪春天大道 -河东南区,3室2厅 | 88.69平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,89.8,"10,126元/平"
精装三房，产权满两年，方便过户,机场小区A区 -物流港区,3室2厅 | 124平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,53,"4,275元/平"
业主诚心出售，有小区，停车不收费,西城花园 -物流港区,3室2厅 | 113.9平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,55.8,"4,900元/平"
金梅小区 3室2厅 东南,金梅小区 -南门区,3室2厅 | 160.8平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,66,"4,105元/平"
港城清水港湾 3室2厅 东北,港城清水港湾 -南门区,3室2厅 | 111平米 | 东北 | 其他 | 高楼层(共26层)  | 塔楼,0人关注 / 4天以前发布,91,"8,199元/平"
和平花园 步梯 3楼 3楼大三房拎包入住,和平花园二期 -市中区,3室2厅 | 151平米 | 西 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,70,"4,636元/平"
小区新色，停车方便，随时可以看房，房东诚心出售,东坡小区 -西山路区,3室1厅 | 89.02平米 | 东南 南 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 20天以前发布,40,"4,494元/平"
虹桥路287号两室一厅，配套成熟。,虹桥路287号 -射洪县,2室1厅 | 64.54平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 27天以前发布,26.8,"4,153元/平"
象山路清水两房 业主诚心出售，价格好谈,水库村 -未知商圈,2室2厅 | 80平米 | 东 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 16天以前发布,28,"3,500元/平"
电梯顶跃，四室两厅双卫带露天花园，视野开阔采光好,卓同英郡 -大英县,4室2厅 | 105平米 | 东南 | 其他 | 高楼层(共20层)  | 暂无数据,0人关注 / 7天以前发布,88.8,"8,458元/平"
人民医院小区 3室两厅老人 居住环境干净舒适 适合居住,人民医院小区 -射洪县,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,52,"4,334元/平"
阳光洺宅 3室2厅 东 西,阳光洺宅 -北门区,3室2厅 | 126.99平米 | 东 西 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,63.8,"5,025元/平"
时装厂宿舍3室2厅采光好房间房正，适合居住,时装厂宿舍 -射洪县,3室2厅 | 104.86平米 | 西南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,40,"3,815元/平"
城南低首付，户型方正三室两厅双卫，证据齐全支持按揭,祥和苑 -射洪县,3室2厅 | 137.17平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,52.8,"3,850元/平"
紫薇苑   三室两厅一卫  简装  拎包入住  可按揭,紫薇苑 -射洪县,3室2厅 | 100平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,36.8,"3,680元/平"
祥和苑有小区物管可停大小车三室两厅双卫,祥和苑 -射洪县,3室2厅 | 126.09平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,59.8,"4,743元/平"
团结社区  三室两厅一阳台  拎包入住  可按揭,团结社区 -射洪县,3室2厅 | 104.01平米 | 东 西 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,39.8,"3,827元/平"
城北上河新城.精装三室，出行便利，适合居住,上河新城 -射洪县,3室2厅 | 149.5平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,59.8,"4,000元/平"
精装修，关门卖，拎包入住。。。,西瑞苑 -西山路区,3室2厅 | 159.4平米 | 西北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,93,"5,835元/平"
此房产权满2年，楼层好配套设施齐全，交通便利，,德胜西路128号 -市中区,4室2厅 | 146平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,67.4,"4,617元/平"
大英首座小区 交通便利 小区环境干净舒适 适合居住,大英首座 -大英县,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 8个月以前发布,79.8,"7,980元/平"
满两年，户型方正，采光充足，小区可停车,卫星桥小区 -市中区,3室2厅 | 137平米 | 西南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,58.8,"4,292元/平"
，出行方便。楼下菜市，海鲜市场。,二五金公司宿舍 -市中区,3室2厅 | 130平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,54,"4,154元/平"
此房是满五唯一采光充足配套设施齐全交通便利,盛世锦城 -南门区,2室2厅 | 75.49平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,46,"6,094元/平"
东山门 环保局宿舍 四室双卫 4楼  小区正在安电梯！！,环保局小区 -射洪县,4室2厅 | 137.5平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,56.8,"4,131元/平"
房屋户型方正通透，采光充足，可拎包入住！,景逸华府 -南门区,3室2厅 | 92.99平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,68,"7,313元/平"
电梯中层套二，户型方正采光好，视线开阔,南湖半岛 -物流港区,2室2厅 | 67.06平米 | 东 | 精装 | 中楼层(共30层)  | 塔楼,2人关注 / 一年前发布,51.4,"7,665元/平"
石油公司宿舍 2室2厅 南,石油公司宿舍 -南门区,2室2厅 | 72.7平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,32,"4,402元/平"
仁湖花园2期 有产权 带车位出售业主诚心出售 价格可谈,仁湖花园二期 -蓬溪县,3室2厅 | 95.35平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 一年前发布,35,"3,671元/平"
花园小区，产权两年，精装修，带品牌家俱家用电关门卖,东海岸 -河东北区,3室2厅 | 129平米 | 东 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,82,"6,357元/平"
老城电梯房中层，精装三室，房屋新色，楼层佳采光好,一品鼎城 -大英县,3室2厅 | 98平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,61.8,"6,307元/平"
此房为要3层，精装修，中式风格！,书香美邸(船山区) -河东南区,7室4厅 | 221.38平米 | 东南 | 精装 | 高楼层(共19层)  | 塔楼,7人关注 / 一年前发布,210,"9,486元/平"
中铁尚城二期郦苑 3室2厅 西南,中铁尚城二期郦苑 -河东北区,3室2厅 | 89平米 | 西南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 15天以前发布,99,"11,124元/平"
河东 保利养生谷五房 顶跃 可以按揭,保利养生谷一期洋房 -河东南区,5室2厅 | 160.71平米 | 东南 | 毛坯 | 高楼层(共10层)  | 塔楼,0人关注 / 16天以前发布,146,"9,085元/平"
西山路 精装四房二厅二卫 业主诚心出售 看房方便,安监局宿舍 -西山路区,4室2厅 | 171平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,85.6,"5,006元/平"
小区有单位办公人员，海绵工程已做配套齐全，住家安静,和平西路186号 -市中区,3室2厅 | 106.15平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,43.8,"4,127元/平"
商务区 金港国际 精装电梯三房 商圈配套齐全,金港国际 -市中区,3室2厅 | 128平米 | 北 | 其他 | 中楼层(共30层)  | 塔楼,2人关注 / 一年前发布,88.8,"6,938元/平"
中铁四房 门口步行街 河东口碑开发商开发 诚心出售,尚城雅庭 -河东北区,4室2厅 | 115平米 | 东 | 毛坯 | 低楼层(共18层)  | 塔楼,3人关注 / 一年前发布,107,"9,305元/平"
满五不唯一，采光通透，楼层好，视野宽阔，配套齐全,都市风景 -西山路区,3室2厅 | 84平米 | 东南 南 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,62,"7,381元/平"
阳光丽城小区交通便利 小区环境干净舒适 适合居住,阳光丽城 -大英县,3室2厅 | 121平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,63.6,"5,257元/平"
城南首付10万，拎包入住！总价低证件齐,华玲公寓 -射洪县,3室2厅 | 123.75平米 | 东 东南 | 简装 | 中楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,50,"4,041元/平"
业主诚心出售，北门精装电梯顶跃,渠河北路398号 -北门区,4室3厅 | 259平米 | 南 | 精装 | 高楼层(共9层)  | 暂无数据,1人关注 / 7个月以前发布,142.2,"5,491元/平"
大平方江景房户型方正，采光充足,南滨帝景B区 -南门区,3室2厅 | 134.22平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 5个月以前发布,145,"10,804元/平"
世代阳光 北门江景好房 出行方便,君豪世代阳光 -北门区,3室2厅 | 128.65平米 | 东 南 | 其他 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,80.8,"6,281元/平"
北门三桥旁上江城电梯中层精装三房户型方正随时看房,盛世上江城 -北门区,3室2厅 | 133.12平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,85,"6,386元/平"
凯东路299号2-2-1-1 86.16m²,凯东路299号 -南门区,2室2厅 | 86.16平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,36.6,"4,248元/平"
嘉禾桥荣兴怡景 大四房中间楼层小区环境优美带车库,荣兴怡景 -北门区,4室2厅 | 155平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,85,"5,484元/平"
配套齐全，家具家电齐全，直接拎包入住。,嘉禾西路2巷14-4号 -北门区,3室2厅 | 107平米 | 西南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,51.8,"4,842元/平"
天宫庙近，菜市场楼上，价格便宜，面积大,天宫庙村三社 -南门区,3室2厅 | 100.1平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,36,"3,597元/平"
商务区 城市之心 精装修大三室，保养新色，配套成熟,瑞泽城市之心 -市中区,3室2厅 | 123.23平米 | 东南 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 一年前发布,93.8,"7,612元/平"
教育方便 小区环境好 户型方正,永明南湖逸景 -南门区,3室2厅 | 109.22平米 | 西南 | 精装 | 中楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,75,"6,867元/平"
沱牌西门小区 3室2厅 东,沱牌西门小区 -射洪县,3室2厅 | 127.68平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,42.8,"3,353元/平"
太中  三室两厅  简装 拎包入住 可按揭,人民街57号 -射洪县,3室2厅 | 79.63平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,36.7,"4,609元/平"
3室2厅 交通便利 小区环境 干净舒适 适合居住；,蚕丝公司宿舍 -射洪县,3室2厅 | 127.17平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,43.8,"3,445元/平"
解放上街107号3室2厅 交通便利   适合居住   配套完善,解放上街107号 -射洪县,3室2厅 | 100平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,28,"2,800元/平"
富泰苑  三室两厅双卫  拎包入住 可按揭,富泰苑 -射洪县,3室2厅 | 120.19平米 | 东 | 精装 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,48,"3,994元/平"
城北小区房，低楼层，房东亲自买材料装修，关门卖,信合小区 -射洪县,3室3厅 | 142.78平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 9个月以前发布,59.8,"4,189元/平"
此房满2年，楼层好视野开阔，采光足,遂宁花园未来城 -北门区,3室2厅 | 130.84平米 | 北 | 简装 | 低楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,88.7,"6,780元/平"
房子为精装修，保养新色，家具家电齐全，,和平公寓 -市中区,3室2厅 | 136平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,56,"4,118元/平"
北门 干道旁 花园小区 户型方正 采光好 出行方便,荣兴花园 -北门区,3室2厅 | 134.71平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 11个月以前发布,65,"4,826元/平"
阳光丽城小区交通便利 小区环境干净舒适 适合居住,阳光丽城 -大英县,3室2厅 | 121平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,63.6,"5,257元/平"
城南首付10万，拎包入住！总价低证件齐,华玲公寓 -射洪县,3室2厅 | 123.75平米 | 东 东南 | 简装 | 中楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,50,"4,041元/平"
此房可以看江 这个价格带车位 满两年 视野开阔,君豪世代阳光 -北门区,3室2厅 | 126.32平米 | 东南 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,82.8,"6,555元/平"
桂园三室两厅双卫，居住舒适，地理位置优越。,桂园 -射洪县,3室2厅 | 141平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,52,"3,688元/平"
满五不唯一，采光通透，楼层好，视野宽阔，配套齐全,都市风景 -西山路区,3室2厅 | 84平米 | 东南 南 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,62,"7,381元/平"
中铁四房 门口步行街 河东口碑开发商开发 诚心出售,尚城雅庭 -河东北区,4室2厅 | 115平米 | 东 | 毛坯 | 低楼层(共18层)  | 塔楼,3人关注 / 一年前发布,107,"9,305元/平"
此房满两年了税费不贵业主诚心出售价格可以商谈江景房,南滨帝景一期 -南门区,4室2厅 | 175平米 | 东南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 13天以前发布,169.8,"9,703元/平"
精装修 洋房 花园式小区 保养较好,荣兴遂州新城 -河东南区,2室2厅 | 80.1平米 | 东南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,97.8,"12,210元/平"
南滨帝景一期 3室2厅 东南,南滨帝景一期 -南门区,3室2厅 | 91平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 13天以前发布,85,"9,341元/平"
三江花园，已经安装电梯，5楼，出行读书便利。,三江花园 -射洪县,3室2厅 | 131.04平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 一年前发布,65,"4,961元/平"
荣兴遂州新城 3室2厅 南,荣兴遂州新城 -河东南区,3室2厅 | 90平米 | 南 | 其他 | 中楼层(共28层)  | 板塔结合,0人关注 / 13天以前发布,88.8,"9,867元/平"
滨江花园 江景房 三室两厅 双卫 精装修 拎包入住,滨江花园 -射洪县,3室2厅 | 110.8平米 | 东 | 精装 | 高楼层(共28层)  | 暂无数据,3人关注 / 一年前发布,78.8,"7,112元/平"
城北小区 3室2厅 户型方正 拎包入住,同仁路181附1号 -射洪县,3室2厅 | 131.61平米 | 北 | 简装 | 中楼层(共7层)  | 平房,0人关注 / 1个月以前发布,45.8,"3,480元/平"
户型方正 精装修 楼层适中 采光好  拎包入住,世纪商城 -射洪县,4室2厅 | 150平米 | 东 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,63,"4,200元/平"
此房满两年 双证齐全 户型方正采光,翠谷地小区 -北门区,3室2厅 | 89平米 | 东北 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,40.8,"4,585元/平"
南门大两房，小区绿化好，居住舒适,龙坪新居B区 -未知商圈,2室2厅 | 95.05平米 | 东南 南 西南 北 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,29.8,"3,136元/平"
安河嘉苑电梯房地处紫云公园品质小区,安河嘉苑 -射洪县,4室2厅 | 177.09平米 | 东 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,82.8,"4,676元/平"
滨江中路人事局宿舍 跃层2跃3  精装大4房带地暖带车库,盐关东街110号 -北门区,4室3厅 | 232.99平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,198,"8,499元/平"
低首付+北门+滨江路+大平层+小区物管,荣兴丽苑 -北门区,3室2厅 | 134.13平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,80,"5,965元/平"
盛世上江城 2室2厅 东南,盛世上江城 -北门区,2室2厅 | 81平米 | 东南 | 简装 | 高楼层(共30层)  | 塔楼,0人关注 / 16天以前发布,61.5,"7,593元/平"
金港名都精装大三房 拎包入住 业主支持按揭 随时可,金港名都北区 -市中区,3室2厅 | 121.84平米 | 东南 | 其他 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,90,"7,387元/平"
城北大小区 电梯  两室 南北向  拎包入住,明珠城北小区 -射洪县,2室2厅 | 75.8平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,37.8,"4,987元/平"
蓝图御府现浇小区房，正三室双卫，新装未入住，可按揭,蓝图御府 -大英县,2室2厅 | 83平米 | 西南 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 10个月以前发布,46.8,"5,639元/平"
业主急售，蓝光中装3房，看房方便户型方正,蓝光香江国际一期 -北门区,3室2厅 | 80.12平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,78.8,"9,836元/平"
盐井广场  三室两厅双卫  精装修 拎包入住,在水一方山水滨江社区 -射洪县,3室2厅 | 110平米 | 东 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,89.6,"8,146元/平"
明月路现交精装,君豪明月阳光 -北门区,3室2厅 | 97.1平米 | 西南 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,45,"4,635元/平"
新城小区房   好楼层 精装修 3室 房东诚心出售,明星小区 -大英县,3室2厅 | 146平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,48.6,"3,329元/平"
城北大小区.户型方正 采光好 可以拎包入住,滨江河畔北区 -射洪县,3室2厅 | 105平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 15天以前发布,89,"8,477元/平"
育才教师公寓小区交通便利 小区环境干净舒适 适合居住,育才中学教师公寓 -大英县,3室2厅 | 131平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,49.8,"3,802元/平"
香溪新城 总价低 首付低 大三房 户型方正 诚售,香溪新城 -北门区,3室2厅 | 123.23平米 | 西 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,68,"5,519元/平"
介福桥水务局宿舍市单价4000多,遂宁市水利局宿舍 -北门区,3室2厅 | 112.3平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,52,"4,631元/平"
此房带车位 户型布局合理 业主诚心出售,金科集美嘉悦琥珀组团 -河东北区,4室2厅 | 123.62平米 | 东南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 13天以前发布,98,"7,928元/平"
保利江语城  精装修  真跃层  全江景 带车位,保利江语城 -河东北区,4室2厅 | 115平米 | 东北 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 10天以前发布,182,"15,827元/平"
保利江语城 3室2厅 西北,保利江语城 -河东北区,3室2厅 | 100.3平米 | 西北 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 10天以前发布,118,"11,765元/平"
金港名都北区2室2厅交通便利小区环境干净舒适,金港名都北区 -市中区,2室2厅 | 81平米 | 东 | 简装 | 高楼层(共7层)  | 塔楼,11人关注 / 一年前发布,45.8,"5,655元/平"
房子业主急卖，适合三代同堂居住。装修保养好,城市日记 -市中区,5室2厅 | 160平米 | 东 南 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 4个月以前发布,112,"7,000元/平"
师校旁 富源居 大三房 生活配套齐全 交通便利,富源居南区 -南门区,3室2厅 | 118.8平米 | 北 | 精装 | 低楼层(共6层)  | 塔楼,3人关注 / 一年前发布,65,"5,472元/平"
大户型小区房 地理位置好  出行方便  价可议,府苑小区 -大英县,3室3厅 | 148平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,48,"3,244元/平"
交通便利 小区环境干净舒适 适合居住,正黄金域香江 -射洪县,3室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,72.8,"8,180元/平"
公园口电梯房  带装修 价格实惠 满两年,辰基时代领邸 -市中区,3室2厅 | 110.14平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 17天以前发布,68.8,"6,247元/平"
此房户型方正 动静分区 配套成熟 宜居,敏捷·锦绣源著 -河东北区,4室2厅 | 122平米 | 东南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 13天以前发布,108,"8,853元/平"
三室两厅     带一个小的书房,大于中学小区 -射洪县,3室2厅 | 125.02平米 | 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,46,"3,680元/平"
繁荣公寓位于紫云公寓右面射高旁边花园小区,诚信花园繁荣公寓 -射洪县,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,60,"5,310元/平"
公园口电梯房  带装修 价格实惠 满两年,辰基时代领邸 -市中区,3室2厅 | 110.14平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 17天以前发布,68.8,"6,247元/平"
此房户型方正 动静分区 配套成熟 宜居,敏捷·锦绣源著 -河东北区,4室2厅 | 122平米 | 东南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 13天以前发布,108,"8,853元/平"
交通便利 小区环境干净舒适 适合居住,正黄金域香江 -射洪县,3室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,72.8,"8,180元/平"
此房带车位 户型布局合理 业主诚心出售,金科集美嘉悦琥珀组团 -河东北区,4室2厅 | 123.62平米 | 东南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 13天以前发布,98,"7,928元/平"
房子业主急卖，适合三代同堂居住。装修保养好,城市日记 -市中区,5室2厅 | 160平米 | 东 南 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 4个月以前发布,112,"7,000元/平"
保利江语城 3室2厅 西北,保利江语城 -河东北区,3室2厅 | 100.3平米 | 西北 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 10天以前发布,118,"11,765元/平"
保利江语城  精装修  真跃层  全江景 带车位,保利江语城 -河东北区,4室2厅 | 115平米 | 东北 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 10天以前发布,182,"15,827元/平"
金港名都北区2室2厅交通便利小区环境干净舒适,金港名都北区 -市中区,2室2厅 | 81平米 | 东 | 简装 | 高楼层(共7层)  | 塔楼,11人关注 / 一年前发布,45.8,"5,655元/平"
香溪苑 六跃七的房子 步梯精装修,香溪苑 -北门区,4室2厅 | 170.69平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,85,"4,980元/平"
