标题,开发商,房子信息,发布信息,售价/万,单价
步行街小两室带装修；无高税；    产权在手,三公街9号 -北湖公园,2室1厅 | 48.5平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,28,"5,774元/平"
镇泰路，电梯，大户型，房东诚心出售,顺达新村 -西山风景区,4室2厅 | 153.38平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,10人关注 / 5个月以前发布,48.8,"3,182元/平"
电梯6+1洋房顶跃，实得200多平米，两层，带楼顶花园。,阳光·白马城 -白马湖,4室2厅 | 93.84平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,1人关注 / 5个月以前发布,84.5,"9,005元/平"
柳林路小区 4-2-1-2 173.41m² 56.8 万 停车方便,柳林路53号 -金泉路,4室2厅 | 173.41平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,20人关注 / 一年前发布,56.6,"3,264元/平"
顺庆主城区，生活配套齐全，交通便利。,南充市审计局宿舍 -西山风景区,4室2厅 | 160平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,65,"4,063元/平"
白土坝三房诚心买看起了价格好谈哈,白土坝路9号院 -火车站,4室2厅 | 110平米 | 东南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 3天以前发布,58,"5,273元/平"
凯旋城耗装6+1花园洋房顶跃 带双露台+空中花园,鸿升凯旋城 -市政新区,4室2厅 | 116平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,82,"7,069元/平"
一楼带大花园 装修好九成新，朝东，小区中庭,蓝光·香江国际 -南门坝,3室2厅 | 122.7平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 3天以前发布,135,"11,003元/平"
楼层好，视野开阔，采光充足，配套设施齐全，交通便利,逸合山语城 -江东大道,4室1厅 | 113.65平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 24天以前发布,95,"8,359元/平"
电梯洋房顶跃  楼顶花园、露台齐备  改善的你值得拥有,逸合山语城 -江东大道,4室2厅 | 141.39平米 | 西 | 毛坯 | 高楼层(共6层)  | 塔楼,1人关注 / 24天以前发布,98,"6,932元/平"
顺庆区和平路正规3室楼层低适合养老居住隔壁就是校园,和平巷39号 -火车站,3室1厅 | 62.28平米 | 南 北 | 简装 | 低楼层(共7层)  | 平房,0人关注 / 17天以前发布,30.8,"4,946元/平"
瑞露嘉都大平层精装大四房 小区环境好,瑞露嘉都 -南门坝,4室2厅 | 178.5平米 | 东南 | 精装 | 低楼层(共16层)  | 塔楼,0人关注 / 18天以前发布,126,"7,059元/平"
视野宽阔，采光好，两层带花园，交通便利,格兰春天 -南门坝,4室2厅 | 171.17平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 16天以前发布,89,"5,200元/平"
南湖凯旋广场 精装一楼带花园 看房方便,南湖凯旋广场 -南湖,3室2厅 | 92.4平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,76,"8,226元/平"
滨江大道电梯房精装修 有小院子 门卫,杨家巷47号 -滨江大道,3室2厅 | 106平米 | 东南 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 6天以前发布,60,"5,661元/平"
成色很新很新，采光视野好，旁边配套齐。,星宇·城南家园 -嘉陵广场,3室1厅 | 123平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,66,"5,366元/平"
火车北站 高铁南充 带一大平台可以灵活运用 诚心急售,春天花城 -南充北站,3室2厅 | 93.94平米 | 东南 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,51.6,"5,493元/平"
春天花城 3室1厅 东南,春天花城 -南充北站,3室1厅 | 81.56平米 | 东南 | 其他 | 低楼层(共13层)  | 板塔结合,0人关注 / 3天以前发布,66.6,"8,166元/平"
毛坯。。格局无任何改动。。使用面积很大,蝶院 -江东大道,4室1厅 | 146平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,84.5,"5,788元/平"
精装三房，功能齐全，环境优美，即买即住。,阳光西山翰林 -白马湖,3室2厅 | 90平米 | 东南 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 6天以前发布,80,"8,889元/平"
和平西路52号 4室2厅 南 北,和平西路52号 -火车站,4室2厅 | 143.38平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,6人关注 / 6个月以前发布,59,"4,115元/平"
位置好，经典户型，生活配套成熟，农贸市场和商场,龙兴花园 -嘉陵广场,3室2厅 | 117平米 | 东南 | 其他 | 低楼层(共7层)  | 塔楼,0人关注 / 8天以前发布,53,"4,530元/平"
裕民苑 3室2厅 东南,裕民苑 -西山风景区,3室2厅 | 108.95平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2天以前发布,52,"4,773元/平"
市政新区 2T2户 通透性和采光都很好 户型也好,春风·玫瑰园 -市政新区,4室2厅 | 128平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 7天以前发布,115,"8,985元/平"
塞维利亚 3室1厅 东南,塞维利亚 -市政新区,3室1厅 | 114平米 | 东南 | 其他 | 高楼层(共5层)  | 板塔结合,0人关注 / 6天以前发布,69.8,"6,123元/平"
民和花园  小区中庭  抬高1楼  可做美容会所 住家两用,民和花园 -西山风景区,3室2厅 | 149.08平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,7人关注 / 8个月以前发布,63,"4,226元/平"
北干道大润发楼上正规三房，精装修,龙吟锦城 -延安路,3室2厅 | 91平米 | 东南 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 6天以前发布,68,"7,473元/平"
成熟地段，配套齐全，价格很实在了..房东诚心卖.,鹤鸣路352号 -川东北金融中心,2室2厅 | 94平米 | 东 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 4天以前发布,24,"2,554元/平"
紫御荣庭二期 3室2厅 东南,紫御荣庭二期 -安汉广场,3室2厅 | 95.39平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 5天以前发布,59,"6,186元/平"
嘉陵区 天庐复式楼中楼 精装修 拎包入住 随时看房,天庐二区 -南湖,4室3厅 | 164平米 | 东南 | 精装 | 高楼层(共6层)  | 塔楼,12人关注 / 一年前发布,109.5,"6,677元/平"
农科所大院 3室2厅 东,农科所大院 -西山运动场,3室2厅 | 121.88平米 | 东 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 4天以前发布,45,"3,693元/平"
公务员小区 三室两卫 南北通透格局合理,杏林小区 -市政新区,3室2厅 | 119平米 | 西南 东北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 6天以前发布,86,"7,227元/平"
澜台府清水3房急售。有钥匙。随时看房。,领地蘭台府 -市政新区,3室2厅 | 91平米 | 东 | 其他 | 高楼层(共21层)  | 暂无数据,0人关注 / 3天以前发布,68,"7,473元/平"
中航城清水三房 带双平台  诚心出售,南充恒大中航城 -清泉坝,3室1厅 | 85平米 | 东南 | 其他 | 低楼层(共31层)  | 塔楼,0人关注 / 9天以前发布,73.4,"8,636元/平"
单位宿舍房，房型方正，两房出售,陈寿路印染厂宿舍 -西山风景区,2室1厅 | 58.23平米 | 东北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,21.8,"3,744元/平"
成熟地段，配套齐全，价格很实在了..房东诚心卖.,鹤鸣路352号 -川东北金融中心,2室2厅 | 94平米 | 东 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 4天以前发布,24,"2,554元/平"
人民花园旁错层大四房带楼顶花园,人民中路177号 -北湖公园,4室2厅 | 144.78平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,31人关注 / 一年前发布,43.3,"2,991元/平"
耀目小区 3室2厅 西南,耀目小区 -嘉陵广场,3室2厅 | 124.43平米 | 西南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4天以前发布,42,"3,376元/平"
农科所大院 3室2厅 东,农科所大院 -西山运动场,3室2厅 | 121.88平米 | 东 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 4天以前发布,45,"3,693元/平"
市政新区 塞维利亚 花园洋房 大露台 实的一百多平,塞维利亚 -市政新区,3室2厅 | 74.73平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 3个月以前发布,54,"7,227元/平"
恒大绿洲 3室1厅 南,恒大绿洲 -市政新区,3室1厅 | 83平米 | 南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 1天以前发布,66,"7,952元/平"
公务员小区 三室两卫 南北通透格局合理,杏林小区 -市政新区,3室2厅 | 119平米 | 西南 东北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 6天以前发布,86,"7,227元/平"
交投置地上河湾三期 3室2厅 东南,交投置地上河湾三期 -川东北金融中心,3室2厅 | 113平米 | 东南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 4天以前发布,75,"6,638元/平"
上河湾电梯精装三房，下中坝地段，配套设施完善,交投置地·上河湾一期 -川东北金融中心,3室2厅 | 94.6平米 | 东南 东 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 3天以前发布,79.5,"8,404元/平"
房子干净整洁，装修好，无高税、实木家具,翠堤小筑 -白土坝,7室2厅 | 216.29平米 | 东南 南 | 精装 | 高楼层(共7层)  | 暂无数据,23人关注 / 10个月以前发布,74.6,"3,450元/平"
天玺湾纯江景别墅，带双层花园，可适当改建,碧桂园天玺湾 -文峰,6室3厅 | 249平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,480,"19,278元/平"
总共8层 车库可厅3辆车 花园面积200平  使用面积400平,阳光江山金岸小区 -江东大道,6室1厅 | 193平米 | 东南 | 毛坯 | 5层  | 塔楼 | 联排别墅 ,15人关注 / 8个月以前发布,230,"11,918元/平"
联排别墅带三个车位 基础改建60W已完工软装风格可自选,逸合山语城 -江东大道,8室3厅 | 158.19平米 | 东南 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,12人关注 / 一年前发布,270,"17,069元/平"
南荣路小雪旁嘉陵玫瑰 电梯高层带露台 并带一个小房间,嘉州玫瑰花园 -嘉陵广场,2室2厅 | 70.36平米 | 东北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 15天以前发布,46,"6,538元/平"
状元小区地中海蓝电梯中间楼层精装套二妈妈不用接s,地中海蓝 -嘉陵广场,2室1厅 | 78平米 | 东南 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 16天以前发布,48,"6,154元/平"
万科金润华府三期，一楼带花园，军事化物业,万科·金润华府三期 -川东北金融中心,4室2厅 | 121平米 | 东南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,85,"7,025元/平"
市政新区 为数不多的顶跃 小高层 房东急售,春风·玫瑰园 -市政新区,6室1厅 | 155平米 | 东 | 其他 | 高楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,158,"10,194元/平"
丝绸路，四房，二楼，位置好，生活方便,金丰小区 -西门市场,4室2厅 | 187平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,64.8,"3,466元/平"
此房视野宽阔，在小区中庭位置 满2年无高税,佳兆业君汇上品 -白土坝,8室1厅 | 148平米 | 东 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,162,"10,946元/平"
科苑街165号 2室1厅 东南,科苑街165号 -西门市场,2室1厅 | 86.6平米 | 东南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 18天以前发布,40,"4,619元/平"
房子户型方正，采光好，配套成熟,红花街80号 -金泉路,3室2厅 | 83平米 | 东南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 16天以前发布,36.5,"4,398元/平"
小区清水房可任意装修，并带30多平方的大露台,环峰公寓 -西山风景区,3室2厅 | 132平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 16天以前发布,54,"4,091元/平"
大盘小区、白土坝幼儿园和师院附、舞凤山公园,佳兆业君临 -白土坝,3室1厅 | 93.23平米 | 东 | 毛坯 | 低楼层(共27层)  | 塔楼,0人关注 / 15天以前发布,80,"8,581元/平"
三公街 电梯房 正规大三房 五中、五小后面,三公街68号 -北湖公园,3室1厅 | 127平米 | 东南 | 其他 | 中楼层(共10层)  | 板楼,0人关注 / 16天以前发布,62.8,"4,945元/平"
一梯两户环境舒适南北通透产权清晰,雍锦半岛 -清泉坝,4室2厅 | 126.69平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,1人关注 / 15天以前发布,125,"9,867元/平"
新上优质好房，装修漂亮，业主急售，,恒大中航城二期 -清泉坝,3室1厅 | 95平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 10天以前发布,91.8,"9,664元/平"
地段好，西山风景区近，采光好，九 中，十 中近,西苑小区 -西山风景区,2室1厅 | 72.6平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 8天以前发布,26,"3,582元/平"
凤垭山旁 户型方正大四房 品质小区,悦麓名邸 -南湖,4室2厅 | 116平米 | 东南 | 毛坯 | 中楼层(共22层)  | 塔楼,0人关注 / 11天以前发布,70,"6,035元/平"
高坪三桥头主城区位置，精装大三房，全新装修,建设人家 -王府井,3室1厅 | 115平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,68,"5,914元/平"
人民北路111号 3室1厅 西南,人民北路111号 -人民花园,3室1厅 | 68.81平米 | 西南 | 精装 | 中楼层(共8层)  | 平房,0人关注 / 13天以前发布,30,"4,360元/平"
此房有小区，有门卫，安保完善  有院  有绿化,金丰小区 -西门市场,3室2厅 | 110平米 | 东南 | 简装 | 中楼层(共8层)  | 平房,0人关注 / 12天以前发布,49,"4,455元/平"
春天花城电梯房洋房，套三双卫，还带车位。,春天花城 -南充北站,3室1厅 | 88平米 | 东南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 11天以前发布,60,"6,819元/平"
西山，龙川半岛，业主自住电梯房，全精装修 保护完好,龙川半岛 -西山风景区,3室2厅 | 114.02平米 | 东南 | 精装 | 低楼层(共19层)  | 塔楼,0人关注 / 14天以前发布,87.9,"7,710元/平"
尚城明珠 3室2厅 东南,尚城明珠 -白土坝,3室2厅 | 91平米 | 东南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 10天以前发布,67.8,"7,451元/平"
金鱼岭花园延安巷好楼层2楼诚心出售,延安巷45号 -延安路,3室2厅 | 83.94平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 15天以前发布,31,"3,694元/平"
江东大道临江小区！离医院、市场、商场、银行位置优越,蝶院 -江东大道,3室1厅 | 88.9平米 | 东南 | 简装 | 高楼层(共26层)  | 塔楼,0人关注 / 13天以前发布,60,"6,750元/平"
滨江天地 3室2厅 南,滨江天地 -市政新区,3室2厅 | 90平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 8天以前发布,89,"9,889元/平"
双女石公园 电梯中间楼层 精装大3房 无高税,鸿升凯旋城 -市政新区,3室1厅 | 95.61平米 | 东南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 14天以前发布,85,"8,891元/平"
大盘小区绿化好 户型方正 价格实惠，配套成熟,碧桂园 -文峰,3室2厅 | 105平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,62,"5,905元/平"
市政府新区精装修 配套齐全 看房方便,金色愿景·东苑 -市政新区,3室1厅 | 122平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,75,"6,148元/平"
水岸花都 正规三房 通风优佳 南高三小旁,水岸花都 -西山风景区,3室1厅 | 111平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,47,"4,235元/平"
江景房，户型方正，采光好，配套齐全，看房方便,天來豪庭 -江东大道,2室1厅 | 97平米 | 西南 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,75,"7,732元/平"
江东大道 清水大套三 采光视野通风好 看房方便,江都华宸东苑 -江东大道,3室2厅 | 103.95平米 | 西 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 9天以前发布,64.8,"6,234元/平"
阳光白马城二区精装三房双厅双卫,阳光白马城二区 -白马湖,3室2厅 | 85平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 12天以前发布,64,"7,530元/平"
悠山丽景洋房三楼，带平台出售，户型方正,悠山丽景 -华凤,3室1厅 | 101.2平米 | 东南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 11天以前发布,57,"5,633元/平"
市政府保利旁边，公务员小区，大四房，看房方便,清泉小区东区 -市政新区,4室2厅 | 187平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,110,"5,883元/平"
绿地城黄今楼层，精装套四，无高税，看中庭。,绿地城上海滩花园一区 -南充北站,4室2厅 | 106平米 | 东南 西南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 8天以前发布,88.8,"8,378元/平"
航空大道 精装修，东航首座，套三拎包入住,东航首座 -江东大道,3室2厅 | 90.63平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,47,"5,186元/平"
高坪芯华诺国际，配套完善，产权清晰，装修精致。,华诺国际一区 -王府井,2室1厅 | 84.52平米 | 西南 | 精装 | 低楼层(共18层)  | 塔楼,17人关注 / 一年前发布,60,"7,099元/平"
罗曼威森 3室2厅 东南,罗曼威森 -西山运动场,3室2厅 | 93.33平米 | 东南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,69,"7,394元/平"
此房位于五星花园及人民花园交汇处   2003年的房子,九道拐小区 -滨江大道,3室2厅 | 78.71平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 一年前发布,33,"4,193元/平"
房东精装房，户型方正，大盘小区，配套齐全,南湖凯旋广场 -南湖,3室2厅 | 96.3平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,3人关注 / 一年前发布,81.6,"8,474元/平"
房子户型方正，采光好，现浇电梯房,罗曼威森 -西山运动场,3室2厅 | 93.04平米 | 西北 | 其他 | 中楼层(共17层)  | 塔楼,0人关注 / 一年前发布,65.8,"7,073元/平"
清泉坝 楼中楼来袭 带一个私家生活阳台 环境很好,蓝光COCO香江一期三区 -清泉坝,4室2厅 | 85平米 | 南 | 毛坯 | 低楼层(共37层)  | 塔楼,12人关注 / 一年前发布,87.6,"10,306元/平"
楼顶搭了彩钢棚 种菜养花 支持按揭,什字上街70号 -五星花园,3室2厅 | 95.41平米 | 东南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,31.98,"3,352元/平"
大盘小区绿化好 户型方正 价格实惠 配套成熟,碧桂园 -文峰,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,56,"5,774元/平"
精装三房 拎包入住  中间楼层 .,蓝光COCO香江一期二区 -清泉坝,3室2厅 | 68.62平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,67,"9,764元/平"
精装三房 拎包入住  中间楼层 .,蓝光COCO香江一期二区 -清泉坝,3室2厅 | 68.62平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,67,"9,764元/平"
江山金岸毛坯三房带家电，临江近，居住好地方,阳光江山金岸小区 -江东大道,3室2厅 | 73.23平米 | 东南 | 毛坯 | 低楼层(共26层)  | 塔楼,3人关注 / 一年前发布,48.2,"6,583元/平"
大盘小区绿化好 户型方正 价格实惠 配套成熟,碧桂园 -文峰,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,56,"5,774元/平"
金鸿城归谷，清水顶楼跃层，空中别墅，带楼顶大平台！,金鸿城·归谷 -市政新区,3室2厅 | 78平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,12人关注 / 一年前发布,76,"9,744元/平"
嘉陵主城坤隆花园 南高 四小，三楼，房东诚心出售,坤隆花园 -嘉陵广场,3室2厅 | 127.18平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,68.8,"5,410元/平"
中南世纪电梯大三房双卫、小区中庭不临街、产权车位,中南·世纪城 -清泉坝,3室2厅 | 123.02平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 塔楼,24人关注 / 一年前发布,94.6,"7,690元/平"
急售，柏林春天四楼精装，视野开阔无遮挡，朝小区中庭,柏林春天 -市政新区,3室2厅 | 97平米 | 东 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,75,"7,732元/平"
电梯房，户型通透，装修好，采光好,鸿泰小区 -西山风景区,2室2厅 | 79.79平米 | 东南 西北 | 简装 | 中楼层(共8层)  | 板楼,4人关注 / 5个月以前发布,41,"5,139元/平"
十中旁，好楼层，大套二。配套齐全，生活方便,稻香新村 -西山风景区,2室2厅 | 82.48平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,39,"4,729元/平"
果城路区政府院 正规三房 不临街 中间楼层 诚心出售,果城路区政府院 -人民花园,3室2厅 | 92.11平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,21人关注 / 一年前发布,58.8,"6,384元/平"
价格低，配套成熟，交通便利。购物方便。,金绩街17号 -金泉路,3室2厅 | 117.31平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 一年前发布,45,"3,836元/平"
急售 急售 急售 江东大道 清水大三室,江东帝景 -江东大道,3室2厅 | 96.68平米 | 东北 | 毛坯 | 高楼层(共18层)  | 塔楼,15人关注 / 一年前发布,63,"6,517元/平"
西山为伴，西河围绕，电梯智能化小区，正规套二精装修,龙川半岛 -西山风景区,2室1厅 | 86平米 | 东 东南 南 西南 | 精装 | 低楼层(共19层)  | 塔楼,3人关注 / 10个月以前发布,66,"7,675元/平"
慢城八岛，洋房中间楼层房东诚心出售,泰合慢城八岛 -江东大道,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,73.8,"6,898元/平"
本房处于顺庆模范街，格局优越，朝向好、中间楼层,模范街103号 -滨江大道,3室1厅 | 87.67平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,54,"6,160元/平"
大北街一 中，大北街小 学，很方便,大北街农贸市场 -滨江大道,3室2厅 | 118平米 | 东 | 简装 | 高楼层(共9层)  | 板楼,3人关注 / 一年前发布,50,"4,238元/平"
品质洋房6＋1电梯，单价7千，巴适得很，中庭位置,逸合山语城 -江东大道,3室2厅 | 108.29平米 | 东南 | 毛坯 | 中楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,76,"7,019元/平"
城市繁华处，优美大社区。装修挺实用，拎包就入住。,新东豪园二区 -安汉广场,3室2厅 | 118.84平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,60,"5,049元/平"
精装齐全，采光很好！小区中间，很好停车。,翠堤小筑 -白土坝,3室2厅 | 117.75平米 | 西南 | 精装 | 低楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,63.8,"5,419元/平"
急售蓝光二区品质大盘小区电梯中间楼层价*还可以谈,蓝光香江国际二期三区 -西山风景区,3室2厅 | 95.17平米 | 东南 南 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,65.6,"6,893元/平"
房主首套住宅 白土坝  小区安静  精装套三 拧包入住,云庐 -华凤,3室1厅 | 101平米 | 东 | 精装 | 高楼层(共25层)  | 塔楼,3人关注 / 6个月以前发布,68,"6,733元/平"
小区生活很方便，小区读书方便，,稻香新村 -西山风景区,3室2厅 | 93.82平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,37,"3,944元/平"
西山风景区真镇泰路，大三室，有地下车库，要按电梯,南充市教育局机关大院 -西山风景区,3室2厅 | 132.26平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,50.8,"3,841元/平"
大盘小区环境好，户型方正.邻里关系好，人文素养高,天庐二区 -南湖,3室2厅 | 128平米 | 东南 | 其他 | 低楼层(共6层)  | 塔楼,2人关注 / 一年前发布,117,"9,141元/平"
状元小区可享专项加芬围墙之隔就是三小南高看小区中庭,锦通·满庭芳 -西山风景区,3室2厅 | 91.7平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,2人关注 / 5个月以前发布,68,"7,416元/平"
户型方正，采光好，视野好，不临街，有电梯,罗曼威森 -西山运动场,3室2厅 | 93.33平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,61,"6,536元/平"
房子是清水的三房，小区中挺，中间楼层，看房方便,金科集美天宸 -清泉坝,3室2厅 | 88.93平米 | 东南 | 简装 | 低楼层(共33层)  | 塔楼,1人关注 / 一年前发布,67.5,"7,591元/平"
顺庆 电梯单位房 正规大三房三卫 诚心出售 随时看房,民政局宿舍 -火车站,4室2厅 | 150平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,15人关注 / 一年前发布,50.6,"3,374元/平"
嘉陵主城电梯中间楼层 ，精装修，采光好，房东急售,九洲名苑 -嘉陵广场,3室2厅 | 95.7平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼,2人关注 / 5个月以前发布,69.8,"7,294元/平"
房子位于五星花园天赐名店户型方正，出行购物方便,文化路152号 -五星花园,4室2厅 | 135.4平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,50,"3,693元/平"
白马湖洋房带车位诚心出售....,美宇悦庭 -白马湖,4室2厅 | 119.73平米 | 南 | 毛坯 | 中楼层(共10层)  | 塔楼,30人关注 / 一年前发布,67,"5,596元/平"
满二无高税 地中海风格 遇上Te别的你 等你实地探索,天來豪庭 -江东大道,2室2厅 | 97.29平米 | 西南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 6个月以前发布,76.8,"7,894元/平"
顺庆主城 清泉坝·中南世纪城  三房一卫 户型方正,中南·世纪城 -清泉坝,3室2厅 | 88.14平米 | 东南 | 毛坯 | 中楼层(共26层)  | 塔楼,18人关注 / 一年前发布,79.8,"9,054元/平"
品质小区正规三室，精装修，可以拎包入住,南门壹号 -西山风景区,3室2厅 | 105.41平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 5个月以前发布,70.8,"6,717元/平"
嘉陵主城区，正规三室两厅，采光效果好,乐居小区 -西山风景区,3室2厅 | 107平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,34.4,"3,215元/平"
望城坡公务员小区，清水三房，诚心卖,天禾嘉泰 -江东大道,3室2厅 | 120平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 3个月以前发布,78,"6,500元/平"
江景房  江景房  江景房，视野很好  诚心出售,泰合·鹭岛江岸 -江东大道,3室1厅 | 104平米 | 西南 | 毛坯 | 高楼层(共31层)  | 塔楼,15人关注 / 8个月以前发布,64,"6,154元/平"
地中海蓝4+1洋 房 三楼三室两厅两卫 简单装修,地中海蓝 -嘉陵广场,3室2厅 | 135平米 | 东南 | 简装 | 中楼层(共4层)  | 板楼,6人关注 / 7个月以前发布,78,"5,778元/平"
嘉陵区 陈寿公园旁 精装大三房 中间楼层 随时看房,香洲郡 -嘉陵广场,3室2厅 | 108.68平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,61.8,"5,687元/平"
