标题,开发商,房子信息,发布信息,售价/万,单价
盛和园 3室2厅 东南,盛和园 -赤坎开发区,3室2厅 | 102平米 | 东南 | 毛坯 | 中楼层(共36层)  | 塔楼,0人关注 / 29天以前发布,133,"13,040元/平"
湛化第二宿舍区 2室2厅 南,湛化第二宿舍区 -工农片区,2室2厅 | 58平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,35,"6,035元/平"
泰汇广场，精装三房，电梯直达，拎包入住,泰汇广场 -工农片区,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 7个月以前发布,76,"8,540元/平"
卫校宿舍 3室2厅 南,卫校宿舍 -寸金片区,3室2厅 | 90.78平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 2个月以前发布,46,"5,068元/平"
东海置业 2室2厅 东,东海置业 -海滨片区,2室2厅 | 90平米 | 东 | 精装 | 低楼层(共9层)  | 板楼,2人关注 / 2个月以前发布,60,"6,667元/平"
碧绿花园 少有户型放出 此价格少有 手快就有错过心痛,建实碧绿花园二期 -湿地公园片区,2室2厅 | 81平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,6人关注 / 一年前发布,85,"10,494元/平"
华盛城市花园 4室2厅 南,华盛城市花园 -金城片区,4室2厅 | 101平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,34人关注 / 一年前发布,149,"14,753元/平"
麻章税务局宿舍 3室2厅 东南,麻章税务局宿舍 -海滨片区,3室2厅 | 120平米 | 东南 | 精装 | 高楼层(共9层)  | 板塔结合,1人关注 / 2个月以前发布,62,"5,167元/平"
新园路15号 3室1厅 东南,新园路15号 -国贸中心区,3室1厅 | 68平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,43,"6,324元/平"
此房业主诚心出售随时签约，看房方便，户型方正,建实碧绿花园二期 -湿地公园片区,3室2厅 | 87平米 | 西南 | 精装 | 低楼层(共29层)  | 板楼,5人关注 / 一年前发布,87,"10,000元/平"
海静小区 2室2厅 东,海静小区 -海滨片区,2室2厅 | 83.32平米 | 东 | 简装 | 中楼层(共9层)  | 板塔结合,5人关注 / 8个月以前发布,53,"6,362元/平"
山海华府 3室1厅 东南,山海华府 -城市假日片区,3室1厅 | 112平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,155,"13,840元/平"
椹川大道南2号 2室2厅 东南,椹川大道南2号 -国贸中心区,2室2厅 | 64平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,40,"6,250元/平"
锦绣华景一二期 2室2厅 南,锦绣华景一二期 -城市假日片区,2室2厅 | 70平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 4个月以前发布,60,"8,572元/平"
南亚郦都三期 3室2厅 东南,南亚郦都三期 -麻章区,3室2厅 | 124平米 | 东南 | 精装 | 低楼层(共26层)  | 板塔结合,2人关注 / 2个月以前发布,60,"4,839元/平"
繁华地段 2、小区环境优美3、交通方便,明润城市花园 -南站片区,2室2厅 | 75平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,2人关注 / 1个月以前发布,66,"8,800元/平"
清晖嘉园 4室2厅 东南,清晖嘉园 -赤坎开发区,4室2厅 | 107平米 | 东南 | 精装 | 中楼层(共31层)  | 塔楼,2人关注 / 1个月以前发布,126,"11,776元/平"
江南世家 2室2厅 南,江南世家 -城市假日片区,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 1个月以前发布,94,"10,562元/平"
华新小区 3室2厅 东,华新小区 -南站片区,3室2厅 | 72平米 | 东 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,40,"5,556元/平"
金豪嘉苑 3室2厅 东,金豪嘉苑 -南站片区,3室2厅 | 76平米 | 东 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,68,"8,948元/平"
保利宸悦三房厅出阳台 采光好 ，小区环境好，物业贴心,保利宸悦 -工农片区,3室2厅 | 95.47平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,5人关注 / 3个月以前发布,89,"9,323元/平"
证过5年 唯一住宅 业主置换房诚心出售,保利·原景花园 -工农片区,3室2厅 | 99.5平米 | 南 | 精装 | 低楼层(共40层)  | 塔楼,6人关注 / 3个月以前发布,89,"8,945元/平"
单价7千电梯房明景花园138平方精装修三房急售99万99万,明景花园 -城市假日片区,3室2厅 | 138平米 | 东 | 精装 | 低楼层(共13层)  | 塔楼,7人关注 / 一年前发布,99,"7,174元/平"
繁华地段 、小区环境优美 、物业管理规范,澳园 -城市假日片区,2室2厅 | 83平米 | 南 | 简装 | 高楼层(共10层)  | 板塔结合,0人关注 / 1个月以前发布,83,"10,000元/平"
西粤京基城  带精装修 税费少看房方便 业主急售,西粤京基城 -赤坎开发区,2室1厅 | 78.76平米 | 北 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,93,"11,809元/平"
新春大楼 1室1厅 东,新春大楼 -北桥片区,1室1厅 | 36平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,12人关注 / 9个月以前发布,17.5,"4,862元/平"
十五小，三楼，通风好，交通方便，购物方便，配套完善,纸箱厂宿舍 -百园片区,2室2厅 | 68平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 4个月以前发布,40,"5,883元/平"
水岸观邸 2室2厅 南,水岸观邸 -东风片区,2室2厅 | 86.24平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,6人关注 / 4个月以前发布,58,"6,726元/平"
人民大道南96号 2室2厅 南,人民大道南96号 -国贸中心区,2室2厅 | 70.87平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,39.8,"5,616元/平"
哇！百园低楼层3房月供2100,工商局宿舍（东园路9号） -百园片区,3室2厅 | 104.6平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,1人关注 / 1个月以前发布,59.95,"5,732元/平"
标准两房，户型方正，交通便利，配套成熟,南亚郦都四期 -麻章区,2室2厅 | 73平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,52,"7,124元/平"
方圆云山诗意，2房2厅，新装修，业主诚心出售。,方圆云山诗意 -赤坎开发区,2室2厅 | 73平米 | 东北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,78,"10,685元/平"
大德路129号 1室1厅 东南,大德路129号 -百园片区,1室1厅 | 35平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,22,"6,286元/平"
房子户型小，便于出租，居住环境舒适。,兴华广场 -金城片区,1室1厅 | 42.8平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,45,"10,515元/平"
金色华庭 1室0厅 南,金色华庭 -城市美林片区,1室0厅 | 49.8平米 | 南 | 精装 | 低楼层(共12层)  | 板塔结合,0人关注 / 3个月以前发布,32,"6,426元/平"
锦绣华景一二期 1室1厅 南,锦绣华景一二期 -城市假日片区,1室1厅 | 45平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,6人关注 / 5个月以前发布,33,"7,334元/平"
业主诚心出售随时签约，看房方便。,颐和花园 -城市美林片区,2室1厅 | 66.16平米 | 西南 | 简装 | 中楼层(共12层)  | 塔楼,21人关注 / 一年前发布,42,"6,349元/平"
粮食局宿舍 3室2厅 西南,粮食局宿舍 -国贸中心区,3室2厅 | 87.69平米 | 西南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,38,"4,334元/平"
此房满五唯一，户型方正，小区空气好，近公园，..,富虹上游城 -百园片区,3室2厅 | 152平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合,4人关注 / 4个月以前发布,110,"7,237元/平"
地段好、手快就有！旁边商场、医疗、教育,金碧花园 -城市美林片区,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,55,"5,790元/平"
华盛城市花园 6室2厅 南,华盛城市花园 -金城片区,6室2厅 | 131平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 9天以前发布,165,"12,596元/平"
泰汇广场 3室2厅 东南,泰汇广场 -工农片区,3室2厅 | 120平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 10天以前发布,100,"8,334元/平"
金海湾二期 4室2厅 东南,金海湾二期 -金城片区,4室2厅 | 255平米 | 东南 | 其他 | 低楼层(共34层)  | 塔楼,1人关注 / 8天以前发布,285,"11,177元/平"
业主诚心出售，急售，楼层好，户型优，配套成熟,保利·原景花园 -工农片区,4室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共40层)  | 塔楼,0人关注 / 15天以前发布,118,"9,753元/平"
盛和园 4室2厅 南,盛和园 -赤坎开发区,4室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 7天以前发布,175,"14,463元/平"
金怡城市花园E区二期 4室2厅 南,金怡城市花园E区二期 -城市假日片区,4室2厅 | 100平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 5天以前发布,138,"13,800元/平"
盛和园 4室2厅 南,盛和园 -赤坎开发区,4室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 6天以前发布,180,"14,877元/平"
中交龙海名都 3室2厅 东南,中交龙海名都 -赤坎开发区,3室2厅 | 93.5平米 | 东南 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 14天以前发布,105,"11,230元/平"
鼎能•东盟城 3室2厅 东,鼎能•东盟城 -京基片区,3室2厅 | 130平米 | 东 | 精装 | 高楼层(共31层)  | 塔楼,7人关注 / 10个月以前发布,122,"9,385元/平"
恒怡湾 4室1厅 东南,恒怡湾 -京基片区,4室1厅 | 118平米 | 东南 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 10天以前发布,155,"13,136元/平"
人和春天花园 5室2厅 南,人和春天花园 -赤坎开发区,5室2厅 | 146.87平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,0人关注 / 13天以前发布,205,"13,958元/平"
御景珺庭A区 3室2厅 东,御景珺庭A区 -赤坎开发区,3室2厅 | 120平米 | 东 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 11天以前发布,172,"14,334元/平"
看南国公园景观房，采光充足，通风效果好,南國豪苑 -赤坎开发区,4室2厅 | 106.55平米 | 北 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 14天以前发布,173,"16,237元/平"
万达旁精装小三房 业主诚意出售,恒大帝景 -赤坎开发区,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 2天以前发布,160,"14,286元/平"
江南世家 4室2厅 东南,江南世家 -城市假日片区,4室2厅 | 151平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 8天以前发布,200,"13,246元/平"
景界A区 4室2厅 北 南,景界A区 -城市假日片区,4室2厅 | 160平米 | 北 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 2天以前发布,130,"8,125元/平"
蓝海丽舍 3室2厅 南,蓝海丽舍 -金沙湾片区,3室2厅 | 143平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 5天以前发布,260,"18,182元/平"
金茂大厦3-2-1-2 160.00m²  出入方便,金茂大厦 -国贸中心区,3室2厅 | 160平米 | 西南 | 简装 | 中楼层(共29层)  | 板楼,0人关注 / 7天以前发布,160,"10,000元/平"
金科世家，靓户型，通风采光好，业主诚心出售！,金科世家 -南站片区,4室2厅 | 123平米 | 东 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 26天以前发布,123,"10,000元/平"
金沙湾三期海天园 5室2厅 东南,金沙湾三期海天园 -金沙湾片区,5室2厅 | 250平米 | 东南 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,220,"8,800元/平"
城市假日A区 6室2厅 南 东北,城市假日A区 -城市假日片区,6室2厅 | 256平米 | 南 东北 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 17天以前发布,256,"10,000元/平"
泰汇广场 5室2厅 东,泰汇广场 -工农片区,5室2厅 | 150平米 | 东 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 15天以前发布,110,"7,334元/平"
城市印象花园 3室2厅 东,城市印象花园 -赤坎开发区,3室2厅 | 127平米 | 东 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 15天以前发布,190,"14,961元/平"
公园一号 3室2厅 南,公园一号 -赤坎开发区,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 31天以前发布,156,"13,566元/平"
海景视野！君临海岸 华装3房 外地发展急售有钥匙看！,君临海岸 -金沙湾片区,3室2厅 | 131平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 29天以前发布,218,"16,642元/平"
雅居乐 全景看市政公园 大平层 两梯两户,雅居乐雍逸廷 -京基片区,5室2厅 | 198平米 | 东南 | 精装 | 低楼层(共31层)  | 暂无数据,1人关注 / 30天以前发布,350,"17,677元/平"
民大蓝海峰境 4室2厅 东,民大蓝海峰境 -鼎盛片区,4室2厅 | 150平米 | 东 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 18天以前发布,205,"13,667元/平"
君临世纪 4室2厅 东南,君临世纪 -京基片区,4室2厅 | 129平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,200,"15,504元/平"
招商国际邮轮城 4室2厅 东南,招商国际邮轮城 -赤坎开发区,4室2厅 | 123.15平米 | 东南 | 精装 | 低楼层(共37层)  | 暂无数据,0人关注 / 31天以前发布,200,"16,241元/平"
东盟城少有正四房全新毛坯诚意出售,鼎能•东盟城 -京基片区,4室2厅 | 102平米 | 东南 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 24天以前发布,95,"9,314元/平"
万达海公馆 4室2厅 东南,万达海公馆 -赤坎开发区,4室2厅 | 150平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 18天以前发布,180,"12,000元/平"
恒俪湾 4室2厅 东南,恒俪湾 -城市假日片区,4室2厅 | 105平米 | 东南 | 简装 | 中楼层(共31层)  | 暂无数据,0人关注 / 27天以前发布,125,"11,905元/平"
实用四房、南北对流，业主诚心出售。,馨隆居 -城市美林片区,4室2厅 | 162平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 20天以前发布,158,"9,754元/平"
保利正规4房，高层采光不错，业主诚心出售，看房方便,保利·原景花园 -工农片区,4室2厅 | 126平米 | 北 南 | 精装 | 高楼层(共40层)  | 塔楼,1人关注 / 7个月以前发布,137,"10,874元/平"
盛和园 4室2厅 东,盛和园 -赤坎开发区,4室2厅 | 118平米 | 东 | 毛坯 | 中楼层(共37层)  | 板塔结合,0人关注 / 13天以前发布,175,"14,831元/平"
钰海豪庭 4室2厅 东,钰海豪庭 -东风片区,4室2厅 | 99平米 | 东 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 15天以前发布,120,"12,122元/平"
保利原景花园五房毛坯中高层东南向有匙看房方便,保利·原景花园 -工农片区,5室2厅 | 165平米 | 东南 | 毛坯 | 高楼层(共40层)  | 塔楼,5人关注 / 一年前发布,175,"10,607元/平"
此房户型方正，光线充足，业主诚心出售，随时可看房,保利·原景花园 -工农片区,4室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共40层)  | 塔楼,10人关注 / 一年前发布,118,"9,292元/平"
业主诚心出售，含小车位，看房方便,保利·原景花园 -工农片区,4室2厅 | 121.66平米 | 东 | 毛坯 | 低楼层(共40层)  | 塔楼,4人关注 / 一年前发布,125,"10,275元/平"
"视野开阔，布局方正，光线充足,带大阳台，看花园，",金海湾二期 -金城片区,4室2厅 | 144平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,6人关注 / 一年前发布,152,"10,556元/平"
保利原景 毛坯大四房 南北对流 业主诚心出售,保利·原景花园 -工农片区,4室2厅 | 138平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,2人关注 / 一年前发布,145,"10,508元/平"
保利原景花园 包车位 南向 采光通透 楼层好 视野方便,保利·原景花园 -工农片区,4室2厅 | 140.92平米 | 东 | 毛坯 | 中楼层(共33层)  | 塔楼,3人关注 / 一年前发布,150,"10,645元/平"
保利·原景花园 4室2厅 东南,保利·原景花园 -工农片区,4室2厅 | 140平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,10人关注 / 一年前发布,155,"11,072元/平"
君临世纪 5室2厅 东南,君临世纪 -京基片区,5室2厅 | 146平米 | 东南 | 毛坯 | 低楼层(共38层)  | 板塔结合,9人关注 / 6个月以前发布,215,"14,727元/平"
电梯房 小中高层 私密性好 诚意出售,海港新城 -坡头区,3室2厅 | 131平米 | 东南 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,85,"6,489元/平"
铭鹏紫荆府 中高层4房 随时看房,铭鹏紫荆府 -南站片区,4室2厅 | 87.35平米 | 北 | 毛坯 | 高楼层(共26层)  | 塔楼,3人关注 / 一年前发布,88,"10,075元/平"
繁华地段 2小区环境优美 3、物业管理规范 ，交通方便,时代君悦 -南站片区,4室2厅 | 107平米 | 东 | 毛坯 | 低楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,105,"9,814元/平"
光线充足，高层看湖，小区布局好,滨海园 -金沙湾片区,4室2厅 | 170.1平米 | 东南 | 毛坯 | 低楼层(共23层)  | 板塔结合,1人关注 / 11个月以前发布,239,"14,051元/平"
君临世纪 5室2厅 南 北,君临世纪 -京基片区,5室2厅 | 146.75平米 | 南 北 | 毛坯 | 中楼层(共37层)  | 板塔结合,0人关注 / 4个月以前发布,300,"20,443元/平"
您期待已久家园已经放出 城市尚居 少有4房 手快就有,城市尚居花园 -南站片区,4室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,120,"10,170元/平"
东山花园南区  毛坯大四房 业主诚心出售,东山花园南区 -南站片区,4室2厅 | 105.55平米 | 东 西南 西北 | 毛坯 | 中楼层(共21层)  | 暂无数据,0人关注 / 4个月以前发布,106,"10,043元/平"
泰汇广场 5室2厅 南,泰汇广场 -工农片区,5室2厅 | 149.52平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 10个月以前发布,150,"10,033元/平"
保利原景大四房，业主诚心出售，东南向，大阳台景观好,保利·原景花园 -工农片区,4室1厅 | 140平米 | 东南 | 毛坯 | 中楼层(共40层)  | 塔楼,1人关注 / 6个月以前发布,139,"9,929元/平"
铭鹏紫荆府 四房两卫 带大露台 看房方便！！！,铭鹏紫荆府 -南站片区,4室2厅 | 87平米 | 东 | 毛坯 | 低楼层(共23层)  | 暂无数据,2人关注 / 一年前发布,95,"10,920元/平"
南柳花園 4室2厅 东南,南柳花園 -南站片区,4室2厅 | 145平米 | 东南 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 一年前发布,78,"5,380元/平"
城市尚居  四房两厅 业主诚心出售 有钥匙随时看房！！,城市尚居花园 -南站片区,4室2厅 | 98平米 | 东 | 毛坯 | 低楼层(共21层)  | 板楼,0人关注 / 一年前发布,105,"10,715元/平"
城市尚居花园  通透四居室 中低楼层 随时能看房,城市尚居花园 -南站片区,4室1厅 | 86平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 塔楼,0人关注 / 一年前发布,108,"12,559元/平"
远洋城一期南北对流四房诚心出售,远洋城 -南站片区,4室2厅 | 123平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 9个月以前发布,111,"9,025元/平"
您期待已久房子 已经出炉 经典4房在现 手快就有,万洲花园二期 -国贸中心区,4室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 一年前发布,145,"11,329元/平"
海滨商住城 3室2厅 西北,海滨商住城 -七小片区,3室2厅 | 99.82平米 | 西北 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,49,"4,909元/平"
爱琴海国际广场 3室2厅 南 西北,爱琴海国际广场 -南站片区,3室2厅 | 108平米 | 南 西北 | 精装 | 中楼层(共24层)  | 暂无数据,1人关注 / 4个月以前发布,128,"11,852元/平"
绿景园林楼盘，温馨精装带大阳台，小区环境安静舒适,爱琴海国际广场 -南站片区,3室2厅 | 123平米 | 北 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,148,"12,033元/平"
"视野开阔，布局方正，面积实用，光线充足,带双阳台",君临世纪 -京基片区,4室2厅 | 127平米 | 东 | 毛坯 | 高楼层(共37层)  | 板塔结合,1人关注 / 11个月以前发布,188,"14,804元/平"
保利原景毛坯笋笋业主心态房东房子当初准备当自住使用,保利·原景花园 -工农片区,3室2厅 | 125平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,73人关注 / 一年前发布,109,"8,720元/平"
保利.原景花园满五年唯一，落地窗，格局方正，靠谱卖,保利·原景花园 -工农片区,4室2厅 | 140平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,7人关注 / 一年前发布,137,"9,786元/平"
湛江昌盛豪苑 中高楼层 得房率高 采光好,湛江昌盛豪苑 -湿地公园片区,4室2厅 | 119平米 | 南 | 毛坯 | 中楼层(共29层)  | 塔楼,3人关注 / 一年前发布,150,"12,606元/平"
区府小区 3室2厅 南,区府小区 -国贸中心区,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 8个月以前发布,93,"7,154元/平"
御景华府 4室2厅 东,御景华府 -赤坎开发区,4室2厅 | 116平米 | 东 | 毛坯 | 低楼层(共37层)  | 塔楼,1人关注 / 6个月以前发布,157,"13,535元/平"
繁华地段 2、小区环境优美 3、物业管理规范,保利·原景花园 -工农片区,4室2厅 | 126平米 | 东南 | 毛坯 | 低楼层(共40层)  | 塔楼,3人关注 / 一年前发布,128,"10,159元/平"
城市假日花园B区 顶楼复式 精装修大主卧,城市假日花园B区 -城市假日片区,3室2厅 | 147平米 | 北 | 精装 | 高楼层(共27层)  | 板塔结合,7人关注 / 11个月以前发布,170,"11,565元/平"
农垦供销大院（国贸） 3室2厅 东,农垦供销大院（国贸） -国贸中心区,3室2厅 | 98平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,78,"7,960元/平"
繁华地段 2、小区环境优美 3、物业管理规范,保利原宇花园 -工农片区,4室2厅 | 131平米 | 南 | 精装 | 高楼层(共39层)  | 塔楼,1人关注 / 一年前发布,145,"11,069元/平"
碧桂园海湾城一期 3室2厅 南,碧桂园海湾城一期 -金沙湾片区,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,138,"13,019元/平"
繁华地段 交通便利 看房方便 配套成熟,富兴小区 -东风片区,4室2厅 | 144.8平米 | 东 | 简装 | 高楼层(共9层)  | 板楼,5人关注 / 一年前发布,60,"4,144元/平"
保利原悦花园大四房，精装修，业主诚心出售，看房方便,保利·原悦花园 -工农片区,4室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 8个月以前发布,122,"9,532元/平"
繁华地段 2、小区环境优美 3、物业管理规范,保利原宇花园 -工农片区,4室2厅 | 131平米 | 南 | 精装 | 高楼层(共39层)  | 塔楼,1人关注 / 一年前发布,131,"10,000元/平"
繁华地段，小区环境优美，物业管理规范,保利·原景花园 -工农片区,3室2厅 | 99平米 | 西南 | 毛坯 | 低楼层(共33层)  | 塔楼,6人关注 / 一年前发布,100,"10,102元/平"
鼎盛商圈 全新毛坯三房 任君装修,民大蓝海峰境 -鼎盛片区,4室2厅 | 110.98平米 | 东 | 毛坯 | 低楼层(共32层)  | 塔楼,1人关注 / 8个月以前发布,156,"14,057元/平"
外贸局宿舍 4室3厅 东南,外贸局宿舍 -工农片区,4室3厅 | 137平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,48,"3,504元/平"
繁华地段 2、小区环境优美 3、物业管理规范,保利原宇花园 -工农片区,4室2厅 | 131平米 | 南 | 精装 | 高楼层(共39层)  | 塔楼,1人关注 / 一年前发布,131,"10,000元/平"
繁华地段，小区环境优美，物业管理规范,保利·原景花园 -工农片区,3室2厅 | 99平米 | 西南 | 毛坯 | 低楼层(共33层)  | 塔楼,6人关注 / 一年前发布,100,"10,102元/平"
金海湾二期户型方正 楼层恰好 位置安静 朝向好,金海湾二期 -金城片区,4室1厅 | 133平米 | 北 | 毛坯 | 低楼层(共30层)  | 塔楼,1人关注 / 一年前发布,150,"11,279元/平"
水木清华 6房大复式 花园小区 视野开阔 无遮挡 安静,水木清华 -鼎盛片区,6室3厅 | 300平米 | 东南 | 毛坯 | 高楼层(共11层)  | 板塔结合,17人关注 / 一年前发布,348,"11,600元/平"
京基片区笋盘 证过二税费少 采光景观很好,鼎能•东盟城 -京基片区,5室2厅 | 130平米 | 东南 | 精装 | 中楼层(共31层)  | 塔楼,21人关注 / 一年前发布,129,"9,924元/平"
华盛新城 低楼层 毛坯3房 南桥河边 空气清新,华盛新城 -金城片区,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共12层)  | 板塔结合,14人关注 / 一年前发布,115,"8,985元/平"
鑫海华庭正规三房 装修漂亮 光线充足,鑫海華庭 -海滨片区,3室2厅 | 154.57平米 | 西 | 精装 | 低楼层(共28层)  | 暂无数据,23人关注 / 一年前发布,103,"6,664元/平"
中基新城 3室2厅 南,中基新城 -国贸中心区,3室2厅 | 110平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,75,"6,819元/平"
东南朝向 独立电梯 精装交付 节省装修成本,碧桂园豪庭 -金城片区,3室2厅 | 123.89平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,9人关注 / 一年前发布,148,"11,947元/平"
碧桂园名门花园 4室1厅 东南,碧桂园名门花园 -鼎盛片区,4室1厅 | 143平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,185,"12,938元/平"
座北朝南，双阳台，前后无遮档，诚心出售。,金海湾二期 -金城片区,5室2厅 | 256平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,6人关注 / 10个月以前发布,270,"10,547元/平"
鼎盛广场商圈，大三房，有电车房，业主急售,霞山水产综合厂住宅区 -鼎盛片区,3室2厅 | 125平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,55,"4,400元/平"
保利原瑞大三房，业主诚心出售，南向大阳台景观好,保利原瑞花园 -东风片区,3室2厅 | 96.46平米 | 北 | 精装 | 低楼层(共33层)  | 暂无数据,5人关注 / 4个月以前发布,96,"9,953元/平"
建实碧绿花园二期 2室2厅 南,建实碧绿花园二期 -湿地公园片区,2室2厅 | 85平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,0人关注 / 6天以前发布,82,"9,648元/平"
荣基花园 3室1厅 东,荣基花园 -海滨片区,3室1厅 | 160平米 | 东 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 8天以前发布,200,"12,500元/平"
建实碧绿花园二期 4室2厅 南,建实碧绿花园二期 -湿地公园片区,4室2厅 | 132平米 | 南 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 3天以前发布,160,"12,122元/平"
龙凤花园 3室2厅 南,龙凤花园 -南站片区,3室2厅 | 70平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 3天以前发布,35,"5,000元/平"
