标题,开发商,房子信息,发布信息,售价/万,单价
伽蓝艺墅 2室2厅 南,伽蓝艺墅 -邯山区,2室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 15天以前发布,104,"9,044元/平"
中华北质监局小区，非顶层 大三居 南北通透 过户费低,质监局家属院 -丛台区,3室2厅 | 108.72平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,99,"9,106元/平"
光明大街农林路，交通便利，房龄新，满五唯一,光明园小区 -邯山区,6室2厅 | 200.08平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,200,"9,997元/平"
此房不满两年，包过户 ，楼层好，,紫薇苑小区 -丛台区,2室2厅 | 99.9平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,8人关注 / 一年前发布,88,"8,809元/平"
连城别苑分为别墅区，高层，小高，多层。,连城别苑悦龙庭 -丛台区,3室2厅 | 112.53平米 | 北 | 简装 | 中楼层(共33层)  | 暂无数据,1人关注 / 5个月以前发布,150,"13,330元/平"
南洋东苑小区 3室2厅 南 北,南洋东苑小区 -丛台区,3室2厅 | 96.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,86,"8,894元/平"
邯郸市邯山区粮食局家属院 4室2厅 南 北,邯郸市邯山区粮食局家属院 -邯山区,4室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,145,"10,662元/平"
天润东方绿城 4室2厅 南 北,天润东方绿城 -邯山区,4室2厅 | 196平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,260,"13,266元/平"
仁达锦苑 3室2厅 南 北,仁达锦苑 -丛台区,3室2厅 | 150平米 | 南 北 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,238,"15,867元/平"
此房户型方正，视野开阔无遮挡，采光好，业主诚意出售,育德花园北苑 -邯山区,3室2厅 | 127.85平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,14人关注 / 一年前发布,101,"7,900元/平"
2005年房龄 渚河路学  区  采光好 可做三居室,渚河路23号院 -邯山区,2室2厅 | 90.67平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,81,"8,934元/平"
邯运二号院 小区楼龄新 邯钢医院 邯山区实验小，学,运福院 -邯山区,3室2厅 | 103平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,98,"9,515元/平"
中华大街 贸易街115号院 南北通透户型,贸易街115号院 -邯山区,3室2厅 | 89.8平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,95,"10,580元/平"
金科碧桂园翡翠郡 5室2厅 南,金科碧桂园翡翠郡 -邯山区,5室2厅 | 268平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 5个月以前发布,210,"7,836元/平"
山川万里小区  农林路小 学  满二,万里小区 -邯山区,4室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,148,"8,810元/平"
成熟社区，经典三居，低楼层，南北通透，老证可贷款。,旭升园 -丛台区,3室1厅 | 87.47平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,115,"13,148元/平"
薛氏汽车大修厂家属院 3室3厅 南 北,薛氏汽车大修厂家属院 -邯山区,3室3厅 | 67.12平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,65,"9,685元/平"
这是个顶层，视野开阔，实际面积大，距离学,紫光苑 -邯山区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,96,"9,897元/平"
上都名苑！136平大三居！小区位置相当好！,上都名苑 -邯山区,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,160,"11,765元/平"
全明户型精装修 4室2厅 老证税费低 带地下室,家和小区B区 -丛台区,4室2厅 | 162.64平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,185,"11,375元/平"
军转干家属院 4室2厅 南 北,军转干家属院 -邯山区,4室2厅 | 138.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,125,"9,019元/平"
：本房近南门，出行方便，户型方正，业主诚心出售。,广厦小区 -丛台区,3室2厅 | 86.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,100,"11,535元/平"
美的城西侧 嘉苑小区 南湖公园美景 阔宅四居室,嘉苑小区 -邯山区,4室2厅 | 183.29平米 | 南 | 简装 | 低楼层(共12层)  | 板楼,0人关注 / 一年前发布,166,"9,057元/平"
拉德芳斯南区跃层 带平台、户型好楼上卧室带卫生间,美的.拉德芳斯南区 -丛台区,4室3厅 | 230平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,5人关注 / 一年前发布,300,"13,044元/平"
单价8千+颐景蓝湾 中间楼层 精装修大产权带车位地下室,颐景蓝湾 -邯山区,3室2厅 | 127.32平米 | 南 西 北 | 精装 | 高楼层(共28层)  | 暂无数据,3人关注 / 7个月以前发布,115,"9,033元/平"
：南北通透，无遮挡，采光好，精装房。,金碧苑南区 -邯山区,3室2厅 | 135平米 | 南 北 | 简装 | 中楼层(共29层)  | 板楼,3人关注 / 一年前发布,125,"9,260元/平"
广乐小区网通苑通透大三居邻天鸿育华05年房院内可停车,广乐小区网通苑 -丛台区,3室2厅 | 133平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,120,"9,023元/平"
天润东方绿城 4室3厅 南 北,天润东方绿城 -邯山区,4室3厅 | 195.19平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,210,"10,759元/平"
渚河小 学+27 中环境好，附 近配套设施齐全，交通便利,赵都新城金和园 -邯山区,4室2厅 | 161平米 | 南 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,168,"10,435元/平"
龙湖南门通达街通达名园中间层大四居好房出售,通达名园 -丛台区,4室2厅 | 155平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,192,"12,388元/平"
此房证满两年 小高层 顶层有大平台 固定车位,邯郸明珠花园B区 -邯山区,4室2厅 | 130.82平米 | 南 北 | 精装 | 高楼层(共13层)  | 平房,4人关注 / 一年前发布,158,"12,078元/平"
（龙旺名城3-2-1-2 128.48m² 128.48 万）,龙旺名城 -邯山区,3室2厅 | 128.48平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,128.48,"10,000元/平"
煤炭局家属院 3室2厅 南 北,煤炭局家属院 -邯山区,3室2厅 | 98.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,113,"11,473元/平"
此房为南北通透现房，大四居，精装修 有证可贷款。,金科碧桂园翡翠郡 -邯山区,4室2厅 | 145平米 | 南 北 | 精装 | 低楼层(共16层)  | 暂无数据,3人关注 / 一年前发布,120,"8,276元/平"
光明街 农林路 丽都苑小区 房龄新 好楼层,光明路丽都院 -邯山区,3室2厅 | 130平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,130,"10,000元/平"
颐景蓝湾小高层...精装修....可贷款.可全款...,颐景蓝湾 -邯山区,3室2厅 | 128.38平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,4人关注 / 一年前发布,117,"9,114元/平"
劳动路39号院 4室2厅 南 北,劳动路39号院 -邯山区,4室2厅 | 119平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,98,"8,236元/平"
明珠花园D区 经典大三居 带车库 看房方便,邯郸明珠花园D区 -邯山区,3室2厅 | 149.7平米 | 西北 | 简装 | 低楼层(共27层)  | 暂无数据,4人关注 / 一年前发布,150,"10,021元/平"
阿尔卡迪亚蓝天城 精装修 四居室,荣盛阿尔卡迪亚蓝天城 -邯山区,4室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,201,"11,965元/平"
上都名苑 3室2厅 南,上都名苑 -邯山区,3室2厅 | 135.76平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,149,"10,976元/平"
宏达圣水湖畔 3室2厅 南,宏达圣水湖畔 -邯山区,3室2厅 | 133平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,120,"9,023元/平"
户型方正，配套齐全，小区改造后环境更好,鑫鑫小区 -邯山区,3室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,100,"9,346元/平"
天水小区，一楼，落地窗三间地下室有车库农林路小雪,天水小区 -邯山区,4室2厅 | 139.92平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,4人关注 / 5个月以前发布,178,"12,722元/平"
荣盛阿尔卡迪亚蓝天城 3室2厅 南 北,荣盛阿尔卡迪亚蓝天城 -邯山区,3室2厅 | 134.45平米 | 南 北 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,148,"11,008元/平"
隆基泰和未来石！悦江府！南北通透！带车位！可贷款,美的悦江府 -邯山区,2室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共21层)  | 暂无数据,2人关注 / 8个月以前发布,130,"13,979元/平"
小区景观迷人，高品质邻里，奢华居住品质,东尚香樟园 -丛台区,4室3厅 | 278平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,550,"19,785元/平"
美庐 4室3厅 南 北,美庐 -丛台区,4室3厅 | 248平米 | 南 北 | 简装 | 5层  | 暂无数据 | 联排别墅 ,0人关注 / 1个月以前发布,500,"20,162元/平"
盛德园 经典三居室  南北通透  看房方便,德盛园小区 -丛台区,3室2厅 | 146平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,139,"9,521元/平"
美食林*市 空中花园小区 停车方便,空中花园 -邯山区,3室2厅 | 100.74平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,95,"9,431元/平"
房子干净卫生 可以拎包入住 配套齐全 楼层好采光好,广安小区 -丛台区,3室2厅 | 87平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,110,"12,644元/平"
贸易街53号院 南北通透 采光好 老证一套 有钥匙,贸易街53号院 -邯山区,3室2厅 | 94.54平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,84,"8,886元/平"
二十五中 建业小区小高层 双卫大三居 老证急售,建业小区 -丛台区,3室2厅 | 162.5平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,165,"10,154元/平"
精装修四居室，中间层，老证带小房，诚心出售。,中华南大街13号院 -邯山区,4室1厅 | 89.64平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,9人关注 / 一年前发布,83,"9,260元/平"
赵都新城盛和园 3室2厅 南 北,赵都新城盛和园 -邯山区,3室2厅 | 121平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,1人关注 / 8个月以前发布,120,"9,918元/平"
东环附  近，桃源山庄，复式，毛坯房，老证,桃源山庄 -邯山区,5室2厅 | 160.8平米 | 南 北 | 其他 | 高楼层(共9层)  | 暂无数据,3人关注 / 一年前发布,158,"9,826元/平"
光明街 农林路 丽都苑小区 房龄新 好楼层,光明路丽都院 -邯山区,3室2厅 | 130平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,130,"10,000元/平"
劳动路39号院 4室2厅 南 北,劳动路39号院 -邯山区,4室2厅 | 119平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,98,"8,236元/平"
颐景蓝湾小高层...精装修....可贷款.可全款...,颐景蓝湾 -邯山区,3室2厅 | 128.38平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,4人关注 / 一年前发布,117,"9,114元/平"
明珠花园D区 经典大三居 带车库 看房方便,邯郸明珠花园D区 -邯山区,3室2厅 | 149.7平米 | 西北 | 简装 | 低楼层(共27层)  | 暂无数据,4人关注 / 一年前发布,150,"10,021元/平"
阿尔卡迪亚蓝天城 精装修 四居室,荣盛阿尔卡迪亚蓝天城 -邯山区,4室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,201,"11,965元/平"
上都名苑 3室2厅 南,上都名苑 -邯山区,3室2厅 | 135.76平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,149,"10,976元/平"
宏达圣水湖畔 3室2厅 南,宏达圣水湖畔 -邯山区,3室2厅 | 133平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,120,"9,023元/平"
房子干净卫生 可以拎包入住 配套齐全 楼层好采光好,广安小区 -丛台区,3室2厅 | 87平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,110,"12,644元/平"
有小 学，附 近有中 学紧 邻人民路和浴新大街,煤气公司家属院 -邯山区,3室2厅 | 85平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,90,"10,589元/平"
同仁花园 跃层上下三层 四室两厅使用面积大精装老证,同仁花园 -邯山区,4室2厅 | 167平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,208,"12,456元/平"
天水小区，一楼，落地窗三间地下室有车库农林路小雪,天水小区 -邯山区,4室2厅 | 139.92平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,4人关注 / 5个月以前发布,178,"12,722元/平"
荣盛阿尔卡迪亚蓝天城 3室2厅 南 北,荣盛阿尔卡迪亚蓝天城 -邯山区,3室2厅 | 134.45平米 | 南 北 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,148,"11,008元/平"
隆基泰和未来石！悦江府！南北通透！带车位！可贷款,美的悦江府 -邯山区,2室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共21层)  | 暂无数据,2人关注 / 8个月以前发布,130,"13,979元/平"
运福院 3室1厅 东南 南,运福院 -邯山区,3室1厅 | 72.46平米 | 东南 南 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 5个月以前发布,75,"10,351元/平"
户型方正，配套齐全，小区改造后环境更好,鑫鑫小区 -邯山区,3室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,100,"9,346元/平"
邯郸明珠花园D区 3室2厅 西北,邯郸明珠花园D区 -邯山区,3室2厅 | 149.6平米 | 西北 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 5个月以前发布,160,"10,696元/平"
枫丹白露 刚需三室 老证可贷款 有钥匙视野开阔无遮挡,枫丹白露 -丛台区,3室2厅 | 122.17平米 | 东南 | 简装 | 高楼层(共33层)  | 塔楼,30人关注 / 8个月以前发布,110,"9,004元/平"
邯钢罗三生活区 好楼层 通透三居,邯钢罗三生活区 -邯山区,3室1厅 | 82平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,90,"10,976元/平"
大剧院龙湖旁通达街谊和苑三代同堂四居,谊和园 -丛台区,4室2厅 | 139平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,172,"12,375元/平"
恒大翡翠华庭 3室2厅 南 北,恒大翡翠华庭 -丛台区,3室2厅 | 134.85平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,160,"11,866元/平"
蔚庄市场一楼带院，小三室，随时可以看房,浴新北大街103号院 -丛台区,3室1厅 | 63平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,58,"9,207元/平"
恒大翡翠华庭 4室2厅 南 北,恒大翡翠华庭 -丛台区,4室2厅 | 149.23平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 3个月以前发布,187,"12,531元/平"
建元小区  低楼层  看房方便,建元小区 -丛台区,4室2厅 | 153平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,145,"9,478元/平"
百岭小区两室两厅90平米90万精装老证可贷款二楼,百岭小区 -复兴区,2室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,90,"10,000元/平"
荀子二 小  人和中 学 大三居 老证 税费低 带地下室,星城国际 -丛台区,3室2厅 | 64平米 | 南 北 | 其他 | 高楼层(共16层)  | 板楼,2人关注 / 3个月以前发布,120,"18,750元/平"
狮城阳光 3室2厅 南 北,狮城阳光 -丛台区,3室2厅 | 167平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,240,"14,372元/平"
有证可贷款 南北通透格局，房龄新，采光好，全明户型,丰逸小区 -复兴区,2室1厅 | 66平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,54,"8,182元/平"
邯郸明珠花园D区 3室2厅 南 北,邯郸明珠花园D区 -邯山区,3室2厅 | 185平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,210,"11,352元/平"
贸易路103号院 2室1厅 南,贸易路103号院 -邯山区,2室1厅 | 57.34平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,52,"9,069元/平"
赵苑，三十一处 一室可两室 精装 老证可贷款,中煤三十一小区 -复兴区,2室1厅 | 50平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,38,"7,600元/平"
机械厂社区二号院  低层 可贷款  精装修  看房方便,机械厂社区二号院 -复兴区,3室2厅 | 91.7平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,3人关注 / 一年前发布,65,"7,089元/平"
邯钢百三四生活区 2室1厅 南 北,邯钢百三四生活区 -复兴区,2室1厅 | 54.26平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,46,"8,478元/平"
电梯房 锦玉旁 金顶小区 老证 全阳面,金顶花园小区 -复兴区,2室2厅 | 95平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,0人关注 / 一年前发布,92,"9,685元/平"
丛台西路六二社区， 经典两居， 有证可贷款,铁三局六二社区 -复兴区,2室1厅 | 52.93平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,42,"7,936元/平"
好房源 价格优惠 高楼层 风景好！！！！！！！,美的.拉德芳斯南区 -丛台区,2室2厅 | 98平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,105,"10,715元/平"
招贤小区 好房出售  有公园 有菜市场,招贤小区西区 -丛台区,2室2厅 | 99.23平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,97,"9,776元/平"
新希望小区 2室2厅 南 北,新希望小区 -丛台区,2室2厅 | 102平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,98,"9,608元/平"
中华大街万达 永乐里小区 二层 65平 老三居 有证,永乐里小区 -丛台区,3室1厅 | 65平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,2人关注 / 一年前发布,68,"10,462元/平"
纺机家属院经典小三居，南北通透老证唯一,纺机家属院 -复兴区,3室1厅 | 62.67平米 | 东 西 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,51,"8,138元/平"
宝利花园 3室2厅 南 北,宝利花园 -复兴区,3室2厅 | 125.42平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,110,"8,771元/平"
天鸿商场 阳光小区三室两卫 带地下室可贷款,阳光小区 -丛台区,3室2厅 | 122平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,111,"9,099元/平"
南北通透； 阳光充足 没有浪费面积,美的.拉德芳斯南区 -丛台区,2室2厅 | 99.55平米 | 北 南 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,121,"12,155元/平"
铁西大街11号南院 2室2厅 南 北,铁西大街11号南院 -复兴区,2室2厅 | 67.15平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,62,"9,234元/平"
天悦名苑 3室2厅 南 北,天悦名苑 -邯山区,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,155,"11,482元/平"
香兰雅居 3室2厅 南 北,香兰雅居 -邯山区,3室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,132,"9,167元/平"
万达联防路旁工商银行春光院 76平三居室 老证可贷款,春光院 -丛台区,3室2厅 | 75.65平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,14人关注 / 一年前发布,75,"9,915元/平"
火车站康德 一楼 一楼 生活配套齐全 交通便利,矿务局家属院 -未知商圈,2室1厅 | 58平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,57,"9,828元/平"
光华苑一期三室两厅116.7平米108万南北通透老证可贷款,光華苑北区 -复兴区,3室2厅 | 116.7平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,101,"8,655元/平"
西环机械厂社区 南北通透 三居室 看房方便 有钥匙,机械厂社区1号院 -复兴区,3室2厅 | 102平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,16人关注 / 一年前发布,53,"5,197元/平"
香兰雅居 3室2厅 南 北,香兰雅居 -邯山区,3室2厅 | 144.16平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,125,"8,671元/平"
出售 常青巷4号院 2室 双气 简单装修 南北通透,常青巷4号院 -丛台区,2室1厅 | 52平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,49,"9,424元/平"
永和里小区好楼层老证可贷款诚心出售,永和里社区 -丛台区,2室1厅 | 49.53平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5个月以前发布,47,"9,490元/平"
华信山水文苑 2室2厅 南 北,华信山水文苑 -丛台区,2室2厅 | 109.1平米 | 南 北 | 精装 | 中楼层(共27层)  | 暂无数据,6人关注 / 6个月以前发布,70,"6,417元/平"
荣盛阿尔卡迪亚蓝天城 3室2厅 南 北,荣盛阿尔卡迪亚蓝天城 -邯山区,3室2厅 | 134.45平米 | 南 北 | 简装 | 中楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,142,"10,562元/平"
新欣佳苑小区 大型社区 火车站 南北通透户型 露台,新欣佳苑 -复兴区,2室1厅 | 69平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,45,"6,522元/平"
捡漏房 渚河路 小 学  27中 老证唯一可贷款,绿德源小区 -邯山区,2室1厅 | 68平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,59,"8,677元/平"
贸易街53号院 一楼带小房 南北通透 老证可贷款有钥匙,贸易街53号院 -邯山区,2室2厅 | 62.8平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,63,"10,032元/平"
金碧苑北区 96平 大两居 对口开元 好楼层 有钥匙,金碧苑北区 -邯山区,2室2厅 | 96.1平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,2人关注 / 3个月以前发布,72,"7,493元/平"
光华苑二期南院 2室1厅 南 北,光华苑二期南院 -复兴区,2室1厅 | 74.71平米 | 南 北 | 简装 | 高楼层(共18层)  | 暂无数据,6人关注 / 10个月以前发布,61,"8,165元/平"
嘉大如意 3室2厅 南,嘉大如意 -丛台区,3室2厅 | 137.74平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,135,"9,802元/平"
枫丹白露 多层洋房可贷款 带阁楼平台 看房方便,枫丹白露 -丛台区,2室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,160,"14,160元/平"
紫荆苑 4室2厅 南 北,紫荆苑 -邯山区,4室2厅 | 130.28平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,130,"9,979元/平"
东部美的城 3室2厅 南 北,东部美的城 -丛台区,3室2厅 | 114.59平米 | 南 北 | 精装 | 高楼层(共33层)  | 平房,2人关注 / 8个月以前发布,125,"10,909元/平"
邯山区实验 ，11中 中 心医院 邯钢医院阳光 菜市场,陵东街47号院 -邯山区,3室1厅 | 69平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,76,"11,015元/平"
和平路444号院 南北通透 楼层低 业主诚信出售,和平路444号 -丛台区,2室0厅 | 50平米 | 南 北 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,55,"11,000元/平"
此房老证，简装，前后无遮挡，采光好,美的.拉德芳斯南区 -丛台区,3室2厅 | 140平米 | 南 北 | 简装 | 高楼层(共27层)  | 塔楼,2人关注 / 一年前发布,168,"12,000元/平"
狮城阳光 经典大三局 买房找我利率低,狮城阳光 -丛台区,3室2厅 | 169平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,285,"16,864元/平"
汉成华都 南北三居室 精装带全套家具家电 看房方便,汉成华都 -丛台区,3室2厅 | 144平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,2人关注 / 8个月以前发布,155,"10,764元/平"
同仁花园 4室2厅 南 北,同仁花园 -邯山区,4室2厅 | 146.97平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,7人关注 / 一年前发布,133,"9,050元/平"
此房满五唯一 东西通透两居室 双阳台,滏东小区 -邯山区,2室1厅 | 54.44平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,59,"10,838元/平"
华天文苑 电梯房 3室2厅2卫 有证能贷 看房方便 好楼层,华天文苑 -邯山区,3室2厅 | 111.76平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,4人关注 / 11个月以前发布,95,"8,501元/平"
九塑家属院2-1-1-1 49.80m² 46.5 万,九塑家属院 -邯山区,2室1厅 | 49.8平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,32,"6,426元/平"
邯郸大学家属院 三居室 低楼层 户型虚,邯郸大学家属院 -邯山区,3室2厅 | 99平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 5个月以前发布,105,"10,607元/平"
德源小区 2室1厅 南 北,德源小区 -复兴区,2室1厅 | 53.4平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 4个月以前发布,36,"6,742元/平"
铁路大院 2室1厅 南 北,铁路大院 -复兴区,2室1厅 | 50.6平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,38,"7,510元/平"
拉德芳斯南区 精装修  楼前无遮挡   采光好  可贷款,美的.拉德芳斯南区 -丛台区,2室1厅 | 98.6平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,105,"10,650元/平"
