标题,开发商,房子信息,发布信息,售价/万,单价
南岗区 学府地铁好房 复旦街 哈西 枫蓝国际 采光充足,枫蓝国际 -哈西商圈,1室1厅 | 62.83平米 | 南 | 精装 | 32层  | 板楼,1人关注 / 8个月以前发布,68,"10,823元/平"
省医院 中间楼层 南北通透 两室一 无冷不当 交通便利,西骑兵街 -省医院商圈,2室1厅 | 74.55平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 25天以前发布,51.8,"6,949元/平"
滨才城，二楼，南北通透，采光好，无遮挡,滨才城二期 -哈尔滨新区,2室1厅 | 74平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 27天以前发布,39.8,"5,379元/平"
中间楼层 格局好 采光充足 位置好 出行便利！,红旗小区（淮河路） -先锋路商圈,2室1厅 | 70.11平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 27天以前发布,52.8,"7,532元/平"
高鑫品质小区 封闭小区 院内有独立公园 俩室一厅　,高鑫首府 -哈尔滨新区,2室1厅 | 86.65平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,3人关注 / 11个月以前发布,58,"6,694元/平"
顺水小区 2室1厅 东 南,顺水小区 -菜艺商圈,2室1厅 | 60.27平米 | 东 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,60,"9,956元/平"
白毛小区 年限新 临地铁 早夜市 出行便利 拎包入住,白毛小区 -尚志公园,2室1厅 | 46.53平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,36,"7,737元/平"
仁和家园 2室1厅 南 北,仁和家园 -动力区,2室1厅 | 65平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 15天以前发布,37,"5,693元/平"
悦山国际 一室一厅         会展商圈,悦山国际一期 -南岗会展商圈,1室1厅 | 63.4平米 | 北 | 简装 | 低楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,59.8,"9,433元/平"
下夹树街 铁工街 西大直街 使用22米21万 一室 南向,下夹树街 -哈特百脑汇教化工大,1室1厅 | 34平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,17人关注 / 10个月以前发布,21,"6,177元/平"
众和城两室一厅，楼层好，采光好,众和城 -松北商圈,2室1厅 | 73.39平米 | 西 | 其他 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,39,"5,315元/平"
珑瑞小区 两室一厅 东西通透 精装修 拎包入住,珑瑞小区 -尚志公园,2室1厅 | 85.6平米 | 东 西 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,60,"7,010元/平"
哈西  西典南区 单价9000 中间楼层 看房方便,西典家园南区 -哈西商圈,2室1厅 | 79.66平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 17天以前发布,75,"9,416元/平"
龙福家园   封闭小区3室 位置采光好,龙福家园(南岗区) -南岗分局十三中,3室1厅 | 78.39平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,59.6,"7,604元/平"
松电新邨 2室1厅 南 北,松电新邨 -动力区,2室1厅 | 57.84平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,28,"4,841元/平"
新城小区58米 53万 婚装未住,新城小区 -工农大街,2室0厅 | 58平米 | 西 东 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,49.5,"8,535元/平"
成熟小区，居住环境舒适，配套实施齐全,华远新家园 -哈尔滨新区,2室1厅 | 58.99平米 | 东 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,37.5,"6,358元/平"
新上房源   两室明厅    南北通透   有装修  无大税,丽郡 -动力区,2室1厅 | 93.47平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,89.8,"9,608元/平"
永吉家园 二室一厅 格局规整 拎包即住,永吉家园 -南岗会展商圈,2室1厅 | 88.65平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,53,"5,979元/平"
建成家园 2室1厅 南 北,建成家园 -南岗会展商圈,2室1厅 | 70.79平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,7人关注 / 5个月以前发布,46,"6,499元/平"
安埠商圈 两室明厅 通透户型 交通便利 有早夜市,果园星城A区 -安埠商圈,2室1厅 | 103.38平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 3个月以前发布,79.8,"7,720元/平"
顾乡凯德商圈 小区环境好 采光充足,福順尚景 -顾乡凯德广场,2室2厅 | 90.44平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 4个月以前发布,89,"9,841元/平"
此房位置好 楼层好 出行便利 南北通透户型,泰和轩 -哈尔滨新区,2室1厅 | 98.36平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,57,"5,796元/平"
复华小区北区 2室1厅 南 北,复华小区北区 -复华校国展工大附中,2室1厅 | 64平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 13天以前发布,60,"9,375元/平"
精装修，家电家具都带，拎包即住，随时看房，价钱能谈,鸿朗花园南区 -哈西商圈,2室1厅 | 62.86平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 3个月以前发布,62.8,"9,991元/平"
商品房，能贷款，房子出行方便。,征仪路花园小区A区西区 -哈西商圈,2室1厅 | 92.51平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,59.5,"6,432元/平"
精装两室，看房随时，业主急售，拎包即住。,南郡·香醍雅诺 -哈西商圈,2室1厅 | 124.11平米 | 南 北 东 | 精装 | 低楼层(共26层)  | 板塔结合,18人关注 / 一年前发布,142,"11,442元/平"
此房源  没有大税，没有尾贷，中间 楼层，采 光 好，,聚源花园 -哈尔滨新区,2室1厅 | 70.13平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,35,"4,991元/平"
精美装修，中间楼层，采光好，视野好,东方新天地 -哈西商圈,2室1厅 | 88.74平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,11人关注 / 一年前发布,99,"11,157元/平"
人过了二十岁 就要住得好一点 精品房,珠江帝景 -南岗会展商圈,2室1厅 | 82.95平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,1人关注 / 一年前发布,77,"9,283元/平"
康宁家园，高层电梯房，精装修，两室大明厅，拎包即住,康宁家园 -哈西商圈,2室1厅 | 89.37平米 | 东 西 | 精装 | 高楼层(共16层)  | 板塔结合,17人关注 / 一年前发布,89.8,"10,049元/平"
此房产权清晰，无遮挡，采光充足，配套设施全面,志华商城 -哈尔滨新区,1室0厅 | 32.5平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,12.5,"3,847元/平"
香坊公园 铁路小区 4楼南北通透 两室一厅 39 满二,铁路小区(香坊区) -尚志公园,2室1厅 | 71.92平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,63,"8,760元/平"
松北新区 柏林四季一室一厅 4楼 近地铁公交,柏林四季 -哈尔滨新区,1室1厅 | 53.24平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,21.5,"4,039元/平"
会展商圈 善上居12号楼小高层 中间楼层,善上居 -南岗会展商圈,2室1厅 | 95.59平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 7个月以前发布,127,"13,286元/平"
盟科涵舍  105.55平米  4楼  南北西,盟科涵舍 -哈西商圈,2室1厅 | 105.55平米 | 南 西 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,108,"10,233元/平"
柏林四季 环境好 购物出行方便采光好诚心出售急,柏林四季 -哈尔滨新区,1室1厅 | 53.63平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,25,"4,662元/平"
楼层好采光充足，满五无大税，公积金商贷均可，,征仪路花园小区C区 -哈西商圈,2室2厅 | 91.23平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,58.2,"6,380元/平"
峰尚福成  封闭小区.拎包入住.低密度小区，居住舒适,峰尚福成 -西大桥商圈,2室1厅 | 100.52平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 一年前发布,109,"10,844元/平"
太平桥百盛千禧高层精装修两室明厅拎包就住,新乐小区 -船舶军工,2室1厅 | 58.63平米 | 西北 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,56,"9,552元/平"
封闭小区 交通便利 哈市翔宇物业 24小时保安,宣化街 -宣西宣庆体院,2室1厅 | 56.16平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,44.5,"7,924元/平"
海富漫香林 电梯洋房 两室明厅,海富漫香林 -动力区,2室1厅 | 85.42平米 | 东 西 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,78.6,"9,202元/平"
南北通透两室一厅 明厅 楼层好 房产证满五年,上和城 -太平商圈,2室1厅 | 91.43平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,10人关注 / 4个月以前发布,63.8,"6,979元/平"
十字街 2室1厅 西,十字街 -宣西宣庆体院,2室1厅 | 57.01平米 | 西 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 11天以前发布,30.8,"5,403元/平"
精装修，当年样板讲，过二没有大税,瀾悦東方 -动力区,2室1厅 | 60.06平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,8人关注 / 5个月以前发布,74.8,"12,455元/平"
中兴  两室明厅  不临街  视野开阔  诚意出售！,中兴家园 -爱建,2室1厅 | 81.58平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,80,"9,807元/平"
两室南北通透，采光好，房主诚心出售。看房方便,世纪花园C区 -松北商圈,2室1厅 | 115.7平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,11人关注 / 一年前发布,79.8,"6,898元/平"
河梁街 2室1厅 南 北,河梁街 -公路大桥,2室1厅 | 68.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,45.8,"6,666元/平"
南北通透，中间楼层得房率高 格局板正 采光好,恒大御景湾二期 -动力区,2室1厅 | 77.11平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,24人关注 / 10个月以前发布,81.8,"10,609元/平"
顾乡新华小区 7楼不顶使用38米 过渡首付3万,新华小区(道里区) -顾乡大街,2室1厅 | 55.93平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,29.8,"5,329元/平"
南北通透 楼层适中 看房方便  诚心出售 太平大街,信用小区 -太平商圈,2室1厅 | 46.86平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 5个月以前发布,32.8,"7,000元/平"
此房无大税2室 户型 格局好 无浪费面积,松浦·观江国际A区 -松浦商圈,2室1厅 | 109.89平米 | 东 西 | 精装 | 低楼层(共28层)  | 板楼,5人关注 / 一年前发布,86,"7,827元/平"
南北通透 两室一厅 好户型 精装修 看房方便,滨才城四期 -哈尔滨新区,2室1厅 | 95.83平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,55,"5,740元/平"
采光好，看房方便，诚意出售，交通方便，配套齐全,学府名苑(南岗区) -师大附小沙曼小区,2室1厅 | 102.13平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,25人关注 / 5个月以前发布,68.7,"6,727元/平"
阳光家园二期 2室1厅 南 北,阳光家园二期 -哈西商圈,2室1厅 | 71.52平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 10个月以前发布,55,"7,691元/平"
保利观澜，地铁口，满二，无委贷，房主诚心出售。。,保利观澜 -松北商圈,2室1厅 | 125.14平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,5人关注 / 3个月以前发布,107,"8,551元/平"
此房小区位置好，环境好，格局好，采光充足，出行方便,丽景花园 -哈尔滨新区,2室1厅 | 139.73平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,72.8,"5,211元/平"
一室一厅 楼层好 房子方正 采光好,红旗小区（淮河路） -先锋路商圈,1室1厅 | 30.15平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,19,"6,302元/平"
征仪花园小区A区   104平   急售价格便宜  只此一套,征仪路花园小区A区西区 -哈西商圈,2室1厅 | 104.56平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,20人关注 / 一年前发布,58,"5,548元/平"
此房是本小区的热卖户型，小区位置好，前后视野开阔,绿海花园 -动力区,2室1厅 | 68.52平米 | 南 东 | 精装 | 高楼层(共18层)  | 暂无数据,2人关注 / 2个月以前发布,62.5,"9,122元/平"
南北通透3楼，俩室一厅拎包入住,阳光绿色家园 -南岗会展商圈,2室1厅 | 88.07平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,4人关注 / 4个月以前发布,88,"9,993元/平"
保利观澜，地铁口，满二，无委贷，房主诚心出售。。,保利观澜 -松北商圈,2室1厅 | 125.14平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,5人关注 / 3个月以前发布,107,"8,551元/平"
此房小区位置好，环境好，格局好，采光充足，出行方便,丽景花园 -哈尔滨新区,2室1厅 | 139.73平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,72.8,"5,211元/平"
一室一厅 楼层好 房子方正 采光好,红旗小区（淮河路） -先锋路商圈,1室1厅 | 30.15平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,19,"6,302元/平"
征仪花园小区A区   104平   急售价格便宜  只此一套,征仪路花园小区A区西区 -哈西商圈,2室1厅 | 104.56平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,20人关注 / 一年前发布,58,"5,548元/平"
三合园小区三楼 环境整洁 楼层好，交通便利，视野开阔,三合园小区 -动力区,2室1厅 | 62.55平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,28人关注 / 一年前发布,47.5,"7,594元/平"
一室 拎包住 中间层 无大税 价格优质 报价可谈,枫蓝国际 -哈西商圈,1室0厅 | 48.05平米 | 西 | 精装 | 33层  | 板楼,0人关注 / 1个月以前发布,47,"9,782元/平"
2001年封闭小区 两室明厅 精装修 随时看房..,珑瑞小区 -尚志公园,2室1厅 | 94.54平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,69.7,"7,373元/平"
此房满二明厅房主诚心卖房距离地铁三号线500米距离,金瑞林城 -动力区,2室1厅 | 103.86平米 | 西南 | 精装 | 中楼层(共30层)  | 板楼,3人关注 / 8个月以前发布,89.8,"8,647元/平"
采光好，看房方便，诚意出售，交通方便，配套齐全,学府名苑(南岗区) -师大附小沙曼小区,2室1厅 | 102.13平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,25人关注 / 5个月以前发布,68.7,"6,727元/平"
哈西 精装小两室 中间楼层 花园,尚熙雅轩 -哈西商圈,2室1厅 | 65.92平米 | 东北 | 精装 | 高楼层(共28层)  | 板楼,54人关注 / 一年前发布,73,"11,075元/平"
江尚逸品  南北通透  两室明厅  精装修,江尚逸品 -靖宇公园,2室1厅 | 109平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 26天以前发布,95,"8,716元/平"
学伟国际城 电梯洋房 三室明厅 相中房子价格能谈！,学伟国际城 -哈尔滨新区,3室1厅 | 94.24平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,63.8,"6,770元/平"
滨江凤凰城三室一厅，拎包入住。,滨江凤凰城 -玛克威,3室1厅 | 92.17平米 | 北 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 17天以前发布,79.8,"8,658元/平"
富力江湾新城 观江房 采光好 看房方便 挺好,富力江湾新城 -公路大桥,4室2厅 | 293.01平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 20天以前发布,610,"20,819元/平"
青年城邦小区 .为新建小区. 封闭式小区. 24小时保安执,青年城邦小区 -靖宇公园,3室2厅 | 85平米 | 东北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 15天以前发布,82,"9,648元/平"
房子采光好 交通便利 出行方便,红河五街区 -太平商圈,3室1厅 | 102平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 27天以前发布,76,"7,451元/平"
观江房 南北通透 大三居 采光好,北岸明珠 -松北商圈,3室2厅 | 134.76平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,6人关注 / 一年前发布,134.76,"10,000元/平"
涧桥西畔，三室精装实木装修，可带车位，满五,涧桥西畔 -哈西商圈,3室2厅 | 133.68平米 | 东 南 北 | 精装 | 30层  | 板楼,7人关注 / 一年前发布,179,"13,391元/平"
红星威尼斯庄园 3室1厅 南 北,红星威尼斯庄园 -松北商圈,3室1厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,85,"8,253元/平"
此房源，户型好，距虹桥近，会展商圈，拎包即住,会展家园小区 -南岗会展商圈,3室1厅 | 97.67平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 17天以前发布,57.5,"5,888元/平"
此房 南北通透 通风采光好 交通便利 配套完善,哈西骏赫城 -王岗商圈,2室1厅 | 88.23平米 | 南 北 | 其他 | 中楼层(共14层)  | 板楼,0人关注 / 6天以前发布,78,"8,841元/平"
此房位置好 交通便利 购物方便 早夜市场距离50米可谈,搪瓷小区 -阿拉伯广场,1室1厅 | 32.54平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,20,"6,147元/平"
恒大御景湾精装下楼地铁邻公园品质高,恒大御景湾二期 -动力区,3室1厅 | 107.99平米 | 南 西 | 精装 | 中楼层(共26层)  | 板楼,3人关注 / 10个月以前发布,115,"10,650元/平"
道里2010年电梯房两室大明厅H格局125米仅售119万满二,爱丁堡 -建国公园,2室2厅 | 124.59平米 | 南 北 | 简装 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,106,"8,508元/平"
A区坡上中间位置，楼层好，视野开阔，采光充足,海富康城 -公路大桥,3室2厅 | 148.49平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,123,"8,284元/平"
黑山街 2室1厅 南 北,黑山街 -革新教堂,2室1厅 | 68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,39.8,"5,853元/平"
此房南北通透精装修三室拎包入住双虹桥，产权清晰,公园丽景(南岗区) -南岗会展商圈,4室2厅 | 220平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 15天以前发布,265,"12,046元/平"
群力 双公园 地 封闭式小区 三室明厅 拎包就住,雨阳名居 -群力新区,3室2厅 | 157.4平米 | 东 西 | 精装 | 中楼层(共24层)  | 板楼,31人关注 / 7个月以前发布,179.6,"11,411元/平"
法兰西 南北通透 无大税 楼层采光好 看房方便,世茂滨江 法兰西 -松北商圈,3室2厅 | 140.22平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 4个月以前发布,115,"8,202元/平"
太平桥百盛地铁口新乐小区精装修南北通透,新乐小区 -船舶军工,2室1厅 | 49平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,42.5,"8,674元/平"
滨才城四期 2室1厅 南 北,滨才城四期 -哈尔滨新区,2室1厅 | 74平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,44.7,"6,041元/平"
新区优质房源 看房方便 欢迎多多带看,明悦浪漫城 -哈尔滨新区,2室1厅 | 70.22平米 | 西北 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 5天以前发布,38.8,"5,526元/平"
价位低，此房通透，楼层好，价格还可谈，门前大花园..,征仪路花园小区B区 -哈西商圈,2室1厅 | 89平米 | 南 西 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 8天以前发布,65,"7,304元/平"
学苑嘉园 精装三室 急售！ 合适！,学苑嘉园 -哈西商圈,3室1厅 | 132.65平米 | 南 北 | 精装 | 低楼层(共23层)  | 暂无数据,2人关注 / 2个月以前发布,146,"11,007元/平"
丽景花园，地铁口，两室一厅，拎包即住，看房子随时.,丽景花园 -哈尔滨新区,2室1厅 | 131平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 5天以前发布,70,"5,344元/平"
精装修小区绿化高 环境好 人车分流方便老人和小孩出行,锦绣华城 -哈南商圈,3室2厅 | 137平米 | 南 北 | 简装 | 低楼层(共28层)  | 板楼,0人关注 / 17天以前发布,135,"9,855元/平"
河柏小区3楼南北通透精装修采光好可公积金,河柏小区 -公路大桥,2室1厅 | 77.11平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,57.8,"7,496元/平"
地中海三居  看房方便 位置便利,钻石湾地中海阳光 -松北商圈,3室1厅 | 130.94平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,7人关注 / 一年前发布,115,"8,783元/平"
顺迈新郡 三室一厅 南北向 精装房 中间楼层 有证有税,顺迈欣郡一期 -哈尔滨新区,3室1厅 | 117.6平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,105,"8,929元/平"
宜和园，精装修三室明厅，钻石楼层，随时能看诚心出售,宜和园 -松北商圈,3室1厅 | 137.05平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,4人关注 / 8个月以前发布,91,"6,640元/平"
迎宾小区 2室1厅 南 北,迎宾小区 -工农大街,2室1厅 | 130平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 6天以前发布,76,"5,847元/平"
群力新苑东区 2室1厅 南,群力新苑东区 -工农大街,2室1厅 | 54平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 4天以前发布,43,"7,963元/平"
永康商住小区 2室1厅 南 北,永康商住小区 -顾乡凯德广场,2室1厅 | 106.42平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 4天以前发布,88,"8,270元/平"
此房两室明厅 室内有装修 锦江校铁口 看房提前联系,河松小区三期 -公路大桥,2室1厅 | 141.48平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,49人关注 / 一年前发布,67,"4,736元/平"
一楼田园小园，阳光蓝天微风居住之选，另有车位,上院 -松北商圈,3室2厅 | 136.87平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,158,"11,544元/平"
此房满两年，精装修， 可拎包即住， 南北通透三室,钻石湾地中海阳光 -松北商圈,3室2厅 | 124.71平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,179,"14,354元/平"
二室明厅 精装修 无大税 拎包入住 可公积金,好民居滨港水岸D区 -靖宇公园,2室1厅 | 65平米 | 西 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 7天以前发布,54,"8,308元/平"
银行家属楼 06年可公积金院里 一楼不临街封闭小区,河源小区 -公路大桥,3室1厅 | 129平米 | 南 北 | 精装 | 低楼层(共7层)  | 平房,0人关注 / 11天以前发布,120,"9,303元/平"
道里  中楼层  精装修  可以公积金贷款  三室明厅,光华小区 -公路大桥,3室1厅 | 128.53平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 7个月以前发布,75.8,"5,898元/平"
海富绣园 3室1厅 南 北,海富绣园 -群力新区,3室1厅 | 100.98平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 16天以前发布,135,"13,369元/平"
精装修、无大税，产权清晰，观江效果好，视野开阔,北岸明珠 -松北商圈,3室1厅 | 185.99平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 11个月以前发布,165,"8,872元/平"
安静不临街   封闭小区  采光视野好,世纪广场 -龙塔,3室2厅 | 186平米 | 东 南 | 简装 | 中楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,150,"8,065元/平"
丽景花园三室楼层好地点佳出行方便,丽景花园 -哈尔滨新区,3室2厅 | 182.6平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 9天以前发布,87,"4,765元/平"
哈西辰能 豪横房主吉售 带车位 带仓房 家具家电全留下,辰能溪树庭院 -哈西商圈,3室2厅 | 156.54平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,280,"17,887元/平"
华园单价8600精装修拎包入住,万达华园 -松北商圈,3室1厅 | 133.57平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,4人关注 / 6个月以前发布,93,"6,963元/平"
爱建  卓展  四楼  可公积金  看房随时,安定街 -安字片,2室1厅 | 81.07平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 2个月以前发布,48,"5,921元/平"
世纪花园A区 大复式  看房方便 业主诚意出售,世纪花园A区 -松北商圈,5室2厅 | 223.88平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,105,"4,691元/平"
北鸿花园 3室1厅 南 北,北鸿花园 -西大桥商圈,3室1厅 | 174.94平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,143,"8,175元/平"
世纪花园大米数电梯复式，纯毛坯,世纪花园A区 -松北商圈,4室2厅 | 252平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,43人关注 / 一年前发布,128,"5,080元/平"
澜悦东方  新上房源 精装修 拎包入住,瀾悦東方 -动力区,2室1厅 | 60平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 16天以前发布,75,"12,500元/平"
业主急售 地恒一期 两室婚装修  看房方便 满二可贷款,地恒托斯卡纳一期 -哈尔滨新区,2室1厅 | 93.89平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 17天以前发布,56,"5,965元/平"
小区环境好，绿化占比大，交通便利 楼层好,长安城 -先锋路商圈,2室1厅 | 76平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 14天以前发布,59.8,"7,869元/平"
南岗大润发海富金棕榈两室明厅交通便利配套齐全雷锋,海富金棕榈 -宣西宣庆体院,2室1厅 | 122.53平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 10天以前发布,162,"13,222元/平"
哈西保利颐和家园3楼二室明厅通透户型2009可公积金,保利颐和家园 -哈西商圈,2室1厅 | 102平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,92.8,"9,099元/平"
封闭小区 绿化高 配套齐全 适合年轻人或者老人居住,滨港水岸逸江湾 -靖宇公园,1室1厅 | 72平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 10天以前发布,66,"9,167元/平"
道外会展红博购物广场辽河小区两室明厅南北通透,辽河小区 -先锋路商圈,2室1厅 | 60平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,48.8,"8,134元/平"
地点好位于二商店商圈祥泰名苑小区 楼层好两室一厅,祥泰名苑小区 -哈东站商圈,2室1厅 | 70平米 | 东 西 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 9天以前发布,48,"6,858元/平"
江边 道台府 二室一厅 3楼 南北向,北十九道街 -玛克威,2室0厅 | 54平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,31,"5,741元/平"
