标题,开发商,房子信息,发布信息,售价/万,单价
地理位置好，小区环境好，户型通透 采光好，读书方便,电信花园 -八字门,3室1厅 | 127.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,77.88,"6,095元/平"
临港芭蕉湖畔  碧桂园  毛坯大三房带车位满二可贷,岳阳碧桂園 -城陵矶,3室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,62.8,"5,323元/平"
水运小区，五里牌，土桥，步行街，天正电脑城，火车站,水运小区 -五里牌,2室2厅 | 85平米 | 东 西 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,44.6,"5,248元/平"
居家陪读上班  汇金国际 毛坯三房 证齐可贷,汇金国际城上城 -五里牌,3室2厅 | 104平米 | 东 | 毛坯 | 高楼层(共29层)  | 塔楼,11人关注 / 一年前发布,58,"5,577元/平"
市区 东方红 xue qu 简装大两房可 gai 三房可贷,岳阳市供销合作联社家属院 -步行街,3室2厅 | 102平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,6人关注 / 一年前发布,50,"4,902元/平"
小区环境优美，户型周正，采光充足，看房方便,岳阳碧桂園 -城陵矶,3室2厅 | 103平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,62.8,"6,098元/平"
八字门东城雅苑。。。。。。。。,东城雅苑 -东站,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板塔结合,1人关注 / 一年前发布,70,"5,834元/平"
王家河畔证件已经满了五年，采光好，不临街，安静居家,明星·央城 -洛王,3室2厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,76,"6,179元/平"
十五中旁 户型周正 精装带家电家具 拎包入住 证齐可贷,金子湾春晖花园 -八字门,2室2厅 | 93.81平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,11人关注 / 一年前发布,49.8,"5,309元/平"
港九湾 4房 中间楼层 满两年 看房方便,港九湾 -洛王,4室2厅 | 117.58平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,76,"6,464元/平"
南湖新区 千亩湖 滨水翡丽城 毛坯大三房 两证可贷款,滨水翡丽城 -南湖新区,3室2厅 | 142.6平米 | 南 | 毛坯 | 高楼层(共20层)  | 板塔结合,0人关注 / 一年前发布,95,"6,662元/平"
八字门东城雅苑。。。。。。。。,东城雅苑 -东站,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板塔结合,1人关注 / 一年前发布,70,"5,834元/平"
鹰山社区，精装修，小三房好打理，免费停车,鹰山社区 -岳城,3室2厅 | 75.51平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,10人关注 / 一年前发布,47,"6,225元/平"
南湖新区 雅礼旁 电梯高层 户型好,洞庭美域 -岳阳楼区,4室2厅 | 138.99平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,72,"5,181元/平"
步行街枫桥尚城，银强苑高楼层，座南朝北,銀強苑 -岳城,2室2厅 | 90.65平米 | 南 | 毛坯 | 高楼层(共5层)  | 暂无数据,9人关注 / 一年前发布,39.8,"4,391元/平"
新路口十二中中建五局单位房，可贷款，好停车，,中国建筑第五工程局第七工程公司 -火车站,2室2厅 | 77平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 一年前发布,36.75,"4,773元/平"
南湖新区 千亩湖旁 南湖壹号 纯板房 倆梯倆戸 湖景房,南湖壹号 -南湖新区,3室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共15层)  | 暂无数据,9人关注 / 一年前发布,98,"6,854元/平"
花板桥大润发 天伦国际 毛坯周正2房 接受贷款,天伦国际 -五里牌,2室2厅 | 78.04平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 暂无数据,5人关注 / 一年前发布,75,"9,611元/平"
王家河畔证件已经满了五年，采光好，不临街，安静居家,明星·央城 -洛王,3室2厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,76,"6,179元/平"
带双车位 步行街 中医院 视野开阔 枫桥尚城东湖帝景,枫桥尚城 -岳城,3室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 一年前发布,120,"8,634元/平"
步行街旁，户型方正，通风效果好，采光充足！,东湖帝景 -岳城,3室2厅 | 112平米 | 南 | 毛坯 | 低楼层(共23层)  | 板塔结合,1人关注 / 一年前发布,96,"8,572元/平"
107国道管理处家属区板楼单位房,107国道管理处家属区 -洛王,3室2厅 | 101平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,59,"5,842元/平"
洛王藕塘坡社区三房二厅三楼带大车库出售,藕塘坡社区 -洛王,3室2厅 | 114平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,6人关注 / 一年前发布,57.8,"5,071元/平"
五里牌水运小区，房子满五年、配套成熟,水运小区 -五里牌,3室2厅 | 91平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,55,"6,044元/平"
鹰山社区 采光好 带暖气 证件齐全 可按揭 看房方便,鹰山社区 -岳城,3室1厅 | 78平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,55,"7,052元/平"
理工学院对门岳兴花园毛坯三房二楼,岳兴花园 -齐家岭,3室2厅 | 99.8平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,55,"5,512元/平"
洞庭大桥 东风湖 外滩花园 毛坯电梯大三房 证齐可贷,外滩花园 -九华山,3室2厅 | 141.67平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,91.8,"6,480元/平"
奇家岭 岳兴花园 3房2厅2卫  满5年,岳兴花园 -齐家岭,3室2厅 | 137.83平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,6人关注 / 一年前发布,60,"4,354元/平"
王家河 东城 东院 精装单位大四房带车库,珍珠山卫生小区 -八字门,4室2厅 | 164.33平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,120,"7,303元/平"
王家河畔，尚书桃花源带车库，精装大四房，诚心出售,尚书▪桃花园 -鲤鱼嘴社区,4室2厅 | 154.49平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,7人关注 / 8个月以前发布,93,"6,020元/平"
八字门毛坯电梯大三房证齐满二可贷,中天· 维益家园 -八字门,3室2厅 | 122.4平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,4人关注 / 一年前发布,82,"6,700元/平"
就读北港十九中珍珠山公园旁（翠碧山庄）毛坯证满二年,翠碧山莊 -八字门,3室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,11人关注 / 一年前发布,85,"6,391元/平"
户型周正，坐北朝南，采光好，证件齐交通出行方便,英伦世家 -八字门,6室3厅 | 180平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,175,"9,723元/平"
八字门  中天维益  毛坯三年  有钥匙可看房  满二年,中天· 维益家园 -八字门,3室2厅 | 124.27平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 塔楼,20人关注 / 一年前发布,74,"5,955元/平"
星河国际双阳台 大四房 采光好，读书方便,星河国际 -八字门,4室2厅 | 131平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,3人关注 / 一年前发布,100,"7,634元/平"
银泰小区 毛坯四房带车库   户型很周正  诚心出售,银泰小区 -八字门,4室2厅 | 150.8平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,110,"7,295元/平"
南湖新区 洞庭湖国际公馆 环境优美 证件齐全可贷款,洞庭湖国际公馆 -岳阳楼区,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,84,"5,958元/平"
高铁东站 ，视野开阔，采光充足，配套设施齐，,全城热恋 -八字门,3室2厅 | 126.95平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,74,"5,830元/平"
全城热恋精选精装两房出售。。。。。。,全城热恋 -八字门,2室2厅 | 91.48平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,8人关注 / 一年前发布,66,"7,215元/平"
南湖风光带 两房精装修 拎包入住,書香印象 -南湖,2室2厅 | 99平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,98,"9,899元/平"
八字门 中天·维益家园 毛坯大四房 带车库 随时可签,中天· 维益家园 -八字门,4室2厅 | 134.51平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,1人关注 / 一年前发布,89,"6,617元/平"
毛坯楼层较好采光也比较好。。。,中天· 维益家园 -八字门,2室2厅 | 90.79平米 | 北 南 | 毛坯 | 高楼层(共26层)  | 塔楼,1人关注 / 一年前发布,60,"6,609元/平"
八字门  沃尔玛  金岭花园 精装南北三房,金岭花园 -八字门,3室2厅 | 138.42平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,17人关注 / 一年前发布,67,"4,841元/平"
高铁门户 中天维益家园 周正大四房 南北通透 业主诚心,中天· 维益家园 -八字门,4室2厅 | 140.62平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 一年前发布,92,"6,543元/平"
花板桥 王家河 刚需简装三房 证齐可贷款 好停车有钥匙,枫树新村社区 -海棠社区,3室2厅 | 89.1平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,31人关注 / 一年前发布,42,"4,714元/平"
花板桥 步步高 金虹大夏 简装2房 接受贷款,金虹大厦 -花板桥,2室2厅 | 95平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,4人关注 / 一年前发布,65.5,"6,895元/平"
岳阳碧桂园三房两厅大户型毛坯好楼层,岳阳碧桂園 -城陵矶,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,53,"4,609元/平"
岳阳大道九 中  佳汇华庭  毛坯边户大三房满二可贷,佳汇华庭 -花板桥,3室2厅 | 127.74平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,3人关注 / 一年前发布,108,"8,455元/平"
王家河 东城 东院 精装单位大四房带车库,珍珠山卫生小区 -八字门,4室2厅 | 164.33平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,120,"7,303元/平"
八字门毛坯电梯大三房证齐满二可贷,中天· 维益家园 -八字门,3室2厅 | 122.4平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,4人关注 / 一年前发布,82,"6,700元/平"
八字门  中天维益  毛坯三年  有钥匙可看房  满二年,中天· 维益家园 -八字门,3室2厅 | 124.27平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 塔楼,20人关注 / 一年前发布,74,"5,955元/平"
银泰小区 毛坯四房带车库   户型很周正  诚心出售,银泰小区 -八字门,4室2厅 | 150.8平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,110,"7,295元/平"
南湖新区 洞庭湖国际公馆 环境优美 证件齐全可贷款,洞庭湖国际公馆 -岳阳楼区,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,84,"5,958元/平"
高铁东站 ，视野开阔，采光充足，配套设施齐，,全城热恋 -八字门,3室2厅 | 126.95平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,74,"5,830元/平"
南湖新区 宏润家园 大三房 80W,宏润家園 -南湖新区,3室2厅 | 140.71平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,78,"5,544元/平"
十五中旁滨水新境界精装大三房带暖气，拎包可入住,滨水·新境界 -八字门,3室2厅 | 143.17平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 一年前发布,145,"10,128元/平"
此房户型周正，诚心出售，价格实惠。,万象瑞城 -鲤鱼嘴社区,3室2厅 | 91.83平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,72,"7,841元/平"
八字门王家河畔 3楼 毛坯 125平米 90万 花园洋房,富興華城 -八字门,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,14人关注 / 一年前发布,72,"5,760元/平"
中间栋位东边单元望花园满两年证件在手,中天· 维益家园 -八字门,4室2厅 | 137.48平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,1人关注 / 一年前发布,96,"6,983元/平"
王家河畔，尚书桃花源带车库，精装大四房，诚心出售,尚书▪桃花园 -鲤鱼嘴社区,4室2厅 | 154.49平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,7人关注 / 8个月以前发布,93,"6,020元/平"
滨水天玺  毛坯大四房 坐北朝南 双阳台证齐可贷,滨水天玺 -八字门,4室2厅 | 151平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,85,"5,630元/平"
湖滨 南湖新区 湖景电梯毛坯大四房 有车位 证齐可贷款,洞庭湖国际公馆 -岳阳楼区,4室2厅 | 143.37平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板塔结合,4人关注 / 一年前发布,70,"4,883元/平"
此房南北朝向证件齐全免增值税 业主诚心出售,电力大厦 -火车站,4室2厅 | 137.32平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,82,"5,972元/平"
东茅岭步行街 简装正规三房 两证可贷款 步梯二楼,东茅岭一医院家属院 -火车站,3室2厅 | 76.5平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,53,"6,929元/平"
花板桥恒辉二区二楼两房两厅简装,花板桥社区 -花板桥,3室2厅 | 87平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,8人关注 / 一年前发布,51,"5,863元/平"
"金湖小区大5房2厅1厨3卫出售,",金湖小区 -花板桥,5室2厅 | 218平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,189.8,"8,707元/平"
花板桥，缤纷年华毛坯大四房，业主诚意出售,缤纷年华 -新路口,4室2厅 | 166平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 塔楼,5人关注 / 一年前发布,100,"6,025元/平"
南湖 奇家岭 理工别墅 学苑小区 精装 带花园 露台,学苑小区 -齐家岭,7室4厅 | 249.36平米 | 南 西 北 | 精装 | 3层  | 暂无数据 | 双拼别墅 ,5人关注 / 一年前发布,666,"26,709元/平"
望湖公寓现有大三房两厅一厨两卫出售,望湖公寓 -南湖,3室2厅 | 138.03平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,87.8,"6,361元/平"
此房满五唯一，楼层低，适合老人孩子居住，商圈成熟,枫树新村社区 -海棠社区,3室2厅 | 112平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,62,"5,536元/平"
锦绣华城是岳阳入住率很高的小区，配套齐全，入住,锦绣华城 -东升社区,3室2厅 | 107.56平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,95,"8,833元/平"
富丽居小区 4室2厅 南,富丽居小区 -李家冲,4室2厅 | 144.71平米 | 南 | 其他 | 中楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,73,"5,045元/平"
明星央城精装两房，证件齐全接受贷款。,明星·央城 -洛王,2室2厅 | 89.17平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,68,"7,626元/平"
湖滨南湖新区 洞庭美域 湖景大五房,洞庭美域 -岳阳楼区,5室2厅 | 161平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,92.5,"5,746元/平"
小区环境好 采光视野都好。好楼层，适合老人小孩居住,岳阳碧桂園 -城陵矶,5室3厅 | 238.36平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 双拼别墅 ,1人关注 / 一年前发布,235,"9,860元/平"
兴国大厦三楼精装大四房两厅两卫,兴国大厦 -雷锋山,4室2厅 | 159.8平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,85,"5,320元/平"
火车站 东能公馆  精装两室一厅 拎包入住,東能·中央公馆 -火车站,2室1厅 | 82.2平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,10人关注 / 一年前发布,50,"6,083元/平"
南湖 千亩湖 恒大名都 天邦紫金苑 六中 旁 太子花园,太子花园 -桥西,4室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,60,"4,348元/平"
户型方正，通风效果好，采光充足！,金缘花园 -花板桥,4室2厅 | 173平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,5人关注 / 一年前发布,131,"7,573元/平"
洋房精装修 通透户型 拎包入住 出门是沿湖风光带,洞庭湖国际公馆 -岳阳楼区,3室2厅 | 129平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,1人关注 / 一年前发布,95,"7,365元/平"
南湖美食街 千亩湖天邦紫金苑精装大三房急售,天邦紫金苑 -螺丝港,3室2厅 | 128.93平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 一年前发布,135,"10,471元/平"
八字门高铁门户 精装二房 天邦钻石山 园林小区可贷,天邦·钻石山 -八字门,2室2厅 | 90平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,5人关注 / 一年前发布,64.5,"7,167元/平"
南湖  尚书山 精装 复式楼  带露台 费低  可贷,新桂苑 -南湖,5室3厅 | 188平米 | 南 | 其他 | 高楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,105,"5,586元/平"
洞庭湖国际公馆，毛坯大4房，真实报价，真实可谈,洞庭湖国际公馆 -岳阳楼区,4室2厅 | 160.9平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,7人关注 / 一年前发布,86,"5,345元/平"
湖滨新区，洞庭美域电梯房毛坯，公摊 小,洞庭美域 -岳阳楼区,4室2厅 | 150平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,18人关注 / 一年前发布,70,"4,667元/平"
花板桥步步高，板桥，精装三房，诚心出售，可贷,板桥福邸 -花板桥,3室2厅 | 97.3平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,20人关注 / 一年前发布,76,"7,811元/平"
精装修大四房，户型周正，满二唯一,锦绣华城 -东升社区,4室2厅 | 142.7平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 一年前发布,135,"9,461元/平"
此房视野开阔无遮挡，采光充足，配套设施齐全交通便利,锦绣华城 -东升社区,3室1厅 | 111平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,99.8,"8,991元/平"
湖滨南湖新区 洞庭美域 毛坯大四房 高层湖景房,洞庭美域 -岳阳楼区,4室2厅 | 186平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,132,"7,097元/平"
朝阳九中 南湖游路 税务局单位房 浥园新村 带杂物间,浥园新村 -南湖,3室2厅 | 109平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,68,"6,239元/平"
东方红 四 中 金鹗山单位房 大三房 证件齐全 好停车,君山公园岳阳公寓 -螺丝港,3室2厅 | 123平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,22人关注 / 一年前发布,57,"4,635元/平"
新路口 沃尔玛 银行家属区 有院子好停车 接受贷款,楼区信用联社家属楼 -火车站,3室2厅 | 91平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,17人关注 / 一年前发布,48,"5,275元/平"
弘毅小 学香洲名都恒大名都中梁 湖山壹号中 央公园,欣登中央公園 -无效,3室2厅 | 136平米 | 北 | 精装 | 低楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,93,"6,839元/平"
王家河 东城菜批发市场 岳阳大道 一医院东院,熙园壹号 -八字门,4室2厅 | 144.19平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,110,"7,629元/平"
洛王 红日家园 王家河风光带 养老好房,红日家园 -冷水铺,3室2厅 | 114平米 | 南 北 | 简装 | 低楼层(共1层)  | 暂无数据,6人关注 / 一年前发布,42,"3,685元/平"
洛王 步步高新天地 精装大三房 双证可贷款 价格可谈,东腾花园 -冷水铺,3室2厅 | 138.3平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,79,"5,713元/平"
洛王步步高润康家园小区三房二厅毛坯电梯房出售,润康家园 -冷水铺,3室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,68,"5,763元/平"
房子搞楼层，采光通风效果好，看房方便。,玉鑫巴陵星城 -五里牌,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,99,"7,022元/平"
楼区政府大院家属房一楼自带杂物间31平米可住人,楼区政府家属区 -五里牌,4室2厅 | 171平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,115,"6,726元/平"
君临嘉龙公馆，精装小三房，诚心出售,君临嘉龙公馆 -五里牌,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,95,"9,135元/平"
高档社区 锦绣河山 大4房 180W,锦绣河山 -海棠社区,4室2厅 | 165平米 | 南 北 | 精装 | 中楼层(共7层)  | 平房,15人关注 / 一年前发布,130,"7,879元/平"
岳阳楼区螺丝港宏辉家园满五年可贷款离步行街近好停车,宏辉家园 -螺丝港,4室2厅 | 168平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,92,"5,477元/平"
花板桥附 近 高档小区 写字楼带高租 优价出售!,圣鑫城 -花板桥,3室1厅 | 107.34平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,1人关注 / 一年前发布,103,"9,596元/平"
左岸巴黎精装大三房 证齐 满二,左岸·巴陵 -炮台山,3室2厅 | 149.04平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,100,"6,710元/平"
五里牌 复式楼中楼 电梯精装 大三房 两证齐全 可贷款,摩登国际 -五里牌,3室2厅 | 99.14平米 | 南 | 精装 | 高楼层(共21层)  | 塔楼,2人关注 / 一年前发布,79.8,"8,050元/平"
此房证件齐全 过户费低 地段优越 配套齐全 价格实惠,天赋花园 -南湖,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共14层)  | 板塔结合,1人关注 / 一年前发布,145,"10,985元/平"
格局优雅，采光充足，健康楼层，视野开阔,工商联小区 -炮台山,3室2厅 | 104.52平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,61,"5,837元/平"
步行街 东方红 精装房，家电齐全,御公馆 -炮台山,2室2厅 | 115平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,71.8,"6,244元/平"
东风湖碧水香樟 电梯精装三房 拎包入住接受贷款,碧水香樟 -岳纺,3室2厅 | 140平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,135,"9,643元/平"
140平 世纪星华庭 3室2厅 坐南朝北,世纪星华庭 -步行街,3室2厅 | 139.96平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,3人关注 / 一年前发布,99,"7,074元/平"
步行街 东方红金鹗山 出行方便 购物便利,岳阳市商务局德胜路生活区 -炮台山,3室2厅 | 121平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,6人关注 / 6个月以前发布,55.5,"4,587元/平"
东站门户，体育馆旁，大四房，一梯一户,中建馨和园 -东站,4室2厅 | 148平米 | 南 | 毛坯 | 中楼层(共17层)  | 塔楼,3人关注 / 一年前发布,110,"7,433元/平"
八字门高铁站烟草局单位房 馨和园 毛坯楼中楼,中建馨和园 -东站,6室3厅 | 270平米 | 南 | 毛坯 | 高楼层(共23层)  | 塔楼,4人关注 / 一年前发布,205,"7,593元/平"
香山四季洋房楼中楼 挑高客厅 1楼带前后院子,香山四季 -南湖新区,5室3厅 | 241.43平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,16人关注 / 一年前发布,298,"12,344元/平"
此房位于楼层2楼房间周正，交通方便，配套商圈成熟。,启明星花园 -八字门,5室2厅 | 177.2平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,97,"5,475元/平"
步行街东方红德胜路机电公司三室两厅51万停车方便,机电公司家属区 -步行街,3室2厅 | 83.5平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,42,"5,030元/平"
新路口  妇幼保健院 毛坯两房 看房方便 可贷款,建湘小区 -新路口,2室2厅 | 88平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼,18人关注 / 一年前发布,50.5,"5,739元/平"
南湖美食街 精装四房 证齐可贷款 随时看房,湘芬园小区 -螺丝港,4室2厅 | 176.2平米 | 南 | 精装 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,96,"5,449元/平"
东风广场，华兴食品上下两层已装修啦，还家居家电出售,华兴食品饮料厂单位房 -步行街,5室2厅 | 236平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,8人关注 / 一年前发布,100,"4,238元/平"
步行街 精装满五年接受任何贷款 配套齐全楼层佳,金田花园 -步行街,4室2厅 | 161.37平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,12人关注 / 一年前发布,82,"5,082元/平"
洛王金电花园好楼层有车库优价出售,金电花园 -洛王,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,86,"7,167元/平"
市区地段，成熟完善的小区，交通四通八达,锦绣华城 -东升社区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,98,"9,075元/平"
交通便利 ，配套齐全，业主诚意出售,民院学府 -齐家岭,3室2厅 | 135.75平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 一年前发布,62,"4,568元/平"
满五年好房出售，房子复楼试，带杂物间,鸿龙嘉园 -新路口,3室3厅 | 115平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,60,"5,218元/平"
近南湖广场、满二，优质好房、业主诚心出售,南湖长虹小区 -李家冲,4室2厅 | 165平米 | 南 | 精装 | 中楼层(共6层)  | 平房,34人关注 / 一年前发布,99.8,"6,049元/平"
王家河旁边简装三房103平38.8万,瑶塘坡社区 -洛王,3室2厅 | 103平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,38.6,"3,748元/平"
洛王街道  藕塘坡社区  精装跃式大三房保养好证齐可贷,藕塘坡社区 -洛王,3室2厅 | 117.8平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,72,"6,113元/平"
金鹗山南湖美食街，小区配套齐全，交通便利,金鹗花园 -杨树塘,3室1厅 | 140平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,120,"8,572元/平"
满五年好房出售，房子复楼试，带杂物间,鸿龙嘉园 -新路口,3室3厅 | 115平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,60,"5,218元/平"
王家河旁边简装三房103平38.8万,瑶塘坡社区 -洛王,3室2厅 | 103平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,38.6,"3,748元/平"
