标题,开发商,房子信息,发布信息,售价/万,单价
攀大学院旁两室电梯房朝小区中庭出行出售,龙箐花园小区 -九附二+九附六,2室1厅 | 85平米 | 东 南 西北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,32.8,"3,859元/平"
小区平坦 出行方便 采光好 视野开阔,金泰观澜湾 -仁和区,4室2厅 | 145平米 | 东南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 31天以前发布,150,"10,345元/平"
康和南苑 2室2厅 南,康和南苑 -仁和区,2室2厅 | 65平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,74,"11,385元/平"
诚心出售，金海小两室。满五唯一,金海世纪城 -炳三区,2室1厅 | 58平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 28天以前发布,52,"8,966元/平"
南山花园、两室两厅、精装修、家具家电齐全、好房出售,南山花园 -南山,2室2厅 | 93平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 22天以前发布,31,"3,334元/平"
一梯二户  户型通透  过户方便  生活成本低,鑫华路25号 -仁和区,2室2厅 | 95平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 31天以前发布,34,"3,579元/平"
两室两厅，精装修，交通方便，房屋结构合理,阳光家园 -仁和区,2室2厅 | 88平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,43,"4,887元/平"
九附二成熟小区龙珠 二 小 商圈配套齐全 龙箐花园,龙箐花园小区 -九附二+九附六,2室2厅 | 80.33平米 | 南 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 28天以前发布,40,"4,980元/平"
成熟小区，出行方便，配套齐全。,金海世纪城 -炳三区,2室2厅 | 70平米 | 东南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,63,"9,000元/平"
领地花城 地理位置好 配套齐全,领地·阳光花城 -仁和区,2室1厅 | 38平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,27,"7,106元/平"
小区环境优美，房子价格还可以小刀,天宇锦都 -仁和区,2室2厅 | 78.3平米 | 东 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 25天以前发布,39.8,"5,084元/平"
领地清水出售     买一层得一层,领地·阳光花城 -仁和区,2室1厅 | 38平米 | 东 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 27天以前发布,28,"7,369元/平"
出行方便，户型方正，更适合居住,阳光家园 -仁和区,3室2厅 | 96.6平米 | 东 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 22天以前发布,44.5,"4,607元/平"
和谐御林两室 交通便利 小区环境干净舒适 适合居住,和谐御林 -仁和区,2室2厅 | 85平米 | 东南 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 31天以前发布,50,"5,883元/平"
康养菩提苑全新精装一室诚心出售,菩提苑 -炳三区,1室2厅 | 72.66平米 | 东南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 24天以前发布,55,"7,570元/平"
银泰商业城 2室2厅 东南,银泰商业城 -仁和区,2室2厅 | 66平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 22天以前发布,47,"7,122元/平"
悦山府一期，套二精装，采光好，视野无遮挡,恒邦双林悦山府一期 -仁和区,2室1厅 | 65平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 19天以前发布,56,"8,616元/平"
仁和区精装房急售，全新装修带全屋空调，业主诚心出售,银泰商业城 -仁和区,2室2厅 | 75平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 30天以前发布,52,"6,934元/平"
御峰小洋房，精装小户型。温馨一室一厅！,高宇御峰 -仁和区,1室1厅 | 53平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 27天以前发布,62,"11,699元/平"
都市国际 2室1厅 东南,都市国际 -九附二+九附六,2室1厅 | 90平米 | 东南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 26天以前发布,62,"6,889元/平"
五十一两室出售 价钱可小刀 房子靠河边 适合养老,小南山钢窗厂 -仁和区,2室2厅 | 62.5平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 30天以前发布,28,"4,480元/平"
此房满2年，出行方便，户型方正，居住方便舒适.,金海花溪谷 -九附二+九附六,2室2厅 | 90平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 27天以前发布,60,"6,667元/平"
银泰商业城精装两室家具家电齐全拎包入住可小刀,银泰商业城 -仁和区,2室2厅 | 65.58平米 | 东 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 28天以前发布,41,"6,252元/平"
火车南站旁湿地公园 精装二室未入住,金泰观澜湾 -仁和区,2室1厅 | 80平米 | 南 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 16天以前发布,51.8,"6,475元/平"
仁和 精装大两室 家具家电齐全 拎包入职,鹭栖花园 -仁和区,2室2厅 | 82平米 | 东南 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 21天以前发布,45,"5,488元/平"
龙江明珠精装二室带家具家电房东诚心出售,龙江明珠 -九附二+九附六,2室2厅 | 93.6平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 20天以前发布,42,"4,488元/平"
攀钢小区 优质房源 房东诚心出售,攀钢小区三小区 -仁和区,2室1厅 | 80平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 29天以前发布,27.9,"3,488元/平"
金瓯广场两室精装出售，满五，没有多余税,云锦金瓯广场 -九附二+九附六,2室1厅 | 75平米 | 东南 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 16天以前发布,36.5,"4,867元/平"
苗圃小区，竹湖园，精装修拧包入住,苗圃小区 -竹湖园,2室1厅 | 70平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,27,"3,858元/平"
一楼带花园，靠   近湖边，视野相当好。,康和南苑 -仁和区,2室2厅 | 78平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 29天以前发布,85,"10,898元/平"
普达阳光  北苑毛坯  跃层 康 养佳,普达阳光康和北苑 -仁和区,2室2厅 | 88.2平米 | 东南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,81,"9,184元/平"
普达阳光康养度假村 毛坯2室小洋房 环境优美  视野好,普达阳光康和北苑 -仁和区,2室2厅 | 88.2平米 | 东南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,76.8,"8,708元/平"
花城新区领地二期洋房清水两室中间楼层视野好出行方便,领地·阳光花城 -仁和区,2室2厅 | 84.4平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,75.5,"8,946元/平"
蓝湖二期 清水房 好改造 采光好视野开阔,蓝湖国际赛纳左岸 -清香坪,2室2厅 | 80平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,35,"4,375元/平"
曼哈顿精装修精品房源，自主出租均可,曼哈顿 -电影院+中心广场,1室2厅 | 70平米 | 东南 | 精装 | 低楼层(共29层)  | 塔楼,1人关注 / 一年前发布,35,"5,000元/平"
花城新区    御峰精装1室        带车位,高宇御峰 -仁和区,1室1厅 | 58平米 | 东 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,60,"10,345元/平"
金海世纪城，精装小户型，可读25.中小,金海世纪城 -炳三区,1室1厅 | 50平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 7个月以前发布,44,"8,800元/平"
攀钢小区  2室2厅1厨1卫/1200月  家具家电齐全,地龙箐攀钢房区 -九附二+九附六,2室2厅 | 68平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,26,"3,824元/平"
炳三区太谷广场清水现房出售可贷款看房方便有钥匙,太谷悦城 -炳三区,2室1厅 | 51平米 | 南 | 毛坯 | 中楼层(共20层)  | 暂无数据,1人关注 / 4个月以前发布,30,"5,883元/平"
就读三小八中，生活交通出行方便有沃尔玛大润发万象城,攀东雅居 -九附二+九附六,2室2厅 | 90平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 5个月以前发布,48,"5,334元/平"
竹湖园五医院旁就读3小8中环境好毛坯大两室房东急售,蝴蝶花园 -竹湖园,2室2厅 | 96平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,33,"3,438元/平"
江山里 1室小户型 低价出售，抓紧来看,江山里 -竹湖园,1室1厅 | 50平米 | 东南 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,31,"6,200元/平"
普达阳光康养度假  跃层  湖景房,普达阳光康和北苑 -仁和区,4室2厅 | 126.99平米 | 东南 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 7个月以前发布,128,"10,080元/平"
佳怡小区精装两室诚心出售钥匙在手说走就走,佳怡花园 -电影院+中心广场,2室2厅 | 121平米 | 南 北 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,44,"3,637元/平"
精装精品改建两室，环境幽静，舒适安全,龙发时代天街 -炳三区,2室2厅 | 64.17平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 7个月以前发布,52,"8,104元/平"
迎宾苑 2室1厅 南,迎宾苑 -瓜子坪,2室1厅 | 53平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,17,"3,208元/平"
竹湖园  紫荆山  老市委  紫荆一号  简装一室,紫荆一号 -竹湖园,1室1厅 | 28平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,23,"8,215元/平"
炳三区恒大城精装套三出售！出行方便，配套齐全 ！,恒大城 -炳三区,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,75,"7,010元/平"
精品一室一厅，精装修，家具家电齐全，拎包入住,临亚家园 -电影院+中心广场,1室1厅 | 52平米 | 东 东南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,28,"5,385元/平"
炳草岗次新小区简装电梯大套二，交通方便，随时可看,江山里 -竹湖园,2室1厅 | 77平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,39,"5,065元/平"
华芝精装房 带车位 拎包入住 诚心出售,华芝御景城熙苑四期 -仁和区,2室1厅 | 69.78平米 | 东南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,55.2,"7,911元/平"
百盛曼哈顿精装两室家电齐全拎包入住,振兴小区 -电影院+中心广场,2室2厅 | 98平米 | 东南 | 精装 | 高楼层(共15层)  | 暂无数据,2人关注 / 7个月以前发布,31,"3,164元/平"
竹湖园精装一室  出行方便  配套齐全,紫荆一号 -竹湖园,1室0厅 | 28平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,25,"8,929元/平"
阳城龙庭精装大两室房子户型方正,阳城龙庭 -九附二+九附六,2室2厅 | 65平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,42.8,"6,585元/平"
银泰两室精装出售，出行便利，设施齐全!,银泰商业城 -仁和区,2室2厅 | 65.55平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 10个月以前发布,47.9,"7,308元/平"
东南朝向格局，采光充足，冬天能晒到太阳，配套齐全,起辰和瑞广场 -仁和区,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,46,"5,750元/平"
公园大地精装两室户型朝南带大阳台,金泰公园大地 -炳三区,2室1厅 | 74平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,52.6,"7,109元/平"
炳三区金海精装一室配套成熟出行方便可落户,金海世纪城 -炳三区,1室1厅 | 43平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,1人关注 / 4个月以前发布,38,"8,838元/平"
炳三区 时代天街精装出售 南北通透 采光好,龙发时代天街 -炳三区,2室2厅 | 68平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,55,"8,089元/平"
瓜子坪精装房出售小高层绿化环境好出行方便,阳光馨园 -瓜子坪,2室2厅 | 93平米 | 东南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,35,"3,764元/平"
银泰精装修2室2厅凤凰楼层南北朝向价格可谈,银泰商业城 -仁和区,2室2厅 | 65平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,46,"7,077元/平"
银泰泰悦居，配套完善，交通便利，小区环境好,银泰城泰悦居 -仁和区,2室2厅 | 83.9平米 | 东南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 7个月以前发布,52,"6,198元/平"
炳二区力山箐华苑精装大两室户型方正东诚心出售,力山箐华苑 -九附二+九附六,2室2厅 | 80平米 | 东南 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 9个月以前发布,34.8,"4,350元/平"
九号公馆 仁和电梯跃层 带花园 大户型 绿化好 清水房,九号公馆 -仁和区,4室2厅 | 136.98平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,130.6,"9,535元/平"
悦山府精装修两室，保本卖，随时可以看,恒邦双林悦山府二期 -仁和区,2室2厅 | 66平米 | 东南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,45,"6,819元/平"
临亚家园精装两室拎包入住。近电影院，出行方便,临亚家园 -电影院+中心广场,2室2厅 | 65平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,1人关注 / 5个月以前发布,33,"5,077元/平"
领地·阳光花城 2室2厅 北,领地·阳光花城 -仁和区,2室2厅 | 68.42平米 | 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,55,"8,039元/平"
加州国际、两室两厅、精装修、家具齐全、好房出售,加州国际 -九附二+九附六,2室2厅 | 56平米 | 东南 | 精装 | 中楼层(共19层)  | 暂无数据,1人关注 / 1个月以前发布,33,"5,893元/平"
此房满二税费低，小区平稳安静，出行方便拎包入住。,龙江明珠 -九附二+九附六,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,48,"5,394元/平"
阳光花城，顶跃，采光良好视野好。,领地·阳光花城 -仁和区,4室2厅 | 121.79平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,128,"10,510元/平"
领地·阳光花城 2室1厅 东南,领地·阳光花城 -仁和区,2室1厅 | 75.18平米 | 东南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 3个月以前发布,62,"8,247元/平"
仁和香榭丽都二期 出门就是天星湖公园 出行方便,香榭丽都二期 -仁和区,2室2厅 | 79.8平米 | 东南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 6个月以前发布,44.8,"5,615元/平"
五十一菜市场旁，生活便利，视野开阔！,锦瑞金沙洲 -仁和区,2室2厅 | 89.35平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,42,"4,701元/平"
金海世界城正规一室出售 南北通透 家电齐全 交通方便,金海世纪城 -炳三区,1室1厅 | 50.4平米 | 南 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 11个月以前发布,41.6,"8,254元/平"
临亚三期小区 2室1厅  拎包入住 出行方便,临亚家园 -电影院+中心广场,2室1厅 | 65平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,31,"4,770元/平"
悦山府精装2室  楼层好  小区绿化好 出行方便,恒邦双林悦山府三期 -仁和区,2室2厅 | 66.51平米 | 南 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,52.9,"7,954元/平"
花城新区领地二期小户型，配套齐全，看房方便！,领地·阳光花城 -仁和区,2室2厅 | 75平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,48.8,"6,507元/平"
竹湖园电梯房紫荆一号精装房家具家电齐全可自住可出租,紫荆一号 -竹湖园,1室1厅 | 27.5平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 8个月以前发布,26,"9,455元/平"
此房是精装小户型，配套齐全，出行方便,领地·阳光花城 -仁和区,2室1厅 | 69平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,60,"8,696元/平"
金海精装大两室家具家电九成新出行方便拎包入住,金海世纪城 -炳三区,2室2厅 | 84.79平米 | 西北 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,59.8,"7,053元/平"
天星湖旁现房，七中旁、居住环境安静,书香里 -仁和区,2室2厅 | 75.78平米 | 东 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 8个月以前发布,38,"5,015元/平"
天星旁电梯现房，单价4000多，无风险，环境优美,书香里 -仁和区,2室2厅 | 75.78平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 8个月以前发布,36,"4,751元/平"
普达阳光康养大盘顶跃户型。视野好，采光通风好,普达阳光康和北苑 -仁和区,3室2厅 | 105平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,100,"9,524元/平"
环境优美  地段平购物方便底层出行方便精装修,虹桥巷 -仁和区,2室2厅 | 87.69平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,2人关注 / 4个月以前发布,36,"4,106元/平"
曼哈顿精装修两室，满五不唯一，诚心出售，可按揭,曼哈顿 -电影院+中心广场,2室2厅 | 74平米 | 东南 | 精装 | 低楼层(共29层)  | 塔楼,1人关注 / 4个月以前发布,33,"4,460元/平"
金海世纪城小高层 精装两室装修保持好 房东急售,金海世纪城 -炳三区,2室2厅 | 73平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,65,"8,905元/平"
领誉全新装修套二未入住房东诚心出售,领誉二期 -仁和区,2室2厅 | 78平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 10个月以前发布,45.5,"5,834元/平"
宁静优雅，温馨舒适，家具齐全，拎包入住,攀钢密地房区 -瓜子坪,2室1厅 | 61平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,17.8,"2,919元/平"
欧景丽苑住房出售装修保持好可拎包入住,欧郦景苑 -玉泉,2室1厅 | 74.4平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,29,"3,898元/平"
位于攀钢家属区装修保持良好家具家电齐全可拎包入住,清悦苑 -清香坪,2室1厅 | 57.1平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 10个月以前发布,16,"2,803元/平"
瓜子坪精装大两室房东诚心置换出售,阳光馨园 -瓜子坪,2室2厅 | 89平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,35.8,"4,023元/平"
金瓯精装两室出售出行方便领包入住随时可看房,云锦金瓯广场 -九附二+九附六,2室2厅 | 74平米 | 南 | 精装 | 中楼层(共23层)  | 暂无数据,5人关注 / 一年前发布,37.5,"5,068元/平"
曼哈顿精装一室一厅好房房东诚心出售,曼哈顿 -电影院+中心广场,1室1厅 | 69.7平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,36.8,"5,280元/平"
仁和鹭栖花园精装两室，诚心出售，价格公道可谈,鹭栖花园 -仁和区,2室2厅 | 78.44平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,50,"6,375元/平"
学府花园大两室精装修保持好随时看房,金海学府花园 -炳三区,2室2厅 | 93平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 9个月以前发布,60,"6,452元/平"
五十一品质小区，绿化好价钱便宜证件齐全,锦瑞金沙洲 -仁和区,2室2厅 | 82.22平米 | 东南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,42.2,"5,133元/平"
仁和河边简装两室 中间楼层 出行方便 配套成熟,攀钢小区三小区 -仁和区,2室2厅 | 71平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,32,"4,508元/平"
电梯房  两室两厅一厨一卫  现房  钥匙在手  随时可看,锦瑞金沙洲 -仁和区,2室2厅 | 89.7平米 | 东南 | 毛坯 | 中楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,41.9,"4,672元/平"
仁和区上城一期清水房大两室  看房方便随时可以看房,麓苑 -仁和区,2室2厅 | 89.26平米 | 西南 | 毛坯 | 中楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,55,"6,162元/平"
炳三区帝景华庭精装套二出售，装修温馨舒适！,远达帝景华廷 -炳三区,2室2厅 | 78平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,64,"8,206元/平"
仁和两室毛坯房  自由装修  单价三千多点 看房方便,鹭栖花园 -仁和区,2室2厅 | 78平米 | 东北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,32,"4,103元/平"
自由装修环境安静可以停车电梯房3室一厅,阳光家园 -仁和区,2室2厅 | 87.68平米 | 西南 | 精装 | 中楼层(共11层)  | 暂无数据,2人关注 / 7个月以前发布,36.8,"4,198元/平"
天星湖旁现房，七中旁、居住环境安静,书香里 -仁和区,2室2厅 | 75.78平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,1人关注 / 8个月以前发布,32,"4,223元/平"
阳光馨园、两室两厅、精装修、家具家电齐全、好房出售,阳光馨园 -瓜子坪,2室2厅 | 82平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,33,"4,025元/平"
仁和上城清水三室 一楼带花园 小区平坦 出行方便,九号公馆 -仁和区,2室2厅 | 88平米 | 东南 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,75.6,"8,591元/平"
四季花城 2室2厅 东南,四季花城 -仁和区,2室2厅 | 69.78平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,28,"4,013元/平"
五十一菜市场旁 全新装修一室 可以贷款小区平,锦瑞金沙洲 -仁和区,1室1厅 | 48平米 | 东南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,25,"5,209元/平"
五十一天桥旁   出行方便   小区安静  可停车,一通家园 -仁和区,2室2厅 | 81.13平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,32.8,"4,043元/平"
炳三区金海世纪城精装套二朝小区中庭出行方便视野开阔,金海世纪城 -炳三区,2室2厅 | 83平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 6个月以前发布,60,"7,229元/平"
五十一两室 三十万了 可以贷款 看房方便,宏富晶座 -仁和区,2室2厅 | 79平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,31,"3,925元/平"
出行方便配套齐全一室一厅中间楼层,锦瑞金沙洲 -仁和区,1室1厅 | 45.91平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,23,"5,010元/平"
五十一电梯房出行方便 下楼就可以买菜可贷款,锦瑞金沙洲 -仁和区,2室2厅 | 82.21平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 7个月以前发布,36.6,"4,453元/平"
五十一精装标准一室一厅毛坯价买精装电梯房可贷款,鑫岛花园 -仁和区,1室1厅 | 59.26平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 9个月以前发布,28.8,"4,860元/平"
炳三区  海德堡  天然氧吧  出行方便  欢迎看房,海德堡 -炳三区,3室2厅 | 102平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 一年前发布,68,"6,667元/平"
金科集美阳光三期洋房一梯两户，上公立幼儿园,金科集美阳光三期 -仁和区,3室2厅 | 89平米 | 东南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,65,"7,304元/平"
仁和上海花园中间楼层精装三居室出售家具家电一起出售,上海花园 -仁和区,3室2厅 | 132平米 | 西南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,69,"5,228元/平"
工行家属楼四室两厅两卫，交通方便，小区环境优美舒适,工行家属楼 -九附二+九附六,4室2厅 | 154.22平米 | 南 北 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,67.8,"4,397元/平"
仁和繁华地段 精装三室 全新装修 拎包入住,弯庄新村安置小区 -仁和区,3室2厅 | 120平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,55,"4,584元/平"
炳二区    炳东新居  精装三室  家具家电齐全,炳东新居 -九附二+九附六,3室2厅 | 103平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,43.5,"4,224元/平"
清香坪家属区精装修有停车位有花园有空调拎包入住,清悦苑 -清香坪,3室2厅 | 93平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,30.98,"3,332元/平"
蓝湖一期 两室两厅一卫 带平台好房出售 读三十六中小,蓝湖社区 -清香坪,2室2厅 | 88.44平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,38,"4,297元/平"
仁和湿地公园旁普达阳光洋房三室诚心出售价格公道,普达阳光康和北苑 -仁和区,3室2厅 | 101平米 | 南 | 毛坯 | 低楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,101,"10,000元/平"
仁和河景房，采光好，小洋房带阳台，户型方正,金泰观澜湾 -仁和区,4室2厅 | 133平米 | 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,115,"8,647元/平"
此房是商品房，满五唯一，近商场，交通便利，出行方便,攀西商厦 -清香坪,2室1厅 | 87平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,27,"3,104元/平"
仁和精装大户型150平出行方便配套成熟,和苑小区 -仁和区,4室2厅 | 149平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,75,"5,034元/平"
银泰精装修套三 朝小区中庭 户型方正,银泰城泰悦居 -仁和区,3室2厅 | 98平米 | 东 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,62,"6,327元/平"
仁和区老环巷六十四号院 3室1厅 南,仁和区老环巷六十四号院 -仁和区,3室1厅 | 139平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,51,"3,670元/平"
万达 攀大旁114平带花园阳台精装三室双卫带家具打包售,新宏国际社区 -九附二+九附六,3室2厅 | 114平米 | 东南 | 精装 | 中楼层(共24层)  | 暂无数据,1人关注 / 2个月以前发布,66,"5,790元/平"
此房户型方正，视野开阔，采光好，配套设施齐全.,宗意书香御景 -玉泉,3室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,53,"5,579元/平"
