标题,开发商,房子信息,发布信息,售价/万,单价
户型好正宗4室2厅2卫 朝南 正对中庭 装修保存完好,春天印象北区 -城北,4室2厅 | 132.76平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 4天以前发布,122.5,"9,228元/平"
房东诚售夜市百伦百货精装大套二带屋顶花园,郑州路东段47号 -广汉市,2室2厅 | 102.81平米 | 南 | 简装 | 高楼层(共6层)  | 平房,3人关注 / 一年前发布,19,"1,849元/平"
带花园顶跃电梯小洋房，可用面积大，得房率高,北城一号1期 -旌阳区,3室2厅 | 127.36平米 | 东 | 毛坯 | 高楼层(共17层)  | 板塔结合,11人关注 / 5个月以前发布,42,"3,298元/平"
老城区 电梯洋房 2016年房源 大两室 中间楼层 户型好,上官锦城 -文庙,2室2厅 | 81.39平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,10人关注 / 6个月以前发布,55.5,"6,820元/平"
精装套二拎包入住，户型方正采光好,福康瑞琪曼二期 -黄河片区,2室2厅 | 81.99平米 | 东北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,79,"9,636元/平"
电工厂标准套2 房东精装修 可以拎包入住 家电齐,电工厂 -东电生活区,2室2厅 | 75.88平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,11人关注 / 一年前发布,29.5,"3,888元/平"
教师新村  住家装  套二  交通教育成熟，84平物美价廉,教师新村 -绵竹市,2室2厅 | 84.67平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,6人关注 / 8个月以前发布,18.8,"2,221元/平"
老城区 南华春天 精装两室 拎包入住,南华春天 -文庙,2室1厅 | 87.78平米 | 东 东南 | 精装 | 高楼层(共31层)  | 暂无数据,20人关注 / 1个月以前发布,56.8,"6,471元/平"
美林康城 3室2厅 西,美林康城 -黄河片区,3室2厅 | 114平米 | 西 | 简装 | 高楼层(共19层)  | 暂无数据,0人关注 / 21天以前发布,115,"10,088元/平"
玉泉中层湖景房套三双卫格局好视野采光好，老证,金湖名城 -玉泉,3室2厅 | 101平米 | 西 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 18天以前发布,88.8,"8,793元/平"
顶跃带花园的房子 精装修带衣帽间 家具家电齐全,亲水滩 -经开区,3室2厅 | 135平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,80,"5,926元/平"
嘉皇心悦城 3室1厅 南,嘉皇心悦城 -旌东,3室1厅 | 95平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 18天以前发布,60,"6,316元/平"
城南五洲广场 买来出租 两套精装标准套一 户型方正,银鑫五洲广场 -五洲广场,2室2厅 | 81.5平米 | 东 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 7天以前发布,66,"8,099元/平"
精装房居住方便舒适，配套成熟，出行方便,金秋花园A组团 -岷山路小学,3室1厅 | 96.6平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,46,"4,762元/平"
万兴一品 3室2厅 南 北,万兴一品 -广汉市,3室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 板塔结合,0人关注 / 15天以前发布,96,"7,500元/平"
旌城一品 3室2厅 东,旌城一品 -黄河片区,3室2厅 | 124平米 | 东 | 精装 | 低楼层(共21层)  | 塔楼,0人关注 / 15天以前发布,112,"9,033元/平"
金石苑西区 3室2厅 南,金石苑西区 -东电生活区,3室2厅 | 145平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 13天以前发布,66,"4,552元/平"
旌南小区 3室1厅 南,旌南小区 -五洲广场,3室1厅 | 94平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 13天以前发布,60,"6,383元/平"
希望城玫瑰公馆 3室1厅 东南 西南,希望城玫瑰公馆 -黄河片区,3室1厅 | 111平米 | 东南 西南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 11天以前发布,100,"9,010元/平"
锦虹佳苑 2室1厅 东南,锦虹佳苑 -玉泉,2室1厅 | 120平米 | 东南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 4天以前发布,62.8,"5,234元/平"
碧桂园旌湖上镜 标准套四双卫 正临湖 带车位i,碧桂园旌湖上境 -万达广场,4室2厅 | 127平米 | 西 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 12天以前发布,110,"8,662元/平"
城南岷山路小 学旁边的房子  多层4楼  小区中 庭,金秋花园A组团 -岷山路小学,3室2厅 | 128.7平米 | 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,47,"3,652元/平"
华庭阳光 3室2厅 南 北,华庭阳光 -经开区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 10天以前发布,118,"9,834元/平"
黄河片区碧桂园经典小户型别墅独享百平花园生活,德阳碧桂园 -旌阳区,5室2厅 | 172.01平米 | 东 西 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 16天以前发布,320,"18,604元/平"
碧桂园1期花园里 2室2厅 南,碧桂园1期花园里 -旌阳区,2室2厅 | 87平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,78,"8,966元/平"
桂景花苑 3室2厅 南,桂景花苑 -玉泉,3室2厅 | 130.8平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 9天以前发布,58,"4,435元/平"
文庙广场生活和交通便利，配套成熟,南城根街16号 -文庙,2室1厅 | 96.6平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2天以前发布,39.8,"4,121元/平"
富康熙城 1室1厅 东南,富康熙城 -文庙,1室1厅 | 48平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 7天以前发布,32,"6,667元/平"
城南保利国际城 清水套四中间楼层采光好 带产权车位,保利翡丽湾（A区） -柳梢堰,4室1厅 | 153平米 | 西南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 14天以前发布,106,"6,929元/平"
吾悦华府 3室2厅 东,吾悦华府 -工农村,3室2厅 | 107平米 | 东 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 13天以前发布,81,"7,571元/平"
枕水小镇精装套三双卫 两梯两户 带产权车位 诚心出售,枕水小镇三期 -经开区,3室2厅 | 120.35平米 | 西南 | 精装 | 中楼层(共17层)  | 平房,0人关注 / 12天以前发布,140,"11,633元/平"
108北区 2室2厅 南 北,108北区 -岷山路小学,2室2厅 | 95.6平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,46.8,"4,896元/平"
泰安楼 3室2厅 南 西南,泰安楼 -岷山路小学,3室2厅 | 134.6平米 | 南 西南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,68,"5,053元/平"
此房老证，房东装修，配套设施齐全，直接拎包入住,旌阳区粮食局东外街职工宿舍 -石刻,3室1厅 | 102平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,57.8,"5,667元/平"
鸿成仁合府 3室2厅 东,鸿成仁合府 -高铁新区,3室2厅 | 103.72平米 | 东 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 2天以前发布,68,"6,557元/平"
黄河片区碧桂园经 典套三带车位,碧桂园二期时光里 -旌阳区,3室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 13天以前发布,85,"6,800元/平"
正基首席 2室2厅 南,正基首席 -经开区,2室2厅 | 67.43平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 3天以前发布,48,"7,119元/平"
宝山公寓 2室1厅 南 北,宝山公寓 -玉泉,2室1厅 | 70平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,35,"5,000元/平"
公园旁，湖景房，经典错层带大阳台25平，带电梯,翠湖花园 -旌东,4室2厅 | 188.94平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,8人关注 / 一年前发布,112,"5,928元/平"
精装修电梯高层，老证可拎包入住,南滨佳苑 -经开区,3室2厅 | 94.5平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,88,"9,313元/平"
城南塞纳湾精装大套三  配套设施齐全,黎康塞纳湾 -广汉市,3室2厅 | 101.65平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,85,"8,363元/平"
常德小区两室两厅交通便利小区环境干净舒适 适合居住,常德小区 -广汉市,2室2厅 | 78.5平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,28,"3,567元/平"
小区停车不花钱免费，没有物业费，有门卫,粮食局宿舍 -广汉市,3室1厅 | 85.84平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,14人关注 / 一年前发布,25,"2,913元/平"
不临街地震后框架结构内跃5跃六带花园精装套三双卫,盛世蜀景 -广汉市,3室2厅 | 106.92平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,59.8,"5,593元/平"
此房精装带家具家电，配套设施齐全，宜居,福康苑 -文庙,3室1厅 | 145.42平米 | 东 西 | 简装 | 高楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,71.8,"4,938元/平"
标准4室2厅2卫户型 小区中庭 中层 南北朝向,万兴花园 -玉泉,4室1厅 | 170.08平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,125,"7,350元/平"
天怡山景，三室两厅一卫，环境舒适，拎包入住,天怡山景 -旌东,3室2厅 | 106.56平米 | 南 北 | 简装 | 中楼层(共7层)  | 平房,4人关注 / 9个月以前发布,50,"4,693元/平"
城中繁华地段 桂花小区 套三 房东急卖,桂花小区 -广汉市,3室2厅 | 109.88平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,55人关注 / 一年前发布,29,"2,640元/平"
骏逸东山 3室2厅 东 南,骏逸东山 -黄河片区,3室2厅 | 107.18平米 | 东 南 | 精装 | 低楼层(共28层)  | 板塔结合,8人关注 / 一年前发布,93,"8,677元/平"
雍锦坊精装套三产权135.78平带独立车位,雍锦坊 -广汉市,3室2厅 | 135.78平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,87,"6,408元/平"
老城电梯房  楼层好 带平台 小区环境绿化好 配套齐全,卢浮世家 -绵竹市,3室2厅 | 90.82平米 | 西 | 精装 | 低楼层(共16层)  | 暂无数据,2人关注 / 一年前发布,70,"7,708元/平"
电梯洋房，楼层好，毛坯，大小区，环境优美,剑桥城 -绵竹市,3室2厅 | 109.04平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,62,"5,686元/平"
绵竹老城区河景电梯房 小区绿化好 标准三室 居家装修,仟坤国际 -绵竹市,3室2厅 | 119.41平米 | 南 | 其他 | 高楼层(共9层)  | 暂无数据,2人关注 / 7个月以前发布,74,"6,198元/平"
黄河片区大3室南向，3-2-1-2,黄金海岸 -黄河片区,3室2厅 | 142.83平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,102,"7,142元/平"
万兴魅力城南区3-2-1-2 138.00m² 130万,万兴魅力城南区 -黄河片区,3室2厅 | 138.11平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,100,"7,241元/平"
精装修、拎包入住、配套成熟、小区环境安静,鲁能南域中央 -五洲广场,4室2厅 | 125.33平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,95.8,"7,644元/平"
精装套2，拎包入住，老证税低，配套齐全,108南区 -岷山路小学,2室1厅 | 52.06平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,24.6,"4,726元/平"
精装电梯套3双卫 老证 有钥匙,香槟城金色明天 -高铁新区,3室1厅 | 96.99平米 | 东 | 精装 | 低楼层(共26层)  | 板塔结合,4人关注 / 6个月以前发布,59,"6,084元/平"
美丰苑B区 2室2厅 南,美丰苑B区 -德什路口,2室2厅 | 90.94平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,28,"3,079元/平"
佛山小区套三中间楼层诚心出售，低税,佛山小区 -广汉市,3室2厅 | 87.06平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,29.8,"3,423元/平"
南北通透 精装修 可拎包入住 有大阳台,仟坤国际 -绵竹市,3室2厅 | 121.97平米 | 南 北 | 精装 | 低楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,79,"6,478元/平"
视野开阔，采光充足，配套设施齐全，物业安保齐全,流星花园 -绵竹市,3室2厅 | 131.92平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,60,"4,549元/平"
精装套三，抬高1楼，拎包入住。诚心出售,四季景园 -玉泉,3室2厅 | 122.89平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,68.8,"5,599元/平"
此房老证，一梯两户，低楼层，上下楼方便。,书香门第 -玉泉,3室2厅 | 123.18平米 | 西 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,67,"5,440元/平"
三星丰泰苑 3室2厅 西,三星丰泰苑 -绵竹市,3室2厅 | 93.97平米 | 西 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,38.5,"4,098元/平"
城南 保利国际城  精装套四  中间楼层 视野开阔,保利翡丽湾（A区） -柳梢堰,4室2厅 | 153.03平米 | 西南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 6个月以前发布,138,"9,018元/平"
河边多层套三双卫老证空户诚心出售,沙河街26号 -岷山路小学,3室2厅 | 127.27平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,46.8,"3,678元/平"
黄河片区  精装四室  可拎包入住,旌城丽都 -玉泉,4室2厅 | 155平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,81,"5,226元/平"
东方阁套三双卫户型好精装带家具家电拎包入住,东方阁 -城北,3室1厅 | 122平米 | 东 西 | 精装 | 低楼层(共28层)  | 塔楼,10人关注 / 一年前发布,90,"7,378元/平"
顶跃复式住宅，高品质舒适改善房！,奥园玖珑湾 -广汉市,4室2厅 | 139.14平米 | 东 | 毛坯 | 高楼层(共14层)  | 板塔结合,3人关注 / 9个月以前发布,96.8,"6,958元/平"
水岸花都 顶跃 清水 5室 带花园,中亚水岸花都 -五洲广场,5室3厅 | 250.32平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,172,"6,872元/平"
房东诚心出售，房子还在，看房提前预约！,学道苑 -旌东,4室2厅 | 178.6平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,81,"4,536元/平"
城北怡景花园房东诚心出售 看房方便,怡景花苑 -广汉市,4室1厅 | 248.36平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,8人关注 / 一年前发布,118,"4,752元/平"
离河边近!单价4000多点!跃层带露台《旌湖佳苑B区》,旌湖佳苑B区 -旌东,4室2厅 | 253平米 | 西北 | 简装 | 高楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,111.5,"4,408元/平"
四室双卫的户型，视野宽阔，采光充足，配套齐全,米市街米市巷15号 -广汉市,4室2厅 | 208平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,73,"3,510元/平"
民航飞行学院旁航空小区优质双拼别墅,航空小区 -广汉市,5室3厅 | 298.91平米 | 西南 | 毛坯 | 低楼层(共4层)  | 平房,15人关注 / 一年前发布,175,"5,855元/平"
金雁苑简装套四，带内跃，交通方便，生活设施配套齐全,金雁苑 -广汉市,4室2厅 | 120.53平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,32,"2,655元/平"
此房为套四，户型方正，采光充足，视野宽阔，交通便利,金雁湖小区 -广汉市,4室2厅 | 179.64平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,50,"2,784元/平"
东泰翡翠郡底楼层，清水 格局无变动 满二 房东急售,东泰翡翠郡 -广汉市,3室1厅 | 104.87平米 | 南 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 一年前发布,65.6,"6,256元/平"
小区环境优美，次新小区，绿化好，心旷神怡,东泰翡翠郡 -广汉市,3室2厅 | 121.66平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,20人关注 / 一年前发布,76.5,"6,289元/平"
翡翠郡清水套三，户型方正 ，房东急售,东泰翡翠郡 -广汉市,3室2厅 | 100.3平米 | 北 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 一年前发布,68,"6,780元/平"
向阳幸福新区简装跃层套四 150平单价三千多,向阳幸福新区 -广汉市,4室3厅 | 150平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,48,"3,200元/平"
物业管理成熟费用便宜，人车分流刷卡进入，保安24小时,黎康塞纳湾 -广汉市,3室2厅 | 112平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,65,"5,804元/平"
旌东好房出售  怡馨苑精装三室   生活交通便利,怡馨苑 -旌东,3室2厅 | 127平米 | 东 | 简装 | 中楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,50,"3,938元/平"
园丁苑C区 3室2厅 南,园丁苑C区 -旌东,3室2厅 | 134平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,50,"3,732元/平"
主城区，电梯楼层居中，套三双卫，采光充足,江岸铭座 -广汉市,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,66.8,"5,567元/平"
九江路东嘉苑 城南繁华地段近沃尔玛 环境静谧,九江路东嘉苑 -广汉市,4室2厅 | 175平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,40,"2,286元/平"
世家左岸半岛 4室2厅 南,世家左岸半岛 -五洲广场,4室2厅 | 158.34平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,9人关注 / 10个月以前发布,90,"5,684元/平"
小区环境安静，配套齐全。适合居住。,龙桥广场小区 -石刻,3室2厅 | 120平米 | 东 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,63.8,"5,317元/平"
景苑小区4-2-1-2 140.00m² 50 万,景苑小区 -广汉市,4室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,45,"3,215元/平"
剑桥城 4室2厅 南,剑桥城 -绵竹市,4室2厅 | 117.32平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,56,"4,774元/平"
鼎虹市场旁 清水顶跃带双花园 水电已改好,鼎虹蓝城 -五洲广场,5室2厅 | 165.68平米 | 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,11人关注 / 一年前发布,103,"6,217元/平"
精装三室 顶跃精装 户型方正 采光好 老证,水岸花都2云景 -五洲广场,5室2厅 | 130平米 | 东 | 精装 | 高楼层(共21层)  | 塔楼,5人关注 / 一年前发布,258,"19,847元/平"
印象戛纳多层顶跃带屋顶花园，精装三室，拎包入住,印象戛纳 -旌阳区,4室2厅 | 190平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,129,"6,790元/平"
碧桂园凤凰台双拼美墅，带花园位置安逸的很，花园还大,德阳碧桂园 -旌阳区,5室3厅 | 223平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,6人关注 / 11个月以前发布,315,"14,126元/平"
东泰翡翠郡，已交付清水房，满0,东泰翡翠郡 -广汉市,3室2厅 | 108平米 | 南 | 毛坯 | 21层  | 塔楼,0人关注 / 11个月以前发布,70,"6,482元/平"
德福苑 4室2厅 东南,德福苑 -石刻,4室2厅 | 165平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 4个月以前发布,71.5,"4,334元/平"
"瑞琪曼电梯多层洋房顶跃带花园,带产权大车位一起打包",福康瑞琪曼二期 -黄河片区,4室2厅 | 180平米 | 南 北 | 精装 | 高楼层(共10层)  | 板塔结合,2人关注 / 10个月以前发布,300,"16,667元/平"
帝景国际精装顶跃 户型方正 面积无浪费,东泰帝景国际 -广汉市,4室2厅 | 142平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 一年前发布,214.8,"15,127元/平"
地 王豪庭 7室3厅 交通便利 顶跃带花园 适合居住,地王豪庭 -黄河片区,7室3厅 | 239.48平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,9人关注 / 一年前发布,237,"9,897元/平"
东西大街 大套三，欢迎看房。业主诚心卖,酒厂宿舍 -广汉市,3室2厅 | 138.25平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,39.8,"2,879元/平"
人车分流，适合老人散步 ，小孩玩耍，物业很负责,金雁·欧城联邦 -广汉市,3室1厅 | 130平米 | 南 | 毛坯 | 11层  | 塔楼,1人关注 / 一年前发布,110,"8,462元/平"
川师 精装电梯套二，带车位出售,川师学府城 -广汉市,2室1厅 | 81平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,2人关注 / 5个月以前发布,55.8,"6,889元/平"
市区奥园玖珑湾，房东亏血大处理。,奥园玖珑湾 -广汉市,5室2厅 | 136.17平米 | 东北 | 毛坯 | 低楼层(共14层)  | 板塔结合,17人关注 / 一年前发布,74.89,"5,500元/平"
龙院 广汉别墅区 此房没有浪费 房东诚心出售,龙院 -广汉市,5室3厅 | 398平米 | 南 北 | 精装 | 3层  | 板楼 | 独栋别墅 ,3人关注 / 一年前发布,567,"14,247元/平"
带平台，蔚蓝郡125平，清水套3，钥匙在手方便看房,蔚蓝郡 -广汉市,3室2厅 | 122平米 | 南 | 毛坯 | 低楼层(共24层)  | 塔楼,18人关注 / 一年前发布,67,"5,492元/平"
广汉城西片区，万悦城清水套三双卫 三面采光,华景川万悦城 -广汉市,3室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,62.9,"5,331元/平"
此房为套五，户型方正，采光充足，视野宽阔，交通便利,景苑小区 -广汉市,5室2厅 | 139.95平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,39.8,"2,844元/平"
城西临新广一中，川师学府城三室二厅一厨双卫,川师学府城 -广汉市,3室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,53.8,"4,599元/平"
精装大套三 业主装修花了30多万 急售带品牌家具家电,蓝天园 -广汉市,3室2厅 | 161平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,75.8,"4,709元/平"
碧桂园凤凰台美墅，把头位置，花园200多平，视野开阔,德阳碧桂园 -旌阳区,5室3厅 | 223平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,3人关注 / 11个月以前发布,360,"16,144元/平"
万达旁帝王豪庭套五平层对中庭朝南,地王豪庭 -黄河片区,5室2厅 | 159.88平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,6人关注 / 一年前发布,156,"9,758元/平"
跃层大户型，精装六室，户型方正,浏阳名苑 -广汉市,6室3厅 | 223平米 | 西北 | 精装 | 低楼层(共3层)  | 板楼,4人关注 / 一年前发布,175,"7,848元/平"
万达旁帝王豪庭套五平层对中庭朝南,地王豪庭 -黄河片区,5室2厅 | 159.88平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,6人关注 / 一年前发布,156,"9,758元/平"
湖景湾 4室3厅 东南,湖景湾 -黄河片区,4室3厅 | 200平米 | 东南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,258,"12,900元/平"
此房多层低总价.，多层公摊小，采光好，看房方便,段家坝B区 -天元,2室1厅 | 75平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,19人关注 / 一年前发布,22.5,"3,000元/平"
电梯洋房，低总价，户型格局好，区域书香氛围浓厚,剑桥城 -绵竹市,4室2厅 | 118.45平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 8个月以前发布,55,"4,644元/平"
地，王豪庭 30跃31 视野开阔正黄河片区,地王豪庭 -黄河片区,8室2厅 | 229平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,5人关注 / 一年前发布,200,"8,734元/平"
房屋精装修，居住舒适，可拎包入住，设计合理,嘉美花苑 -东电生活区,2室2厅 | 85.44平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,4人关注 / 一年前发布,34.5,"4,038元/平"
汇乐馨苑 160大平层 大三房 精装修看房方便,汇乐馨苑 -旌东,3室2厅 | 160平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,80,"5,000元/平"
地 王豪庭顶跃诚心出售 稀有户型 随时看房,地王豪庭 -黄河片区,7室2厅 | 198平米 | 东 西 | 简装 | 高楼层(共24层)  | 板楼,8人关注 / 一年前发布,208,"10,506元/平"
城南 跃层带花园，户型方正，小区停车方便，老证,馨竹苑 -五洲广场,5室3厅 | 196平米 | 东 | 精装 | 高楼层(共6层)  | 塔楼,1人关注 / 2个月以前发布,88,"4,490元/平"
剑桥城 4室2厅 南,剑桥城 -绵竹市,4室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,65,"5,509元/平"
城北 万达商圈 黄河片区 玫瑰园 可迁户  4房 朝向南,德阳希望城东区 -黄河片区,4室2厅 | 93.7平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,1人关注 / 3个月以前发布,72,"7,685元/平"
地  豪庭小高顶跃，正对小区中庭坐北朝南通透户型,地王豪庭 -黄河片区,5室2厅 | 185平米 | 北 南 | 毛坯 | 高楼层(共19层)  | 板楼,11人关注 / 一年前发布,185,"10,000元/平"
此房视野宽阔，采光好通风好，环境好，物业费低,流金岁月 -德什路口,4室2厅 | 139.1平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,43人关注 / 一年前发布,48,"3,451元/平"
鼎虹嘉苑三期B区 空户 精装三室家具家电齐全,鼎虹嘉苑三期 -五洲广场,3室2厅 | 108平米 | 东 | 精装 | 高楼层(共6层)  | 塔楼,10人关注 / 一年前发布,39.8,"3,686元/平"
黄河片区  东江首府  大平层  全临湖,东江首府 -玉泉,6室1厅 | 185平米 | 西北 | 毛坯 | 高楼层(共29层)  | 塔楼,12人关注 / 一年前发布,188,"10,163元/平"
房子户型方正，小区绿色的环形跑道，游泳池，网球场,剑桥城 -绵竹市,4室2厅 | 118.23平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,51,"4,314元/平"
房子户型方正，小区绿色的环形跑道，游泳池，网球场,剑桥城 -绵竹市,5室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,58,"4,916元/平"
电梯花园洋房小区采用人脸识别安全性高绵竹第二大小区,剑桥城 -绵竹市,5室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 7个月以前发布,55,"4,662元/平"
奥园大顶跃！看房方便，提前联系,奥园玖珑湾 -广汉市,5室2厅 | 168平米 | 南 | 毛坯 | 高楼层(共14层)  | 塔楼,6人关注 / 一年前发布,106,"6,310元/平"
