标题,开发商,房子信息,发布信息,售价/万,单价
御景苑电梯中层商品房，南北通透大H户型，单价低！,御景苑三期 -元宝区,2室2厅 | 98.56平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 3天以前发布,74,"7,509元/平"
泰和花园 跃层 视野好 前后大露台,泰和花园(宽甸满族自治县) -元宝区,3室2厅 | 150平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,102.8,"6,854元/平"
阳光充足，无遮挡，，，，，，，，,金海寶山新城 -元宝区,2室1厅 | 89.5平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,8人关注 / 一年前发布,55,"6,146元/平"
采光好，阳光充足，交通方便，女人街华润万家,茂生胡同 -元宝区,2室1厅 | 78.12平米 | 东 西 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,46,"5,889元/平"
林江名称步梯洋房，阳光充足，视野开阔。,林江名城 -元宝区,3室3厅 | 121.33平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,63,"5,193元/平"
丹建锦园 步梯 通透格局 户型规整 拎包入住,丹建锦园 -振兴区,3室2厅 | 120.15平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,75,"6,243元/平"
绿丹公寓 步梯三楼 60平花园  永昌十九 实木装修,绿丹公寓 -振兴区,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 11个月以前发布,167.9,"11,908元/平"
户型板正 采光好 楼层低 交通便利,六合街 -振兴区,2室2厅 | 80平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,45,"5,625元/平"
丰茂小区 步梯3楼 两室两厅 南北 商品房 可贷款,丰茂小区 -元宝区,2室2厅 | 98平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 10个月以前发布,56,"5,715元/平"
楼层好 位置好 南北通透 精装修 一看即中 欢迎看房,知春园 -振兴区,2室2厅 | 122.13平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,127,"10,399元/平"
聚隆公园 电梯好楼层 精装修 看房方便,聚隆公园 -元宝区,2室2厅 | 90.29平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,94.8,"10,500元/平"
房本满五唯一  老式装修  可贷款  南北通透   采光好,鸿安新村 -振兴区,3室2厅 | 137.74平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 一年前发布,85,"6,172元/平"
月亮岛界河明珠 三室两厅两卫 精装修 拎包入住,月亮岛界河明珠 -振兴区,3室2厅 | 171.77平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 7个月以前发布,258,"15,021元/平"
锦绣花园 3室2厅 南 北,锦绣花园 -振兴区,3室2厅 | 136.69平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,115,"8,414元/平"
福鼎花园 2室2厅 南 北,福鼎花园 -振兴区,2室2厅 | 75.76平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,9人关注 / 一年前发布,48.5,"6,402元/平"
江景湖畔两室两厅五明户型封闭园区一览青年湖,江景湖畔 -振兴区,2室1厅 | 106平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,1人关注 / 8个月以前发布,137.8,"13,000元/平"
鹏程杰座，优质商圈，带30平前花园 毛坯,鹏城杰座 -元宝区,3室1厅 | 140平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 7个月以前发布,140,"10,000元/平"
万达华府精装修 拎包入住 全天阳光,万达华府 -振兴区,3室2厅 | 134平米 | 东 西 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 4个月以前发布,135,"10,075元/平"
佳兆业两居室，南北朝向，格局规整，婚房装修,佳兆业壹号 -振兴区,2室2厅 | 83.17平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,6人关注 / 4个月以前发布,69.9,"8,405元/平"
红房顶楼可贷款，满五带租客出售，看房方便,桃源逸景花園 -振兴区,2室1厅 | 91.08平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,50,"5,490元/平"
三室  电梯  中层  阳光好 视野好  看房方便,宗裕城C区 -元宝区,3室2厅 | 144.3平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,77,"5,337元/平"
满五唯一，越三层，不漏水，视野开阔,锦江佳园 -振兴区,4室4厅 | 205.7平米 | 南 北 | 简装 | 高楼层(共25层)  | 板楼,8人关注 / 一年前发布,168,"8,168元/平"
丹东市新城区本钢新城小区房源出售,本钢新城佳园 -振兴区,3室2厅 | 131.35平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,3人关注 / 一年前发布,72,"5,482元/平"
：环境清幽 人文朴实 采光足 配套基本齐全,山上三幼街 -振兴区,2室2厅 | 89.6平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 9个月以前发布,25,"2,791元/平"
聚隆公园商品房 电梯高层一线江景 金汤十七,聚隆公园 -元宝区,3室1厅 | 138.66平米 | 南 北 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 4个月以前发布,149.5,"10,782元/平"
翰林院 步梯中层 阳光好 无遮挡 出行便利。,嘉利金山翰林苑 -元宝区,2室1厅 | 62.5平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,37.5,"6,000元/平"
南北朝向格局 户型好 没有遮挡 采光好。,金桥小区 -元宝区,2室2厅 | 90平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 一年前发布,56,"6,223元/平"
御景苑二期 电梯中层 三室两厅两卫 拎包入住 可贷款,御景苑三期 -元宝区,3室2厅 | 129.18平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,6人关注 / 一年前发布,130,"10,064元/平"
聚隆城上城商品房，户型规整，阳光好！,聚隆城尚城 -元宝区,4室2厅 | 187平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,260,"13,904元/平"
丹建佳园小区 封闭式园区  户型好 落地窗 步梯矮层,丹建佳园 -元宝区,2室1厅 | 111平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,102,"9,190元/平"
电梯高层，阳光充足，户型规整，能看江！,江景之都 -元宝区,2室1厅 | 114.5平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,3人关注 / 一年前发布,105,"9,171元/平"
香江佳园  四室两厅一卫 电梯跃层 新中式装修,香江佳园 -振兴区,4室2厅 | 153.62平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,10人关注 / 8个月以前发布,143,"9,309元/平"
御景苑二期  电梯  两室 阳光很好,御景苑二期 -元宝区,2室1厅 | 55.52平米 | 南 西 | 简装 | 低楼层(共15层)  | 塔楼,1人关注 / 2个月以前发布,22.2,"3,999元/平"
聚隆公园 户型规整 精装修 干净整洁，阳光好，园区好,聚隆公园 -元宝区,3室2厅 | 140.12平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,3人关注 / 一年前发布,130,"9,278元/平"
新世纪花园，电梯4楼，拎包即住,新世纪花园 -振兴区,3室2厅 | 125.96平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,100,"7,940元/平"
电梯跃层 通透户型 四室两卫 交通便利,江滨麗园 -振兴区,4室3厅 | 182.01平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,9人关注 / 一年前发布,130,"7,143元/平"
此房满二，南北通透格局好，3室2厅1卫！视野开阔,中联江景 -振兴区,3室2厅 | 180平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,0人关注 / 2个月以前发布,160,"8,889元/平"
商品房 封闭园区  适合做任何生意 商品房 格局户型好,清花园小区 -振兴区,3室2厅 | 110.38平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,13人关注 / 一年前发布,41.8,"3,787元/平"
曙光公寓，珍珠泡加油站旁，公交总站，跃层，露台，,曙光公寓 -振安区,3室2厅 | 124平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,38.6,"3,113元/平"
鸿景园 步梯 业主诚心出售 精装修 跃层 有露台,鸿景园 -振兴区,3室2厅 | 90.69平米 | 南 北 | 精装 | 高楼层(共4层)  | 板塔结合,0人关注 / 1个月以前发布,77,"8,491元/平"
此房是 格局规整 楼层好 视野开阔， 交通便利,绿苑小区 -振兴区,4室2厅 | 155.14平米 | 东 西 | 毛坯 | 低楼层(共8层)  | 板塔结合,0人关注 / 2个月以前发布,79.8,"5,144元/平"
满五年  首付不高 地点好 交通方便 有市场！,麦克小区 -元宝区,3室2厅 | 117.68平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,13人关注 / 一年前发布,46.2,"3,926元/平"
：曙光公寓 步梯中层 商品房 阳光好 可贷款,曙光公寓 -振安区,2室2厅 | 104平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,48.5,"4,664元/平"
：曙光公寓 步梯中层 商品房 阳光好 可贷款,曙光公寓 -振安区,2室2厅 | 104平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,48.5,"4,664元/平"
永昌步梯商品南北通透有大阳台一梯两户,永昌社区 -振兴区,2室2厅 | 121.65平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 7个月以前发布,62,"5,097元/平"
溪山一号封闭园区，婚房装修，小区环境好，物业好。,恒景溪山壹号 -振安区,2室2厅 | 114.9平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,84.8,"7,381元/平"
电梯高层 一线江景 户型好 视野好 南北向 可贷款,华盛玫瑰港湾南区 -振安区,2室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,2人关注 / 一年前发布,97.8,"8,655元/平"
满五年  首付不高 地点好 交通方便 有市场！,麦克小区 -元宝区,3室2厅 | 117.68平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,13人关注 / 一年前发布,46.2,"3,926元/平"
江景视野开阔可看整个鸭绿江 全天阳光 全实木装修,金海·江畔国际 -振安区,3室2厅 | 275.65平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,2人关注 / 一年前发布,314.5,"11,410元/平"
此房是 格局规整 楼层好 视野开阔， 交通便利,绿苑小区 -振兴区,4室2厅 | 155.14平米 | 东 西 | 毛坯 | 低楼层(共8层)  | 板塔结合,0人关注 / 2个月以前发布,79.8,"5,144元/平"
御景苑前排洋房，精装修拎包入住，不上坡，可贷款,御景苑 -元宝区,3室2厅 | 150平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,180,"12,000元/平"
新世纪花园，电梯4楼，拎包即住,新世纪花园 -振兴区,3室2厅 | 125.96平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,100,"7,940元/平"
步梯好楼层 精装修 阳光很好  湖景,香海花园 -振兴区,3室2厅 | 157平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,6人关注 / 11个月以前发布,105,"6,688元/平"
御景苑一期低楼层3室，光线视野好，拎包即住,御景苑一期 -元宝区,3室1厅 | 101.35平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合,10人关注 / 7个月以前发布,52,"5,131元/平"
滨江凯旋门，1楼，3居室，出小区就是江边,滨江凯旋门 -振兴区,3室1厅 | 114.11平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 11个月以前发布,65,"5,697元/平"
御景苑二期  电梯  两室 阳光很好,御景苑二期 -元宝区,2室1厅 | 55.52平米 | 南 西 | 简装 | 低楼层(共15层)  | 塔楼,1人关注 / 2个月以前发布,22.2,"3,999元/平"
香江佳园  四室两厅一卫 电梯跃层 新中式装修,香江佳园 -振兴区,4室2厅 | 153.62平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,10人关注 / 8个月以前发布,143,"9,309元/平"
此房满五市区中间近江边，华美，步行街，女人街,东海小区 -元宝区,2室1厅 | 98平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,44,"4,490元/平"
福鼎花园 ，，电梯中层，，阳光好。。,福鼎花园 -振兴区,2室1厅 | 63.3平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,19人关注 / 一年前发布,40,"6,320元/平"
金地广场商品房，阳光好，楼层好，地理位置好。,金地廣塲 -元宝区,2室2厅 | 123.86平米 | 南 | 简装 | 高楼层(共25层)  | 板楼,0人关注 / 8个月以前发布,86.8,"7,008元/平"
长隆家园 跃层三室两厅两卫 格局合理 户型通透,長隆家園 -振安区,3室2厅 | 168.62平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,81.8,"4,852元/平"
绿城紫金城一楼带花园精装修，可拎包入住三居室,绿城紫金园 -振兴区,3室2厅 | 140.96平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,8人关注 / 一年前发布,175,"12,415元/平"
城建小区 户型规整 采光好 交通便利 配套设施齐全,城建小区 -振兴区,2室1厅 | 60.4平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,25,"4,140元/平"
此地城建小区 户型规整 采光好 交通便利 配套设施齐全,城建小区 -振兴区,2室1厅 | 60平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 2个月以前发布,25,"4,167元/平"
安美小区商品房  步梯2楼  可以贷款 看房方便,安美小区 -元宝区,2室2厅 | 93.17平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,5人关注 / 9个月以前发布,55.6,"5,968元/平"
金海·江畔国际小区三室两厅两卫，精装修房屋出售。,金海·江畔国际 -振安区,3室2厅 | 129平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 4个月以前发布,114.5,"8,876元/平"
南向  两室一厅  精装修  拎包入住,五州东都屹景 -元宝区,2室1厅 | 77平米 | 北 | 精装 | 高楼层(共34层)  | 板楼,10人关注 / 一年前发布,45.6,"5,923元/平"
此房在月亮岛内，商品步梯4楼，南北向，采光充足,园林样板小区 -振兴区,4室2厅 | 178.32平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,123,"6,898元/平"
官电小区 金汤十七中 采光好 标准的3室2厅1卫,官电小区 -元宝区,3室2厅 | 101.59平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,18人关注 / 一年前发布,46.5,"4,578元/平"
电梯精装修 格局好 户型呱呱板正 位置好,宗裕城A区 -元宝区,2室1厅 | 95.5平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,64.8,"6,786元/平"
此房满五唯一 电梯好楼层 前后无遮挡 私产。,华美馨园小区 -振兴区,3室2厅 | 189平米 | 南 北 | 简装 | 低楼层(共16层)  | 板塔结合,8人关注 / 一年前发布,120,"6,350元/平"
金海·滨江3号园景房 五明户型 通透正看园区光线好,金海·滨江3号 -振安区,3室2厅 | 134.36平米 | 南 北 | 精装 | 低楼层(共30层)  | 塔楼,2人关注 / 6个月以前发布,190,"14,142元/平"
玫瑰港湾 南区 一室两厅 南北通透,华盛玫瑰港湾南区 -振安区,2室1厅 | 69平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 11个月以前发布,40,"5,798元/平"
金海宝山新城小区，电梯底层，中等装修！前后无遮挡！,金海寶山新城 -元宝区,4室2厅 | 165平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,9人关注 / 一年前发布,186,"11,273元/平"
金海永安花园 地理位置优越 交通便利,金海永安花园 -元宝区,2室1厅 | 101.5平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,10人关注 / 一年前发布,50,"4,927元/平"
电梯房，交通便利 步行即可到达拎包入住,鹏城时代小区 -振兴区,3室1厅 | 89.91平米 | 东 南 北 | 毛坯 | 低楼层(共14层)  | 板楼,6人关注 / 8个月以前发布,63,"7,008元/平"
鸿安新村 精装修 拎包入住 可贷款 近万达二院,鸿安新村 -振兴区,2室2厅 | 91.88平米 | 东 西 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 9个月以前发布,45,"4,898元/平"
阳光明媚，有装修，地热，进屋就能住,武警楼 -振安区,2室1厅 | 57平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,26.7,"4,685元/平"
虹桥小区，三室两厅，低楼层，商品房，近商圈*市，,虹桥小区 -元宝区,3室2厅 | 108.5平米 | 南 北 | 简装 | 低楼层(共8层)  | 塔楼,10人关注 / 一年前发布,55,"5,070元/平"
金汤 十七  通透双阳卧 交通便利,城建开发小区 -振兴区,2室1厅 | 62.73平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,27,"4,305元/平"
站前 6 满五唯一 2室 步梯 配套设施齐全 交通便利,六纬路85号 -振兴区,2室1厅 | 68.98平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,6人关注 / 9个月以前发布,33.8,"4,900元/平"
宗裕城C区  电梯两室 精装修,宗裕城C区 -元宝区,2室1厅 | 77平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,53,"6,884元/平"
伊山风景 电梯 精装修 3室 阳光视野好,金地•伊山风景 -元宝区,3室2厅 | 128.6平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,143,"11,120元/平"
益荣佳园 2室2厅 南 北,益荣佳园 -振兴区,2室2厅 | 87平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 29天以前发布,57,"6,552元/平"
华盛玫瑰港湾南区 3室2厅 南 北,华盛玫瑰港湾南区 -振安区,3室2厅 | 147平米 | 南 北 | 其他 | 低楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,132,"8,980元/平"
保利高层一楼三居室，央企大品牌，看房方便、,保利·香槟国际 -振兴区,3室1厅 | 130.86平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 26天以前发布,82,"6,267元/平"
月亮岛界河明珠小区 一线江景 6号楼好户型 有钥匙,月亮岛界河明珠 -振兴区,2室2厅 | 110.58平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 17天以前发布,119,"10,762元/平"
电梯5楼，楼层好，位置好，光线好,聚隆C区 -元宝区,2室1厅 | 74平米 | 南 北 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 31天以前发布,58,"7,838元/平"
东平嘉苑 带花园 带车位 储物间 南北通透两居 可贷款,东平嘉苑A区 -振安区,2室1厅 | 63平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 27天以前发布,32,"5,080元/平"
九江丽都 电梯中层 纯私产 拎包入住 可贷款,九江丽都 -元宝区,2室1厅 | 71.09平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 28天以前发布,46,"6,471元/平"
交通便利 ，阳光充足，视野开阔。独栋别墅,保利江山墅 -振兴区,6室2厅 | 420平米 | 东 南 北 西 | 其他 | 低楼层(共2层)  | 暂无数据,1人关注 / 8个月以前发布,1065,"25,358元/平"
独栋别墅，阳光充足，交通便利，,保利江山墅 -振兴区,6室2厅 | 290.13平米 | 东 南 西 北 | 其他 | 低楼层(共2层)  | 暂无数据,3人关注 / 8个月以前发布,820,"28,264元/平"
佳兆业一号 联排别墅 南北朝向 格局好 好位置一线江景,佳兆业壹号 -振兴区,8室4厅 | 260平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,2人关注 / 一年前发布,450,"17,308元/平"
独栋大别墅 车库 地下室 花园 一应俱全,保利江山墅 -振兴区,6室4厅 | 770平米 | 东 南 西 北 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 8个月以前发布,1335,"17,338元/平"
丹东别墅宅院，采光视野无可挑剔，看房便利,保利江山墅 -振兴区,5室4厅 | 251平米 | 东 西 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 3个月以前发布,479,"19,084元/平"
滨江壹号联排别墅小面积，业主诚心出售,滨江壹号 -振兴区,2室2厅 | 168平米 | 南 北 | 其他 | 3层  | 板楼 | 联排别墅 ,8人关注 / 9个月以前发布,120,"7,143元/平"
林江名城 精装看房方便，业主急售 大一室南向阳光充足,林江名城 -元宝区,1室1厅 | 49.26平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 13天以前发布,32.5,"6,598元/平"
交通便利，视野开阔，阳光明媚。,馨悦家园(元宝区) -元宝区,1室1厅 | 51.86平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,31.8,"6,132元/平"
楼层好，交通便利，阳光无遮挡，配套齐全..,钟源小区 -振兴区,1室1厅 | 39.6平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 28天以前发布,23.9,"6,036元/平"
离大门近，户型空间利用的好，高层视野好,金和温州城 -振兴区,2室1厅 | 68.27平米 | 南 北 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 31天以前发布,38,"5,567元/平"
绿云嘉园 2室1厅 南 北,绿云嘉园 -振安区,2室1厅 | 85平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,50,"5,883元/平"
麦克小区 2室2厅 南 北,麦克小区 -元宝区,2室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 30天以前发布,52.7,"5,324元/平"
溪山壹号前排商品房，阳光好，视野好。,恒景溪山壹号 -振安区,2室1厅 | 73.36平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 18天以前发布,49.8,"6,789元/平"
此房有花园 南北通透格局 楼层好 视野宽阔 采光充足,上城·左岸 -振兴区,2室1厅 | 91平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,70,"7,693元/平"
步行很快能到达江边儿，距离游乐园较近。,太阳尚品 -振兴区,3室2厅 | 122.92平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,80,"6,509元/平"
江沿街阳光充足，前方无遮挡。步行不久就是江边,江沿街 -振兴区,3室1厅 | 68.32平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,25,"3,660元/平"
新城区，近市政府，前面无遮挡，采光好，视野佳,和顺中央花城 -振兴区,2室2厅 | 103.59平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,61,"5,889元/平"
通透户型房子采光好楼层也好交通便利小区入住高,世景芳华 -振兴区,2室2厅 | 108.18平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,5人关注 / 一年前发布,59.5,"5,501元/平"
新世纪佳园三居室通透户型采光好视野开阔,新世纪佳園 -振兴区,2室2厅 | 123.4平米 | 西南 | 其他 | 高楼层(共21层)  | 板塔结合,2人关注 / 一年前发布,63,"5,106元/平"
商品房 适合三代人一起居住 拎包入住,十一纬路 -振兴区,3室2厅 | 145.18平米 | 东 西南 | 精装 | 中楼层(共15层)  | 板楼,8人关注 / 一年前发布,118,"8,128元/平"
商品房 交通便利 看房方便 有钥匙 可以贷款,鸿润家园 -振兴区,2室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,3人关注 / 一年前发布,94.8,"9,387元/平"
佳地广场 3室2厅 东 西,佳地广场 -振兴区,3室2厅 | 167.99平米 | 东 西 | 其他 | 中楼层(共22层)  | 板楼,2人关注 / 一年前发布,105,"6,251元/平"
永昌 北二道 步梯6楼顶 二室 房改 近站前,北二道小区 -振兴区,2室1厅 | 41.87平米 | 东 西 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,20,"4,777元/平"
通透户型房子采光好楼层也好交通便利小区入住高,世景芳华 -振兴区,2室2厅 | 129.68平米 | 南 北 | 其他 | 中楼层(共24层)  | 板楼,1人关注 / 一年前发布,71,"5,476元/平"
凯旋门的2期房，园区好，小区环境优美。,滨江凯旋门 -振兴区,2室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,8人关注 / 一年前发布,56,"5,715元/平"
月亮岛界河明珠小区 一线江景 电梯高层 有钥匙,月亮岛界河明珠 -振兴区,2室2厅 | 129.04平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 17天以前发布,139,"10,772元/平"
月亮岛界河明珠6号号楼 一线江景 有钥匙,月亮岛界河明珠 -振兴区,1室1厅 | 86.3平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 17天以前发布,91,"10,545元/平"
世景芳华两居室通透户型采光好视野好,世景芳华 -振兴区,2室2厅 | 90.78平米 | 南 北 | 其他 | 中楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,53,"5,839元/平"
温州城精装修两居室采光好户型方正通透,金和温州城 -振兴区,2室2厅 | 103.43平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,66.6,"6,440元/平"
SK新城一居室采光好视野开阔拎包入住,SK新城 -振兴区,1室1厅 | 67.93平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,1人关注 / 10个月以前发布,39.7,"5,845元/平"
五金城精装修两室两厅一卫拎包入住,国门湾科技五金城 -振兴区,2室2厅 | 94.63平米 | 西南 | 精装 | 高楼层(共19层)  | 板楼,25人关注 / 一年前发布,50,"5,284元/平"
御景苑 电梯洋房好楼层  阳光视野滋滋好 可贷款,御景苑二期 -元宝区,3室2厅 | 121.1平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 7个月以前发布,125,"10,323元/平"
通透户型房子采光好楼层也好交通便利小区入住高,世景芳华 -振兴区,2室2厅 | 81.16平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,2人关注 / 一年前发布,46.3,"5,705元/平"
新加坡城精装修一居室拎包入住远看江景,新加坡城 -振兴区,1室1厅 | 50.33平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,7人关注 / 一年前发布,29.8,"5,921元/平"
扬州城两居室通透户型采光好视野开阔,揚州城 -振兴区,2室2厅 | 102.24平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,38,"3,717元/平"
金色水岸两居室通透户型采光好视野开阔,新宇金色水岸 -振兴区,2室1厅 | 100平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,45,"4,500元/平"
万达商品房，好楼层，光线好，视野好,万达华府 -振兴区,3室2厅 | 135.36平米 | 东 西 | 精装 | 中楼层(共32层)  | 板楼,34人关注 / 一年前发布,130,"9,605元/平"
工业小区 步梯六楼  可贷款  首付低,工业小区 -振兴区,2室1厅 | 56.38平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,22,"3,903元/平"
鸭绿江公寓 3室2厅 南 北,鸭绿江公寓 -振兴区,3室2厅 | 150.06平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,5人关注 / 8个月以前发布,75,"4,999元/平"
金地广场 满五 商品房 大落地窗 电梯高层非顶,金地廣塲 -元宝区,2室2厅 | 125.02平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,4人关注 / 8个月以前发布,84.8,"6,783元/平"
金海滨江3号  南北通透大三居  商品房有本可贷款,金海·滨江3号 -振安区,3室2厅 | 153.3平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,1人关注 / 一年前发布,200,"13,047元/平"
