标题,开发商,房子信息,发布信息,售价/万,单价
此房是B区临河户型的精装四房全屋中 央空调报价88万！,溶江小区 -经开区,4室2厅 | 141.37平米 | 西南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,88,"6,225元/平"
小区绿化优美，安静舒适。适合任何年龄段的人居住。,仁安·御香山 -经开区,4室2厅 | 137.48平米 | 东南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,88.9,"6,467元/平"
新上房源，溶江小区南北双阳台，业主急售！价格可谈,溶江小区 -经开区,4室2厅 | 139.91平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,66.8,"4,775元/平"
乾州地段电梯大户型毛坯房，有大车库一起,晶鑫花园 -乾州,4室2厅 | 161.12平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,1人关注 / 10个月以前发布,62,"3,849元/平"
三室两厅一阳台 紧凑型 家具家电全带 随时看房,州林化厂森苑小区 -吉首,3室2厅 | 97.26平米 | 北 | 简装 | 中楼层(共6层)  | 板楼,19人关注 / 8个月以前发布,29.8,"3,064元/平"
房子已契税票已经满两年了没有增值税，房子三面采光,溶江小区 -经开区,4室2厅 | 142.32平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,77,"5,411元/平"
御香山花园洋房 买房有车位 三阳台 户型通透,仁安·御香山 -经开区,3室2厅 | 120.63平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 13天以前发布,65.8,"5,455元/平"
房东诚心出售，看上可刀。有钥匙随时看房。,吉盟天下一期 -吉首,4室2厅 | 130.84平米 | 西南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,48.8,"3,730元/平"
经开区毛胚电梯大三房 大阳台 首付13W有钥匙房东诚意,太平洋家园 -经开区,3室2厅 | 149.86平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 11天以前发布,63,"4,204元/平"
馨苑小区大五房房东诚心出售，看房方便,馨苑小区 -吉首,5室2厅 | 199.16平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 一年前发布,81.8,"4,108元/平"
房子诚心出售，户型比较好，采光好视野开阔。,仁安·御香山 -经开区,2室2厅 | 99.28平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,51.8,"5,218元/平"
吉盟天下一期洋房 42.5万 双阳台 首付8.5万 3房2厅2卫,吉盟天下一期 -吉首,3室2厅 | 114.63平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,8人关注 / 9个月以前发布,39.8,"3,473元/平"
仁安御香山洋房76万3房 格局方正 产权清晰,仁安·御香山 -经开区,3室2厅 | 120.05平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,71.8,"5,981元/平"
水云天小区 3室2厅 南,水云天小区 -乾州,3室2厅 | 122.39平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,2人关注 / 3个月以前发布,49.8,"4,069元/平"
房子保持的好，房东诚心有钥匙。,团结广场商住楼 -吉首,3室2厅 | 127.17平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 3个月以前发布,49.8,"3,917元/平"
溶江小区精装四房  买好房子，所以要处理这套房子,溶江小区 -经开区,4室2厅 | 146.96平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,97.8,"6,655元/平"
半山公馆  精装大三房带私家车位  视野开阔  居家安静,半山公馆 -吉首,3室2厅 | 154.17平米 | 西南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 5天以前发布,78,"5,060元/平"
世纪山水，全新装修两年，不需要除甲醛，没这么住,世纪山水 -乾州,3室2厅 | 105.42平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 5天以前发布,63.8,"6,052元/平"
吉首火车站 单位 三房 朝南 单价3100一平,仓储路17号 -吉首,3室2厅 | 133.49平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,41.8,"3,132元/平"
乾州好房 世纪广场，精装三房三厅，业主诚心出售,富华大厦 -乾州,4室2厅 | 170平米 | 东南 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 3天以前发布,98,"5,765元/平"
单位房，停车免费，安全保障，居住人群素质高,教师花园 -乾州,4室2厅 | 135平米 | 西南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1天以前发布,50,"3,704元/平"
乾州重要地段诚心出售，可随时看房，诚心购买可谈价。,湘州陽光 -乾州,3室2厅 | 136.33平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,68,"4,988元/平"
老州政府单位房，管理规范，小区环境优美。,老州政府宿舍 -吉首,3室2厅 | 131.42平米 | 东南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 22天以前发布,52.8,"4,018元/平"
农贸市场旁 200米到大坡公园 大三房 带装修 楼层好,金宏帝景 -乾州,3室2厅 | 144.19平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 25天以前发布,53.8,"3,732元/平"
一梯三户，小区人车分流，小区安静居住舒适,金磊凤凰山 -经开区,3室2厅 | 126平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 2天以前发布,49.8,"3,953元/平"
房东诚心出售、楼层好。采光好、户型板正,金坪家园 -乾州,3室2厅 | 117.81平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 7天以前发布,38.8,"3,294元/平"
乾州经开区毛坯3房，视野好，看房子方便，价格实惠,蓝天花园 -经开区,3室2厅 | 122.25平米 | 东 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 31天以前发布,51.8,"4,238元/平"
经开区富人象征之地，俯视整个经开区，,仁安·御香山 -经开区,2室2厅 | 99.28平米 | 东 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 27天以前发布,56,"5,641元/平"
吉大旁通透3房，4台空调可拎包入住，随时看房业主诚心,湘泉花园 -吉首,3室2厅 | 125.15平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,42,"3,356元/平"
吉首电梯毛坯四房  户型周正采光好 双阳台诚意出售,鸿锦国际 -吉首,4室2厅 | 131.67平米 | 东南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 18天以前发布,62,"4,709元/平"
武陵山单位房，不要停车和物业费。,彩印厂宿舍 -吉首,3室2厅 | 117.84平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 27天以前发布,48,"4,074元/平"
乾州 不夜城 电梯小高层 精装3室拎包入住,恒盛家园 -乾州,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共10层)  | 暂无数据,1人关注 / 19天以前发布,50,"3,907元/平"
乾州州民族旁，步梯房中间楼层，简单装修，可贷款,人民中路240号 -乾州,4室2厅 | 132.6平米 | 东北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,33.8,"2,550元/平"
乾州德城园单位毛坯四房，房东诚心出售,德城园 -乾州,4室2厅 | 174.87平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 18天以前发布,76,"4,347元/平"
房东诚心出售，有车位，看房方便。,诚信御景园 -乾州,3室2厅 | 136.83平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,59.8,"4,371元/平"
大汉精品两房，房东诚心出售，高买低卖。,大汉新城 -吉首,2室2厅 | 86.09平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,33.8,"3,927元/平"
状元首*府就学就在家门口，3+1四房大阳台,状元首府 -经开区,4室2厅 | 126平米 | 西南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,64,"5,080元/平"
经开区4500一平现房，边户，采光好，无遮挡,蓝天御景 -经开区,3室2厅 | 130.93平米 | 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,56.6,"4,323元/平"
电梯房中间楼层，出行方便小区门口公交站,农业局宿舍 -乾州,3室2厅 | 127.04平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,2人关注 / 5个月以前发布,55.8,"4,393元/平"
机电街学 校旁边，直接拎包入住3房，不需要物业费！,杉木湾2-9号 -吉首,3室2厅 | 125.1平米 | 西南 | 简装 | 高楼层(共6层)  | 暂无数据,6人关注 / 8个月以前发布,33.8,"2,702元/平"
经开区热门楼盘溶江小区房东诚心出售带车位,溶江小区 -经开区,3室2厅 | 93.08平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 6个月以前发布,55,"5,909元/平"
华商国际简装2房  业主置业换大房诚心出售,华商国际城 -乾州,2室2厅 | 84.84平米 | 北 | 简装 | 低楼层(共16层)  | 塔楼,2人关注 / 5个月以前发布,45,"5,305元/平"
高铁新城，单位宿舍，电梯高层，朝南，钥匙在手随时看,警苑公寓 -乾州,3室2厅 | 148.99平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,59.8,"4,014元/平"
吉首市乾州，电梯毛坯三房，带车位诚心出售，看房方便,博源新康 -乾州,3室2厅 | 119.81平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,1人关注 / 7个月以前发布,52.8,"4,407元/平"
通透户型，采光好，视野开阔，阳台大,馨苑小区 -吉首,5室2厅 | 227.29平米 | 东南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,91.6,"4,031元/平"
视眼开阔，采光充足'''''',溶江小区 -经开区,4室2厅 | 144.67平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,69.5,"4,805元/平"
2000多单位三房中介楼层看房方便,安居园小区 -吉首,3室2厅 | 109平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,3人关注 / 6个月以前发布,27.4,"2,514元/平"
九龙山庄130平毛坯三房 单价3500 中间楼层 南朝向,九龍山莊 -乾州,3室2厅 | 130.75平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,46,"3,519元/平"
湘西高新区 中  心位置 吉风家园大三房出售,吉凤家园小区 -经开区,3室2厅 | 138.13平米 | 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,61.8,"4,475元/平"
此房满五唯一生活交通方便带入户花园大三房房东急出手,书香美域 -乾州,3室2厅 | 141.59平米 | 西北 | 毛坯 | 中楼层(共30层)  | 塔楼,2人关注 / 一年前发布,60.8,"4,295元/平"
溶江A区230平带车位，房东证件到手 同意按揭流程,溶江小区 -经开区,5室2厅 | 230平米 | 东南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 4个月以前发布,130,"5,653元/平"
此房满五唯一！精装三房该房价带车位！,财信商贸中心 -吉首,4室2厅 | 138.37平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 4个月以前发布,76.8,"5,551元/平"
溶江A区1号户型通车库看幼儿园四房，喜欢的,溶江小区 -经开区,4室2厅 | 141.58平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,86,"6,075元/平"
中区景观楼层 临河视野前后无遮挡 精品好房 满二,溶江小区 -经开区,5室2厅 | 180平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,120,"6,667元/平"
乾州农贸市场旁，电梯高层3+1户型，双向通透双阳台,金宏帝景 -乾州,3室2厅 | 124.2平米 | 东北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,53.8,"4,332元/平"
乾州农贸市场旁，电梯高层3+1户型，双向通透双阳台,金宏帝景 -乾州,3室2厅 | 124.2平米 | 东北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,53.8,"4,332元/平"
经开区 蓝天花园 双阳台大三房 另有车位出售,蓝天花园 -经开区,3室2厅 | 123.4平米 | 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,46.9,"3,801元/平"
出售御香山精装3房2厅 欢迎咨询,仁安·御香山 -经开区,3室2厅 | 127.58平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,75,"5,879元/平"
德馨嘉园4-2-1-2 163.70m² 81 万,德馨嘉园 -经开区,4室2厅 | 163.7平米 | 西南 | 毛坯 | 低楼层(共20层)  | 板塔结合,3人关注 / 一年前发布,63,"3,849元/平"
房东诚心出售，边户大平层，南北通透。,武陵广场 -乾州,5室2厅 | 164.54平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,79,"4,802元/平"
吉大旁电梯复式房，双向通透，临河户型，业主诚心出售,水畔铭城 -吉首,6室2厅 | 214.09平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,88,"4,111元/平"
吉首市溶江小区，新上电梯四房带车位和杂物间，好楼层,溶江小区 -经开区,4室2厅 | 142.32平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,72,"5,060元/平"
御景园一梯一户145户型62.8万通透户型,诚信御景园 -乾州,4室2厅 | 145.55平米 | 东 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,62.2,"4,274元/平"
乾州单位复式楼，带一个可停两台车的车库，阁楼,吉首市财政局宿舍 -乾州,5室2厅 | 233.91平米 | 西南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,113.8,"4,866元/平"
御香山 洋房 带露台 住家安静舒适,仁安·御香山 -经开区,4室2厅 | 142平米 | 东北 | 毛坯 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,86,"6,057元/平"
文艺路单位三房，证在手可按揭，随时可看房,州幼儿宿舍 -吉首,3室2厅 | 127平米 | 北 | 简装 | 高楼层(共8层)  | 板楼,3人关注 / 6个月以前发布,35,"2,756元/平"
经开区职院旁边毛肧电梯四房 单价3656首付10.8W有钥匙,蓝天花园 -经开区,4室2厅 | 141.66平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 7个月以前发布,48,"3,389元/平"
溶江小区 B区高楼层 毛坯四房 视野好 房东诚心卖,溶江小区 -经开区,4室2厅 | 142.03平米 | 西南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 5个月以前发布,72,"5,070元/平"
吉首二  小旁边，高层3房，业主诚心出售，可随时看房,和园楼 -吉首,3室2厅 | 128.51平米 | 南 | 简装 | 高楼层(共8层)  | 塔楼,1人关注 / 3个月以前发布,30.8,"2,397元/平"
烟草公司 复式 通透户型 证件齐全 随时看房,馨苑小区 -吉首,4室2厅 | 228.68平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 2个月以前发布,88,"3,849元/平"
附 小旁 溶江小区A区带车位 户型方正 直通地下车库,溶江小区 -经开区,4室2厅 | 147平米 | 西南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 14天以前发布,89.8,"6,109元/平"
经济区享受型别墅，实际面积300多平，带大花园,仁安·御香山 -经开区,6室2厅 | 232.23平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 4个月以前发布,288,"12,402元/平"
湘西高新区 御香山电梯洋房 必看好看 价格实惠,仁安·御香山 -经开区,4室2厅 | 140.48平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,5人关注 / 6个月以前发布,72.8,"5,183元/平"
御香山户型周正，大四房，同意各种流程,仁安·御香山 -经开区,4室2厅 | 140.48平米 | 东南 | 毛坯 | 高楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,73.8,"5,254元/平"
吉首市，乾州武陵广场，电梯毛坯三房，好楼层，好户型,武陵广场 -乾州,3室2厅 | 119.92平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,52.8,"4,403元/平"
世纪广场旁临河观景装修三房，4000出头的单价,吉祥嘉园 -乾州,3室2厅 | 130.5平米 | 北 | 简装 | 低楼层(共13层)  | 塔楼,7人关注 / 5个月以前发布,58,"4,445元/平"
"御香山复式楼,视野开阔无遮挡,格局好,业主诚意大",仁安·御香山 -经开区,5室2厅 | 169.21平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,0人关注 / 6个月以前发布,126.8,"7,494元/平"
红旗门精装大四房电梯小高层 通透户型仅售4000一平,湘泉城市花园 -吉首,3室2厅 | 148平米 | 东南 | 精装 | 高楼层(共12层)  | 塔楼,2人关注 / 7个月以前发布,55.6,"3,757元/平"
品质好房 单位复式楼 诚心急售 看房方便,吉首市财政局宿舍 -乾州,5室2厅 | 233.91平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,115,"4,917元/平"
溶江小区 4室2厅 西北,溶江小区 -经开区,4室2厅 | 141.33平米 | 西北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,69.8,"4,939元/平"
大平层户型周正，通透户型，附130平阳台,福康居花园 -吉首,3室2厅 | 177.09平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 4个月以前发布,49.8,"2,813元/平"
湘泉纯水岸装修大平层，业主诚心出售，可预约看房,湘泉纯水岸 -乾州,4室2厅 | 198.23平米 | 南 | 简装 | 中楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,92,"4,642元/平"
吉首91平小三房毛坯出售  出行购物方便,派克•中央城 -吉首,3室2厅 | 91.62平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,1人关注 / 7个月以前发布,44.8,"4,890元/平"
皇冠CBD中璀璨置 南北对流  满二看房有钥匙,溶江一号 -经开区,4室2厅 | 141.8平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,71.8,"5,064元/平"
吉首市乾州，世纪广场电梯装修毛坯价出售，看房有钥匙,湘泉绿水金邸 -乾州,4室2厅 | 169.44平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,0人关注 / 4个月以前发布,66.5,"3,925元/平"
吉首91平小三房毛坯出售  出行购物方便,派克•中央城 -吉首,3室2厅 | 91.62平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,1人关注 / 7个月以前发布,44.8,"4,890元/平"
溶江A区 笋盘 临河价 满二看房有钥匙,溶江小区 -经开区,3室2厅 | 90平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,54,"6,000元/平"
皇冠CBD中璀璨置 南北对流  满二看房有钥匙,溶江一号 -经开区,4室2厅 | 141.8平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,71.8,"5,064元/平"
吉首市乾州，世纪广场电梯装修毛坯价出售，看房有钥匙,湘泉绿水金邸 -乾州,4室2厅 | 169.44平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,0人关注 / 4个月以前发布,66.5,"3,925元/平"
金宏帝景  毛坯2房改3房  诚信出售,金宏帝景 -乾州,2室2厅 | 97.77平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,49.8,"5,094元/平"
吉首市经开区，溶江小区，毛坯大四房，户型周正，急售,溶江小区 -经开区,4室2厅 | 140.13平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,66.8,"4,768元/平"
火车站旁中装三房，中间楼层，房东新房出售拎包入住,物资大市场宿舍 -吉首,3室2厅 | 127.1平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,47.5,"3,738元/平"
乾州世纪广场旁精装两房采光视野相当好,朝阳大厦 -乾州,2室2厅 | 84平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 27天以前发布,52.8,"6,286元/平"
经开区广场旁精装大平层，通透板房，一梯一户。,碧桂园中央公园 -经开区,5室2厅 | 228.47平米 | 东南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 6天以前发布,120,"5,253元/平"
馨苑小区 5室2厅 南,馨苑小区 -吉首,5室2厅 | 198.4平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 3天以前发布,82.8,"4,174元/平"
世纪山水 2室2厅 东南,世纪山水 -乾州,2室2厅 | 89.2平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 7天以前发布,49.8,"5,583元/平"
大四房，诚信御景园一期中间楼层,诚信御景园 -乾州,4室2厅 | 158平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 3天以前发布,76,"4,811元/平"
该房子满2.年，不要物业费和停车费，小区治安好，,州工商银行商住楼 -吉首,3室2厅 | 141.4平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,45.8,"3,240元/平"
满2唯一，楼梯复式，5房两厅  户型朝南   毛胚房,世纪山水 -乾州,5室2厅 | 182.99平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,133,"7,269元/平"
此房可以交易过户，空气对流，视眼开阔，房间较大,溶江小区 -经开区,5室2厅 | 180平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,86.4,"4,800元/平"
可直接拎包入住，小区环境好。可贷款,龍泉花苑 -吉首,5室2厅 | 200平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,8人关注 / 一年前发布,65,"3,250元/平"
吉盟天下2+1户型 阳光房可做落地窗 89平有证,吉盟天下一期 -吉首,3室2厅 | 89.01平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 7个月以前发布,34.9,"3,921元/平"
乾州245队隔壁电梯房 拎包入住,华成中央尚都 -乾州,3室2厅 | 120平米 | 南 | 简装 | 中楼层(共24层)  | 塔楼,0人关注 / 4个月以前发布,63,"5,250元/平"
此房满两年的，出让商品房，2007年竣工，证在手，,拓展丽景园 -乾州,4室2厅 | 142.67平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,50.8,"3,561元/平"
吉首市精装三房房子保持九成新，房东诚心出售,新家园 -吉首,3室2厅 | 126平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 12天以前发布,45.8,"3,635元/平"
吉首市，世纪广场边上，精装电梯小两房，高层看房方便,富华大厦 -乾州,2室1厅 | 41.65平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 8天以前发布,28.8,"6,915元/平"
吉首240平的复式楼.95万.精装修，家电齐全拎包入住。,福地花园 -吉首,3室2厅 | 240平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 16天以前发布,95,"3,959元/平"
吉首电梯大三房诚信出售，看上价格可以谈,半山公馆 -吉首,3室2厅 | 156.38平米 | 东南 | 简装 | 低楼层(共23层)  | 塔楼,0人关注 / 16天以前发布,57.8,"3,697元/平"
吉首步步高商圈  总价低三房  看房方便  居家安静,州工程公司综合楼 -吉首,3室1厅 | 106.6平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,35,"3,284元/平"
红旗门精装公寓，电梯临河中层，可直接拎包入住！,龙鑫水岸华庭 -吉首,1室1厅 | 50.14平米 | 东北 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 15天以前发布,26.8,"5,346元/平"
毛坯三房 小区环境优美 楼层好 视野采光充足,警苑公寓 -乾州,3室2厅 | 124.59平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 12天以前发布,47.6,"3,821元/平"
小区绿化好，单架3000多，户型周正,吉盟天下一期 -吉首,3室2厅 | 121平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 12天以前发布,43,"3,554元/平"
吉首 电梯小高层  一梯两户 精装三房 单价4100一平,湘泉城市花园 -吉首,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共12层)  | 塔楼,0人关注 / 9天以前发布,53,"4,141元/平"
出售世纪山水精装复式楼 家电齐全 直接入住,世纪山水 -乾州,4室2厅 | 175.57平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 7个月以前发布,180,"10,253元/平"
御香山顶楼复式 有露台 户型通透,仁安·御香山 -经开区,5室2厅 | 170.9平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,120,"7,022元/平"
世纪山水 带花园  实木地板 卧室带阳台,世纪山水 -乾州,3室2厅 | 130.78平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,89.8,"6,867元/平"
世纪山水 精装三房未入住 诚心出售 随时看房,世纪山水 -乾州,3室2厅 | 117.58平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,87.32,"7,427元/平"
御香山带露台洋房 吉首高品质小区,仁安·御香山 -经开区,4室2厅 | 142.5平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,92,"6,457元/平"
房东诚心出售。采光充足，前后花园。有地下室80平。,仁安·御香山 -经开区,4室2厅 | 152.83平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,123.8,"8,101元/平"
乾州御景园新上房源，业主诚心出售，看上可谈,诚信御景园 -乾州,3室2厅 | 132.54平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,3人关注 / 4个月以前发布,65,"4,905元/平"
溶江小区A区地理位置优越，环境优美，出行方便。,溶江小区 -经开区,3室2厅 | 141.74平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,98,"6,915元/平"
文明小区 环境好 物业好  采光好 诚心出,建基·锦绣香江 -吉首,4室2厅 | 204平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,4人关注 / 9个月以前发布,90,"4,412元/平"
三室两厅 精装修 拎包入住 诚心出售 生活交通便利,龙鑫水岸华庭 -吉首,3室2厅 | 110.1平米 | 北 | 精装 | 低楼层(共24层)  | 塔楼,1人关注 / 8个月以前发布,48,"4,360元/平"
经开区 主干道毛坯大三房 视野开阔 楼层好,牯牛城 -经开区,3室2厅 | 142.28平米 | 东 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 3个月以前发布,61.8,"4,344元/平"
房子是精装房，诚心出售，看房方便。,半山公馆 -吉首,3室2厅 | 156.89平米 | 东南 | 精装 | 低楼层(共23层)  | 塔楼,1人关注 / 4个月以前发布,59.9,"3,818元/平"
爱琴海广场旁精装三房 保持九成新 房东诚心卖，楼层好,牯牛城 -经开区,3室2厅 | 142.28平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,3人关注 / 3个月以前发布,73.8,"5,187元/平"
世纪广场旁必看全新精装90平内2房，公积金可取可贷,朝阳大厦 -乾州,2室2厅 | 83.62平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,58,"6,937元/平"
房子已契税票已经满两年了没有增值税，房子三面采光,溶江小区 -经开区,4室2厅 | 140.13平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,81,"5,781元/平"
翰林世家精装两房48.8万 装修花了10多万全屋品牌家电,翰林世家 -经开区,2室1厅 | 66平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 6天以前发布,48.8,"7,394元/平"
