标题,开发商,房子信息,发布信息,售价/万,单价
老城区 西门九曲小区套三简装104平2楼  公摊小,九曲河小区 -雁江区,3室1厅 | 104平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 7个月以前发布,39,"3,750元/平"
置地城三期跃层，清水套四双卫 地理位置优越,置地城天悦 -雁江区,4室2厅 | 98.86平米 | 西南 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 6个月以前发布,72.6,"7,344元/平"
急售优品道套三双卫清水房带车位,优品道资溪学府 -雁江区,3室2厅 | 110平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,3人关注 / 6个月以前发布,63.8,"5,800元/平"
时代阳光带屋顶大花园，蔬菜水果小鱼塘,时代阳光A区 -雁江区,3室2厅 | 91平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,42.8,"4,704元/平"
沱江景秀套三，全面临江，户型巴适,沱江景秀公寓 -雁江区,3室2厅 | 134平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,4人关注 / 10个月以前发布,66.8,"4,986元/平"
出售凯旋国际清水套三双卫，产权面积112平,筑鼎凯旋国际 -雁江区,3室2厅 | 112平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 9个月以前发布,69.8,"6,233元/平"
116平清水套三双卫，房东好说话，期待有缘人,恒大名都（资阳） -雁江区,3室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,74.8,"6,449元/平"
达高国际3室2厅2卫交通便利 环境干净舒适 适合居住,达高国际 -雁江区,3室2厅 | 115平米 | 西南 | 精装 | 低楼层(共21层)  | 暂无数据,0人关注 / 6个月以前发布,79,"6,870元/平"
万达马鞍九义校旁 恒大名都 套3精装满2年税费低,恒大名都（资阳） -雁江区,3室2厅 | 129.6平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 8个月以前发布,83.8,"6,467元/平"
116平清水套三双卫，房东好说话，期待有缘人,恒大名都（资阳） -雁江区,3室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,74.8,"6,449元/平"
税费低，，套三双卫清水通地下室，中间楼层，双阳台,圣桦名城 -雁江区,3室1厅 | 94平米 | 南 西南 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 3个月以前发布,57.5,"6,118元/平"
圣高广场 地铁口东城一号 套三双卫 中间楼层 清水,东城1号二期 -雁江区,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 5个月以前发布,72,"6,372元/平"
沱东河畔 水润东都 套三双卫清水 2梯2户 小洋房,水润东都 -雁江区,3室2厅 | 119.02平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,72.8,"6,117元/平"
京华国际 套三改套四 优质房源 素颜自由搭配,京华国际 -雁江区,3室2厅 | 112平米 | 东北 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 7个月以前发布,72.8,"6,500元/平"
弘城水韵  跃层   五室两厅一厨两卫,中城建弘城水韵 -雁江区,5室2厅 | 138平米 | 西南 | 其他 | 高楼层(共29层)  | 暂无数据,1人关注 / 6个月以前发布,87.8,"6,363元/平"
世纪城 桂花苑 房东直售 精装修 套三 拎包入住,桂花苑 -雁江区,3室2厅 | 93.1平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,46.8,"5,027元/平"
业主急售宝莲苑多层，小区靠公园，诚心出售,宝莲苑 -雁江区,3室2厅 | 105.77平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,59.8,"5,654元/平"
万达御府地铁口中间好楼层套四双卫清水户型方正采光好,资阳万达二期 -雁江区,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,6人关注 / 7个月以前发布,98,"6,854元/平"
水润东都 洋房套三双卫 一梯两户 证满两年过户税低,水润东都 -雁江区,3室2厅 | 118.91平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 10个月以前发布,65.8,"5,534元/平"
水润东都 3室2厅 南,水润东都 -雁江区,3室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 10个月以前发布,96,"8,068元/平"
圣桦名城 3室2厅 东南,圣桦名城 -雁江区,3室2厅 | 109平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,61.8,"5,670元/平"
房屋户型方正 通透 采光不错，花园房，配套成熟,伊顿庄园 -雁江区,3室2厅 | 105平米 | 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 8个月以前发布,68,"6,477元/平"
梅西商圈，老城区好位置！达高国际中间楼层低价出售！,达高国际 -雁江区,2室2厅 | 82平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,1人关注 / 4个月以前发布,52.8,"6,440元/平"
满五唯一，税费很低，很适合居住,喜悦江南半岛 -雁江区,2室2厅 | 73.11平米 | 东南 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,39.8,"5,444元/平"
四川卷烟厂生活区 3室2厅 东南,四川卷烟厂生活区 -雁江区,3室2厅 | 100平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,41.8,"4,180元/平"
急售，精装房，好楼层，视野开阔，价位可谈,滨河花园 -雁江区,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 10个月以前发布,52,"4,953元/平"
房东急售，玫瑰苑。套三双卫清水房，,玫瑰苑 -雁江区,3室2厅 | 113平米 | 东南 | 毛坯 | 低楼层(共23层)  | 暂无数据,0人关注 / 4个月以前发布,64.8,"5,735元/平"
蜀亨花园精装修，房东因工作调动急售，价格可谈,牡丹园 -雁江区,5室2厅 | 156平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,12人关注 / 10个月以前发布,69.8,"4,475元/平"
急售！楼顶花园公园路小区业主自住精装房拎包入住,公园路小区 -雁江区,3室2厅 | 148平米 | 西南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,47,"3,176元/平"
房东急售 水润东都 经典套3 精装好房,水润东都 -雁江区,3室2厅 | 137.02平米 | 东南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 10个月以前发布,79.8,"5,824元/平"
急售！房东因工作调动出售商圈好房！即买即装修！,资阳万达二期 -雁江区,3室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,7人关注 / 10个月以前发布,80,"6,780元/平"
沱东圣高广场旁 圣桦名城套四双卫素颜 可随意装修,圣桦名城 -雁江区,4室2厅 | 109平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,63.8,"5,854元/平"
好房出售，户型方正浪费少，诚心价可谈。,南桥嘉苑 -雁江区,3室2厅 | 146平米 | 东南 | 精装 | 低楼层(共26层)  | 暂无数据,3人关注 / 11个月以前发布,67,"4,590元/平"
苌弘广场地铁口 江南花都 套三精装 小区停车方便。,江南花都 -雁江区,3室2厅 | 81.94平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,43.8,"5,346元/平"
御府国际 套二改套三清水房出售价格便宜,御府国际 -雁江区,2室2厅 | 90.38平米 | 东南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,46.8,"5,179元/平"
资阳万达二期 4室2厅 南,资阳万达二期 -雁江区,4室2厅 | 135平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,4人关注 / 7个月以前发布,188,"13,926元/平"
出售：沱东高铁站，蓝光公园学府，中间好楼层套三,蓝光公园学府 -雁江区,3室2厅 | 100.3平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,64.8,"6,461元/平"
瑞升花园，套三双卫，房东精心装修，户型方正,瑞升花园 -雁江区,3室2厅 | 123平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,4人关注 / 10个月以前发布,58,"4,716元/平"
鸿发家园  价格美丽  诚心出售,鸿发家园 -雁江区,3室1厅 | 120平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,59.2,"4,934元/平"
好房出售，户型方正浪费少，诚心价可谈。,熙苑小区 -雁江区,3室2厅 | 137平米 | 东南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 11个月以前发布,66,"4,818元/平"
户型方正无浪费空间，视野开阔 采光充裕，证满二年,资溪花园B区 -雁江区,4室2厅 | 116平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,62.8,"5,414元/平"
出售凯旋国际精装套三双卫，产权面积108平,筑鼎凯旋国际 -雁江区,3室2厅 | 108平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 8个月以前发布,81.8,"7,575元/平"
朗基香樾府清水大套三，房东急售,朗基香樾府（资阳） -雁江区,3室2厅 | 96平米 | 西南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,60.8,"6,334元/平"
万达套三双卫急售。。。。。。。。。。。。。。,晨风佳苑 -雁江区,3室2厅 | 125平米 | 东南 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,60,"4,800元/平"
房东急售农行宿舍.此房满2年，配套设施齐全，,农行宿舍 -雁江区,3室2厅 | 98.21平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,53.8,"5,479元/平"
出售春天半岛清水套三单卫 楼层好 户型方正,春天半岛五区 -雁江区,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,53.8,"5,490元/平"
水润东都，洋房套三双卫，采光好，,水润东都 -雁江区,3室2厅 | 136平米 | 西南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 10个月以前发布,102,"7,500元/平"
圣桦名城 4室2厅 东南,圣桦名城 -雁江区,4室2厅 | 125.45平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,75.8,"6,043元/平"
万达商圈地铁口傍，喜悦福苑 套三两厅双卫精装修。,喜悦福苑 -雁江区,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 6个月以前发布,59.8,"4,902元/平"
地铁口 雁城大院 江景房品质小区可停车套三精装 。,道轩雁城大院 -雁江区,3室2厅 | 101平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 8个月以前发布,78.8,"7,802元/平"
万达华府 4室2厅 南,万达华府 -雁江区,4室2厅 | 104平米 | 南 | 其他 | 高楼层(共34层)  | 暂无数据,1人关注 / 5个月以前发布,75.8,"7,289元/平"
沱东新区水润东都18层小高层 两梯两户 毛坯,水润东都 -雁江区,3室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 10个月以前发布,67.8,"5,698元/平"
【店长推荐】置地城三期跃层  套四双卫,置地城天悦 -雁江区,4室2厅 | 98.2平米 | 西北 | 毛坯 | 中楼层(共27层)  | 暂无数据,3人关注 / 11个月以前发布,68.8,"7,007元/平"
已改套三双卫 装修保养还行 房东诚心出售 价格可谈,世纪城四区二期 -雁江区,3室2厅 | 91.6平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,19人关注 / 10个月以前发布,34,"3,712元/平"
万达地铁口旁 清水套三双卫 户型方正 采光好,置地城天悦 -雁江区,3室2厅 | 87.53平米 | 东南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 11个月以前发布,61.8,"7,061元/平"
上东逸景，圣高广场，字库山公园，水体公园,上东逸景 -雁江区,3室2厅 | 107平米 | 东南 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 8个月以前发布,65.5,"6,122元/平"
满二 中交锦亭套四双卫清水 中间好楼层,中交锦亭 -雁江区,4室2厅 | 117平米 | 南 北 | 其他 | 中楼层(共23层)  | 塔楼,1人关注 / 10个月以前发布,67.5,"5,770元/平"
出售置地城三期跃层套四双卫，带产权车位， 证满两年,置地城天悦 -雁江区,4室2厅 | 100平米 | 东 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 5个月以前发布,130,"13,000元/平"
中交锦亭  套三双卫   拿刀来砍,中交锦亭 -雁江区,3室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共23层)  | 暂无数据,0人关注 / 8个月以前发布,61.8,"6,243元/平"
蜀亨花园牡丹园精装套四，房东诚心卖价格可谈,牡丹园 -雁江区,4室2厅 | 137平米 | 东南 | 精装 | 中楼层(共7层)  | 板塔结合,13人关注 / 9个月以前发布,73.6,"5,373元/平"
碧水丽都精装套三双卫，紧挨沱江河，外部环境优美,碧水丽都一期 -雁江区,3室2厅 | 118平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,56.8,"4,814元/平"
急急急！！房东诚心急售精装好房！！价格可谈！！,喜悦江南半岛 -雁江区,3室2厅 | 121.8平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 11个月以前发布,68.8,"5,649元/平"
好房出售，户型方正浪费少，诚心价可谈。,世纪城香樟苑 -雁江区,3室2厅 | 81.88平米 | 东南 | 精装 | 高楼层(共7层)  | 塔楼,3人关注 / 11个月以前发布,43.8,"5,350元/平"
沱江河畔 宝台地铁站 滨江国际一期 套三双卫精装修,中铁·滨江国际 -雁江区,3室2厅 | 99.36平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 7个月以前发布,69.8,"7,025元/平"
多弗绿城·诚园 3室2厅 南,多弗绿城·诚园 -雁江区,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,63.8,"6,077元/平"
世纪城精装套3，业主急售，拎包入住,世纪城香樟苑 -雁江区,3室2厅 | 117平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 8个月以前发布,64,"5,471元/平"
幸福公馆 3室2厅 东南,幸福公馆 -雁江区,3室2厅 | 89平米 | 东南 | 精装 | 低楼层(共18层)  | 暂无数据,2人关注 / 8个月以前发布,69.8,"7,843元/平"
沱东新区 宝台地铁口旁 中铁滨江国际 套四双卫精装,中铁·滨江国际 -雁江区,4室2厅 | 113平米 | 北 | 精装 | 中楼层(共32层)  | 暂无数据,2人关注 / 11个月以前发布,109.8,"9,717元/平"
圣桦名城套三清水，房东着急出售，诚心看房，价格可谈,圣桦名城 -雁江区,3室2厅 | 109平米 | 东南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,72,"6,606元/平"
喜悦江南半岛 3室2厅 东南,喜悦江南半岛 -雁江区,3室2厅 | 128平米 | 东南 | 毛坯 | 低楼层(共28层)  | 暂无数据,3人关注 / 8个月以前发布,61,"4,766元/平"
业主直售，水润东都单价4700，中间楼层,水润东都 -雁江区,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,1人关注 / 3个月以前发布,50.8,"4,704元/平"
出售 套三 带装修 拎包入住 随时看房,三贤小区 -雁江区,4室2厅 | 152平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,61.8,"4,066元/平"
沱东跃层 品质小区 低层 安静,雁江华府 -雁江区,4室2厅 | 165.5平米 | 东南 | 毛坯 | 低楼层(共17层)  | 暂无数据,3人关注 / 11个月以前发布,98.3,"5,940元/平"
阳光水岸精装套四，税费低，环境舒适，配套齐全,阳光水岸 -雁江区,4室2厅 | 125平米 | 西南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,55,"4,400元/平"
水润东都3室2厅2卫  交通便利 环境干净舒适 适合居住,水润东都 -雁江区,3室2厅 | 118.51平米 | 西南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,69.8,"5,890元/平"
出售凯旋国际毛坯房 套四双卫 采光好通风好 中间楼层,筑鼎凯旋国际 -雁江区,4室1厅 | 112.66平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,75,"6,658元/平"
高档小区，户型方正，配套齐全。,爱琴海 -雁江区,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,73.8,"6,150元/平"
雁城大院清水毛胚套四双卫大客厅出售,道轩雁城大院 -雁江区,4室2厅 | 143平米 | 西北 | 毛坯 | 低楼层(共10层)  | 暂无数据,5人关注 / 6个月以前发布,113,"7,903元/平"
东城1号洋房出售，清水出售，价格可谈,东城1号 -雁江区,4室2厅 | 145平米 | 东南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,86.8,"5,987元/平"
急售！急售！蓝光套三双卫精装房，好楼层,蓝光公园学府 -雁江区,3室2厅 | 123平米 | 西南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 10个月以前发布,74.6,"6,066元/平"
房东急售，上东逸景，套三双卫，精装修,上东逸景 -雁江区,3室2厅 | 106平米 | 西南 | 精装 | 低楼层(共25层)  | 塔楼,0人关注 / 4个月以前发布,64.8,"6,114元/平"
圣高旁 东城一号二期121㎡套三双卫 配套成熟,东城1号二期 -雁江区,3室2厅 | 121.49平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,2人关注 / 3个月以前发布,65.6,"5,400元/平"
蓝光公园学府，户型方正，中间楼层，套三单卫,蓝光公园学府 -雁江区,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,7人关注 / 9个月以前发布,58,"5,743元/平"
圣高广场  中医院 水润东都 1梯2户 南北通透 套三双卫,水润东都 -雁江区,3室2厅 | 115平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 10个月以前发布,62.1,"5,400元/平"
带花园的套三双卫精装房，位于教育园区春天半岛,金穗花园 -雁江区,3室2厅 | 112平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,59.8,"5,340元/平"
业主直售！沱东上东国际108平米套三双卫精装房,上东国际 -雁江区,3室2厅 | 108.22平米 | 东南 | 精装 | 低楼层(共24层)  | 暂无数据,1人关注 / 2个月以前发布,77.8,"7,190元/平"
此房户型通透，精装跃层，交通便利出行方便,东临小区 -雁江区,4室2厅 | 125平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,74,"5,920元/平"
恒鑫小区 套三改套四 两厅一卫,恒鑫小区 -雁江区,3室2厅 | 117平米 | 西南 | 其他 | 中楼层(共8层)  | 塔楼,0人关注 / 7个月以前发布,43.8,"3,744元/平"
凯旋国际两梯四户小高层 精装套四 原房东精装,筑鼎凯旋国际 -雁江区,4室2厅 | 122.32平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 4个月以前发布,82.8,"6,770元/平"
置地城二期 精装洋房 跃层 带40平米花园,置地城天玺 -雁江区,4室2厅 | 106平米 | 东 | 精装 | 低楼层(共10层)  | 板塔结合,2人关注 / 11个月以前发布,112,"10,567元/平"
沱东区政府 字库山公园旁 品质小区 伊顿庄园 套四三卫,伊顿庄园 -雁江区,4室2厅 | 126.3平米 | 东南 | 毛坯 | 低楼层(共9层)  | 暂无数据,1人关注 / 11个月以前发布,102,"8,077元/平"
109平大横厅，清水带车位一起出售套三双卫,圣桦名城 -雁江区,3室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 7个月以前发布,68.8,"6,312元/平"
中交景湾 配套成熟地段好 房东好说话价格可以少,中交锦湾 -雁江区,4室2厅 | 143平米 | 东南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 8个月以前发布,90,"6,294元/平"
圣桦名城109平横厅套三 通地下室 随时看房,圣桦名城 -雁江区,3室2厅 | 109.7平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,1人关注 / 8个月以前发布,70,"6,382元/平"
江南半岛150 平套四 精装修 江景房,喜悦江南半岛 -雁江区,4室2厅 | 149.5平米 | 东南 | 精装 | 高楼层(共28层)  | 暂无数据,1人关注 / 10个月以前发布,85.8,"5,740元/平"
字库山旁 伊顿庄园套五三卫 210平叠拼带400平花园,伊顿庄园 -雁江区,4室2厅 | 169平米 | 西南 | 毛坯 | 低楼层(共9层)  | 板楼,6人关注 / 11个月以前发布,160,"9,468元/平"
沱东 圣高旁 中交锦亭 套四双卫 南北通透 中高楼层,中交锦亭 -雁江区,4室2厅 | 117平米 | 南 西北 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 10个月以前发布,70,"5,983元/平"
好房出售，户型方正浪费少，诚心价可谈。,中交锦亭 -雁江区,4室2厅 | 132平米 | 东南 | 精装 | 中楼层(共23层)  | 暂无数据,1人关注 / 9个月以前发布,108,"8,182元/平"
恒大名都 大面积大户型 多功能基础户型,恒大名都（资阳） -雁江区,4室3厅 | 245平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 塔楼,7人关注 / 8个月以前发布,92.9,"3,792元/平"
梅西旁边，河心地套三双卫。配套设施成熟拎包入住,二十九号苑 -雁江区,3室2厅 | 116平米 | 北 | 简装 | 中楼层(共8层)  | 暂无数据,3人关注 / 5个月以前发布,37.3,"3,216元/平"
万达御府标准大套四诚心出售，免费咨询,资阳万达二期 -雁江区,4室2厅 | 143平米 | 东南 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,88.8,"6,210元/平"
成熟小区，万达商圈，单价4280套三双卫。,车城小区三区 -雁江区,3室2厅 | 123.35平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,48.8,"3,957元/平"
江南半岛150 平套四 精装修 江景房,喜悦江南半岛 -雁江区,4室2厅 | 149.5平米 | 东南 | 精装 | 高楼层(共28层)  | 暂无数据,1人关注 / 10个月以前发布,85.8,"5,740元/平"
中交景湾 配套成熟地段好 房东好说话价格可以少,中交锦湾 -雁江区,4室2厅 | 143平米 | 东南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 8个月以前发布,90,"6,294元/平"
圣桦名城109平横厅套三 通地下室 随时看房,圣桦名城 -雁江区,3室2厅 | 109.7平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,1人关注 / 8个月以前发布,70,"6,382元/平"
字库山旁 伊顿庄园套五三卫 210平叠拼带400平花园,伊顿庄园 -雁江区,4室2厅 | 169平米 | 西南 | 毛坯 | 低楼层(共9层)  | 板楼,6人关注 / 11个月以前发布,160,"9,468元/平"
沱东区政府 字库山公园旁 品质小区 伊顿庄园 套四三卫,伊顿庄园 -雁江区,4室2厅 | 126.3平米 | 东南 | 毛坯 | 低楼层(共9层)  | 暂无数据,1人关注 / 11个月以前发布,102,"8,077元/平"
109平大横厅，清水带车位一起出售套三双卫,圣桦名城 -雁江区,3室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 7个月以前发布,68.8,"6,312元/平"
芭蕉园，错层套三  采光好，交通便利,芭蕉园小区 -雁江区,3室2厅 | 153平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,57.8,"3,778元/平"
置地城 梦幻户型 三面采光 通透户型,置地城天麓 -雁江区,3室2厅 | 88.46平米 | 东南 | 毛坯 | 高楼层(共23层)  | 暂无数据,1人关注 / 11个月以前发布,63,"7,122元/平"
金科套三双卫清水带花园的房子采光好,资阳金科集美天悦 -雁江区,3室2厅 | 105平米 | 南 西南 | 毛坯 | 低楼层(共27层)  | 塔楼,5人关注 / 7个月以前发布,62.8,"5,981元/平"
世纪城二区 套三双卫中装 步梯低楼层,世纪城二区 -雁江区,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共8层)  | 塔楼,0人关注 / 6个月以前发布,60,"5,556元/平"
中交锦亭3室2厅2卫 交通便利 环境干净舒适 适合居住,中交锦亭 -雁江区,3室2厅 | 107平米 | 东南 | 精装 | 中楼层(共23层)  | 板塔结合,2人关注 / 9个月以前发布,74.8,"6,991元/平"
出售凯旋国际高层套三清水房 户型好,筑鼎凯旋国际 -雁江区,3室2厅 | 106平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,63.8,"6,019元/平"
世纪城香樟园 精装套三双卫 公园房,世纪城香樟苑 -雁江区,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,2人关注 / 11个月以前发布,64.8,"5,635元/平"
万达商圈 马鞍片区 置地城4期 套三双卫精装修 好停车,置地城天麓 -雁江区,3室2厅 | 88.17平米 | 南 | 精装 | 低楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,68.8,"7,804元/平"
水润东都洋房 套四双卫竖厅设计 交通出行便利 。。,水润东都 -雁江区,4室2厅 | 166平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 11个月以前发布,85.8,"5,169元/平"
凯旋国际四期 套三双卫毛坯房 电梯5楼 价格可谈,筑鼎凯旋国际 -雁江区,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 5个月以前发布,59.8,"5,696元/平"
万达商圈  凯旋国际套三双卫清水 中间楼层,筑鼎凯旋国际 -雁江区,3室2厅 | 104.26平米 | 东南 | 毛坯 | 高楼层(共24层)  | 塔楼,5人关注 / 11个月以前发布,63.8,"6,120元/平"
凯旋精装套三双卫 小高层  2T4户，户型方正,筑鼎凯旋国际 -雁江区,3室2厅 | 95.54平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,64.8,"6,783元/平"
凯旋国际高楼层好采光诚心出售欢迎咨询,筑鼎凯旋国际 -雁江区,3室2厅 | 112平米 | 东南 南 | 毛坯 | 高楼层(共28层)  | 塔楼,1人关注 / 3个月以前发布,64.8,"5,786元/平"
急售 房东直卖 套三双卫 好房源,四海国际社区 -雁江区,4室2厅 | 146平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,3人关注 / 10个月以前发布,84.8,"5,809元/平"
沱东新城的优质好房；素颜可可按照自己风格装,玫瑰苑 -雁江区,3室2厅 | 104平米 | 东南 | 其他 | 低楼层(共23层)  | 暂无数据,0人关注 / 9个月以前发布,64.8,"6,231元/平"
上东逸景 四室两厅两卫 清水中楼层。,上东逸景 -雁江区,4室2厅 | 129.12平米 | 东南 西北 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 8个月以前发布,69,"5,344元/平"
急售！凯旋洋房带花园主卧带衣帽间套三双卫！,筑鼎凯旋国际 -雁江区,3室2厅 | 114平米 | 东 | 精装 | 低楼层(共9层)  | 塔楼,2人关注 / 5个月以前发布,89.8,"7,878元/平"
蓝光公园学府 三室两厅两卫 100平 清水中楼城,蓝光公园学府 -雁江区,3室2厅 | 100.6平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 8个月以前发布,65.8,"6,541元/平"
急售！凯旋国际 交通便利 小区环境干净舒适 适合居住,筑鼎凯旋国际 -雁江区,3室2厅 | 104.2平米 | 北 | 其他 | 高楼层(共33层)  | 塔楼,1人关注 / 10个月以前发布,67.8,"6,507元/平"
世纪花园B区   三室两厅一卫 精装,世纪花园B区 -雁江区,3室2厅 | 133平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,51.8,"3,895元/平"
