标题,开发商,房子信息,发布信息,售价/万,单价
出售 沈抚新区  电梯洋房 精装修 三室户型,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,64.5,"6,650元/平"
听涛雅苑4-2-1-2 132.00m² 28 万）,听涛雅苑 -高湾,4室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,28.1,"2,129元/平"
此房 南北通透 房龄短 采光好,德商春天里 -沈抚新区,2室2厅 | 80.89平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 15天以前发布,54.5,"6,738元/平"
急售 标准两室  南北通透 采光好 楼层好,德商春天里 -沈抚新区,2室2厅 | 80.89平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 15天以前发布,54.5,"6,738元/平"
沈抚万科金域蓝湾 楼下143平 楼上80平 180万,沈抚万科城市之光 -沈抚新区,5室3厅 | 143平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,179,"12,518元/平"
万科1期推台式洋房，楼上有阁楼,万科金域蓝湾 -沈抚新区,4室2厅 | 185平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,16人关注 / 一年前发布,152,"8,217元/平"
亿丰小区：精品小户，交通便利。,亿丰中心 -沈抚新区,1室1厅 | 50.82平米 | 东 | 精装 | 中楼层(共28层)  | 塔楼,3人关注 / 一年前发布,24.5,"4,821元/平"
沈抚新区德商春天里小高层57平出售,德商春天里 -沈抚新区,2室2厅 | 56.67平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,41.2,"7,271元/平"
沈抚新区！万科城市之光！精装房！,沈抚万科城市之光 -沈抚新区,2室1厅 | 79平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,61,"7,722元/平"
房源位置优户型好，价格可议，看房方便,万科金域蓝湾 -沈抚新区,4室2厅 | 167.08平米 | 南 北 | 毛坯 | 3层  | 板楼,0人关注 / 6个月以前发布,177,"10,594元/平"
国际鑫城 99.8平 标准南北通透户型，室内采光,国际鑫城 -沈抚新区,2室2厅 | 99.83平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,45.3,"4,538元/平"
沈抚新区  圣大 诚心出售 价格合理,圣大英伦国际 -沈抚新区,2室2厅 | 82.51平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,35.3,"4,279元/平"
出售！沈抚新区 浑河旁精装 2室,德商国际花园 -沈抚新区,2室1厅 | 78.86平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,42,"5,326元/平"
万科城市之光两室两厅南北通透 标准户型 楼层好,沈抚万科城市之光 -沈抚新区,2室2厅 | 78.95平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,45,"5,700元/平"
南北通透采光好 临湖 有大公园,沈抚中南熙悦 -沈抚新区,2室2厅 | 76.74平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,52,"6,777元/平"
德商国际花园 两室全明户型 采光佳 通风好,德商国际花园 -沈抚新区,2室2厅 | 78.86平米 | 南 西 北 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,40.2,"5,098元/平"
南北通透  环境优美  格局好,浑河城 -其它,2室2厅 | 100.75平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,65,"6,452元/平"
沈抚新区中环天地两室清水  南北标户 采光好,中环天地 -其它,2室2厅 | 90.89平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 一年前发布,37,"4,071元/平"
中金樾府新交付楼盘，楼层好位置好，诚意出售。,中金公元启城 -沈抚新区,2室2厅 | 87.11平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 12天以前发布,62,"7,118元/平"
近浑河 电梯洋房 南北格局 采光好 无遮挡,沈抚中南熙悦 -沈抚新区,3室2厅 | 100平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,70,"7,000元/平"
房源户型好，精装修，家具家电，满二年可贷款,万科金域蓝湾 -沈抚新区,5室4厅 | 167平米 | 南 北 | 精装 | 3层  | 板楼,0人关注 / 3个月以前发布,447,"26,767元/平"
沈抚新区！圣大英伦国际！中间户！,圣大英伦国际 -沈抚新区,2室2厅 | 87.81平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,57.9,"6,594元/平"
沈抚新区 出售德商国际花园 三室户型 精装修,德商国际花园 -沈抚新区,3室2厅 | 119平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,76.8,"6,454元/平"
万科精装修洋房，好楼层，全是环保材料装修，位置好,沈抚万科城市之光 -沈抚新区,3室2厅 | 106.98平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 6个月以前发布,81,"7,572元/平"
沈抚新区 出售德商国际花园 全明户型 两室,德商国际花园 -沈抚新区,2室2厅 | 78.86平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 一年前发布,49.1,"6,227元/平"
出售沈抚新区  德商国际花园 两室户型 清水,德商国际花园 -沈抚新区,2室2厅 | 78.86平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,44.1,"5,593元/平"
沈抚新区出售德商国际花园 精装修 有露台,德商国际花园 -沈抚新区,2室2厅 | 100平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,70.5,"7,050元/平"
沈抚新区绿地剑桥多层两室一厅简装出售,绿地剑桥 -沈抚新区,2室1厅 | 90平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,51.8,"5,756元/平"
沈抚新区锦绣澜湾D区两室两厅精装修出售,锦绣澜湾D区 -沈抚新区,2室2厅 | 109.9平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,60,"5,460元/平"
绿地剑桥精美装修两居室前后花园 位置好 拎包入住,绿地剑桥 -沈抚新区,2室2厅 | 87.62平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,63,"7,191元/平"
房主搬家 急售 婚装 南北两室 通透户型 保养好,德商春天里 -沈抚新区,2室2厅 | 81.2平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,48.5,"5,973元/平"
沈抚新区中金公元启城两室两厅一卫毛坯出售,中金公元启城 -沈抚新区,2室2厅 | 94.47平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 6个月以前发布,50.1,"5,304元/平"
沈抚新区高科公寓两室两厅一卫简装出售,高科公寓 -沈抚新区,2室2厅 | 91.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,35.9,"3,907元/平"
沈抚新区中金公元精装修满五房主诚心出售,中金公元启城 -沈抚新区,1室1厅 | 61.38平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,4人关注 / 一年前发布,35.8,"5,833元/平"
沈抚新区绿地剑桥 双阳小户型 拎包即住,绿地剑桥 -沈抚新区,2室1厅 | 66.11平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 一年前发布,29,"4,387元/平"
出售 沈抚新区德商国际花园 小户型 精装修,德商国际花园 -沈抚新区,1室1厅 | 59平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,31,"5,255元/平"
急售 沈抚新区 两室精装修房源,幸福之城刘尔家园 -沈抚新区,2室1厅 | 62.28平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,28,"4,496元/平"
出售 沈抚新区 德商国际花园 小户型,德商国际花园 -沈抚新区,1室1厅 | 59.12平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,32.4,"5,481元/平"
位置好 交通便利 离 医院近  市场近,高丽花园 -沈抚新区,2室1厅 | 75.71平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,32.5,"4,293元/平"
万科品质小区，配套全，近轻轨 108-109等,沈抚万科城市之光 -沈抚新区,2室2厅 | 95平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,10人关注 / 一年前发布,61.2,"6,443元/平"
沈抚新区万科金域蓝湾两室两厅精装修出售,万科金域蓝湾 -沈抚新区,2室2厅 | 98.47平米 | 南 北 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 3个月以前发布,79,"8,023元/平"
精装洋房，拎包入住，现代装修，挥泪出售,德商春天里 -沈抚新区,2室2厅 | 86.04平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,62,"7,206元/平"
三室户型，采光充足，园区人车分流，安全。,明骏雅居 -沈抚新区,3室1厅 | 109.8平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 9个月以前发布,68,"6,194元/平"
万科金域蓝湾2.1期婚房精装修品质洋房出售,万科金域蓝湾 -沈抚新区,2室2厅 | 88.64平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,67,"7,559元/平"
沈抚新区万科金域蓝湾 清水房 楼层好 视野好无遮挡,万科金域蓝湾 -沈抚新区,3室2厅 | 167.01平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,118,"7,066元/平"
锦绣蓝湾D区 出行便捷 购物近 价格美丽,锦绣澜湾D区 -沈抚新区,2室2厅 | 103.96平米 | 南 北 西 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 一年前发布,40.5,"3,896元/平"
德商国际花园，南北通透，两室精装,德商国际花园 -沈抚新区,2室2厅 | 97.72平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,3人关注 / 一年前发布,60,"6,140元/平"
锦绣蓝湾C区，好位置，好楼层，简单装修,锦绣澜湾C区 -沈抚新区,2室2厅 | 95.55平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 一年前发布,42.5,"4,448元/平"
近浑河 生态环境好  空气清新,同城一品 -沈抚新区,2室2厅 | 112.33平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,4人关注 / 8个月以前发布,36,"3,205元/平"
在售房源，位置好，精装修，价格便宜,锦绣澜湾D区 -沈抚新区,2室2厅 | 102.81平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,6人关注 / 一年前发布,47,"4,572元/平"
此房南北户型，通风好采光充足，急售,锦绣澜湾D区 -沈抚新区,3室2厅 | 135.91平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 一年前发布,67,"4,930元/平"
精装南北通透大户型，满二年无贷款，位置佳视野开阔,万科金域蓝湾 -沈抚新区,3室1厅 | 167.01平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,101,"6,048元/平"
沈抚新区 精装修 一梯一户  视野好 观景效果好,中环天地 -其它,3室2厅 | 112.22平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,2人关注 / 一年前发布,71.9,"6,408元/平"
出售万科金域蓝湾精装南北标准户型电梯房,万科金域蓝湾 -沈抚新区,2室2厅 | 89.02平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 8个月以前发布,58,"6,516元/平"
沈付新区！高丽花园 ! 好楼层！,高丽花园 -沈抚新区,2室1厅 | 89.52平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,33.5,"3,743元/平"
国际鑫诚 满五唯一，南北通透，视野开阔，采光充足,国际鑫城 -沈抚新区,2室2厅 | 99.85平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,43.4,"4,347元/平"
国际鑫城3楼洋房急售价格还可以研究,国际鑫城 -沈抚新区,2室1厅 | 92平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,45.6,"4,957元/平"
沈抚 电梯小高 好楼层 近南昌 南京 拎包入住,德商国际花园 -沈抚新区,2室2厅 | 71平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,41.3,"5,817元/平"
经典小户型 全明户型 带阳台 好楼层,德商国际花园 -沈抚新区,1室1厅 | 59.35平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,36,"6,066元/平"
沈抚新区！德商国际花园 精装修有家具家电,德商国际花园 -沈抚新区,4室2厅 | 160.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,92.5,"5,769元/平"
国际鑫城3楼洋房急售价格还可以研究,国际鑫城 -沈抚新区,2室1厅 | 92平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,45.6,"4,957元/平"
沈付新区！高丽花园 ! 好楼层！,高丽花园 -沈抚新区,2室1厅 | 89.52平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,33.5,"3,743元/平"
沈抚电梯高层 全天采光视野好 工作调动急售方便看房,悦鑫国际 -沈抚新区,2室2厅 | 110.2平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,43,"3,902元/平"
沈抚新区德商好房，户型好采光好。,德商国际花园 -沈抚新区,1室2厅 | 59.12平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,29.5,"4,990元/平"
不临街，不顶层，双阳，带装修.视野好,国际鑫城 -沈抚新区,2室1厅 | 81.85平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,4人关注 / 一年前发布,32,"3,910元/平"
圣大英伦一楼，满五，工作调动，诚意出售,圣大英伦国际 -沈抚新区,2室2厅 | 100.32平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,1人关注 / 6个月以前发布,85.5,"8,523元/平"
简单装修大两室 楼下工学院 日常生活购物方便,御府龙湾 -沈抚新区,2室2厅 | 91.9平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 9个月以前发布,30,"3,265元/平"
房子是南北通透户型，精装，两室，满二年,万科金域蓝湾 -沈抚新区,2室2厅 | 88.04平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 11个月以前发布,66,"7,497元/平"
沈抚新区好楼层 户型好 得房率高 使用面积大,绿地剑桥 -沈抚新区,2室2厅 | 85.9平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,13人关注 / 6个月以前发布,31.3,"3,644元/平"
挥泪出售，房主置换，随时看房。价格可议,万科金域蓝湾 -沈抚新区,2室1厅 | 87.93平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 4个月以前发布,56,"6,369元/平"
"此房南北格局，楼层好，视野开阔,，采光充足",中环天地 -其它,2室1厅 | 90.89平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 10个月以前发布,39.5,"4,346元/平"
园区入住率高  绿 化 好 封闭园区 拎包入住,德商国际花园 -沈抚新区,2室1厅 | 70.85平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,44.3,"6,253元/平"
此房满二年.没有大税，手续齐全,明骏雅居 -沈抚新区,3室2厅 | 111.85平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 9个月以前发布,65,"5,812元/平"
电梯精装小户型 各使用空间独立 开间大 采暖好 视野好,德商国际花园 -沈抚新区,1室1厅 | 59.12平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 5个月以前发布,36,"6,090元/平"
急售 满5 婚装 电梯三室 大开间 南北通透,万科金域蓝湾 -沈抚新区,3室2厅 | 156.53平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,111,"7,092元/平"
万科金域蓝湾 清水房 采光好 轻轨旁 急售,万科金域蓝湾 -沈抚新区,3室2厅 | 108平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,76.5,"7,084元/平"
房主诚心出售本房 电梯大户型 南北格局 视野开阔,沈抚中南熙悦 -沈抚新区,4室2厅 | 120平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,85,"7,084元/平"
沈抚新区急售 德商国际花园 两室 采光好 楼层好,德商国际花园 -沈抚新区,2室2厅 | 92平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,51.5,"5,598元/平"
南北通透，视野好 格局好，万科精装修，刚需好户型,沈抚万科城市之光 -沈抚新区,3室2厅 | 102.3平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 5个月以前发布,69,"6,745元/平"
沈抚新区 出售德商国际花园 五号院三室户型楼层好,德商国际花园 -沈抚新区,3室2厅 | 97.3平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,60.5,"6,218元/平"
房源位置好，户型好，价格可议，看房方便。,万科金域蓝湾 -沈抚新区,3室2厅 | 220平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,6人关注 / 6个月以前发布,109,"4,955元/平"
房子户型好，位置好。视野开阔。,沈抚万科城市之光 -沈抚新区,3室1厅 | 96.82平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,6人关注 / 6个月以前发布,61.8,"6,383元/平"
万科精装电梯洋房，三室两厅一卫，位置佳，采光,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 西 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,70,"6,931元/平"
沈抚新区德商国际花园洋房三室两厅一卫出售,德商国际花园 -沈抚新区,3室2厅 | 96.6平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,45.5,"4,711元/平"
万科电梯洋房  次顶好楼层  全新精装修 采光好 户型好,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,95,"7,308元/平"
清水大户型 南北通透 园区中间位置 不临街 不把山,锦绣澜湾D区 -沈抚新区,3室2厅 | 122平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,6人关注 / 8个月以前发布,55,"4,509元/平"
明骏雅居3-2-1-2 114.0085.5 万,明骏雅居 -沈抚新区,3室2厅 | 114.35平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,79.9,"6,988元/平"
房主急售万科城市之光三室精装修,沈抚万科城市之光 -沈抚新区,3室2厅 | 99.56平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,75,"7,534元/平"
沈抚中南熙悦 3室2厅 南 北,沈抚中南熙悦 -沈抚新区,3室2厅 | 103.78平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,1人关注 / 2个月以前发布,49,"4,722元/平"
房源户型好，价格可以看房方便，贷款全款都可以。,万科金域蓝湾 -沈抚新区,3室2厅 | 167平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 6个月以前发布,100,"5,989元/平"
房源户型好，价格可以看房方便，贷款全款都可以。,万科金域蓝湾 -沈抚新区,3室2厅 | 167平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 6个月以前发布,100,"5,989元/平"
沈抚中南熙悦 3室2厅 南 北,沈抚中南熙悦 -沈抚新区,3室2厅 | 103.78平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,1人关注 / 2个月以前发布,49,"4,722元/平"
房主急售万科城市之光三室精装修,沈抚万科城市之光 -沈抚新区,3室2厅 | 99.56平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,75,"7,534元/平"
小区环境优美 封闭式园区 物业好 楼间距,万科金域蓝湾 -沈抚新区,3室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,3人关注 / 6个月以前发布,76.5,"7,084元/平"
次房满二年，有贷款，中间户，不把山不临街,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,8人关注 / 5个月以前发布,64,"6,337元/平"
房主急售万科城市之光高层三室无遮挡视野好,沈抚万科城市之光 -沈抚新区,3室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,79,"7,900元/平"
你户型好，位置好，格局好。可贷款。随时看房。,明骏雅居 -沈抚新区,3室2厅 | 114.35平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,73.5,"6,428元/平"
全新出售，屋内保持的很好，看房提前预约,沈抚万科城市之光 -沈抚新区,3室2厅 | 114.79平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,77,"6,708元/平"
高素质人群聚集 新中式建筑风格  户型好方正 视野开阔,明骏雅居 -沈抚新区,3室2厅 | 109.76平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,2人关注 / 8个月以前发布,71,"6,469元/平"
万科金域蓝湾4-2-1-2 169.00平 主体已改建完成,万科金域蓝湾 -沈抚新区,4室2厅 | 169平米 | 南 北 | 毛坯 | 3层  | 板楼,0人关注 / 5个月以前发布,160,"9,468元/平"
房源位置优，户型好，价格可小议,沈抚万科城市之光 -沈抚新区,4室2厅 | 146平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,129.5,"8,870元/平"
房源户型好，位置优越价格可议随时看房,沈抚万科城市之光 -沈抚新区,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 6个月以前发布,76,"7,600元/平"
电梯洋房 房龄短  中间楼层 满二 随时看房,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,64.5,"6,650元/平"
急售急售 比较适合育才走读生 沈抚新区中南熙悦,沈抚中南熙悦 -沈抚新区,3室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,2人关注 / 5个月以前发布,55,"6,180元/平"
沈抚新区 德商春天里 87平小三室 双南卧 满二唯一,德商春天里 -沈抚新区,3室2厅 | 87.54平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,50.5,"5,769元/平"
业主急售沈抚明俊雅居精装修南北大三室楼层好视野开阔,明骏雅居 -沈抚新区,3室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 7个月以前发布,70,"6,667元/平"
中金公元启程，观景楼层，好户型，交通便利,中金公元启城 -沈抚新区,3室2厅 | 108.73平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,5人关注 / 一年前发布,53,"4,875元/平"
沈抚示范区，好楼层 看房方便.不临街,明骏雅居 -沈抚新区,3室2厅 | 124.6平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,110,"8,829元/平"
万科 108平 洋房  顶楼 房东自己装修,万科金域蓝湾 -沈抚新区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,88,"8,149元/平"
沈抚新区 国际鑫诚 多层二楼 三室,国际鑫城 -沈抚新区,3室2厅 | 148平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,66,"4,460元/平"
和美家园2室2厅1厨房1卫简单装修,和美家园 -沈抚新区,2室2厅 | 77.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,13人关注 / 一年前发布,28.2,"3,625元/平"
精装洋房三室  拎包住  满五出行便利,德商国际花园 -沈抚新区,3室2厅 | 98.48平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,57,"5,788元/平"
同城一品精装修电梯小高  现代风格装修 采光还贼好,同城一品 -沈抚新区,3室2厅 | 133平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,27人关注 / 10个月以前发布,60,"4,512元/平"
南北通透标准格局 全天采光无遮挡,锦绣澜湾C区 -沈抚新区,3室2厅 | 110平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,41.2,"3,746元/平"
明俊雅居三室两厅一卫楼层好户型佳临河景观环境优雅。,明骏雅居 -沈抚新区,3室2厅 | 105平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,48,"4,572元/平"
沈抚万科城市之光3-2-1-1 101.00平 83 万,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,75,"7,426元/平"
沈抚新区德商国际花园三室两厅一卫毛坯出售,德商国际花园 -沈抚新区,3室2厅 | 96.69平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,47,"4,861元/平"
沈抚万科城市之光3-2-1-2 130.00m² 洋房清水 采光好,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,96,"7,385元/平"
房源户型好，装修好价格可议随时看房,沈抚中南熙悦 -沈抚新区,3室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 5个月以前发布,80,"7,477元/平"
急售急售急售 沈抚新区绿地剑桥三室二厅一厨一卫,绿地剑桥 -沈抚新区,3室2厅 | 93平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,38,"4,087元/平"
万科 108平 洋房  顶楼 房东自己装修,万科金域蓝湾 -沈抚新区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,88,"8,149元/平"
沈抚万科城市之光3-2-1-2 130.00m² 洋房清水 采光好,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,96,"7,385元/平"
沈抚新区德商春天里三室两厅一卫毛坯出售,德商春天里 -沈抚新区,3室2厅 | 87.43平米 | 东 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,52,"5,948元/平"
房源位置优户型好，价格便宜，随时看房,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,98,"7,539元/平"
房源户型好位置优楼层好随时看房,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,101.8,"7,831元/平"
户型好，价格可以满两年可贷款。看房方便。,沈抚万科城市之光 -沈抚新区,3室1厅 | 100平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,86,"8,600元/平"
房主急售，电梯洋房，位置佳，楼层好,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,88.5,"8,763元/平"
房源户型好位置优越价格可议随时看房,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,72,"7,129元/平"
