标题,开发商,房子信息,发布信息,售价/万,单价
主城区电梯小高层户型方正得房率高配套齐全,金石•凤凰城 -魏都区,3室2厅 | 143.76平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,121,"8,417元/平"
户型方正，采光通风好，业主诚意出售,怡景花城 -魏都区,3室2厅 | 123平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,75,"6,098元/平"
房子满五唯一，户型方正，采光充足，房屋保养的很好,瑞贝卡·家天下 -魏都区,3室2厅 | 146.65平米 | 南 东 | 精装 | 高楼层(共6层)  | 板楼,27人关注 / 一年前发布,105,"7,160元/平"
满五唯一，顶楼带花园，双气，三卧朝南,长和花园小区 -魏都区,3室2厅 | 112.33平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 11个月以前发布,61,"5,431元/平"
锦绣华府小区房源，交通便利，出行方便。,锦绣华府(魏都区) -魏都区,3室2厅 | 119.58平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,55,"4,600元/平"
南区繁华地段，北近思故台、胖东来生活广场，,许昌石油分公司住宅楼东院 -魏都区,4室2厅 | 130.23平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,59,"4,531元/平"
双气小三室，采光好，视野开阔。。。。。。。。。。。,文峰路人行家属院 -魏都区,3室1厅 | 73.42平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,30,"4,087元/平"
满五唯一，业主急售，看房方便，交通便利，成熟商圈！,许昌市煤机厂家属院 -魏都区,3室2厅 | 118.12平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,1人关注 / 6个月以前发布,39.9,"3,378元/平"
西席雅苑150.22平方115万,西席雅苑 -魏都区,4室2厅 | 150.22平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,114.9,"7,649元/平"
健康路 金质公司家属院 三室好楼层,金质公司家属院 -魏都区,3室1厅 | 95.93平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,3人关注 / 5个月以前发布,53,"5,525元/平"
房东诚心出售，中间好楼层电梯房,龙湖西苑 -魏都区,3室1厅 | 94.34平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,55,"5,830元/平"
古槐街 寇家巷小区 可按揭 停车方便 采光好,寇家巷小区 -魏都区,3室1厅 | 125.66平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,68,"5,412元/平"
瑞贝卡·家天下 5室3厅 南 北,瑞贝卡·家天下 -魏都区,5室3厅 | 322.1平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,210,"6,520元/平"
"房东诚意出售,地段好，配套齐全 双气 可以直接过户",许昌市第二建设（集团）有限公司 -魏都区,2室2厅 | 95.18平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,33,"3,468元/平"
延中小区二三期 3室2厅 南,延中小区二三期 -魏都区,3室2厅 | 149.94平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,65,"4,336元/平"
火车站胖东来生活广场有证中层三室全款26万,七一路公疗医院家属院 -魏都区,3室1厅 | 73.5平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,24人关注 / 一年前发布,25,"3,402元/平"
满五唯一 实验旁 两室带储藏室,许昌市教委家属院 -魏都区,3室1厅 | 81.99平米 | 东 东南 | 简装 | 中楼层(共4层)  | 板塔结合,4人关注 / 一年前发布,41,"5,001元/平"
交警支队家属院中院，安静适合养老,市交警支队家属院中院 -魏都区,3室1厅 | 91.65平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,7人关注 / 一年前发布,36,"3,928元/平"
此房简单装修可拎包入住，采光充足无遮挡，视野开阔！,家家乐批发市场住宅楼 -魏都区,3室2厅 | 108平米 | 东 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,33,"3,056元/平"
南海街 天宝盛世花园 精装修未入住 三房 双气 可按揭,天宝盛世花园 -建安区,3室1厅 | 114.33平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,28人关注 / 9个月以前发布,89.9,"7,864元/平"
兴华路繁华地段 干净明亮三居室 有储有燃气有证可按揭,万里公司22号家属院 -魏都区,3室2厅 | 100.04平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,35,"3,499元/平"
房子大阳台带入户花园好户型，高楼层配套齐全万达广场,恒达NAPA溪地 -魏都区,3室3厅 | 136.88平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,5人关注 / 10个月以前发布,113,"8,256元/平"
户型方正，交通便利。价格实惠，步梯底层，位于工农路,新景苑 -魏都区,4室1厅 | 141平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,62,"4,398元/平"
南海街鹿鸣湖旁！好楼层！诚心出售,天宝盛世花园 -建安区,3室2厅 | 134.15平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,86,"6,411元/平"
满五唯一税费清晰 户型方正通风采光好 室内精装修,健发御园一期 -魏都区,2室2厅 | 79.42平米 | 南 | 简装 | 中楼层(共24层)  | 板塔结合,3人关注 / 一年前发布,59.8,"7,530元/平"
电业局家属院 3室2厅 南,电业局家属院 -魏都区,3室2厅 | 137.96平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,40,"2,900元/平"
南海街校旁 品质小区 住在花园里的小区,恒大绿洲 -魏都区,3室2厅 | 119.42平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,26人关注 / 一年前发布,100,"8,374元/平"
四开间朝南，中间楼层，小区中间位置，采光好,天宝盛世花园 -建安区,3室2厅 | 114.33平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,13人关注 / 一年前发布,74.5,"6,517元/平"
腾飞花园，电梯好楼层，有钥匙看房方便,腾飞花园 -魏都区,3室2厅 | 131.13平米 | 西 | 毛坯 | 高楼层(共14层)  | 板塔结合,2人关注 / 一年前发布,78,"5,949元/平"
"此房满五唯一,采光好，屋里很干净。",宇华名郡 -魏都区,3室2厅 | 100.53平米 | 东南 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,75,"7,461元/平"
新东街洋房建业桂园大四房户型方正南北通透看房有钥匙,建业桂园(建安区) -建安区,4室2厅 | 171.42平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,185,"10,793元/平"
劳动路西湖公园同发机械厂家属院3室2厅 可按揭 好楼层,同发机械厂家属院 -魏都区,3室2厅 | 130.9平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 10个月以前发布,69,"5,272元/平"
急售！房东诚心出售！金盾佳苑 精装三室 采光好,金盾佳苑 -魏都区,3室1厅 | 96.09平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼,11人关注 / 一年前发布,40,"4,163元/平"
小区内外环境好 采光好 户型合理 集中供暖 楼层视野。,瑞贝卡兴天下 -魏都区,3室2厅 | 111平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,6人关注 / 一年前发布,88,"7,928元/平"
瑞贝卡兴天下 毛坯三室两卫 三卧朝南 采光好,瑞贝卡兴天下 -魏都区,3室2厅 | 118.18平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,90,"7,616元/平"
延中小区 大3室 能按揭 有储藏室,延中小区二三期 -魏都区,3室2厅 | 128.5平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,0人关注 / 一年前发布,50,"3,892元/平"
文峰东巷 工行小区 双气 满五唯一,工行小区(文峰东巷) -魏都区,3室2厅 | 115.35平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,65,"5,636元/平"
市立医院森林半岛精装3室  新风 ZY空调,建业森林半岛 -魏都区,3室1厅 | 116.25平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,4人关注 / 一年前发布,100,"8,603元/平"
居住环境优美，三室朝南，采光好。。。。。,德科苑小区 -魏都区,3室2厅 | 118.47平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,72,"6,078元/平"
滨河花园 带露台 复式 大三室,滨河花园 -魏都区,3室2厅 | 169.55平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,10人关注 / 7个月以前发布,92,"5,427元/平"
恒大园林小区，南北通透精装三室，含车位,恒大绿洲 -魏都区,3室2厅 | 113.49平米 | 南 北 | 其他 | 低楼层(共26层)  | 板楼,3人关注 / 6个月以前发布,100,"8,812元/平"
鹿鸣湖南海街均价6000现房大3室双气,天宝盛世花园 -建安区,3室2厅 | 136.44平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,2人关注 / 4个月以前发布,85,"6,230元/平"
向阳路与帝豪路水厂家属院双气 户型方正拎包入住,水厂家属院 -魏都区,3室1厅 | 91.58平米 | 南 西 | 简装 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,26,"2,840元/平"
商务局家属院3室2厅一梯一户干净舒适,商务局家属院 -魏都区,3室2厅 | 118.55平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,60,"5,062元/平"
大众苑位置好，上学方便，交通方便，有个储藏室,大众苑 -魏都区,3室2厅 | 139.18平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,70,"5,030元/平"
户型方正，采光好，毛坯房，房东去外地发展价格还能谈,德正西湖春天 -建安区,3室2厅 | 100平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,1人关注 / 5个月以前发布,67.5,"6,750元/平"
南海街 天宝盛世花园 精装修未入住 三房 双气 可按揭,天宝盛世花园 -建安区,3室1厅 | 114.33平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,28人关注 / 9个月以前发布,89.9,"7,864元/平"
满五唯一 实验旁 两室带储藏室,许昌市教委家属院 -魏都区,3室1厅 | 81.99平米 | 东 东南 | 简装 | 中楼层(共4层)  | 板塔结合,4人关注 / 一年前发布,41,"5,001元/平"
交警支队家属院中院，安静适合养老,市交警支队家属院中院 -魏都区,3室1厅 | 91.65平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,7人关注 / 一年前发布,36,"3,928元/平"
火车站胖东来生活广场有证中层三室全款26万,七一路公疗医院家属院 -魏都区,3室1厅 | 73.5平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,24人关注 / 一年前发布,25,"3,402元/平"
此房简单装修可拎包入住，采光充足无遮挡，视野开阔！,家家乐批发市场住宅楼 -魏都区,3室2厅 | 108平米 | 东 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,33,"3,056元/平"
兴华路繁华地段 干净明亮三居室 有储有燃气有证可按揭,万里公司22号家属院 -魏都区,3室2厅 | 100.04平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,35,"3,499元/平"
房子大阳台带入户花园好户型，高楼层配套齐全万达广场,恒达NAPA溪地 -魏都区,3室3厅 | 136.88平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,5人关注 / 10个月以前发布,113,"8,256元/平"
户型方正，交通便利。价格实惠，步梯底层，位于工农路,新景苑 -魏都区,4室1厅 | 141平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,62,"4,398元/平"
花园式小区，电梯双气复式洋房。满足成功人士的选择。,三达府西雅园 -魏都区,4室3厅 | 119.66平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,150,"12,536元/平"
健康路一中的房子诚心出售可以看房的,健康路小学宿舍楼 -魏都区,3室1厅 | 83.69平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,66,"7,887元/平"
鼎鑫鑫悦广场 有证可按揭 好楼层 采光刺眼,鼎鑫鑫悦广场 -魏都区,3室2厅 | 128.07平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 塔楼,3人关注 / 5个月以前发布,96,"7,496元/平"
三室可按揭 9米大阳台 中间好楼层,许昌市武警支队家属院 -魏都区,3室2厅 | 104.05平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,64,"6,151元/平"
此房满五唯一，格局通透，采光充足，配套设施齐全,市委家属院 -魏都区,3室1厅 | 102.77平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 7个月以前发布,40,"3,893元/平"
大三室，环境优美，交通便利，急售,学府名苑 -魏都区,3室2厅 | 147.12平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,4人关注 / 一年前发布,106,"7,206元/平"
一中 八一路 xiao 学 步梯一楼,玉皇阁社区北郊供销社家属院 -魏都区,3室1厅 | 70平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,9人关注 / 5个月以前发布,28,"4,000元/平"
天宝盛世花园 3室2厅 南 北,天宝盛世花园 -建安区,3室2厅 | 136.2平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,2人关注 / 8个月以前发布,85,"6,241元/平"
兴华路634号3-2-1-1 91.88m² 2,兴华路634号 -魏都区,3室2厅 | 91.88平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,6人关注 / 10个月以前发布,24.8,"2,700元/平"
和天下毛坯三室诚心出售看房方便,瑞贝卡·和天下 -魏都区,3室2厅 | 137.94平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,1人关注 / 4个月以前发布,104,"7,540元/平"
步梯3 有燃气 不临街 有储 二次新装修,市政住宅楼 -魏都区,3室2厅 | 98.65平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,59,"5,981元/平"
三国昶源小区3室2厅2卫3楼精装拎包入住满五,三国昶源小区 -魏都区,3室2厅 | 153.19平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,16人关注 / 一年前发布,66,"4,309元/平"
步梯三楼 有车位有储藏室 精装修拎包入住,万象新天 -魏都区,3室2厅 | 128.43平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,24人关注 / 11个月以前发布,73,"5,685元/平"
八一路 茂源金色家园 步梯中层 双气 拎包入住,茂源·金色家园 -魏都区,3室2厅 | 131平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,88,"6,718元/平"
劳动路新村社区果品公司家属院，3室1厅1厨1卫,新村社区果品公司家属院 -魏都区,3室1厅 | 91平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,37,"4,066元/平"
360，万达，恒达物业，中间楼层，毛坯随意装修,恒达名门尚居 -魏都区,3室2厅 | 127.76平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,102,"7,984元/平"
此房精装修，家具家电齐全，储藏室,文化馆家属院 -魏都区,3室1厅 | 116.72平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,55,"4,713元/平"
和天下 满五 一梯一户 精装修拎包入住,瑞贝卡·和天下 -魏都区,3室2厅 | 139.12平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 4个月以前发布,135,"9,704元/平"
天宝盛世花园毛坯三室诚心出售看房方便,天宝盛世花园 -建安区,3室2厅 | 135.1平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,83,"6,144元/平"
此房满五唯一，有火车站，生活广场，时代广场，.,农业局南关家属院 -魏都区,2室2厅 | 89.6平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,34,"3,795元/平"
双气小三室，采光好，视野开阔。。。。。。。。。。。,文峰路人行家属院 -魏都区,3室1厅 | 73.42平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,30,"4,087元/平"
锦绣华府小区房源，交通便利，出行方便。,锦绣华府(魏都区) -魏都区,3室2厅 | 119.58平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,55,"4,600元/平"
延中小区二三期 3室2厅 南,延中小区二三期 -魏都区,3室2厅 | 149.94平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,65,"4,336元/平"
房东诚心出售，中间好楼层电梯房,龙湖西苑 -魏都区,3室1厅 | 94.34平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,55,"5,830元/平"
瑞贝卡·家天下 5室3厅 南 北,瑞贝卡·家天下 -魏都区,5室3厅 | 322.1平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,210,"6,520元/平"
古槐街 寇家巷小区 可按揭 停车方便 采光好,寇家巷小区 -魏都区,3室1厅 | 125.66平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,68,"5,412元/平"
满五唯一，顶楼带花园，双气，三卧朝南,长和花园小区 -魏都区,3室2厅 | 112.33平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 11个月以前发布,61,"5,431元/平"
满五唯一，业主急售，看房方便，交通便利，成熟商圈！,许昌市煤机厂家属院 -魏都区,3室2厅 | 118.12平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,1人关注 / 6个月以前发布,39.9,"3,378元/平"
户型方正，采光通风好，业主诚意出售,怡景花城 -魏都区,3室2厅 | 123平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,75,"6,098元/平"
南区繁华地段，北近思故台、胖东来生活广场，,许昌石油分公司住宅楼东院 -魏都区,4室2厅 | 130.23平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,59,"4,531元/平"
西席雅苑150.22平方115万,西席雅苑 -魏都区,4室2厅 | 150.22平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,114.9,"7,649元/平"
健康路 金质公司家属院 三室好楼层,金质公司家属院 -魏都区,3室1厅 | 95.93平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,3人关注 / 5个月以前发布,53,"5,525元/平"
"房东诚意出售,地段好，配套齐全 双气 可以直接过户",许昌市第二建设（集团）有限公司 -魏都区,2室2厅 | 95.18平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,33,"3,468元/平"
瑞贝卡家天下大三室，交通便利，小区环境好,瑞贝卡·家天下 -魏都区,3室2厅 | 136.07平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,6人关注 / 一年前发布,103,"7,570元/平"
房子是步梯三楼 双气 适合养老 拎包入住 华佗路医院旁,烟厂家属院 -魏都区,3室1厅 | 90.73平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,38,"4,189元/平"
科技广场 万象春天花园  胖东来云鼎,万象春天 -魏都区,3室2厅 | 137.83平米 | 南 | 精装 | 中楼层(共21层)  | 塔楼,16人关注 / 8个月以前发布,108,"7,836元/平"
东区满五唯一三房 户型方正，南北双阳台 单价六千九,六和花园 -魏都区,3室2厅 | 137平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,5人关注 / 10个月以前发布,90,"6,570元/平"
五一路 万象新天 三室双气 一楼带院 小区环境好,万象新天 -魏都区,3室2厅 | 125.15平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,85,"6,792元/平"
运动楼层 采光充足 简装四室 看房方便 交通便利,青竹苑 -魏都区,4室1厅 | 154.48平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,81,"5,244元/平"
安福苑3-1-1-1 113.00m²,安福苑 -魏都区,3室1厅 | 113平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 7个月以前发布,60.8,"5,381元/平"
停车方便，前后两个大门，出入方便，门口有公交车站牌,青竹苑 -魏都区,3室2厅 | 148.82平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,11人关注 / 7个月以前发布,66,"4,435元/平"
公路段一处家属院 带储藏室 有暖气  诚心出售,公路段家属院一处 -魏都区,3室1厅 | 101.92平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,40,"3,925元/平"
机房街上！3楼带30平露台，出家门到校门,恒达·相府三号院 -魏都区,1室1厅 | 63.25平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 3个月以前发布,71,"11,226元/平"
CBD、芙蓉湖旁126平  仅售126W,欣馨家苑 -建安区,3室2厅 | 121.36平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 11个月以前发布,73,"6,016元/平"
南海街 奥体花城 大三房 仅售95W 精装 通透明亮,腾飞·奥体花城 -魏都区,3室1厅 | 127.23平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,95,"7,467元/平"
健发御园三期 3室1厅 东南 南,健发御园三期 -魏都区,3室1厅 | 91.32平米 | 东南 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,66,"7,228元/平"
鹿鸣湖旁 瑞贝卡兴天下 精装三室 采光视野好 拎包住,瑞贝卡兴天下 -魏都区,3室2厅 | 131.24平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,117,"8,915元/平"
清华苑 3室2厅 东,清华苑 -长葛市,3室2厅 | 131.85平米 | 东 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 4个月以前发布,62,"4,703元/平"
锦绣华府 三室两厅 精装修 户型方正 拎包入住,锦绣华府(魏都区) -魏都区,3室2厅 | 117.88平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 11个月以前发布,59,"5,006元/平"
锦绣华府 三室两厅 精装修 户型方正 拎包入住,锦绣华府(魏都区) -魏都区,3室2厅 | 117.88平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 11个月以前发布,59,"5,006元/平"
一楼半，采光好，带小院适合养老，不潮湿,烤烟厂家属院 -魏都区,3室1厅 | 60.1平米 | 南 | 简装 | 低楼层(共6层)  | 平房,11人关注 / 10个月以前发布,27.5,"4,576元/平"
西湖公园，胖东来，交通便利，上学方便，,许昌市人民医院家属院 -魏都区,3室2厅 | 108.2平米 | 东南 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,56.5,"5,222元/平"
位置好，交通方便，西湖公园，胖东来,新村社区果品公司家属院 -魏都区,3室1厅 | 91平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,39.9,"4,385元/平"
千亩游园 胖东来金三角店  简装 三室 户型方正 采光好,世鹏制衣厂家属院 -建安区,3室2厅 | 151.94平米 | 东 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 10个月以前发布,49,"3,225元/平"
金石星海湾南院。1梯1户，小区正中间，不临街，安静,金石星海湾南院 -魏都区,4室2厅 | 173.29平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 7个月以前发布,125,"7,214元/平"
步梯二楼，小三室，有储藏室，采光好,许昌市实验中学家属院 -魏都区,3室1厅 | 74.62平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,41,"5,495元/平"
楼层好 视野宽阔 采光充足 配套齐全 交通便利,创业园小区 -长葛市,4室2厅 | 184.04平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,82,"4,456元/平"
出门就是 帝豪路 大三室 没公摊,二橡胶厂家属院 -魏都区,3室2厅 | 94.57平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,30,"3,173元/平"
健发御园三期 3室1厅 东南 南,健发御园三期 -魏都区,3室1厅 | 91.32平米 | 东南 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,66,"7,228元/平"
小区位置hao ，视野开阔，低楼层，空间感好,健发御园三期 -魏都区,4室2厅 | 171.62平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,116,"6,760元/平"
东区新东街大三房 户型方正社区优质电梯好楼层,六和花园 -魏都区,3室2厅 | 130.44平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 5个月以前发布,92,"7,054元/平"
北海公园胖东来镜湖花园满五唯一通透好户型，采光充足,镜湖花园 -建安区,3室2厅 | 128.89平米 | 北 南 | 其他 | 高楼层(共6层)  | 板塔结合,18人关注 / 一年前发布,41,"3,182元/平"
长城家园 3室2厅 南 北,长城家园 -建安区,3室2厅 | 146.13平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,1人关注 / 4个月以前发布,85,"5,817元/平"
西区品质小区 南北通透 配套齐全  交通便利,时代皇庭 -魏都区,3室2厅 | 113.76平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,13人关注 / 一年前发布,70,"6,154元/平"
满五唯一，想把房子卖给有缘人....,消防支队家属院 -魏都区,3室2厅 | 101平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,58,"5,743元/平"
西区品质小区 大三室 光线充足 户型方正 配套齐全,鸿业花园 -魏都区,3室2厅 | 138.97平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,6人关注 / 一年前发布,72,"5,181元/平"
世纪鑫城 3室2厅 南,世纪鑫城 -长葛市,3室2厅 | 144.56平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 3个月以前发布,58,"4,013元/平"
此房满五唯一，通透格局，楼层好，交通便利,茂源·金色家园 -魏都区,3室2厅 | 134.83平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 10个月以前发布,72,"5,341元/平"
腾飞花园，满五唯一，业主急售有露台！,腾飞花园 -魏都区,3室2厅 | 133.13平米 | 西南 西 | 简装 | 高楼层(共7层)  | 板塔结合,25人关注 / 一年前发布,82,"6,160元/平"
此房户型方正，好楼层，好位置，出行方便出行方便,欣馨家苑 -建安区,3室2厅 | 131平米 | 东 | 毛坯 | 中楼层(共30层)  | 板楼,4人关注 / 一年前发布,72,"5,497元/平"
北海公园环境优美交通便利舒适小三室,恒达北海龙城一期 -建安区,3室2厅 | 106.93平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,4人关注 / 11个月以前发布,80,"7,482元/平"
满五唯一，户型方正，采光好。低楼层,祥泰家园一期 -魏都区,3室2厅 | 95平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板楼,14人关注 / 一年前发布,48,"5,053元/平"
出售文峰广场北邻3室1厅80平方满5唯1南北通风采光好,广播局家属院 -魏都区,3室1厅 | 80.42平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,16人关注 / 8个月以前发布,28,"3,482元/平"
复式大露台阳光房，壁挂炉暖气自供，满五唯一带储藏室,万里星河花园小区 -魏都区,4室2厅 | 180.84平米 | 东南 | 简装 | 高楼层(共7层)  | 板塔结合,2人关注 / 8个月以前发布,74,"4,093元/平"
中储粮西苑精装修婚房采光好低楼层大三室交通方便,中储粮西苑 -魏都区,3室2厅 | 126.64平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,56,"4,422元/平"
