标题,开发商,房子信息,发布信息,售价/万,单价
东坝江景房，朝南，精装修三房双卫，拎包入住，,翡翠城 -东坝,3室2厅 | 136.33平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,123,"9,023元/平"
老城 繁华地段 大三室 低价出售,广元商城住宿楼 -老城,3室2厅 | 115平米 | 北 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,61,"5,305元/平"
利州广场旁，精装大套二，拎包入住，户型方正，,利源小区 -东坝,2室2厅 | 90.16平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,59.6,"6,611元/平"
国企私房电梯   大3居室   拎包住,零八一小区 -东坝,3室2厅 | 183.97平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,79,"4,295元/平"
邦泰天誉西区中庭位置大平层出售，看小区中庭,邦泰天誉西区 -万源,5室2厅 | 180平米 | 东 西 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,360,"20,000元/平"
邦泰天誉清水3居室，房东诚心出售,邦泰天誉 -万源,3室2厅 | 94平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,109,"11,596元/平"
恒昌揽胜 三室两厅双卫，交通便利，适合居住,恒昌揽胜 -南河,3室2厅 | 139.96平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 平房,6人关注 / 一年前发布,113,"8,074元/平"
碧桂园大型社区，精装优质三房，诚心出售,广元碧桂园 -雪峰,3室2厅 | 114.5平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 8个月以前发布,92,"8,035元/平"
此房2室2厅1厨1卫，精装修，拎包入住,东山小区 -东坝,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,63,"7,412元/平"
雪峰近奥体旁，新修电梯公寓精装套三带车位出售,普罗旺斯一期 -雪峰,3室2厅 | 92.7平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 6个月以前发布,95,"10,249元/平"
东坝带花园改善住房，诚意出售。,鸿宇时代 -东坝,5室3厅 | 152.65平米 | 东 | 毛坯 | 高楼层(共30层)  | 暂无数据,4人关注 / 8个月以前发布,115,"7,534元/平"
老城清水现房，中间楼，大套三，户型方正,天立凤凰唐城 -东坝,3室3厅 | 109.2平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,69,"6,319元/平"
此房已经满了两年，出行方便，户型房子，,恒昌揽胜 -南河,3室2厅 | 139.9平米 | 东北 | 简装 | 高楼层(共28层)  | 平房,0人关注 / 10个月以前发布,102,"7,291元/平"
雪峰物美价廉清水房，满二，税少，欢迎咨询。,志广凤凰名城 -雪峰,2室2厅 | 71.75平米 | 南 | 毛坯 | 高楼层(共21层)  | 暂无数据,1人关注 / 9个月以前发布,52.5,"7,318元/平"
阳光利州公馆 3室2厅 东南,阳光利州公馆 -雪峰,3室2厅 | 82平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 7个月以前发布,77,"9,391元/平"
优质路段  标准套三   出行方便,红星商业广场 -雪峰,3室2厅 | 111平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,4人关注 / 一年前发布,73,"6,577元/平"
阳光家园 2室2厅 东南,阳光家园 -雪峰,2室2厅 | 77平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,45,"5,845元/平"
东坝御锦湾精装修室家具家电齐全关门卖！！,御锦湾 -东坝,2室2厅 | 86.67平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 3个月以前发布,85,"9,808元/平"
小区环境好，人好，物业好，交通方便,芙蓉四季花城 -东坝,3室2厅 | 104平米 | 东 | 毛坯 | 低楼层(共27层)  | 塔楼,2人关注 / 一年前发布,110,"10,577元/平"
碧桂园三室两厅一卫，单价7000左右，相当划算,广元碧桂园 -雪峰,3室2厅 | 114.9平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,75,"6,528元/平"
贝壳推荐 清水三居室 户型方正 环境好 出行方便,古堰社区二期 -万源,3室2厅 | 122平米 | 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,23人关注 / 一年前发布,68,"5,574元/平"
学都瑞景，走过路过，不要错过的好房子，价格优势,学都瑞景 -东坝,3室2厅 | 118.79平米 | 东 | 毛坯 | 高楼层(共24层)  | 塔楼,1人关注 / 一年前发布,79,"6,651元/平"
房东工作调动 满五唯一 大4居 中庭朝南 随时看房,水榭花都 -东坝,4室2厅 | 147.53平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,18人关注 / 一年前发布,105,"7,118元/平"
朝南江景房，户型紧凑，家具家电齐全可直接入住,房产经营公司宿舍 -东坝,2室2厅 | 83.2平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,9人关注 / 一年前发布,30,"3,606元/平"
雪峰清水现房套内多20多平房东急售首付低,欧锦城 -雪峰,3室2厅 | 76平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,4人关注 / 7个月以前发布,63,"8,290元/平"
雪峰普罗旺斯套三，精装，诚心出售,普罗旺斯二期 -雪峰,3室2厅 | 93平米 | 东南 南 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,92,"9,893元/平"
万源好地段、东方曼哈顿、清水3室两厅,东方曼哈顿 -万源,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共24层)  | 塔楼,18人关注 / 一年前发布,96,"9,505元/平"
大小区两室，停车方便，安全舒适，适合居住。,广元财政宿舍 -东坝,2室2厅 | 70平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,48,"6,858元/平"
邦泰天誉 主大门水景位置 门第大宅 传承之作 带车位,邦泰天誉 -万源,3室2厅 | 99平米 | 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,106,"10,708元/平"
国企开发商 品质大盘 一级物业 户型方正 配套齐全,长虹天汇城一期 -东坝,3室2厅 | 102平米 | 东南 | 毛坯 | 高楼层(共31层)  | 暂无数据,2人关注 / 8个月以前发布,75,"7,353元/平"
雪峰奥体旁普罗旺斯标准套四，诚售,普罗旺斯二期 -雪峰,4室2厅 | 113.46平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 6个月以前发布,98.7,"8,700元/平"
房子面积大 ，小区环境好，出行方便,金龙小区 -南河,4室2厅 | 170平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,93,"5,471元/平"
万源高品质住宅楼洋房标准  适合居住,南岸阳光 -万源,4室2厅 | 123.81平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,6人关注 / 一年前发布,105,"8,481元/平"
总高11楼的10楼，1梯2户，餐厅客厅均带阳台，视野开阔,澳城 -雪峰,3室2厅 | 120平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,112,"9,334元/平"
鸿宇时代  优质三房业主诚心出售,鸿宇时代 -东坝,3室2厅 | 110平米 | 西 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,2人关注 / 5个月以前发布,75,"6,819元/平"
和成原著 4室2厅 南,和成原著 -东坝,4室2厅 | 117.26平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,108,"9,211元/平"
名人广场 3室2厅 南,名人广场 -南河,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,3人关注 / 5个月以前发布,107,"10,095元/平"
春馨苑小区 2室2厅 南,春馨苑小区 -雪峰,2室2厅 | 85平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,52,"6,118元/平"
此房2居室，业主诚心出售，房子出租，看房需提前预约,澳门湾 -雪峰,2室2厅 | 88平米 | 东南 | 简装 | 低楼层(共25层)  | 塔楼,0人关注 / 8个月以前发布,68,"7,728元/平"
邦泰天誉 主大门水景位置 门第大宅 传承之作 带车位,邦泰天誉 -万源,3室2厅 | 99平米 | 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,106,"10,708元/平"
国企开发商 品质大盘 一级物业 户型方正 配套齐全,长虹天汇城一期 -东坝,3室2厅 | 102平米 | 东南 | 毛坯 | 高楼层(共31层)  | 暂无数据,2人关注 / 8个月以前发布,75,"7,353元/平"
雪峰奥体旁普罗旺斯标准套四，诚售,普罗旺斯二期 -雪峰,4室2厅 | 113.46平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 6个月以前发布,98.7,"8,700元/平"
此房满五年，户型方正，干燥通风效果好，靠河边,平桥社区 -东坝,3室2厅 | 97平米 | 东 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,40,"4,124元/平"
凤凰唐城四室两厅两卫，采光充足。,天立凤凰唐城 -东坝,4室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 4个月以前发布,84,"6,087元/平"
东坝园林小区 套三双卫  南 北  满五,水榭花都 -东坝,3室2厅 | 128平米 | 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,96.6,"7,547元/平"
龙和锦尚 临江住宅 客厅朝南带阳台  阳台大,龙和锦尚 -东坝,2室2厅 | 85平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,80,"9,412元/平"
万达广场，高档小区，三居室诚心出售,万达中央华城 -万源,3室2厅 | 89.09平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,2人关注 / 一年前发布,90.6,"10,170元/平"
东坝 大三居 已加装了电梯 院内好停车,粮食局宿舍 -东坝,3室2厅 | 150.36平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,6人关注 / 11个月以前发布,77,"5,122元/平"
翡翠城 3室2厅 东南,翡翠城 -东坝,3室2厅 | 123平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,7人关注 / 6个月以前发布,83,"6,748元/平"
"房本在手,可随时过户 ,有钥匙随时看房, 采光好",凤琴岚湾 -东坝,4室2厅 | 125.73平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,22人关注 / 一年前发布,90,"7,159元/平"
万源邦泰天誉 户型方正 采光好,邦泰天誉 -万源,3室2厅 | 90平米 | 西南 | 毛坯 | 低楼层(共23层)  | 平房,4人关注 / 一年前发布,95,"10,556元/平"
毛呸四房，户型方正，还带私人花园,托斯卡纳 -万源,4室2厅 | 109平米 | 南 西南 | 毛坯 | 低楼层(共32层)  | 板塔结合,8人关注 / 一年前发布,105,"9,634元/平"
广元碧桂园 2室1厅 东南,广元碧桂园 -雪峰,2室1厅 | 81平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 6个月以前发布,59,"7,284元/平"
东坝清水两室50多点中间楼层朝南错过没得了,巴黎时光 -雪峰,2室2厅 | 74.5平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,59,"7,920元/平"
雪峰毛坯三房带阳台，随时可以看房,欧锦城 -雪峰,3室2厅 | 87平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 5个月以前发布,69,"7,932元/平"
业主诚心卖 楼层好 位置好 视野开阔 业主好说话,恒昌如意湖畔 -万源,3室2厅 | 116平米 | 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,110,"9,483元/平"
万源繁华地段，户型方正，视野开阔，小区安静宜居住,老街社区二期 -万源,3室2厅 | 119.7平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,5人关注 / 一年前发布,120,"10,026元/平"
：户型没有异形，采光很好，出行购物上学都方便，,反贪局宿舍区 -东坝,3室2厅 | 155平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 5个月以前发布,97,"6,259元/平"
东坝平桥电梯公寓套三双卫只卖78万,鸿宇时代 -东坝,3室2厅 | 110.45平米 | 西南 | 毛坯 | 高楼层(共30层)  | 暂无数据,2人关注 / 6个月以前发布,76,"6,881元/平"
：此房刚交房 一梯两户的洋房 私密空间好 间间彩光,邦泰天誉 -万源,3室2厅 | 98.3平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,9人关注 / 一年前发布,108,"10,987元/平"
此房简单装修，户型方正，便宜，，，，，，，，，，，,110厂宿舍 -东坝,2室2厅 | 67.92平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,28,"4,123元/平"
碧桂园三室两厅一卫，单价7000左右，相当划算,广元碧桂园 -雪峰,3室2厅 | 114.9平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,75,"6,528元/平"
东坝园林小区 套三双卫  南 北  满五,水榭花都 -东坝,3室2厅 | 128平米 | 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,96.6,"7,547元/平"
此房满五年，户型方正，干燥通风效果好，靠河边,平桥社区 -东坝,3室2厅 | 97平米 | 东 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,40,"4,124元/平"
凤凰唐城四室两厅两卫，采光充足。,天立凤凰唐城 -东坝,4室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 4个月以前发布,84,"6,087元/平"
房子面积大 ，小区环境好，出行方便,金龙小区 -南河,4室2厅 | 170平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,93,"5,471元/平"
万源高品质住宅楼洋房标准  适合居住,南岸阳光 -万源,4室2厅 | 123.81平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,6人关注 / 一年前发布,105,"8,481元/平"
总高11楼的10楼，1梯2户，餐厅客厅均带阳台，视野开阔,澳城 -雪峰,3室2厅 | 120平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,112,"9,334元/平"
芸香社区，交通便利，配套成熟，干净舒适，,芸香社区 -雪峰,3室2厅 | 105平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 10个月以前发布,60,"5,715元/平"
鸿宇时代  大三居  明厨明卫    视野开阔,鸿宇时代 -东坝,3室2厅 | 110平米 | 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 11个月以前发布,80,"7,273元/平"
南河河边小区，5房双卫，一层的价格买两层，优质推荐,江南怡园 -南河,5室3厅 | 97.9平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,58,"5,925元/平"
雪峰普罗旺斯新小区，清水大套四   诚心出售,普罗旺斯二期 -雪峰,4室2厅 | 113平米 | 东 西 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 5个月以前发布,93,"8,231元/平"
托斯卡纳 4室2厅 南,托斯卡纳 -万源,4室2厅 | 110平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,148,"13,455元/平"
邦泰天誉 5室2厅 西,邦泰天誉 -万源,5室2厅 | 80平米 | 西 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,100,"12,500元/平"
朝南 中高层 视线好 无遮挡 三室房东诚心出售 带车位,邦泰天誉 -万源,3室2厅 | 89.31平米 | 西南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,95,"10,638元/平"
邦泰西区大三室，加车位 ，采光通风好,邦泰天誉西区 -万源,3室2厅 | 122.74平米 | 东 西 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,130,"10,592元/平"
恒昌108花园大133.34平大三居，98万98万98万,恒昌108花园 -东坝,3室2厅 | 133.34平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,91,"6,825元/平"
东坝利州广场大四居，采光好，出行方便,金穗苑 -东坝,4室2厅 | 197平米 | 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 11个月以前发布,118,"5,990元/平"
东坝平桥清水三室两厅两卫，业主诚心出售,东山半岛 -东坝,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,76,"7,038元/平"
天立清水  大三居   高楼层诚心出售,学府华庭 -东坝,3室2厅 | 89.19平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,1人关注 / 9个月以前发布,60,"6,728元/平"
金杯半山·生命小镇三室两厅一卫89.6平米68万价格可谈,金杯半山·生命小镇1期 -东坝,3室2厅 | 89.6平米 | 东南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,66,"7,367元/平"
东北办事处B区  地段位置好 看房方便 价格可谈,东坝办事处B区 -东坝,2室2厅 | 85平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,42,"4,942元/平"
东坝广中旁二楼三室两厅两卫好房拎包入住,建一公司老宿舍楼 -东坝,3室2厅 | 126.88平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,65,"5,123元/平"
此房视野开过 位置佳 大面积 交通便利,苴国市场小区 -东坝,3室2厅 | 148平米 | 东南 西北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,88,"5,946元/平"
粦峰逸景，小区环境好，物业管理完善，交通便利。,粼峰逸景 -东坝,2室2厅 | 98平米 | 南 | 简装 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,98,"10,000元/平"
恒丰花园 3室2厅 东,恒丰花园 -东坝,3室2厅 | 146.2平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,90,"6,156元/平"
天誉 朝南 视线好 无遮挡三室两厅两卫诚心出售！,邦泰天誉 -万源,3室2厅 | 89.31平米 | 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,95,"10,638元/平"
广元老城江景房3房1厅113平方米售58万！,望江路南段140号 -老城,3室2厅 | 113平米 | 西南 | 简装 | 中楼层(共7层)  | 暂无数据,7人关注 / 6个月以前发布,58,"5,133元/平"
恒星城大面积产权房出售，大平层,恒星城东区 -东坝,4室2厅 | 164.27平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,9人关注 / 7个月以前发布,130,"7,914元/平"
利州广场 四季花城 120平精装套三双卫  120万出售,芙蓉四季花城 -东坝,3室2厅 | 120.6平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,109,"9,039元/平"
万源邦泰天誉  户型方正 采光好,邦泰天誉 -万源,3室2厅 | 98.3平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,110,"11,191元/平"
老城北街震后精装套二，中间楼层，户型通透，诚心出售,华南小区 -老城,2室1厅 | 65.41平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,39,"5,963元/平"
"开云世家2室2厅,居住环境舒适，55万到手！！",开云世家 -南河,2室2厅 | 80.33平米 | 西 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,55,"6,847元/平"
小区配套设施齐全，交通便利，出行方便,御锦湾 -东坝,2室2厅 | 84平米 | 南 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 6天以前发布,80,"9,524元/平"
南河好地段，套三双卫145.8平，交通方便！,宝鑫苑 -南河,3室2厅 | 145.84平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 27天以前发布,78,"5,349元/平"
万达旁 精装修从未入住 可看河 位置好,博远半岛阳光 -东坝,3室2厅 | 123.5平米 | 南 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 29天以前发布,132,"10,689元/平"
上西 5室0厅4卫 交通便利 小区环境干净舒适 适合居住,才人街186号 -上西坝,5室0厅 | 146.17平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 22天以前发布,70,"4,789元/平"
此房满2年，位置好 旁边设施齐全 交通便利 居住方变,才人街186号 -上西坝,5室0厅 | 146.17平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 22天以前发布,70,"4,789元/平"
花园小区 2室2厅 交通便利 小区环境干净舒适 适合居住,花园小区 -上西坝,2室2厅 | 81.59平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,53,"6,496元/平"
坐北朝南，楼层好，视野宽阔，采光充足，交通便利。,南院春天二期 -东坝,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,93,"9,394元/平"
御锦湾 2室1厅 东,御锦湾 -东坝,2室1厅 | 80平米 | 东 | 其他 | 低楼层(共16层)  | 板塔结合,0人关注 / 25天以前发布,79.8,"9,975元/平"
此房满5年唯一，出行方便，户型方正，居住方便舒适,建设银行宿舍 -南河,3室2厅 | 112.14平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,62,"5,529元/平"
急售大三房  广中旁 满五唯一 优选优选优选,广元中学教工宿舍楼 -东坝,3室2厅 | 130.96平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,83,"6,338元/平"
南河151平米大3房出售68万！,滨河南路109号 -南河,3室2厅 | 151.8平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 28天以前发布,68,"4,480元/平"
龙湾 3室2厅 南,龙湾 -下西坝,3室2厅 | 99.41平米 | 南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 23天以前发布,52,"5,231元/平"
龙湾 3室 精装 拎包入住 单价才6千多点。,龙湾 -下西坝,3室2厅 | 99平米 | 南 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 28天以前发布,56,"5,657元/平"
跃室  视野开阔  带车位 带平台,明珠园 -东坝,4室2厅 | 139.5平米 | 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 26天以前发布,129,"9,248元/平"
南苑春天大四房，采光良好，户型方正,南院春天东区 -东坝,4室2厅 | 142.49平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,100,"7,019元/平"
和成原著套三，视野开阔准现房。,和成原著 -东坝,3室2厅 | 91平米 | 东南 | 其他 | 高楼层(共31层)  | 塔楼,0人关注 / 17天以前发布,68,"7,473元/平"
天立清水洋房 中间楼层 实得面积大,学府华庭 -东坝,3室2厅 | 101平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,80,"7,921元/平"
此房精装修，带车位出售，户型方正,广元碧桂园 -雪峰,3室2厅 | 124平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 24天以前发布,110,"8,871元/平"
东坝河边电梯大三房  南北朝向  户型方正格局好,广旺花苑 -东坝,3室2厅 | 136平米 | 东南 西北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,99,"7,280元/平"
春馨苑精装两房，采光良好，主卧厨房带阳台,春馨苑小区 -雪峰,2室2厅 | 84.5平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,55,"6,509元/平"
万达中央华城 2室2厅 南,万达中央华城 -万源,2室2厅 | 67.38平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 23天以前发布,69.9,"10,374元/平"
花园小区  2-2-1-1  大户型的房子   江景房,花园小区 -上西坝,2室2厅 | 92.91平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,56,"6,028元/平"
花园小区顶跃155平   业主诚心出售,花园小区 -上西坝,5室2厅 | 155.38平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,95,"6,115元/平"
东坝3室精装房。。。。。。。。。。。。。。。,东坝祥瑞居 -东坝,3室2厅 | 103.9平米 | 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 25天以前发布,50,"4,813元/平"
南河套三双卫诚意出售，居住舒适,宝鑫苑 -南河,3室2厅 | 145.6平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 28天以前发布,65,"4,465元/平"
兴安路小区 3室2厅 东,兴安路小区 -东坝,3室2厅 | 135.6平米 | 东 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 22天以前发布,88.8,"6,549元/平"
春馨苑简装两房，高楼层，采光好，看房方便,春馨苑小区 -雪峰,2室2厅 | 84.3平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,60,"7,118元/平"
东方豪泰小区 3室2厅 南,东方豪泰小区 -雪峰,3室2厅 | 95平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,0人关注 / 22天以前发布,98,"10,316元/平"
和成原著套三，视野开阔准现房。,和成原著 -东坝,3室2厅 | 90.5平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 28天以前发布,70,"7,735元/平"
此房户型方正，两室一厅，楼层好,110厂宿舍 -东坝,2室1厅 | 79平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 27天以前发布,33,"4,178元/平"
雪峰精装三房，高楼层，采光好，视野开阔,红星商业广场 -雪峰,3室2厅 | 108平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 26天以前发布,80,"7,408元/平"
此房户型方正，采光较好，视野开阔无遮挡，交通也便利,凯悦小区 -南河,3室2厅 | 123平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 26天以前发布,76,"6,179元/平"
此房满5年，出行方便，户型方正，居住方便舒适,税务局宿舍 -南河,3室2厅 | 132.79平米 | 西南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,76,"5,724元/平"
花园小区  2-2-1-1  大户型的房子   江景房,花园小区 -上西坝,2室2厅 | 92.91平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,56,"6,028元/平"
万达中央华城 2室2厅 南,万达中央华城 -万源,2室2厅 | 67.38平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 23天以前发布,69.9,"10,374元/平"
兴安路小区 3室2厅 东,兴安路小区 -东坝,3室2厅 | 135.6平米 | 东 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 22天以前发布,88.8,"6,549元/平"
东坝3室精装房。。。。。。。。。。。。。。。,东坝祥瑞居 -东坝,3室2厅 | 103.9平米 | 北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 25天以前发布,50,"4,813元/平"
花园小区顶跃155平   业主诚心出售,花园小区 -上西坝,5室2厅 | 155.38平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,95,"6,115元/平"
澳门湾两房，采光良好，看房方便,澳门湾 -雪峰,2室2厅 | 87.45平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 26天以前发布,83,"9,492元/平"
老城河边    装修套二   可拎包入住,下河街41号 -老城,2室2厅 | 80平米 | 西 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 20天以前发布,35,"4,375元/平"
邦泰南区朝小区的户型  带车位   诚心出售,邦泰天誉 -万源,3室2厅 | 89平米 | 东南 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 22天以前发布,83,"9,326元/平"
