标题,开发商,房子信息,发布信息,售价/万,单价
美的三期，环境好，适合老人小孩居住,美的蝴蝶海三期 -梅山岛,2室2厅 | 79.58平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,10人关注 / 7个月以前发布,89,"11,184元/平"
四期御海苑新出房源，三房两卫，带装修，好楼层,御海苑 -杭州湾新区,3室2厅 | 109平米 | 东 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 15天以前发布,96,"8,808元/平"
华山新村 三房，带储藏室，户型方正的，带阳台,华山新村 -新碶,3室2厅 | 97.02平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 25天以前发布,185,"19,069元/平"
房东因工作调动，好房急售，价格美丽,万科城 -庄市,2室2厅 | 87.12平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 24天以前发布,239,"27,434元/平"
户型好，楼层好，采光充足，出行方便，配套成熟,观澜苑 -杭州湾新区,3室2厅 | 141.91平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,11人关注 / 一年前发布,117,"8,245元/平"
户型方正 南北通，次新小区，环境好,宝旭观邸 -江北万达,3室1厅 | 124.55平米 | 南 | 毛坯 | 18层  | 板楼,0人关注 / 3个月以前发布,350,"28,102元/平"
中海国际二期 次新房 自带商 业体 楼层好 婚装,中海国际社区二期 -下应,3室2厅 | 88.29平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,270,"30,582元/平"
华光城3楼好房，1号线地铁口，配套成熟,华光城 -福明,3室2厅 | 101.17平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 8个月以前发布,290,"28,665元/平"
户型方正，精装，保养好，图片真实看房方便。,湖山人家 -集士港,4室2厅 | 139.11平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,195,"14,018元/平"
楼层佳，视野好，环境优美 双阳台客厅，全亮间。,龙湖双珑原著府 -慈城,4室2厅 | 127.45平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,209,"16,399元/平"
旁边设施齐全，精装交付，可随时拎包入住呢,绿地海湾听海苑 -杭州湾新区,3室2厅 | 88.96平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,7人关注 / 7个月以前发布,85,"9,555元/平"
房子在中间楼层，视野开阔，格局好。,茗园二区 -招宝山,2室1厅 | 60.36平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,125,"20,710元/平"
装修保养好，品牌家具家电，房东诚心出售,荣安香园 -潘火,3室2厅 | 89.65平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,31人关注 / 6个月以前发布,290,"32,349元/平"
世纪锦秋北区 户型方正 楼层好,世纪锦秋北区 -南门,3室2厅 | 117.28平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,298,"25,410元/平"
樱花小区 楼层好 地铁口出行方便 采光充足 看房有钥匙,樱花园 -东胜,3室2厅 | 89.11平米 | 南 | 精装 | 7层  | 板楼,3人关注 / 一年前发布,240,"26,934元/平"
钱湖丽园三室 中等装修 户型方正 看房方便 停车免费,钱湖丽园 -东钱湖,3室1厅 | 95.83平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,190,"19,827元/平"
难得好房源 姚江新区 次新小区 一线江景 720度看江,尚江府 -姚江新区,4室2厅 | 173.71平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,8人关注 / 8个月以前发布,790,"45,479元/平"
此房三开间朝南 户型方正 楼层视野开阔 日照时间长,景瑞望府 -姜山,3室1厅 | 89.31平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,1人关注 / 2个月以前发布,236,"26,425元/平"
樱花公园旁 碧华阁 电梯房  单价低 生活配套齐全,宁波华侨城 -东柳,3室1厅 | 99.15平米 | 东 北 | 毛坯 | 低楼层(共24层)  | 板塔结合,6人关注 / 一年前发布,175,"17,651元/平"
全新毛胚 洋房，中庭位置，没住过人 诚意出售户型方正,中海枫华里 -江北万达,4室2厅 | 125.2平米 | 南 | 毛坯 | 11层  | 板塔结合,0人关注 / 10个月以前发布,420,"33,547元/平"
东部万象府 全新 精装房 4开间朝南 双阳台 随时看房,熙润华府 -邱隘,4室2厅 | 125.09平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 8个月以前发布,589,"47,087元/平"
房龄新，户型方正，视野好，满五唯一，房东诚心出售,中海国际社区五期 -下应,3室2厅 | 89.54平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,10人关注 / 7个月以前发布,278,"31,048元/平"
中海国际二期 精装 标准三房 别墅区视野开阔,中海国际社区二期 -下应,3室2厅 | 118.82平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,19人关注 / 10个月以前发布,329,"27,689元/平"
急卖房源.房屋东边套，三面采光.,光明领尚 -大碶,4室2厅 | 126.87平米 | 东南 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,338,"26,642元/平"
中交君玺 139平 四房带大露台 不要错过哦,中交君玺 -长丰,4室2厅 | 138.89平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,5人关注 / 7个月以前发布,580,"41,760元/平"
阔绰三房，改善一步到位！地铁口，樱花公园旁！,樱花园 -东胜,3室2厅 | 111.96平米 | 南 | 其他 | 6层  | 板楼,14人关注 / 一年前发布,275,"24,563元/平"
房子楼层好，没有住过人，房东诚心出售,玖著里 -新明,4室2厅 | 126.61平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 6个月以前发布,560,"44,231元/平"
雅戈尔新长岛，次新小区  洋房洋房洋房,雅戈尔新长岛 -江北万达,4室2厅 | 126.79平米 | 南 | 毛坯 | 11层  | 板楼,3人关注 / 6个月以前发布,463,"36,518元/平"
视野开阔，前面无遮挡，小区中庭位置，采光充足,盛世天城二期 -中河,2室2厅 | 89平米 | 南 | 精装 | 30层  | 板楼,0人关注 / 3个月以前发布,310,"34,832元/平"
万科精装交付，边套，采光很好，诚心出售，欢迎来电,信达万科东望 -东钱湖,4室2厅 | 114平米 | 南 西 北 | 精装 | 低楼层(共14层)  | 板楼,8人关注 / 一年前发布,320,"28,071元/平"
荣安佳境 采光好无遮挡全亮间 实用面积大,荣安佳境 -白云,3室2厅 | 117.47平米 | 南 | 精装 | 7层  | 板楼,23人关注 / 一年前发布,225,"19,154元/平"
雅戈尔新长岛，次新小区  洋房洋房洋房,雅戈尔新长岛 -江北万达,4室2厅 | 126.79平米 | 南 | 毛坯 | 11层  | 板楼,3人关注 / 6个月以前发布,463,"36,518元/平"
房子楼层好，没有住过人，房东诚心出售,玖著里 -新明,4室2厅 | 126.61平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 6个月以前发布,560,"44,231元/平"
中交君玺 139平 四房带大露台 不要错过哦,中交君玺 -长丰,4室2厅 | 138.89平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,5人关注 / 7个月以前发布,580,"41,760元/平"
姚江新城 次新维科品质小区  4房2卫双阳台 诚售,尚江府 -姚江新区,4室2厅 | 139.92平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 6个月以前发布,562,"40,166元/平"
一线江景房，次新小区，万科物业 位置好 楼层好,雅戈尔新长岛 -江北万达,4室2厅 | 127.01平米 | 南 | 毛坯 | 18层  | 板楼,0人关注 / 9个月以前发布,450,"35,431元/平"
甬兴新村 不靠马路高架 房东诚心出售,甬兴新村 -长丰,3室2厅 | 73.92平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,229,"30,980元/平"
九龙仓•铂悦府 3室2厅 南,九龙仓•铂悦府 -江北万达,3室2厅 | 122.41平米 | 南 | 精装 | 18层  | 塔楼,1人关注 / 3个月以前发布,395,"32,269元/平"
雅戈尔新长岛，采光视野很好，户型方正，全新白坯,雅戈尔新长岛 -江北万达,4室2厅 | 139.43平米 | 南 | 毛坯 | 15层  | 板楼,6人关注 / 10个月以前发布,525,"37,654元/平"
急卖房源.房屋东边套，三面采光.,光明领尚 -大碶,4室2厅 | 126.87平米 | 东南 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,338,"26,642元/平"
视野开阔，前面无遮挡，小区中庭位置，采光充足,盛世天城二期 -中河,2室2厅 | 89平米 | 南 | 精装 | 30层  | 板楼,0人关注 / 3个月以前发布,310,"34,832元/平"
全新白胚四房，洋房，楼层好，配套齐全。,雅戈尔新长岛 -江北万达,4室2厅 | 126.79平米 | 南 | 毛坯 | 11层  | 板楼,2人关注 / 一年前发布,490,"38,647元/平"
精装修自住保养好，4开间朝南，采光视野好,荣安香园二期 -潘火,4室2厅 | 127.57平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,439,"34,413元/平"
含产权车位、看房提早1小时即可、中间楼层、3房不靠路,万科•金域传奇 -潘火,3室2厅 | 87.19平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,279,"32,000元/平"
万达旁 次新高档小区10楼以上 刚下调20万急售,东方雍华府 -钟公庙,4室2厅 | 136.93平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,18人关注 / 一年前发布,478,"34,909元/平"
三江口高档住宅单价实惠 复式 双地铁口 全新装修,凌江名庭 -东胜,3室1厅 | 167.12平米 | 南 | 精装 | 低楼层(共52层)  | 板楼,0人关注 / 2个月以前发布,355,"21,243元/平"
波波城大三房，小区中庭位置，楼层佳,BOBO城 -新明,3室2厅 | 153.34平米 | 南 | 精装 | 15层  | 板楼,82人关注 / 一年前发布,378,"24,652元/平"
东部新城低总价3房2卫改善房地铁口,星河国际花园 -东部新城,3室2厅 | 123.33平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,10人关注 / 8个月以前发布,408,"33,082元/平"
融创开发，精装交付，四开间朝南，客厅改造，加装40万,逸树园 -新明,4室2厅 | 136.97平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,7人关注 / 7个月以前发布,635,"46,361元/平"
金地小区  老精装 户型好 业主诚心出售,金地小区 -白云,2室1厅 | 60.34平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,12人关注 / 一年前发布,132,"21,877元/平"
次新小区，龙湖开发商自带物业，品质高 户型好,春森印象 -中河,3室2厅 | 109.27平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 4个月以前发布,498,"45,576元/平"
奥体未来城精装修，拎包入住，绿化好，安静,奥体未来城 -洪塘,3室2厅 | 85.08平米 | 南 | 其他 | 26层  | 板楼,0人关注 / 3个月以前发布,220,"25,859元/平"
经理推荐  装修好的房子月供1800温馨三室,江岚苑 -杭州湾新区,3室2厅 | 99.06平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,92,"9,288元/平"
户型方正，2开间朝南，装修保养好，可拎包入住,奥林80 -洪塘,2室2厅 | 82.29平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,21人关注 / 一年前发布,196,"23,819元/平"
大成郡一期地铁口位置，从未入住精装交付，房东诚售,金隅大成郡一期 -高新区,3室2厅 | 120.24平米 | 南 | 精装 | 高楼层(共20层)  | 暂无数据,1人关注 / 2个月以前发布,438,"36,428元/平"
品质小区，姚江景观房，精装好楼层,姚江金茂府 -姚江新区,4室2厅 | 130.82平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 8个月以前发布,520,"39,750元/平"
房龄新，双阳台，户型方正，视野好，精装修,中海国际社区五期 -下应,3室2厅 | 102.3平米 | 南 东南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,322,"31,477元/平"
柳锦花园整个小区好房，楼层好，位置好！进出方便，,柳锦花园 -南门,3室2厅 | 104.36平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,5人关注 / 11个月以前发布,279,"26,735元/平"
全新白坯三室 视野开阔，无遮挡，一线江景。,雅戈尔新长岛 -江北万达,3室2厅 | 129.12平米 | 南 | 毛坯 | 18层  | 板楼,10人关注 / 11个月以前发布,460,"35,626元/平"
首南次新好房，诚心出售，看房方便,舒雅茗苑 -首南,3室2厅 | 88.4平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,220,"24,887元/平"
绿城玉兰花园，高校旁，平方大，房东诚心出售,绿城玉兰花园 -奉化区,4室2厅 | 136.28平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,2人关注 / 3个月以前发布,129,"9,466元/平"
隆顺家园精装三室，全屋中   央空调实木地板装修,隆顺家园 -新碶,3室1厅 | 115.97平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,2人关注 / 3个月以前发布,299,"25,783元/平"
海天云桥电梯房4室精装修，小区环境好,海天云桥 -大碶,3室2厅 | 138.91平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,290,"20,877元/平"
东城阳光苑，诚心出售，欢迎咨询。,东城阳光苑二期 -邱隘,3室2厅 | 97.87平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,14人关注 / 7个月以前发布,233,"23,808元/平"
格兰星辰 顶楼实用面积多 精装30万,格兰星辰 -高桥,3室2厅 | 84.66平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,4人关注 / 7个月以前发布,190,"22,443元/平"
小浃江旁次新小区，生活便利，小区坏境优美,奥园誉景湾花苑 -小港,3室2厅 | 88.3平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,186,"21,065元/平"
天顺公寓，装修好，户型方正，采光好,天顺公寓 -新碶,3室1厅 | 78.52平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,165,"21,014元/平"
宁静家园  小区环境舒适   进出方便,宁静家园 -洪塘,3室2厅 | 105.58平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,34人关注 / 一年前发布,199,"18,849元/平"
新长岛 次新房  楼层好看房方便,雅戈尔新长岛 -江北万达,4室2厅 | 127.1平米 | 南 | 毛坯 | 17层  | 板楼,0人关注 / 3个月以前发布,408,"32,101元/平"
近东部新城 地铁5号线 精装好房 楼层佳 次新小区,颐璟园二期 -潘火,3室1厅 | 87.26平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,315,"36,100元/平"
中旅城中旅城  急售 急售  精装交付 户型方正,中旅城一期·星旅城 -洪塘,3室2厅 | 87.52平米 | 南 | 其他 | 中楼层(共23层)  | 板塔结合,7人关注 / 一年前发布,223,"25,480元/平"
鼓楼商圈 双地铁 配套成熟 交通方便 位于老城区..,孝闻白衣小区 -鼓楼,3室1厅 | 72.8平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,198,"27,198元/平"
精装未入住过，姚江景观房，户型好，位置好,姚江金茂府 -姚江新区,3室2厅 | 100.14平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,4人关注 / 9个月以前发布,408,"40,743元/平"
次新小区 4房户型 边套 自住精装,融创涌宁府 -下应,4室2厅 | 126.66平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,5人关注 / 5个月以前发布,445,"35,134元/平"
一茉汀香 舒适之家 二期带车位精装三房 静待有缘的你,汀香苑 -杭州湾新区,3室2厅 | 130.97平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,4人关注 / 一年前发布,108,"8,247元/平"
正南正北楼层好采光无遮拦啦目前空置看房方便精装修,东兴社区 -下应,3室2厅 | 122.12平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 一年前发布,230,"18,834元/平"
金桥水岸 中庭位置 欧式装修保养好 房东诚心出售,金桥水岸花园 -中河,3室1厅 | 101.11平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,295,"29,177元/平"
绿城玉兰花园，高校旁，平方大，房东诚心出售,绿城玉兰花园 -奉化区,4室2厅 | 136.28平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,2人关注 / 3个月以前发布,129,"9,466元/平"
风格首南，全新毛胚，得房率高，物业好,和协风格首岸 -首南,4室2厅 | 126.44平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,1人关注 / 3个月以前发布,465,"36,777元/平"
招商雍景湾 一线江景房东首精装三房两卫 拎包入住,招商雍景湾御江花苑 -高新区,3室2厅 | 115.9平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,16人关注 / 4个月以前发布,430,"37,101元/平"
中海国际社区五期 精装修可拎包入住,中海国际社区五期 -下应,4室1厅 | 127.11平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,2人关注 / 2个月以前发布,338,"26,592元/平"
五号线地铁口 江南一品120%得房率 精装诚售,江南一品 -新明,4室2厅 | 114.43平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 2个月以前发布,428,"37,403元/平"
南部商务区近 地铁 九曲自住 保养好,九曲小区二期 -首南,2室2厅 | 58.14平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,39人关注 / 一年前发布,169.9,"29,223元/平"
急售崭新小区新房3房朝南，套型方正,奥园誉景湾花苑 -小港,3室2厅 | 88.65平米 | 东南 | 毛坯 | 低楼层(共21层)  | 暂无数据,0人关注 / 9个月以前发布,168,"18,951元/平"
精装修中间楼层，中庭不靠高架，欢迎质询,海创家园锦园 -下应,3室2厅 | 118.94平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,13人关注 / 7个月以前发布,339,"28,502元/平"
电梯独立入户，四开间朝南，U型厨房，双阳台双飘窗,尚江府 -姚江新区,4室2厅 | 129.83平米 | 南 | 毛坯 | 低楼层(共8层)  | 板塔结合,1人关注 / 8个月以前发布,468,"36,048元/平"
迪赛缘园 洋房 房型方向 三房户型,迪赛缘园 -集士港,3室1厅 | 87.17平米 | 南 | 毛坯 | 低楼层(共5层)  | 板楼,7人关注 / 一年前发布,155,"17,782元/平"
此房南北格局，视野宽阔，采光充足，设施配套齐全,紫园 -新明,3室2厅 | 87.3平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,16人关注 / 一年前发布,330,"37,801元/平"
广济+东恩，地铁口50米，户型好单价低 配套完善,双梁小区 -天一广场,2室1厅 | 71.13平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,10人关注 / 8个月以前发布,215,"30,227元/平"
杭州湾 利时广场 海洋家园 3室2厅2卫102平 精装电梯房,海洋家园 -杭州湾新区,3室2厅 | 102.01平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,9人关注 / 一年前发布,94,"9,215元/平"
房龄新，双阳台，户型方正，视野好，房东诚心出售,中海国际社区五期 -下应,3室2厅 | 89.35平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 9个月以前发布,288,"32,233元/平"
欣欣家园   2室2厅    精装修     全亮间,欣欣家园 -洪塘,2室2厅 | 77.31平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,26人关注 / 一年前发布,152,"19,662元/平"
天顺公寓，装修好，户型方正，采光好,天顺公寓 -新碶,3室1厅 | 78.52平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,165,"21,014元/平"
此房南北格局，视野宽阔，采光充足，设施配套齐全,紫园 -新明,3室2厅 | 87.3平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,16人关注 / 一年前发布,330,"37,801元/平"
广济+东恩，地铁口50米，户型好单价低 配套完善,双梁小区 -天一广场,2室1厅 | 71.13平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,10人关注 / 8个月以前发布,215,"30,227元/平"
杭州湾 利时广场 海洋家园 3室2厅2卫102平 精装电梯房,海洋家园 -杭州湾新区,3室2厅 | 102.01平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,9人关注 / 一年前发布,94,"9,215元/平"
迪赛缘园 洋房 房型方向 三房户型,迪赛缘园 -集士港,3室1厅 | 87.17平米 | 南 | 毛坯 | 低楼层(共5层)  | 板楼,7人关注 / 一年前发布,155,"17,782元/平"
格兰星辰 顶楼实用面积多 精装30万,格兰星辰 -高桥,3室2厅 | 84.66平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,4人关注 / 7个月以前发布,190,"22,443元/平"
房东诚心出售，楼层好，户型方正。,中海国际社区四期 -下应,3室2厅 | 102.47平米 | 东 东南 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,300,"29,277元/平"
小浃江旁次新小区，生活便利，小区坏境优美,奥园誉景湾花苑 -小港,3室2厅 | 88.3平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,186,"21,065元/平"
房龄新，双阳台，户型方正，视野好，房东诚心出售,中海国际社区五期 -下应,3室2厅 | 89.35平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 9个月以前发布,288,"32,233元/平"
精装修中间楼层，中庭不靠高架，欢迎质询,海创家园锦园 -下应,3室2厅 | 118.94平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,13人关注 / 7个月以前发布,339,"28,502元/平"
电梯独立入户，四开间朝南，U型厨房，双阳台双飘窗,尚江府 -姚江新区,4室2厅 | 129.83平米 | 南 | 毛坯 | 低楼层(共8层)  | 板塔结合,1人关注 / 8个月以前发布,468,"36,048元/平"
次新小区 4房户型 边套 自住精装,融创涌宁府 -下应,4室2厅 | 126.66平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,5人关注 / 5个月以前发布,445,"35,134元/平"
精装未入住过，姚江景观房，户型好，位置好,姚江金茂府 -姚江新区,3室2厅 | 100.14平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,4人关注 / 9个月以前发布,408,"40,743元/平"
南部商务区 罗蒙 下应街道 中海国际精装四房 楼层好,中海国际社区五期 -下应,4室1厅 | 139.18平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,7人关注 / 9个月以前发布,445,"31,973元/平"
东部新城华润地产开发商精品住宅4房2厅2卫,熙润华府 -邱隘,4室2厅 | 136.07平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 4个月以前发布,618,"45,418元/平"
房东急卖，四房，采光好，户型方正。,彩虹新村 -长丰,4室2厅 | 116.68平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,16人关注 / 5个月以前发布,325,"27,854元/平"
中河华庭 120平 纯新毛坯 三室两卫 诚心出售,中河华庭 -大碶,3室2厅 | 120.3平米 | 南 | 毛坯 | 低楼层(共9层)  | 板塔结合,0人关注 / 13天以前发布,238,"19,784元/平"
高新区大成郡次新小区，5号线地铁口有密码随时看房,金隅大成郡一期 -高新区,4室2厅 | 133.48平米 | 南 | 精装 | 中楼层(共20层)  | 暂无数据,0人关注 / 3个月以前发布,480,"35,961元/平"
东湖三期三房两卫，楼层视野采光棒，诚心卖,东湖花园三期 -中河,3室2厅 | 129.29平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,378,"29,237元/平"
首南银泰次新三房70年产权户型方正诚售,舒雅茗苑 -首南,3室1厅 | 87.03平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,1人关注 / 7个月以前发布,210,"24,130元/平"
位置好，户型好，出行方便，配套成熟，精装修，带车位,聚江苑 -杭州湾新区,3室2厅 | 99.82平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,95,"9,518元/平"
东部新城明湖板块，这套是电梯房，房东诚心出售,明湖花苑一期 -邱隘,3室2厅 | 119.95平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,3人关注 / 4个月以前发布,320,"26,678元/平"
户型正 拎包入住  南北通 采光佳,晴园二期 -高桥,3室2厅 | 62.46平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,163,"26,097元/平"
2室2厅采光佳户型方正。有阳台洗晒方便每个房间都有窗,江南庭园 -首南,2室2厅 | 61.04平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 5个月以前发布,110,"18,021元/平"
位置好 楼层佳 全新毛坯  户型方正 视野开阔,BOBO城 -新明,3室2厅 | 140.46平米 | 南 | 毛坯 | 11层  | 板塔结合,9人关注 / 一年前发布,390,"27,766元/平"
急售！急售，德信开发，品质小区，地段成熟，三房两卫,德信东宸 -新明,3室2厅 | 115.23平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,15人关注 / 8个月以前发布,470,"40,788元/平"
石碶轻纺城看房方便北路宸卿田辛耕,石碶米氏住宅楼 -石碶,2室2厅 | 75.21平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,156,"20,742元/平"
颐璟园二期 全新毛坯 东首 户型佳 中间楼层 采光好,颐璟园二期 -潘火,3室2厅 | 112.75平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,6人关注 / 5个月以前发布,368,"32,639元/平"
诚心出售的  70年产权 位置好 楼层好,金港花苑 -新碶,2室2厅 | 72.28平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,6人关注 / 4个月以前发布,160,"22,137元/平"
宜家华府顶复洋房三房两厅诚心出售,宜家华府 -潘火,3室2厅 | 101.6平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,460,"45,276元/平"
牡丹小区  三开间朝南  东边套  全亮间  精装,牡丹小区(海曙) -白云,3室1厅 | 90.6平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 1个月以前发布,217,"23,952元/平"
桂花园 顶＋阁 小区自带园林 毛坯房 可塑性高,绿城·桂花园 -骆驼,4室1厅 | 212.6平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,12人关注 / 一年前发布,345,"16,228元/平"
诚心出售的  70年产权 位置好 楼层好,金港花苑 -新碶,2室2厅 | 72.28平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,6人关注 / 4个月以前发布,160,"22,137元/平"
石碶轻纺城看房方便北路宸卿田辛耕,石碶米氏住宅楼 -石碶,2室2厅 | 75.21平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,156,"20,742元/平"
位置好，户型好，出行方便，配套成熟，精装修，带车位,聚江苑 -杭州湾新区,3室2厅 | 99.82平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,95,"9,518元/平"
新小区电梯房，环境优美，交通便利。,芦湾家园 -柴桥,3室2厅 | 109.77平米 | 南 | 其他 | 高楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,175,"15,943元/平"
首南银泰次新三房70年产权户型方正诚售,舒雅茗苑 -首南,3室1厅 | 87.03平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,1人关注 / 7个月以前发布,210,"24,130元/平"
次新小区 品质居住环境 三开间朝南 开阔视野。,阳光城君望府 -横街,3室2厅 | 106.94平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 8个月以前发布,169.7,"15,869元/平"
房东急卖，四房，采光好，户型方正。,彩虹新村 -长丰,4室2厅 | 116.68平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,16人关注 / 5个月以前发布,325,"27,854元/平"
东部新城华润地产开发商精品住宅4房2厅2卫,熙润华府 -邱隘,4室2厅 | 136.07平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 4个月以前发布,618,"45,418元/平"
东湖三期三房两卫，楼层视野采光棒，诚心卖,东湖花园三期 -中河,3室2厅 | 129.29平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,378,"29,237元/平"
