标题,开发商,房子信息,发布信息,售价/万,单价
中南家园A区三房，拎包入，房东诚心出售，看房方便,中南家园 -湖滨商业街,3室1厅 | 74.48平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,103,"13,830元/平"
满五没有增值税   现在化装修  拎包入住,梅荆花苑一、二期 -梅村,3室1厅 | 92.33平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,45人关注 / 7个月以前发布,95,"10,290元/平"
玉兰公馆小区自带泳池，毛坯4房，户型正气，一梯一户,玉兰公馆一区 -堰桥,4室2厅 | 133.59平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,250,"18,714元/平"
精装两房，适合首付低考虑暂时过渡人群,阳光100国际新城南区 -刘潭,2室1厅 | 38.34平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,6人关注 / 4个月以前发布,57,"14,867元/平"
毛岸新苑 精装修 交通便利 急售,毛岸新苑 -广益,2室1厅 | 82.1平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,20人关注 / 5个月以前发布,99.5,"12,120元/平"
广瑞路大润发旁洋房大肆房出售，户型方正采光全天！,融侨悦府 -广瑞/广丰,4室2厅 | 136.49平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,1人关注 / 1个月以前发布,299,"21,907元/平"
荟聚旁，地铁口，商圈密集区域，交通方便出行，,蓝光雍锦园 -东亭,3室2厅 | 128.46平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,105人关注 / 一年前发布,185,"14,402元/平"
三开间朝南  中高楼层 采光充足视野开阔,九龙仓碧玺A区 -扬名,3室1厅 | 129.04平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,325,"25,186元/平"
精致三房 全明户型 总价低 楼层好 采光佳 满五,扬名一村 -清名桥,3室1厅 | 64.95平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,23人关注 / 一年前发布,109,"16,783元/平"
壹号府一期毛坯89平三房户型正气，楼层好，梁溪清名桥,融创运河壹号府 -清名桥,3室2厅 | 86.78平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 2个月以前发布,185,"21,319元/平"
宝能城二期通透大三房 南北双阳台，全天采光,宝能城 -海岸城/市民中心,3室2厅 | 126.35平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,11人关注 / 一年前发布,290,"22,953元/平"
荟聚旁，地铁口，商圈密集区域，交通方便出行,蓝光雍锦园 -东亭,3室1厅 | 109.5平米 | 南 | 简装 | 中楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,168,"15,343元/平"
荟聚旁，地铁口，商圈密集区域，交通方便出行,华润江南府南区 -东亭,3室2厅 | 109.97平米 | 南 | 毛坯 | 高楼层(共35层)  | 板楼,2人关注 / 4个月以前发布,170,"15,459元/平"
花园湾小区 2室1厅 南,花园湾小区 -洛社,2室1厅 | 59.37平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 2个月以前发布,52,"8,759元/平"
阿卡迪亚（天骄观邸） 4室2厅 南 北,阿卡迪亚（天骄观邸） -新安,4室2厅 | 123.55平米 | 南 北 | 毛坯 | 下叠(共5层)  | 板楼 | 叠拼别墅 ,2人关注 / 1个月以前发布,278,"22,502元/平"
梧桐水岸花园电梯两房，吴桥，地铁，交通便捷,梧桐水岸花园B区 -黄巷,2室2厅 | 82.41平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 2个月以前发布,168,"20,386元/平"
嶂山碧院 精装小两房 中上楼层 两房朝南 看房方便,嶂山碧院 -荣巷,2室1厅 | 68.74平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,120,"17,458元/平"
南北通风格局好，户型方正，配套齐全，景观楼层,中海凤凰璟园二期 -华庄,3室2厅 | 116.8平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,7人关注 / 3个月以前发布,345,"29,538元/平"
毛坯带露台两房，环境好，户型方正采光足！,长泰国际社区 -东亭,2室1厅 | 75.05平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,54人关注 / 一年前发布,108,"14,391元/平"
富力城D区 4室2厅 南,富力城D区 -江溪,4室2厅 | 123.26平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,220,"17,849元/平"
业主自住房源，现诚心出售，产权清晰,梅荆花苑一、二期 -梅村,3室2厅 | 120.64平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,107,"8,870元/平"
中楼层视野宽采光充足，业主诚心出售 总价低,保利中央公园 -江溪,3室1厅 | 88.41平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,8人关注 / 3个月以前发布,195,"22,057元/平"
诚售！看中能谈 恒大精装2房 景观楼层 随时看房,恒大御澜湾 -东北塘,2室2厅 | 80平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 3个月以前发布,115,"14,375元/平"
三开间朝南户型好 精装未住人 全智能控制,绿地西水东(W公馆) -迎龙桥,3室2厅 | 147.89平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,5人关注 / 2个月以前发布,455,"30,767元/平"
户型方正 南北双阳台 楼层好采光足 看房方便,江阴碧桂园白鹭湾 -高新区,4室2厅 | 143.07平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,142,"9,926元/平"
大四房 四开间朝南未住过 双阳台采光好 南北通透 满二,玉兰公馆三区 -堰桥,4室2厅 | 134.58平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,270,"20,063元/平"
次新小区，全屋地暖 富力城D区 109平精装3房,富力城D区 -江溪,3室2厅 | 109.6平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,44人关注 / 6个月以前发布,192,"17,519元/平"
此房商品房 通透户型采光好 交通便利  房子精装修,向阳苑(梁溪区) -清名桥,2室2厅 | 89.07平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,23人关注 / 一年前发布,129,"14,483元/平"
前排小高层，采光好，户型方正，业主急售，可贷款,中海凤凰璟园二期 -华庄,3室1厅 | 94.12平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,4人关注 / 1个月以前发布,234,"24,862元/平"
新小区人车分流，视线开阔，楼层采光好,阳光100阿尔勒 -西漳,2室2厅 | 72.97平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 3个月以前发布,104.5,"14,321元/平"
急卖！急卖！洋房中间楼层，全天采光！品牌精装，急售,龙湖天璞 -万象城/东绛,3室2厅 | 127.05平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,51人关注 / 5个月以前发布,375,"29,516元/平"
纯毛坯 总价不高  小区环境好 居住舒适,正大万物城 -生态园,3室1厅 | 89.11平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 暂无数据,21人关注 / 一年前发布,132,"14,814元/平"
蠡溪苑3房2厅 商品房 户型好客厅带窗 生活设施齐全,蠡溪苑 -新体育中心,3室2厅 | 120.26平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,3人关注 / 一年前发布,190,"15,800元/平"
前排能看公园，视野开阔全天采光，户型方正,苏宁悦城悦园A区 -塘铁桥,3室2厅 | 93.39平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,29人关注 / 8个月以前发布,279,"29,875元/平"
配套齐全 出行方便 无土出 低楼层采光无遮挡,金星家园 -中桥,3室2厅 | 97.99平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,8人关注 / 7个月以前发布,153,"15,614元/平"
全天采光 楼层好 小区安静 毛坯随意装修 随时交易,绿地·香颂 -东亭,3室2厅 | 115.49平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 平房,1人关注 / 2个月以前发布,188,"16,279元/平"
中海毛坯大三房，业主诚心出售。,中海珑玺 -塘铁桥,3室2厅 | 109.93平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,2人关注 / 2个月以前发布,245,"22,287元/平"
未住人，视野开阔，精装修，总价低，有钥匙，看房方便,恒大御澜湾 -东北塘,2室2厅 | 79.38平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,6人关注 / 8个月以前发布,120.8,"15,218元/平"
坊前新丰苑三期电梯房 小三房户型 精装修 随时看房,新丰苑三期 -坊前,3室1厅 | 92.84平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,12人关注 / 3个月以前发布,109,"11,741元/平"
蠡溪苑3房2厅 商品房 户型好客厅带窗 生活设施齐全,蠡溪苑 -新体育中心,3室2厅 | 120.26平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,3人关注 / 一年前发布,190,"15,800元/平"
前排小高层，采光好，户型方正，业主急售，可贷款,中海凤凰璟园二期 -华庄,3室1厅 | 94.12平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,4人关注 / 1个月以前发布,234,"24,862元/平"
时光里配套设施齐，交通便利，坐拥城市繁华。,世茂时光里 -北大街,3室2厅 | 117.75平米 | 南 | 毛坯 | 中楼层(共47层)  | 板楼,9人关注 / 一年前发布,193,"16,391元/平"
次新小区，全屋地暖 富力城D区 109平精装3房,富力城D区 -江溪,3室2厅 | 109.6平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,44人关注 / 6个月以前发布,192,"17,519元/平"
银城东樾府精装大三房 全天采光 户型方正  全天朝南,银城东樾府 -塘铁桥,3室2厅 | 134.02平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 2个月以前发布,350,"26,116元/平"
次新小区 品质融创 纯毛胚大三房 看房随时,理想城市花园九期 -堰桥,3室2厅 | 126.78平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 暂无数据,0人关注 / 12天以前发布,235,"18,537元/平"
富力城4房 精装修拎包即住 诚售看房方便,富力城A区 -江溪,4室2厅 | 107.63平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 6个月以前发布,166,"15,424元/平"
富力城A区 拎包入住四房 两卫 楼层佳,富力城A区 -江溪,4室2厅 | 109.97平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,168,"15,277元/平"
惠麓苑小区电梯六楼，惠山脚下，空气清新,惠麓苑二期 -山北,2室2厅 | 79.1平米 | 南 | 精装 | 低楼层(共18层)  | 平房,9人关注 / 2个月以前发布,102,"12,896元/平"
急卖！急卖！从未住过人！中间楼层，全天采光，地铁口,万科海上传奇 -万象城/东绛,4室2厅 | 113.09平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,13人关注 / 6个月以前发布,255,"22,549元/平"
九龙仓小面积清水毛坯 好楼层 珍藏甄品,九龙仓时代上城A区 -中桥,3室2厅 | 83.98平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,5人关注 / 2个月以前发布,169,"20,124元/平"
经开区地铁口 大横厅户型 带车位 高楼层采光视野好,银城东樾府 -塘铁桥,4室2厅 | 146.58平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,70人关注 / 9个月以前发布,355,"24,219元/平"
凤凰二期 边套通透全明房型 钥匙房源,中海凤凰璟园二期 -华庄,3室2厅 | 98.84平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,2人关注 / 4个月以前发布,230,"23,270元/平"
经开区次新小区凤凰三期视野好人车分流精装拎包入住,中海凤凰璟园三期 -华庄,3室2厅 | 97.44平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,9人关注 / 3个月以前发布,280,"28,736元/平"
中海凤凰璟园二期 采光充足 视野开阔 业主诚售,中海凤凰璟园二期 -华庄,3室2厅 | 113.19平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 1个月以前发布,345,"30,480元/平"
地铁口精装小三房，香山名园，中间楼层保养好,香山名园 -旺庄,2室1厅 | 101.2平米 | 南 | 精装 | 中楼层(共36层)  | 板塔结合,4人关注 / 6个月以前发布,135,"13,340元/平"
三开间朝南，采光无影响，价格美丽诚心出售,富力城C区 -江溪,3室2厅 | 88.8平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,72人关注 / 一年前发布,150,"16,892元/平"
毛湾家园边套两房  中间楼层南北通透 看房有密码,毛湾家园A区 -广益,2室1厅 | 89.56平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,4人关注 / 1个月以前发布,118,"13,176元/平"
新酩悦 精装修 全新 四开间朝南,万科新酩悦 -万象城/东绛,3室2厅 | 95.12平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,290,"30,488元/平"
急售 急售 急售 观山名筑精装2房 新式装修、看房方便,观山名筑南区 -塘铁桥,2室1厅 | 85.83平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,13人关注 / 一年前发布,160,"18,642元/平"
东林分校旁 毛湾家园两室 楼层好价格看中可谈,毛湾家园A区 -广益,2室1厅 | 88.16平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,95,"10,776元/平"
此房刚需三房，采光无遮挡，人车分流。房东诚心出售,华润橡树湾（四期五期） -堰桥,3室2厅 | 109.69平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,2人关注 / 5个月以前发布,179,"16,319元/平"
上马墩地铁口  楼层好采光佳 精装修 厨卫有窗户,春晖新村 -上马墩,2室1厅 | 64.81平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,89,"13,733元/平"
诚心出售 4号线 地铁口 精装两房 采光刺眼 拎包入住,西园里 -新体育中心,2室1厅 | 64.58平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,2人关注 / 2个月以前发布,80,"12,388元/平"
户型方正 南北双阳台 电梯房 配套齐全,万科金域缇香西区 -江溪,2室2厅 | 89.75平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,14人关注 / 一年前发布,179,"19,945元/平"
五彩城可满五过户两房，楼层好，看房方便,蓝光五彩城 -东亭,2室1厅 | 78.4平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,30人关注 / 一年前发布,139,"17,730元/平"
次新小区九里河公园旁毛坯三房户型方正采光好,长泰国际社区 -东亭,3室2厅 | 89.42平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,7人关注 / 一年前发布,130.5,"14,595元/平"
洋房 四开间朝南 次顶楼 居住舒适 采光足 看房方便，,远洋太湖宸章 -新安,3室2厅 | 119.1平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,22人关注 / 4个月以前发布,295,"24,770元/平"
苏宁悦城精装大三房，全屋中yang空调地暖 看房方便,苏宁悦城悦园A区 -塘铁桥,3室1厅 | 121.7平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,11人关注 / 2个月以前发布,342,"28,102元/平"
次新小区 融创品质 不靠高架 楼层好 采光好 小三房,融创森邻森邻 -生态园,3室2厅 | 89.41平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,139,"15,547元/平"
小区环境好，户型格局好，诚意卖,中海珑玺 -塘铁桥,3室2厅 | 93.79平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,8人关注 / 2个月以前发布,200,"21,325元/平"
舜柯家园 纯毛坯 两房朝南 南北通透 楼层好 看房方便,舜柯家园 -钱桥,2室1厅 | 74.48平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,1人关注 / 10天以前发布,77,"10,339元/平"
2001年的商品房 产权清晰 随时可看,许巷教师新村 -荣巷,3室2厅 | 104.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 4个月以前发布,139,"13,264元/平"
中海小三房，清水毛坯，满五唯一，诚心出售。,中海珑玺 -塘铁桥,3室2厅 | 89.09平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,1人关注 / 1个月以前发布,220,"24,695元/平"
玉兰西三 四房通透户型 采光好 随时看房,玉兰花园西三区 -海岸城/市民中心,4室1厅 | 141.48平米 | 南 | 毛坯 | 低楼层(共16层)  | 板楼,131人关注 / 一年前发布,435,"30,747元/平"
华府天地尊园 3室2厅 南,华府天地尊园 -海岸城/市民中心,3室2厅 | 87.95平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,2人关注 / 1个月以前发布,285,"32,405元/平"
荟聚旁，地铁口，商圈密集区域，交通方便出行,蓝光雍锦园 -东亭,3室2厅 | 116.99平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 10个月以前发布,183,"15,643元/平"
文旅城低密洋房，长广溪旁，育英,融创•逸墅溪岸景园一区 -融创文化旅游城,4室2厅 | 137.15平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板塔结合,7人关注 / 2个月以前发布,289,"21,072元/平"
成熟社区，生活便利，通透户型，采光充足。,雪溪苑A区 -融创文化旅游城,3室1厅 | 124.38平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,150,"12,060元/平"
户型方正双阳台，三房两厅两卫，南北通 风，格局合理,远洋太湖宸章 -新安,3室2厅 | 108.07平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,25人关注 / 6个月以前发布,248,"22,949元/平"
看太湖一览无余，双阳台设计，维护人有钥匙随时看！,远洋太湖宸章 -新安,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,5人关注 / 2个月以前发布,250,"23,149元/平"
长江北路繁华地段，中间楼层，采光好，诚心出售,叙康里 -江溪,2室1厅 | 64.04平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 5个月以前发布,76,"11,868元/平"
复地新城精装三房 一梯两户 南北通风户型 全屋精装,复地公园城邦 -堰桥,3室2厅 | 89.16平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,165,"18,507元/平"
地暖小三室 不靠高架 前排无遮挡 位置好  全新未住人,富力城D区 -江溪,3室2厅 | 88.98平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,168,"18,881元/平"
南长华府次新小区，纯毛坯，采光无遮挡 业主诚心出售,国美南长华府 -清名桥,3室2厅 | 100.13平米 | 南 | 毛坯 | 高楼层(共35层)  | 暂无数据,2人关注 / 2个月以前发布,228,"22,771元/平"
户型好，楼栋位置安静，南北通风，采光佳 诚心出售,广晟苑 -民丰/庄前,2室2厅 | 90.42平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,96,"10,618元/平"
中南家园新上毛坯刚需两房 位置安静 采光好 房东诚售.,中南家园 -湖滨商业街,2室1厅 | 75.35平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,92,"12,210元/平"
方圆荟旁翠园一楼带花园，精装修拎包入住，诚心出售,翠园新村 -湖滨商业街,2室1厅 | 45.35平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,3人关注 / 3个月以前发布,66.8,"14,730元/平"
此房在地铁2号线门口，边套，业主诚心出售,中城誉品 -河埒口,3室2厅 | 88.66平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,200,"22,559元/平"
万科酩悦 三开间朝南 通透户型 高楼层采光好,魅力万科城三区 -万象城/东绛,3室2厅 | 133.43平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 1个月以前发布,398,"29,829元/平"
看房方便，精装修，采光充足，交通方便，拎包入住,紫金新城 -安镇,2室1厅 | 70.29平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,53人关注 / 6个月以前发布,80,"11,382元/平"
积余，南尖，3楼，自带阳光房，有钥匙！随时看！,南尖社区 -北大街,2室1厅 | 59.7平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 5个月以前发布,112.5,"18,845元/平"
蠡湖旁山水湖滨，环境优美，生活品质高，居住素质高,山水湖滨花园一期 -湖滨商业街,3室2厅 | 107.04平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,31人关注 / 8个月以前发布,201,"18,779元/平"
连元街 地铁口 嘉禾现代花城 人车分流 采光充足,嘉禾现代花城 -三阳广场,3室2厅 | 149.75平米 | 南 | 简装 | 高楼层(共29层)  | 板楼,2人关注 / 6个月以前发布,339,"22,638元/平"
世茂首府精装三房 小高层 业主诚心出手,世茂首府 -北大街,3室2厅 | 142.48平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,22人关注 / 9个月以前发布,246,"17,266元/平"
此房满二 可以正常交易看房方便,瑞城花园 -旺庄,2室2厅 | 89.51平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,10人关注 / 11个月以前发布,125,"13,965元/平"
"融创运河壹号府,中间楼层,采光好",融创运河壹号府 -清名桥,3室2厅 | 88.14平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,12人关注 / 3个月以前发布,209,"23,713元/平"
万科金域缇香精装三房  业主在外地诚心出售 看房随时,万科金域缇香东区 -江溪,3室2厅 | 97.34平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,37人关注 / 一年前发布,196,"20,136元/平"
八佰伴旁恒大精装大三房，百米楼间距 楼层好 采光好,恒大绿洲四期 -东亭,3室2厅 | 112.26平米 | 北 南 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 6个月以前发布,179,"15,946元/平"
品质次新小区花园洋房户型南北通透采光刺眼看房有钥匙,中海寰宇天下西区 -坊前,4室2厅 | 118.61平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,32人关注 / 6个月以前发布,266,"22,427元/平"
国信精装大两房，次顶楼，视野好，湖景房，诚心出售,国信观湖湾 -新安,2室2厅 | 87.64平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,10人关注 / 9个月以前发布,170,"19,398元/平"
品质小区长江国际雅园精装 一室一厅+一个书房 满五,长江国际雅园 -江溪,1室1厅 | 57.86平米 | 北 | 精装 | 低楼层(共28层)  | 板楼,25人关注 / 10个月以前发布,81,"14,000元/平"
婚房装修小三房 远离高架 中间楼层 诚心出售,新城香溢紫峻园 -江溪,3室2厅 | 73.96平米 | 东南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 2个月以前发布,133,"17,983元/平"
阳光一百北区  3房   看房提前预约  满5,阳光100国际新城北区 -西漳,3室2厅 | 124.36平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,10人关注 / 9个月以前发布,143,"11,499元/平"
国信央企 4米宽客厅 4房改善 中上楼层 落地阳台视野好,国信世家溪园 -坊前,4室2厅 | 145.19平米 | 东 南 | 精装 | 中楼层(共29层)  | 塔楼,11人关注 / 5个月以前发布,182,"12,536元/平"
清水毛坯 无遮挡视野开阔 运河一线景观房,金科世界城C区 -中桥,3室2厅 | 120.93平米 | 南 北 东 | 毛坯 | 低楼层(共34层)  | 板楼,3人关注 / 2个月以前发布,240,"19,847元/平"
惠峰新村 房东重新装修 小区门口位置 地铁300米,惠峰新村 -山北,2室2厅 | 68.48平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,8人关注 / 1个月以前发布,85.8,"12,530元/平"
小区罪尤势房源！！房东诚心卖！,金都花园 -堰桥,3室2厅 | 101.72平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,9人关注 / 6个月以前发布,150,"14,747元/平"
中海凤凰洋房一层带院子，户型方正，业主诚心出售,中海凤凰璟园二期 -华庄,3室2厅 | 114.42平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,3人关注 / 2个月以前发布,365,"31,901元/平"
洋房 满五唯一，全天采光，随时看房,万科东郡 -江溪,2室1厅 | 94.33平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,4人关注 / 1个月以前发布,166,"17,598元/平"
玉兰公馆二区 中间层 满两年 三开间朝南精装修 省锡中,玉兰公馆二区 -堰桥,3室2厅 | 111.6平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 6个月以前发布,215,"19,266元/平"
银城东樾府3+1户型 毛坯新房未住 宽阔阳台三开间朝南,银城东樾府 -塘铁桥,4室2厅 | 134.02平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,62人关注 / 9个月以前发布,305,"22,758元/平"
碧桂园好采光，房东诚售，有钥匙随时看,西溪碧桂园 -钱桥,3室2厅 | 89.41平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 2个月以前发布,119,"13,310元/平"
郦园方正大三房，视野好，可看绿化景观，房东诚心卖房,海岸城郦园 -海岸城/市民中心,3室2厅 | 143.25平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,14人关注 / 3个月以前发布,365,"25,480元/平"
龙塘家园 2室1厅 南,龙塘家园 -黄巷,2室1厅 | 78.83平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 8天以前发布,85,"10,783元/平"
央企中海新上好房，好位置好楼层，业主诚心售看房方便,中海珑玺 -塘铁桥,3室2厅 | 93.19平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,4人关注 / 3个月以前发布,225,"24,145元/平"
立信华府清水毛坯三房2卫，户型正气，，全天采光,宝能城 -海岸城/市民中心,3室2厅 | 115平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,30人关注 / 5个月以前发布,270,"23,479元/平"
玉兰花园西边套，清水毛坯小三房,玉兰花园西三区 -海岸城/市民中心,3室2厅 | 104.53平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,1人关注 / 7个月以前发布,368,"35,206元/平"
博览center旁，三期精装房，小区楼层视野很好的一套！,中海凤凰璟园三期 -华庄,3室1厅 | 97.44平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,7人关注 / 1个月以前发布,260,"26,684元/平"
仙河苑毛坯大三房中上楼层诚心出售,仙河苑二期 -融创文化旅游城,3室2厅 | 126.95平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,4人关注 / 6个月以前发布,125,"9,847元/平"
错过后悔 就这一套 运河河景房 近锡北运河站,嘉利华府庄园十区 -堰桥,3室2厅 | 96.13平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,3人关注 / 4个月以前发布,168,"17,477元/平"
简单装修小三房，小区中间位置安静，好楼层，看房方便,溪湾雅苑一区 -融创文化旅游城,3室2厅 | 102.01平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,162,"15,881元/平"
三开间朝南，配套设施齐全，交通便利,中海凤凰璟园二期 -华庄,3室2厅 | 99.41平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,30人关注 / 一年前发布,238,"23,942元/平"
阳光100精装两房 户型方正 楼层好采光佳 诚心出售,阳光100国际新城南区 -刘潭,2室1厅 | 82.8平米 | 南 西 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,92,"11,112元/平"
叙丰家园精装两房，业主自住保养好，有电梯看房方便,叙丰家园 -江溪,2室2厅 | 85.97平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,10人关注 / 一年前发布,98,"11,400元/平"
带阳光露台 带入户花园  带车位 带精装家具 诚意出售,蓝光雍锦园 -东亭,3室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共30层)  | 塔楼,2人关注 / 3个月以前发布,182,"15,556元/平"
苏宁大三房 视野好 三开间朝南 塘铁桥地铁 南北通透,苏宁悦城悦园A区 -塘铁桥,3室2厅 | 121.7平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,77人关注 / 一年前发布,305,"25,062元/平"
一楼带花园有地下室，业主诚售，配套成熟。,融域花园 -堰桥,3室1厅 | 113.94平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,4人关注 / 4个月以前发布,184,"16,149元/平"
