标题,开发商,房子信息,发布信息,售价/万,单价
奥体谷德锦商圈 电梯三室，楼层采光好，交通便利,鸢都新城 -奥体中心,3室1厅 | 118.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,73.8,"6,230元/平"
土产公司家属院 3室1厅 南 北,土产公司家属院 -寿光市,3室1厅 | 100平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,25.8,"2,580元/平"
汇文北邻 两室精装房 多层四楼带储藏室 满二,三友圣锦花园 -寿光市,2室1厅 | 84.26平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 2个月以前发布,36,"4,273元/平"
谷德锦 益家园 佳乐家 海上明珠 奥体,名仕园小区 -奥体中心,2室1厅 | 63.93平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 4个月以前发布,29.5,"4,615元/平"
山东电力第三工程有限公司小区 2室1厅 南 北,山东电力第三工程有限公司小区 -锦绣学校东,2室1厅 | 57.75平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 2天以前发布,22,"3,810元/平"
威尼斯小镇电梯房，三室 客厅朝阳，大平层 诚意出售,晨鸣威尼斯小镇 -寿光市,4室2厅 | 285.45平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,158,"5,536元/平"
鲁发四期，看房方便，楼层好，户型好，带地下室,鲁发名城崇文郡 -福乐多,3室2厅 | 129平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,72,"5,582元/平"
精装婚房未住  交通便利 配套齐全 楼层好，户型方正,奥文国际城 -上城佳乐家,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,85.8,"6,500元/平"
多层的二楼，带有露台，南北通透，随时看房,鲁发名城宣武郡 -福乐多,3室2厅 | 104平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,58.9,"5,664元/平"
利昌福乐多近，电梯两室，南北通透，出行方便,泰华金泰名苑 -福乐多,2室2厅 | 94.5平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,2人关注 / 6个月以前发布,59.8,"6,329元/平"
北海路旁 景观大道 两室精装 领包入住 看房方便,上林苑 -新华路北,2室2厅 | 93平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 16天以前发布,63,"6,775元/平"
房子满五唯一，税费低，看房方便。房子装修在同小区有,东方家园 -鸢都湖-2,2室1厅 | 96.6平米 | 东南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 10天以前发布,49.8,"5,156元/平"
潍柴宿舍小区 2室2厅 南 北,潍柴宿舍小区 -新华路北,2室2厅 | 66平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,34.9,"5,288元/平"
精装可直接收租金，地理位置好商圈成熟,泰华领域 -人民医院,1室0厅 | 37.82平米 | 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 13天以前发布,17.5,"4,628元/平"
房子楼层好采光效果好 南 北 通 透 带地下室看房方便,和扬·晶立方 -新华路北,2室2厅 | 95平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 11天以前发布,60,"6,316元/平"
文化路胜利街南向住宅性质37平精装修,宝鼎花园 -新华路佳乐家,1室1厅 | 36.32平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 8个月以前发布,21,"5,782元/平"
安顺东区 2室2厅 南 北,安顺东区 -自怡园,2室2厅 | 92.43平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,58,"6,276元/平"
小区位置好   物业服务好 适合居住,上林苑 -新华路北,2室2厅 | 97.8平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,64,"6,544元/平"
多层三楼，客厅朝阳精装修可以拎包入住，租赁车位,印象潍州 -北苑实验,2室1厅 | 91.83平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,54.9,"5,979元/平"
电梯洋房，毛坯原房，环境好，户型好,仁和盛庭 -锦绣学校东,3室1厅 | 111.95平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,66.6,"5,950元/平"
高新繁华地段 71平 52万。,青青家园 -谷德广场,2室1厅 | 70.72平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,50.5,"7,141元/平"
胜利街新华路 上 胜利东交警二中队东临低楼层,中小企业局宿舍 -新华路佳乐家,2室1厅 | 69.7平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 5个月以前发布,40.8,"5,854元/平"
茂华爱琴海 电梯洋房 带很大的平台 精装 出税,茂华爱琴海 -北苑实验,2室2厅 | 108.11平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,15人关注 / 一年前发布,73.8,"6,827元/平"
万达泰华近 通透两室 精装婚房 拎包入住 看房方便,金都时代新城 -则尔庄,2室2厅 | 89.49平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,2人关注 / 5个月以前发布,55,"6,146元/平"
新华，日向，植物园近，楼前小广场，楼层佳，精装出税,加州世纪尊品 -梨园,2室2厅 | 87.93平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2人关注 / 7个月以前发布,73,"8,303元/平"
高新区 多层两室 可遇不可求 全明户型,华安东方明珠 -东明学校,2室1厅 | 77.3平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,46,"5,951元/平"
急售 金鼎华府出税精装 业主因工作调动着急工作地换房,金鼎华府 -则尔庄,2室1厅 | 79.28平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,2人关注 / 6个月以前发布,50,"6,307元/平"
孙家近精装2室适合老人，年轻人过度房电梯房,丽水芳洲 -则尔庄,2室2厅 | 86.94平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,55,"6,327元/平"
杭州家园 精装两室 多层一楼 带储藏室,杭州嘉园 -寿光市,2室2厅 | 94.67平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,46,"4,859元/平"
市府东南，金樱近，全天采光，楼层好，配套齐全。,时代丽景苑 -市府东南,2室2厅 | 90.61平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,63,"6,953元/平"
歌尔近   中间楼层   带地下室  采光充足,新富专家公寓 -东明学校,2室1厅 | 99.45平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,58.8,"5,913元/平"
白浪河畔，四平路上，多层二楼，南北通透，价格可议。,工福苑 -则尔庄,3室2厅 | 82平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,48,"5,854元/平"
多层三楼，两室朝阳，总价低，南北通透,怡新苑 -新华路北,2室1厅 | 77.09平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,42.8,"5,552元/平"
中新双语南邻，两明卧，好楼层 带地下室和储藏室,财税局小区 -新华路北,2室1厅 | 78.02平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,2人关注 / 6个月以前发布,49.6,"6,358元/平"
书香苑(奎文区) 1室1厅 北,书香苑(奎文区) -鸢都湖,1室1厅 | 44.73平米 | 北 | 精装 | 低楼层(共12层)  | 塔楼,12人关注 / 一年前发布,14,"3,130元/平"
健康街潍州路大产权住宅，精装，内部配套精美齐全,书香苑(奎文区) -鸢都湖,1室0厅 | 36.25平米 | 北 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 5个月以前发布,12.6,"3,476元/平"
佳乐家近多层2楼105.80平2室带储藏室49.8,欧美佳苑 -坊子佳乐家,2室2厅 | 105.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,45,"4,254元/平"
浞河公园近，两室精装拎包入住，全天采光，通透户型,浞景雅苑 -高新周边,2室2厅 | 94.22平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 6个月以前发布,55,"5,838元/平"
交通便利，生活方便，市实验、广文近  精装看房方便,恒易·熙园 -广文,2室1厅 | 82.32平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,62,"7,532元/平"
东明近 5楼带阁楼 精装四室已出税,翡翠苑(高新技术产业开发区) -潍坊学院,2室2厅 | 81.72平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 11个月以前发布,65,"7,954元/平"
东风街月河路，近中百泰华，西关中和街便宜2室转让,西关中和街 -自怡园,2室1厅 | 60平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,12人关注 / 一年前发布,15,"2,500元/平"
北 海 路 观 景 房，地段好。,上林苑 -新华路北,2室1厅 | 92.77平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,60,"6,468元/平"
急售！带储藏室！好楼层 无遮挡 采光,时代丽景苑 -市府东南,2室1厅 | 90.61平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 6个月以前发布,59,"6,512元/平"
和扬晶立方精装好房，上学方便，价格低，看房方便,和扬·晶立方 -新华路北,2室1厅 | 94.67平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,64,"6,761元/平"
虞河畔，植物园近，园林式绿化环境优美。,金鸾御景城 -樱园,2室2厅 | 103.73平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,13人关注 / 一年前发布,75,"7,231元/平"
樱园 新华 盛世华府 客厅南向 精装大三居 诚售,盛世华府(奎文区) -樱园,3室2厅 | 125.97平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,116,"9,209元/平"
一室精装修好房，价格优惠。单价低,金都家园 -上城佳乐家,1室1厅 | 55.1平米 | 南 | 简装 | 中楼层(共16层)  | 板塔结合,2人关注 / 6个月以前发布,25.3,"4,592元/平"
樱前街惠贤路电梯洋房精装小三居拎包入住,春景花园 -高新实验,3室2厅 | 99.43平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,83,"8,348元/平"
锦绣近花园小区多层4楼南北通透出税带着地下室,锦绣苑 -锦绣学校,2室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,43,"4,832元/平"
渤海路旁！精装一居！十甲 吾悦广场近！住宅现房,恒大名都 -市府东南,1室1厅 | 35平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,26.8,"7,658元/平"
华安东方明珠.玉清近单价低多层前面无遮挡.采光好,华安东方明珠 -东明学校,2室1厅 | 82.27平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,49.5,"6,017元/平"
好房出售，拎包入住，先到先得，机不可失,紫金花园 -锦绣学校,2室1厅 | 73.59平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,56.5,"7,678元/平"
精装修 虞河西岸 两室南北通透  高层带电梯 随时看房,后栾花园 -樱园,2室1厅 | 96.06平米 | 南 北 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 1个月以前发布,59.9,"6,236元/平"
万达北附属近多层一楼，客厅朝阳，精装修，带车库，,阳光美苑 -新华路北,2室2厅 | 97.95平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,76,"7,760元/平"
佳乐家旁，精装修，带电梯，带车位，看房方便,柏悦澜庭 -坊子四中,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 8个月以前发布,67,"5,584元/平"
佳乐家旁，精装修，带电梯，带车位，看房方便,柏悦澜庭 -坊子四中,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 8个月以前发布,67,"5,584元/平"
昌大建设 近植物园 封闭式管理 安全 放心 绿化环境好,宝通陆号 -植物园,3室2厅 | 91.15平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6个月以前发布,86,"9,435元/平"
金宸公馆好房出售，楼层好，户型好。H户型，购物古德,金宸公馆 -金融广场,3室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 8个月以前发布,126,"8,812元/平"
矮楼层，多层不山不顶 也不底采光棒标准上学方便。急,北苑 -东明学校,3室2厅 | 120平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,78.88,"6,574元/平"
虞河畔 泰华旁 高品质小区电梯洋房,鲁鸿泰华蘭亭序 -坊子泰华,3室2厅 | 131.49平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,103,"7,834元/平"
电业局单位房电梯房，物业管理好,五洲花园 -锦绣学校,3室2厅 | 147平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,108,"7,347元/平"
紧靠虞河，离植物园步行比较近 散步休闲,恒信宝通世家 -植物园,3室1厅 | 91.36平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,74,"8,100元/平"
18年小区 出税 H户型 人车分流 大三室 带储 随时看房,金宸公馆 -金融广场,3室1厅 | 144平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板楼,1人关注 / 9个月以前发布,125,"8,681元/平"
高新北 中房幸福名都 三室精装未住 出税,中房幸福名都 -南部新区,3室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,79.8,"7,062元/平"
茉莉公馆 电梯洋房   大四室 精装 带地下室 有证,恒信茉莉公馆 -雷沃重工,4室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,119,"8,322元/平"
佳乐家近，多层3楼，精装未住，可拎包入住,幸福人家小区 -寒亭实验小学,3室1厅 | 98平米 | 南 北 | 精装 | 中楼层(共4层)  | 板塔结合,1人关注 / 4个月以前发布,55,"5,613元/平"
泽信云筑H户型，前后双阳台4.5米的大落地窗,泽信云筑 -福乐多,3室2厅 | 127.51平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,76,"5,961元/平"
广场东区 3号楼 中上楼层 精装未住 装修20万 工作调动,高新城市广场 -智谷学校,3室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,120,"8,760元/平"
中颐和园 全天采光！大三室H户型 带车位地下室急售,中颐和园 -凤凰山片区,3室2厅 | 142.48平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,139,"9,756元/平"
一二楼带院，带负一，户型南北通透，采光好，看房方便,碧桂园凤翔府 -坊子人民医院,4室2厅 | 175平米 | 南 北 | 简装 | 低楼层(共10层)  | 暂无数据,1人关注 / 3个月以前发布,150,"8,572元/平"
蓉花路.福海花园.多层3楼.精装修.有钥匙.随时看房,福海花园 -谷德广场,2室2厅 | 93.07平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,16人关注 / 4个月以前发布,69.6,"7,479元/平"
东风街潍坊三中近，多层三室户型，看房方便,颐园社区 -十笏园,3室2厅 | 73平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,36,"4,932元/平"
此房是公安局单位房，带3.8万地下室，出税。,七星之都 -市府东南,3室2厅 | 154.33平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,51人关注 / 一年前发布,112,"7,258元/平"
茂华爱琴海 大H户型 索菲亚定制 精装未住 拎包入住,茂华爱琴海 -北苑实验,3室2厅 | 126.69平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,20人关注 / 9个月以前发布,118,"9,315元/平"
精装修未住，带院子，小区绿化高，配套齐全，南北通透,中海大观天下四期·观澜 -市府东南,3室2厅 | 121平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,102,"8,430元/平"
单位房 上北海 H户型  报价带车位和地下室 看房方便,金福苑 -潍坊学院,3室2厅 | 145.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,25人关注 / 一年前发布,110,"7,561元/平"
高新区浞河畔品质大盘，佳乐家近小洋房，采光视野佳,景泰园 -高新周边,3室2厅 | 130.23平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,7人关注 / 11个月以前发布,102,"7,833元/平"
东明 学府生活城 3室好楼层  带车位 地下室 H 户型,众成学府生活城 -东明学校,3室2厅 | 137平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,145,"10,584元/平"
市府近，户型方正 中间好楼层 ，采光好，毛坯，新小区,恒信领峰 -市府东南,3室2厅 | 134.55平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,20人关注 / 8个月以前发布,103.5,"7,693元/平"
万家福近 金碧广场精装好房看房方便急售,金碧广场 -万家福,3室2厅 | 107.93平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,66.9,"6,199元/平"
学府生活城  好楼层全年不挡光 好楼座 精装3室东明近,众成学府生活城 -东明学校,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,155,"11,482元/平"
邻北苑实验，万达北邻 虞河畔  有地下室 有钥匙,紫金花园 -锦绣学校,3室2厅 | 104.7平米 | 南 北 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,74.8,"7,145元/平"
鸢都湖近，精装多层东户，大三居诚心出售,金都南苑 -站南广场,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,61.8,"6,307元/平"
区人民医院近，多层一楼三室户型，总价低,香江水岸北区 -高铁北站,3室1厅 | 88平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,47.6,"5,410元/平"
浞河景区 电梯洋房 上智谷 大H户型,上城浞府 -智谷学校,3室2厅 | 154.9平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,167,"10,782元/平"
高新南白沙河畔 凤凰太阳城多层三楼退台洋房 三室两卫,凤凰太阳城 -雷沃重工,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,95,"7,540元/平"
17楼东明分校 玉清 偏H 全天采光 新小区 带地下室24平,金玉豪府 -东明学校,3室2厅 | 133.74平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,2人关注 / 5个月以前发布,97,"7,253元/平"
大观二期，三室毛坯，带车位，房主诚心出售,大观二期御景央邸 -市府东南,3室2厅 | 112平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,5人关注 / 一年前发布,88,"7,858元/平"
小区人车分流，寿光二中南邻，绿化好，干净整洁,海棠园 -寿光市,3室2厅 | 150平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,120,"8,000元/平"
房子位置佳 采光好  生活便利 东苑公园近 人民近,工人新村后街 -广文,3室1厅 | 62平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,58,"9,355元/平"
大观三期带车位，H户型，毛坯，生活便利，人车分流,中海大观天下三期 -市府东南,3室2厅 | 117.1平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,95,"8,113元/平"
孩子上放学，直线距离100米。,清荷园 -人民广场,3室1厅 | 163平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,16人关注 / 5个月以前发布,114.8,"7,043元/平"
低密度社区，楼层好，优质物业管理，居住舒适,辰隆阳光城 -金三角,3室1厅 | 121平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,70,"5,786元/平"
高新南凤凰太阳城 沿河 电梯6楼 精装三室 出税 龙 泉,凤凰太阳城 -雷沃重工,3室1厅 | 92平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,59.8,"6,500元/平"
高新北，渤海路旁，品质社区全天采光,诚泰金润世家 -金三角,3室2厅 | 110.76平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,77.9,"7,034元/平"
急售带地下室，南北通透，视野开阔楼层好，满五唯一,金马怡园 -金融广场,3室2厅 | 101.15平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,7人关注 / 10个月以前发布,73,"7,218元/平"
立新小区优质房源，多层的三楼，带储藏室,立新小区 -寿光市,3室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,24人关注 / 9个月以前发布,49.9,"4,265元/平"
市府东南 中南熙悦四室两厅凤凰层 楼座好含地下车位,中南熙悦 -高新实验,4室2厅 | 140.78平米 | 南 | 毛坯 | 高楼层(共21层)  | 板楼,16人关注 / 6个月以前发布,154,"10,940元/平"
高新南 电梯房 房主精心装修未住 采光好位置好,凤凰太阳城 -雷沃重工,3室1厅 | 87平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,51.8,"5,955元/平"
爱琴海小高层，毛坯房出税，142平 113万,茂华爱琴海 -北苑实验,3室2厅 | 141.96平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,111,"7,820元/平"
急售！！谷德茂 智谷旁 绿城物业 H户型精装未住,歌尔绿城桃园里 -高新实验,3室2厅 | 102.52平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,96,"9,365元/平"
中南熙悦东山全天采光价格带车位楼下小广场。,中南熙悦 -高新实验,3室2厅 | 136.06平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,2人关注 / 一年前发布,139,"10,217元/平"
紫御宫馆现房 智谷，万科物业，谷德茂旁，四室,紫御宫馆 -茂街,4室2厅 | 167.81平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 3个月以前发布,135,"8,045元/平"
枫丹壹号院 涨湎河 观景房  四室平层 中间楼层,枫丹壹号院 -市府东南,4室2厅 | 173.57平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 6个月以前发布,207,"11,927元/平"
近玉清，两室精装修，楼层好，采光好。,润福家园 -东明学校,2室1厅 | 74.57平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,45.8,"6,142元/平"
天泰好位置，划区弥水未来，前排采光，车位储藏室！,天泰紫金府 -寿光市,3室2厅 | 129.87平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,94,"7,239元/平"
阳光假日小高层大三室，北苑实验近+乐川街小近,恒信阳光假日 -北苑实验,3室2厅 | 111平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,8人关注 / 一年前发布,78,"7,028元/平"
新华路明德中新双语近  多层两居室 南北通透 配套齐全,怡新苑 -新华路北,2室1厅 | 82.66平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,52,"6,291元/平"
市府东南，毛坯H户型，房主诚心出售,紫瑞园 -市府东南,3室1厅 | 162平米 | 南 北 | 毛坯 | 17层  | 板楼,4人关注 / 6个月以前发布,140,"8,642元/平"
标准三室，地下室，南北通透，采光充足，交通方便,百姓家园 -则尔庄,3室2厅 | 83.54平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 10个月以前发布,49.8,"5,962元/平"
虞河旁 新华 多层3室 带地下室 生活方便 环境舒适,华安世纪樱园 -樱园,3室2厅 | 92.07平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 5个月以前发布,76.8,"8,342元/平"
政府小区，大H户型，南北通透，带外置阁楼,泰祥花苑 -南部新区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,13人关注 / 11个月以前发布,68,"5,231元/平"
高新区浞河畔，谷德茂近，顶层复式,泰和东郡 -智谷学校,4室2厅 | 138.11平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,23人关注 / 一年前发布,157,"11,368元/平"
楼层好，楼层好全天采光北海路与健康街交汇处,加州世纪尊品 -梨园,3室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,13人关注 / 一年前发布,66,"6,735元/平"
东华近 面积大 格局好配 套设施齐全 交通便利,潍坊市大学科技园专家公寓 -东明学校,3室2厅 | 155平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,23人关注 / 一年前发布,88,"5,678元/平"
政府小区，大H户型，南北通透，带外置阁楼,泰祥花苑 -南部新区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,13人关注 / 11个月以前发布,68,"5,231元/平"
标准三室，地下室，南北通透，采光充足，交通方便,百姓家园 -则尔庄,3室2厅 | 83.54平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 10个月以前发布,49.8,"5,962元/平"
楼层好，楼层好全天采光北海路与健康街交汇处,加州世纪尊品 -梨园,3室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,13人关注 / 一年前发布,66,"6,735元/平"
市府东南，毛坯H户型，房主诚心出售,紫瑞园 -市府东南,3室1厅 | 162平米 | 南 北 | 毛坯 | 17层  | 板楼,4人关注 / 6个月以前发布,140,"8,642元/平"
一楼带院子，南北通透，看房子方便,大陆盛景嘉园 -樱园,3室2厅 | 92平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,112,"12,174元/平"
有地下室 带地下车位 大H互型 楼层好,枫丹壹号院 -市府东南,3室2厅 | 142.58平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,145,"10,170元/平"
观景楼层，客厅朝阳2个卧室朝阳，带地下室，急售,北大锦城 -潍坊学院,3室1厅 | 119平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,105,"8,824元/平"
精装修，楼层视野好，三室两卫，南北通透，配套好,恒大名都 -市府东南,3室2厅 | 129.96平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,21人关注 / 11个月以前发布,85,"6,541元/平"
虞河畔，人民医院近，胜利东新华，户型方正，全明户型,李家小区 -人民医院,4室2厅 | 138.84平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,6人关注 / 8个月以前发布,106,"7,635元/平"
万达近，门口虞河公园，德润品质，精装未住，全天采光,左岸华庭 -万达,3室2厅 | 135.26平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 5个月以前发布,96.8,"7,157元/平"
小区位置好 物业服务好  适合居住,怡新苑 -新华路北,3室2厅 | 98平米 | 西南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,69,"7,041元/平"
高新管委会近 谷德茂近 毛坯房,恒信昆仑公馆 -茂街,3室2厅 | 127平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 11个月以前发布,89,"7,008元/平"
中南熙悦东山全天采光价格带车位楼下小广场。,中南熙悦 -高新实验,3室2厅 | 136.06平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板楼,2人关注 / 一年前发布,139,"10,217元/平"
