标题,开发商,房子信息,发布信息,售价/万,单价
南北通透 采光充足 长春公园  朝阳桥轻轨,我爱我家(建阳街) -景阳广场,3室1厅 | 161.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,130,"8,042元/平"
东电一区 3室2厅 南 北,东电一区 -吉大南岭校区,3室2厅 | 131.5平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,75,"5,704元/平"
电梯中间楼层。不挡光。没有尾款。标准小H格局,挪威小镇二期 -八里堡,2室1厅 | 80.43平米 | 南 北 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 6天以前发布,51,"6,341元/平"
长新小区 2室1厅 南 北,长新小区 -长新街,2室1厅 | 67平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,58.5,"8,732元/平"
伟业星城标准户型顶跃层单价低房源优质,伟业星城 -硅谷街北,3室2厅 | 97平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 16天以前发布,77,"7,939元/平"
慧谷一街之隔 居然世界里 地铁5号线 小高层,昂展公园里 -硅谷街南,3室1厅 | 124.87平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 13天以前发布,98,"7,849元/平"
上台花园C区 2室1厅 南,上台花园C区 -小南,2室1厅 | 66.99平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 6天以前发布,42,"6,270元/平"
大众花园二期 2室2厅 南 北,大众花园二期 -景阳广场,2室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 9天以前发布,90,"8,182元/平"
急售 御翠湾 三室两卫 电梯洋房 产权过二,御翠湾 -硅谷街南,3室2厅 | 164.79平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,4人关注 / 11个月以前发布,149,"9,042元/平"
新星宇和邑 中东大市场 45万标准一室一厅有钥匙,新星宇和邑A区 -欧美工业园,1室1厅 | 53平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 5天以前发布,45,"8,491元/平"
39街区 不把不临 一楼  南  北 急售,一汽39街区 -长沈路,2室1厅 | 49.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,30,"6,061元/平"
单价低 亚泰 杏花苑 采光好 不把不临 产权过五,亚泰花园杏花苑 -万通,2室1厅 | 71.94平米 | 东 | 简装 | 高楼层(共32层)  | 塔楼,0人关注 / 5天以前发布,52,"7,229元/平"
世纪广场 轻轨 万龙世纪城  2室 精装修 拎包入住,万龙世纪城 -北海公园,2室2厅 | 87平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 3天以前发布,88.8,"10,207元/平"
翡翠公园二期 标准格局 一天没住过 明泽,万科翡翠公园二期 -净月区,3室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 12天以前发布,108,"10,800元/平"
亚泰樱花苑 2室2厅 南 北,亚泰樱花苑 -万通,2室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 8天以前发布,90,"10,000元/平"
红旗商圈 交通便利 产权明晰 精装修 采光好 双轨交通,集大小区 -红旗,2室1厅 | 77平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,69,"8,962元/平"
东方之珠 多层二楼 南北通透 两室一厅 产权过五,东方之珠 -欧美工业园,2室2厅 | 72平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 5天以前发布,56,"7,778元/平"
万科城一期  精装修  全屋硅藻泥,万科城一期 -净月区,3室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 13天以前发布,122,"8,841元/平"
通风好 精装修 拎包入住 随时看房,原二道规划局家属楼 -万通,2室2厅 | 119平米 | 东 西 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 8天以前发布,79,"6,639元/平"
住邦，采光好，楼层好，南北通透,豪邦四季经典B区 -住邦城市广场,4室2厅 | 97.06平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,81,"8,346元/平"
万嘉花园A区 2室2厅 南 北,万嘉花园A区 -天嘉,2室2厅 | 113平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,75,"6,638元/平"
万嘉花园A区 2室2厅 南 北,万嘉花园A区 -天嘉,2室2厅 | 113平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,75,"6,638元/平"
住邦，采光好，楼层好，南北通透,豪邦四季经典B区 -住邦城市广场,4室2厅 | 97.06平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,81,"8,346元/平"
产权过2，近慧谷，小区环境好，供暖好，全天采光,恒大雅苑 -硅谷街南,2室2厅 | 84.61平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,12人关注 / 9个月以前发布,75,"8,865元/平"
天安第一城 三室两厅 大户型 采光好 视野宽阔,天安第一城一期 -欧亚卖场,3室2厅 | 176.5平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,9人关注 / 10个月以前发布,150,"8,499元/平"
产权过二业主诚心卖全天采光看房方便,国信御湖公馆北区 -南部新城,3室2厅 | 125平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,20人关注 / 3个月以前发布,95,"7,600元/平"
檀香苑 南北通透 楼层好 交通便利 配套齐全,龙泰檀香苑二期 -住邦城市广场,3室1厅 | 105.4平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 11个月以前发布,94.5,"8,966元/平"
万科柏翠园 5室 中间楼层 大开间 格局合理,万科柏翠园 -南湖,5室2厅 | 251平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,13人关注 / 4个月以前发布,536,"21,355元/平"
"产权满五, 南北通透， 视野广阔,园区中间 精装3室",华润凯旋门 -硅谷街北,3室1厅 | 121.86平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,4人关注 / 5个月以前发布,149,"12,228元/平"
中海景阳公馆.精装修.随时看房.16楼.三室,中海景阳公馆 -西部新城开发区,3室1厅 | 100平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,8人关注 / 一年前发布,120,"12,000元/平"
亚泰大街快速路，上台花园93平大两室,上台花园C区 -小南,2室2厅 | 93平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,4人关注 / 一年前发布,58,"6,237元/平"
融创上城四期，别墅，精装修，拎包入住，房屋保持的好,融创上城四期 -欧亚卖场,3室3厅 | 210平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,10人关注 / 一年前发布,320,"15,239元/平"
此房精装修洋房电梯3楼带前后楼台  南北户型 采光好,高新和园 -硅谷街北,3室2厅 | 171.86平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,19人关注 / 一年前发布,308,"17,922元/平"
中高楼层 诚意出售 保持干净 满二 看房方便有钥匙,万科金域长春 -世界雕塑公园,3室1厅 | 95平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,13人关注 / 10个月以前发布,118,"12,422元/平"
富豪花园，红旗街，抚松路，产权过五，有钥匙,富豪花园东明苑 -红旗,4室2厅 | 147平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,24人关注 / 10个月以前发布,75,"5,103元/平"
中海景阳公馆 不把不临 楼层好,中海景阳公馆 -西部新城开发区,3室1厅 | 134.14平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,143,"10,661元/平"
富豪花园电梯房三室两厅一卫精装修采光充足视野好,富豪花园西华苑 -红旗,3室2厅 | 133平米 | 东 南 | 精装 | 高楼层(共17层)  | 板楼,12人关注 / 9个月以前发布,110,"8,271元/平"
电梯九楼精装修 产权满二年 随时看房,团山小区 -小南,2室1厅 | 69.84平米 | 南 北 | 简装 | 高楼层(共11层)  | 塔楼,0人关注 / 16天以前发布,41,"5,871元/平"
天富御苑精装修拎包入住产权过二拎包入住,天富御苑 -北湖,2室1厅 | 54.97平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,1人关注 / 15天以前发布,32,"5,822元/平"
南北通透，户型好，可贷款，房主诚心出售,新星宇和润B区 -南部新城,2室1厅 | 96.21平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 12天以前发布,90,"9,355元/平"
香港城二期 西安大路欧亚旁 视野开阔 产权清晰诚心售,香港城二期 -四季青市场,2室1厅 | 68.32平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 18天以前发布,54,"7,904元/平"
中海寰宇 精装婚房 南北通透 视野开阔 产权过二,中海寰宇天下D区 -二道区周边,2室2厅 | 88平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 16天以前发布,78,"8,864元/平"
鼎惠华庭全阳户型拎包入住产权在手,鼎惠华庭 -八里堡,2室1厅 | 76.69平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 12天以前发布,55,"7,172元/平"
便宜卖。楼层好，一般装修，随时看房,荣旺天下F区 -天光路,1室1厅 | 67平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 13天以前发布,49,"7,314元/平"
吉林大路 地铁2号线 标准格局 南北2室婚房 不把不临,吉星花园(二道区) -亚泰,2室1厅 | 85平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,74,"8,706元/平"
103 产权在手 2室 诚心出售,南城家园F区 -南部新城,2室1厅 | 73平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 13天以前发布,45,"6,165元/平"
领秀蓝珀湖 精装小两室 全明户型 带阳台 视野开阔,领秀蓝珀湖 -工业大学北湖校区,2室1厅 | 71.44平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 15天以前发布,58,"8,119元/平"
吴中家天下三期有多加12平 中间楼层 随时看房,吴中家天下三期 -八里堡,2室1厅 | 87.86平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 15天以前发布,75,"8,537元/平"
雷锋 87 公园 医院  轻轨   南北通透,星宇西区 -普阳,2室1厅 | 65.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,48,"7,306元/平"
南湖公园旁一楼带院子 不把山不临街精装修可拎包入住,南湖职工新村 -南湖,2室1厅 | 65平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 13天以前发布,54,"8,308元/平"
适合老人，不挡光小三居，低价格高品质，还能谈,荣旺天下C区 -天光路,1室2厅 | 57.61平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 12天以前发布,42,"7,291元/平"
楼层16层不是顶楼，不把山，产权过五,新星宇和源 -硅谷街北,2室1厅 | 87.14平米 | 南 北 | 简装 | 高楼层(共19层)  | 板楼,0人关注 / 10天以前发布,70,"8,034元/平"
南向两室房源，低楼层，采光好，生活方便,新疆街 -桂林路,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,90,"11,250元/平"
此房南北通透，两室一厅，产权5，精装修,万龙花园 -大经路,2室1厅 | 56.83平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 10天以前发布,34,"5,983元/平"
南湖新村，南北两室，满五格局好，采光好,南湖新村 -南湖,2室1厅 | 61.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 12天以前发布,150,"24,470元/平"
人车分流小区不挡光南溪湿地公园11层小高精装标准两室,中海国际社区D区 -净月区,2室2厅 | 90.23平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 16天以前发布,103,"11,416元/平"
金色8里城北区2-1-1-165.94平 42万 有产权可按揭,金色8里城北区 -后十里堡,3室1厅 | 65.94平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 9天以前发布,42,"6,370元/平"
金色橄榄城新出南向小两居  不把山不临街 出门地铁,金色橄榄城 -十里堡,2室1厅 | 62平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,55,"8,871元/平"
精装修 不把山不临街 园区中间位置 产权过5 随时看房,香水湾二期 -八里堡,2室1厅 | 86.86平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,73,"8,405元/平"
亚泰樱花苑 拎包入住    南北通透,亚泰樱花苑 -万通,2室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 14天以前发布,89.8,"9,978元/平"
万科东湾半岛A区 1室1厅 南,万科东湾半岛A区 -东大桥,1室1厅 | 80.87平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 9天以前发布,83,"10,264元/平"
吉盛小区 劳动公园 吉林大路 轻轨地铁 108 52,吉盛小区三期 -劳动公园,2室1厅 | 59平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 15天以前发布,49,"8,306元/平"
天富御苑 南北通透 不把不临 产权证在手 随时看房,天富御苑香赞 -北湖,2室2厅 | 88.89平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,72,"8,100元/平"
此房不满二，适合老人居住三楼，楼层好噪音小。,南城家园G区 -南部新城,2室1厅 | 57平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 8天以前发布,37,"6,492元/平"
此房满五唯一，精装修南北两室，楼层低，采光好，。。,南湖新村 -南湖,2室1厅 | 51平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 10天以前发布,173,"33,922元/平"
精装南北通透，环境好，配套全，价格低,中天北湾新城四期 -奋进,2室2厅 | 89平米 | 北 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 10天以前发布,77,"8,652元/平"
此房中间楼层采光好，卧室朝阳，标准一室一厅精装修,中铁国际花园 -长沈路,1室1厅 | 63平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,46,"7,302元/平"
樱花苑；南北通透，园区中间，产权清晰，拎包入住，,亚泰樱花苑 -万通,2室1厅 | 90平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 9天以前发布,102,"11,334元/平"
南北通透 标准两室 不挡光 精装修,耶鲁印象 -净月区,2室1厅 | 89.98平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 15天以前发布,87,"9,669元/平"
保利大品牌 顶楼带阁楼 四室 精装修 汽车城 万达,保利中央公园 -汽车广场,3室2厅 | 97.7平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 14天以前发布,96,"9,826元/平"
亚泰大街 华大城 电梯房 南向 一室一厅 精装 满五唯一,华大城 -小南,1室1厅 | 55.28平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,42.5,"7,689元/平"
义和路牡丹街两室一厅小户型看房提前预约,永昌路 -桂林路,2室1厅 | 59.19平米 | 西 | 简装 | 高楼层(共7层)  | 板塔结合,6人关注 / 9个月以前发布,48,"8,110元/平"
中环十一区 南手正房  采光好 公摊小,中环十一区 -东大桥,2室1厅 | 53.51平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 10个月以前发布,37,"6,915元/平"
楼层好 采光好 物业好 开发商好 地理位置好,万科东湾半岛A区 -东大桥,2室1厅 | 80.1平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,85,"10,612元/平"
2018年房子不把不临，园区中间，楼层好，前面无遮挡,新星宇和源A区二期 -硅谷街北,2室2厅 | 94.52平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,87,"9,205元/平"
检查院宿舍 南北通透 精装婚房 2室2厅 采光好 可按揭,检察院宿舍（南关） -吉大南岭校区,2室2厅 | 78.61平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 5个月以前发布,60,"7,633元/平"
此房 南北通透 南明厅 采光充足 视野开阔,保利百合香湾B区 -八里堡,2室2厅 | 91.64平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,15人关注 / 9个月以前发布,76,"8,294元/平"
西湖一号 品质小区 精装修 标准南北户型,西湖一号 -长沈路,2室1厅 | 89.56平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,80,"8,933元/平"
檀香苑二期多层，公摊小，得房率高,龙泰檀香苑二期 -住邦城市广场,2室2厅 | 94.37平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,78,"8,266元/平"
不是顶楼 纯婚房装修 单价不高 采光好 随时看房,宝雍阁金色欧城南区 -支农西,2室1厅 | 63.35平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,46.8,"7,388元/平"
万科东湾半岛  万科物业 南北通透  拎包入住,万科东湾半岛A区 -东大桥,3室2厅 | 108.72平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,120,"11,038元/平"
产权清晰，视野宽阔，多层四楼，不临街不把山。,美景天城A1区 -柳影,2室1厅 | 88.01平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,62,"7,045元/平"
檀香苑二期多层，公摊小，得房率高,龙泰檀香苑二期 -住邦城市广场,2室2厅 | 94.37平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,78,"8,266元/平"
满五唯一精装两室近一号线近中东养正,吴中印象一期 -长新街,2室1厅 | 75.18平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,65,"8,646元/平"
金色橄榄城2期，两室一厅精装住房，,金色橄榄城二期 -十里堡,2室1厅 | 76.19平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 4个月以前发布,68,"8,926元/平"
精装修 拎包入住 产权满五唯一,汉森香榭里 -硅谷街南,2室1厅 | 85.26平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 2个月以前发布,55,"6,451元/平"
锦绣东方93平米新出房源16万精装楼下水系不把不临,锦绣东方 -北海公园,2室2厅 | 92.59平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,90,"9,721元/平"
上台花园B区电梯小高层 近地铁1号 楼层好，看房方便,上台花园B区 -小南,2室2厅 | 96.86平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,1人关注 / 5个月以前发布,59.9,"6,185元/平"
精装房，公园旁，近欧亚，正房明厅，拎包住,万龙丽水湾 -硅谷街南,2室1厅 | 100.75平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,92,"9,132元/平"
紫盈花城多层五楼不把山采光好产权证过5年可按揭,紫盈花城一期 -亚泰,2室1厅 | 78.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,58,"7,407元/平"
多层2楼 不把不临 园区内 好房看过来,亚泰樱花苑 -万通,3室2厅 | 108.57平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,15人关注 / 9个月以前发布,128,"11,790元/平"
地铁2号线 采光好 总房款少两室 十一高,和平花园 -景阳广场,2室1厅 | 65.06平米 | 西 | 简装 | 高楼层(共7层)  | 板楼,24人关注 / 一年前发布,33,"5,073元/平"
武夷嘉园二楼带露台。视野好。看房方便,武夷嘉园 -和顺,2室2厅 | 81.65平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,93,"11,391元/平"
诚心卖 不把山不顶采光好婚房精装 有北师大 尚德,绿地城 -硅谷街南,2室2厅 | 87.81平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,99,"11,275元/平"
下楼地铁水岸南华庭87南北标准2居室婚房装修,水岸南华庭 -友谊公园,2室2厅 | 86.46平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,5人关注 / 4个月以前发布,78,"9,022元/平"
净月深水湾三跃四带车库带地下室,净月深水湾 -净月区,4室2厅 | 167.42平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,180,"10,752元/平"
临地铁南湖广场旁南北通透拎包入住,793宿舍 -南湖,2室1厅 | 51.82平米 | 南 北 | 精装 | 中楼层(共4层)  | 板塔结合,0人关注 / 2个月以前发布,44,"8,491元/平"
和信天阶精装两居室旁边有在建商场魔力park,和信天阶 -净月区,2室2厅 | 87.23平米 | 南 北 | 精装 | 中楼层(共33层)  | 平房,0人关注 / 9个月以前发布,82,"9,401元/平"
蓉桥C区 南北通透 采光充足 满五唯一 精装修 采暖好,蓉桥一号C区 -站前,2室1厅 | 78.44平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,16人关注 / 10个月以前发布,59.8,"7,624元/平"
远洋戛纳！拎包住！南北通透！随时看房！,远洋戛纳小镇一期 -净月区,2室1厅 | 79.94平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,74,"9,257元/平"
纯南向一室一厅 步行900米到地铁口和欧亚商场。,佳泰缔景城 -东方广场南,1室1厅 | 50.6平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,38.9,"7,688元/平"
急急急  国信品质 地铁六号线 满五唯一 刚需一室,国信 ·嘉邑 -南部新城,1室1厅 | 65.37平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,70,"10,709元/平"
封闭小区吉林大路旁晨宇商圈南北通透一标格局,昊源高格蓝郡 -亚泰,2室2厅 | 96.75平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 塔楼,13人关注 / 4个月以前发布,79,"8,166元/平"
恒盛豪庭90.46平自住2居室中间楼层结婚过度好房,恒盛豪庭 -硅谷街南,2室1厅 | 90.46平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,9人关注 / 11个月以前发布,68,"7,518元/平"
欧亚卖场边，飞跃广场，车城万达，精装两室，拎包住,远创樾府 -长沈路,2室2厅 | 85.59平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 7个月以前发布,83,"9,698元/平"
力旺广场  多层无公摊   高楼层非顶楼 采光好视野好,宇光小区 -南湖,2室1厅 | 61.7平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,38,"6,159元/平"
恒大江湾旁边伊通河，精装修，楼层好，近二道宽城交汇,恒大江湾 -小南,2室1厅 | 84.16平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,59.9,"7,118元/平"
南城核 心 地铁 公园 商场 学 校 尽在直尺 两室精装,东安瑞凯国际二期 -南部新城,2室2厅 | 88.97平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,85.5,"9,610元/平"
城市二环里 交通便利 小区是万科物业 封闭小区,万科东湾半岛A区 -东大桥,2室1厅 | 79.71平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 4个月以前发布,80,"10,037元/平"
东湾半岛 南北通透 精装修 看房方便,东湾半岛第三区 -东大桥,2室1厅 | 87.28平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,83,"9,510元/平"
中环十二区  产权过五  拎包入住  不把不临,中环十二区 -大经路,2室1厅 | 81.34平米 | 北 | 精装 | 中楼层(共7层)  | 板楼,17人关注 / 一年前发布,52,"6,393元/平"
急急急  国信品质 地铁六号线 满五唯一 刚需一室,国信 ·嘉邑 -南部新城,1室1厅 | 65.37平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,70,"10,709元/平"
万龙城 精装两室 标准H户型  不挡光,万龙城 -南部新城,2室1厅 | 85.17平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,1人关注 / 3个月以前发布,83,"9,746元/平"
长春公园地铁二号线11高吉粮康郡封闭小区中层欧亚春城,吉粮康郡 -景阳广场,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,7人关注 / 4个月以前发布,140,"11,200元/平"
阳光城电梯三居好户型141.1平电梯房117万不临街,阳光城(高新区) -吉大前进校区,3室1厅 | 141.15平米 | 南 北 | 简装 | 9层  | 板塔结合,8人关注 / 4个月以前发布,116,"8,219元/平"
楼层好 全天采光 婚房装修 房主诚心急售,德辉首府 -八里堡,3室2厅 | 98.46平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,10人关注 / 9个月以前发布,82,"8,329元/平"
平阳地铁2号线 2楼 带大露台 采光好 精装修 大落地窗,市政府宿舍小区 -平阳,3室2厅 | 128.55平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,133,"10,347元/平"
急售 产权在手能贷款 精毛坯交付 有钥匙随时看房,中海橡树园 -硅谷街南,3室2厅 | 110平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,9人关注 / 10个月以前发布,130,"11,819元/平"
急售 园区位置 两室 配套齐全，出行购物方便,美印雅苑 -天光路,2室1厅 | 68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,10人关注 / 8个月以前发布,33,"4,853元/平"
新星宇之新观邸  不把不临  中间楼层  精装修  随时看,新星宇之新观邸 -硅谷街北,3室2厅 | 119平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,138,"11,597元/平"
万科洋浦花园 精装修三室  拎包入住 采光好,万科洋浦花园 -东方广场南,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共13层)  | 塔楼,9人关注 / 4个月以前发布,130,"10,656元/平"
“店长推荐”轻轨沿线玖诚领域诚心出售,玖诚领域 -净月区,3室1厅 | 127平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,85,"6,693元/平"
伟业星城 1室1厅 南,伟业星城 -硅谷街北,1室1厅 | 65.35平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,58,"8,876元/平"
龙腾香格里，三室，采光足，不把山，不临街.,龙腾香格里 -后十里堡,3室2厅 | 106.27平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 9个月以前发布,91,"8,564元/平"
南北通透 不把山不临街 有前后阳台 采光好,通安小区 -和顺,2室1厅 | 75平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 11个月以前发布,54,"7,200元/平"
伟业富强天玺 顶越 露台 精装 有钥匙,伟业富强天玺 -硅谷街南,3室2厅 | 81平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,13人关注 / 10个月以前发布,105,"12,963元/平"
恒大御景 位置好 视野采光好 精装修家具家电齐全,恒大御景北区 -友谊公园,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 5个月以前发布,114.9,"10,446元/平"
中铁城A3地块 3室2厅 南 北,中铁城A3地块 -绿园区周边,3室2厅 | 105平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,90,"8,572元/平"
精装3室 不把山 产权过2 楼层好 E区 绿地城,绿地城 -硅谷街南,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,128,"11,131元/平"
