标题,开发商,房子信息,发布信息,售价/万,单价
泰达润景园北苑 2室2厅 南,泰达润景园北苑 -柳叶湖,2室2厅 | 99.5平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2天以前发布,83.8,"8,423元/平"
富新瞰江南 4室2厅 南,富新瞰江南 -三岔路,4室2厅 | 131平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,90.8,"6,932元/平"
一线江景， 屈原公园 ，三岔路. 买菜购物方便 工农,富新瞰江南 -三岔路,4室2厅 | 143.5平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,2人关注 / 5个月以前发布,95,"6,621元/平"
白马湖公园    大大露台    大平层,汇景中央广场 -文理学院,4室2厅 | 142.8平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,20人关注 / 8个月以前发布,135.7,"9,503元/平"
户型周正，采光充足，视野宽阔，小区环境良好,华政·龙港汇 -三岔路,4室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,1人关注 / 7个月以前发布,88,"7,155元/平"
水榭花城北城 4室2厅 南,水榭花城北城 -滨湖公园,4室2厅 | 169平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,102,"6,036元/平"
满两年费用各付恒大华府精装三房,常德恒大华府 -芷兰,3室2厅 | 104平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,88,"8,462元/平"
单价5000多 业主诚心出售 正规成熟小区,老西门 -北站,3室2厅 | 122.92平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,65.8,"5,354元/平"
龙湖双珑原著 4室2厅 南,龙湖双珑原著 -火车站,4室2厅 | 142平米 | 南 | 其他 | 低楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,98,"6,902元/平"
此房坐北朝南，中间楼层采光视野无遮挡,军苑 -白马湖,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,75,"5,640元/平"
紫桥小区 2室2厅 南 北,紫桥小区 -紫桥,2室2厅 | 63.58平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 29天以前发布,46,"7,235元/平"
带大平台，看沅江，带车位好房子,顺沅南金城 -桥南,4室2厅 | 115平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,98,"8,522元/平"
龙湖双珑原著 3室2厅 南 北,龙湖双珑原著 -火车站,3室2厅 | 109平米 | 南 北 | 其他 | 高楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,76,"6,973元/平"
白马湖 文理学院新小区中高楼层毛坯三房出售,汇景中央广场 -文理学院,3室2厅 | 114平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 25天以前发布,90,"7,895元/平"
万达湖公馆D区 3室2厅 南,万达湖公馆D区 -白马湖,3室2厅 | 127平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,89.8,"7,071元/平"
泽云幸福里 3室2厅 南,泽云幸福里 -火车站,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,63,"7,079元/平"
此房户型方正，通风好，好楼层，封闭式小区，安全性高,汇景中央广场 -文理学院,3室2厅 | 90平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 25天以前发布,68,"7,556元/平"
格局好，套内面积大，视野开阔，交通便利,汇景中央广场 -文理学院,3室2厅 | 115平米 | 南 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 25天以前发布,88,"7,653元/平"
城投蓉国新坊和院 2室2厅 南,城投蓉国新坊和院 -白马湖,2室2厅 | 77.67平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 25天以前发布,44,"5,665元/平"
湘雅，市民之家，财鑫广场，龙湖，实景现房,龙湖双珑原著 -火车站,3室2厅 | 112平米 | 南 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 25天以前发布,92,"8,215元/平"
此房户型方正，通风好，好楼层，封闭式小区，安全性高,汇景中央广场 -文理学院,3室2厅 | 90平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 23天以前发布,66.8,"7,423元/平"
捌海▪常德公馆 3室2厅 南,捌海▪常德公馆 -桥南,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 26天以前发布,75,"6,250元/平"
低楼层带暖气大二房老人小孩孕妇适宜居住,宏宇山庄 -滨湖公园,2室2厅 | 91平米 | 南 | 精装 | 6层  | 平房 | 独栋别墅 ,0人关注 / 24天以前发布,55.8,"6,132元/平"
二期首排高层 落地窗 南北通户型 出门就是阳明湖公园,福捷华中城2期 -桥南,3室2厅 | 110平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,69.8,"6,346元/平"
五中，七中，通透三房，公摊少！！！！！！！！！！！,华政·龙港汇 -三岔路,3室2厅 | 112平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 31天以前发布,88,"7,858元/平"
五中、七中、高楼层，南北通风、公摊少！！！,华政·龙港汇 -三岔路,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 24天以前发布,83,"7,034元/平"
朝阳时光  小三房  朝南户型  带小平台 费用各付,朝阳时光 -鸿升,3室2厅 | 104.59平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,71,"6,789元/平"
阳明湖 华中城二期 电梯毛坯 诚心急售,福捷华中城2期 -桥南,4室2厅 | 140.28平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,69,"4,919元/平"
华达幸福湾 3室2厅 南,华达幸福湾 -火车站,3室2厅 | 134平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 22天以前发布,78.5,"5,859元/平"
烟草宿舍 2室1厅 南,烟草宿舍 -地区医院,2室1厅 | 61平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 23天以前发布,36.8,"6,033元/平"
诚信·枫林逸景 3室2厅 南,诚信·枫林逸景 -白马湖,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 29天以前发布,96,"7,500元/平"
汇景城 3室2厅 南 北,汇景城 -白马湖,3室2厅 | 129.7平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 22天以前发布,95,"7,325元/平"
穿紫河，大润发，水榭花城好楼层，户型好,蓝湖郡 -紫桥,3室2厅 | 127平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,73,"5,749元/平"
汇景中央广场 3室2厅 南,汇景中央广场 -文理学院,3室2厅 | 104.18平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,79,"7,584元/平"
汇景中央广场 白马湖  文理学院,汇景中央广场 -文理学院,3室2厅 | 89平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 20天以前发布,69,"7,753元/平"
四医院旁刚需置业 单价只有四千多 好楼层 欢迎咨询,新建巷社区居委会 -北站,3室2厅 | 112.5平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,1人关注 / 1个月以前发布,65,"5,778元/平"
已满两年，格局好，套内面积大，视野开阔，交通便利,汇景中央广场 -文理学院,3室2厅 | 113平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 25天以前发布,85,"7,523元/平"
湘雅 珑湖双珑原著现房 电梯三房两厅两卫,龙湖双珑原著 -火车站,3室2厅 | 112平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 24天以前发布,86,"7,679元/平"
丁玲公园   白马湖公园  万达商圈,城投蓉国新赋 -白马湖,3室2厅 | 123.5平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,0人关注 / 19天以前发布,76,"6,154元/平"
万建紫庭 3室1厅 南,万建紫庭 -三闾,3室1厅 | 86.7平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 21天以前发布,68.8,"7,936元/平"
中房紫桥竹园 3室2厅 南 北,中房紫桥竹园 -紫桥,3室2厅 | 129平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 18天以前发布,69.8,"5,411元/平"
汇景中央广场 3室2厅 南 北,汇景中央广场 -文理学院,3室2厅 | 104平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,78,"7,500元/平"
君华·御庭 2室2厅 北 南,君华·御庭 -白马湖,2室2厅 | 84平米 | 北 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 25天以前发布,70,"8,334元/平"
皂果树安置小区 3室2厅 南,皂果树安置小区 -白马湖,3室2厅 | 122.91平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 19天以前发布,65,"5,289元/平"
丹霞苑毛坯哒三房，可自由发挥。。,登泰·丹霞苑 -紫桥,3室2厅 | 133平米 | 南 北 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 24天以前发布,95,"7,143元/平"
汇景中央广场 文理学院 白马湖,汇景中央广场 -文理学院,3室2厅 | 105平米 | 南 北 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 19天以前发布,88,"8,381元/平"
城投蓉国新赋 4室2厅 南,城投蓉国新赋 -白马湖,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 26天以前发布,95,"6,644元/平"
三一翡翠湾 4室2厅 南,三一翡翠湾 -三闾,4室2厅 | 155平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 30天以前发布,113,"7,291元/平"
望江名苑 3室2厅 南,望江名苑 -地区医院,3室2厅 | 149.8平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 26天以前发布,90,"6,009元/平"
坐北朝南 视野开阔 户型周正 望江 交通便利,中建公园府 -五强溪,3室2厅 | 108平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 18天以前发布,80,"7,408元/平"
金丹，五强菜场旁78平米，2楼，精装2房售41.8万,创元美景 -五强溪,2室2厅 | 78平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 25天以前发布,41.8,"5,359元/平"
宏宇山庄 4室1厅 南,宏宇山庄 -滨湖公园,4室1厅 | 164平米 | 南 | 其他 | 6层  | 平房,0人关注 / 20天以前发布,80,"4,879元/平"
万达旁精致大三房 坐北朝南户型  步梯2楼 拎包入住！,鸿升花园 -鸿升,3室2厅 | 137.46平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,80,"5,820元/平"
城投蓉国新赋 4室1厅 南,城投蓉国新赋 -白马湖,4室1厅 | 194.41平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 19天以前发布,125,"6,430元/平"
三闾公寓楼安置小区三期 空间利用合理 格局好,三闾公寓楼安置小区三期 -三闾,3室2厅 | 150平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 19天以前发布,75,"5,000元/平"
穿紫河风光带  出行方便   生活方便,东经名邸 -三闾,3室2厅 | 113平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 24天以前发布,64.7,"5,726元/平"
新烟厂大型小区新小区毛坯四房出售,城投蓉国新赋 -白马湖,4室2厅 | 143.64平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 22天以前发布,101.8,"7,088元/平"
穿紫河风光带  出行方便   生活方便,东经名邸 -三闾,3室2厅 | 113平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 24天以前发布,64.7,"5,726元/平"
中建滨江府 3室2厅 南 北,中建滨江府 -五强溪,3室2厅 | 100.99平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 30天以前发布,69.8,"6,912元/平"
丽景苑(朝阳路) 4室2厅 东 西,丽景苑(朝阳路) -火车站,4室2厅 | 173.63平米 | 东 西 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,95,"5,472元/平"
龙湖双珑原著 4室2厅 南 北,龙湖双珑原著 -火车站,4室2厅 | 129.02平米 | 南 北 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,108,"8,371元/平"
芷兰片区 穿紫河旁 顶楼复式带大平台  低价出售,新世纪花园 -芷兰,4室2厅 | 180平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,80,"4,445元/平"
白马湖 文理学院经典毛坯三房户型····,恒润领域 -文理学院,4室2厅 | 118.77平米 | 南 | 其他 | 低楼层(共23层)  | 板塔结合,0人关注 / 25天以前发布,75.8,"6,383元/平"
德景园白马湖 满五唯一税费少 拎包入住,中原德景园 -白马湖,4室2厅 | 137平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 29天以前发布,165,"12,044元/平"
城西三岔路，步梯2楼，158平米，中装大4房售,金城小区 -三岔路,4室2厅 | 158平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 24天以前发布,83.8,"5,304元/平"
泽云幸福里 3室2厅 南,泽云幸福里 -火车站,3室2厅 | 121平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 28天以前发布,90,"7,439元/平"
小区物业好 南北通透 上学方便 视野开阔 产权清晰,常德碧桂园三期剑桥郡 -白马湖,4室2厅 | 144.44平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 25天以前发布,108,"7,478元/平"
创元美景 4室2厅 南,创元美景 -五强溪,4室2厅 | 160平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 27天以前发布,69,"4,313元/平"
泽云幸福里 3室2厅 南,泽云幸福里 -火车站,3室2厅 | 121平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 28天以前发布,90,"7,439元/平"
丹霞苑毛坯大四房，可自由发挥。。,登泰·丹霞苑 -紫桥,4室2厅 | 163.48平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 25天以前发布,123,"7,524元/平"
电力新村 4室2厅 南 北,电力新村 -柳叶湖,4室2厅 | 178平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 27天以前发布,95,"5,338元/平"
湘雅，市民之家，财鑫广场，龙湖，实景现房,龙湖双珑原著 -火车站,3室2厅 | 129平米 | 南 北 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 25天以前发布,95,"7,365元/平"
泽云幸福里 2室1厅 南,泽云幸福里 -火车站,2室1厅 | 75平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 28天以前发布,60,"8,000元/平"
东星临水阁  新烟厂   丁玲公园  东星家具广场,东星临水阁 -白马湖,4室2厅 | 129.58平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 22天以前发布,88,"6,792元/平"
常德碧桂园C区 4室2厅 南,常德碧桂园C区 -白马湖,4室2厅 | 145.11平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 20天以前发布,121,"8,339元/平"
楼层好，视野宽阔，采光充足，配套设施齐全。,汇景中央广场 -文理学院,4室2厅 | 130.8平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 19天以前发布,130.8,"10,000元/平"
柳叶湖片区，南北通透，户型方正，柳叶湖,泰达润景园北苑 -柳叶湖,4室2厅 | 143.48平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,0人关注 / 22天以前发布,95,"6,622元/平"
善建人家 3室2厅 南 北,善建人家 -柳叶湖,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 22天以前发布,88,"6,930元/平"
尊德天城小区 6室1厅 南 北,尊德天城小区 -德山,6室1厅 | 127平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 22天以前发布,46,"3,623元/平"
滨湖公园旁步行街这里婚房电梯四房装修入主才3年时间,泓鑫桃林 -滨湖公园,4室2厅 | 144平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,122,"8,473元/平"
泰和园 4室2厅 南 北,泰和园 -五强溪,4室2厅 | 128.15平米 | 南 北 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 17天以前发布,76.8,"5,993元/平"
柳荷鑫苑 5室2厅 南,柳荷鑫苑 -芷兰,5室2厅 | 158.28平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 16天以前发布,125,"7,898元/平"
广丰名苑，西城水恋，无抵押随时过户，价格可谈,广丰名苑 -三岔路,4室2厅 | 156平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,80,"5,129元/平"
中建壹号府 4室2厅 南,中建壹号府 -五强溪,4室2厅 | 143平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 25天以前发布,90.8,"6,350元/平"
常德恒大华府 2室2厅 南,常德恒大华府 -芷兰,2室2厅 | 54平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 1个月以前发布,75,"13,889元/平"
华洋小区 2室2厅 南,华洋小区 -滨湖公园,2室2厅 | 83.22平米 | 南 | 简装 | 低楼层(共6层)  | 平房,0人关注 / 1个月以前发布,45,"5,408元/平"
城中 宏大 紫云天商厦 电梯中层 办公装修拎包入住,紫云天国际大厦 -宏大,2室2厅 | 66.7平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,39.8,"5,968元/平"
金城新正华公寓 2室1厅 南,金城新正华公寓 -步行街,2室1厅 | 45平米 | 南 | 精装 | 中楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,52,"11,556元/平"
宏大 朝阳D5区 朝阳公馆 西园社区,城投新熙里 -宏大,2室1厅 | 66.5平米 | 东南 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 30天以前发布,48,"7,219元/平"
南城天街 2室1厅 南 北,南城天街 -桥南,2室1厅 | 59平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 31天以前发布,35.8,"6,068元/平"
德山新城电梯简装2房   家电家具齐全拎包入住,德山新城 -德山,2室1厅 | 62平米 | 东南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 23天以前发布,35,"5,646元/平"
急售 文化宫 水星楼 地区医院  精致小户 拎包即可入住,向都·國際 -地区医院,1室0厅 | 35平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 30天以前发布,29.8,"8,515元/平"
Dream house 主席的指定 德祐强推·~~~~,泓鑫▪城市花园 -北站,4室2厅 | 169平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,126,"7,456元/平"
全新精致装修 一线品牌 带家具家电 业主诚心出售！,穿紫河•月畔湾 -鸿升,3室2厅 | 127平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,115,"9,056元/平"
满五，干净整洁，配套齐全，交通方便,明成花园 -北站,3室2厅 | 171平米 | 东 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,79.8,"4,667元/平"
城西  创元美景 精装复式带50平阁楼,创元美景 -五强溪,5室2厅 | 120平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,23人关注 / 一年前发布,63,"5,250元/平"
芙蓉盛世 4室2厅 南,芙蓉盛世 -白马湖,4室2厅 | 190平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,175,"9,211元/平"
公园世家             别致设计,公园世家 -白马湖,4室2厅 | 146平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,18人关注 / 一年前发布,150,"10,274元/平"
正规上下双楼层复式楼、中间楼层,水岸春天 -紫桥,3室2厅 | 286平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,185,"6,469元/平"
宏大宾馆、滨湖公园、中医院好房出售,浙商广场 -紫桥,3室2厅 | 150平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,130,"8,667元/平"
宏大附 近，精装大四房，电梯好楼层,水岸名苑 -宏大,4室2厅 | 158平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,95,"6,013元/平"
公园世家    格调复式    周正舒服,公园世家 -白马湖,6室3厅 | 255平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,14人关注 / 一年前发布,380,"14,902元/平"
华电新城 复式 买一处房等于买二处房,华电新城 -芷兰,7室4厅 | 208平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,5人关注 / 11个月以前发布,156,"7,500元/平"
金城小区 4室2厅 南 北,金城小区 -三岔路,4室2厅 | 161.64平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,83,"5,135元/平"
270°沅江江景公园全景 三层装修百多万带50平台两车位,新外滩 -三岔路,5室3厅 | 207平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,27人关注 / 一年前发布,238,"11,498元/平"
常德烟厂生活三区 2室1厅 南,常德烟厂生活三区 -三岔路,2室1厅 | 67平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 14天以前发布,30,"4,478元/平"
北正街 紫菱 芷兰 火车站大小河街 德国小镇,常德恒大华府 -芷兰,1室1厅 | 38平米 | 南 | 其他 | 低楼层(共22层)  | 板塔结合,0人关注 / 14天以前发布,32,"8,422元/平"
沙港小区 8室2厅 南,沙港小区 -鸿升,8室2厅 | 355平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,1人关注 / 3个月以前发布,170,"4,789元/平"
房子没得说，就看你来不来。配套齐全。,華藝苑 -宏大,7室3厅 | 245平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,118,"4,817元/平"
文理学院 精装三房 拎包入住 新河渠公园,水木清華 -五强溪,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,103.8,"8,371元/平"
瑶湖苑小区 2室2厅 南,瑶湖苑小区 -德山,2室2厅 | 80.83平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 12天以前发布,27,"3,341元/平"
水滋澜 2室1厅 南 北,水滋澜 -德山,2室1厅 | 90.28平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,45,"4,985元/平"
心怡花城 3室2厅 南,心怡花城 -北站,3室2厅 | 105.75平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55,"5,201元/平"
康桥尚都 3室2厅 东 西,康桥尚都 -白马湖,3室2厅 | 147平米 | 东 西 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,95,"6,463元/平"
恒大华府 全新精装大3房 南北通透 电梯中层 视野开阔,常德恒大华府 -芷兰,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,107,"8,493元/平"
泰达·丽景湾 2室2厅 南,泰达·丽景湾 -白马湖,2室2厅 | 83平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,48,"5,784元/平"
小区门口有公交车 环保自行车 菜场 逛街购物都很方便,老西门 -北站,3室2厅 | 123.15平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 30天以前发布,88,"7,146元/平"
小区门口有公交车 环保自行车 菜场 逛街购物都很方便,老西门 -北站,3室2厅 | 123.15平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 30天以前发布,88,"7,146元/平"
柳叶湖边  保利中央公园三加一户型  风景秀丽美如画,保利中央公园 -柳叶湖,4室1厅 | 124平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,73.8,"5,952元/平"
东郊乡高坪头社区公寓楼安置小区 2室2厅 南,东郊乡高坪头社区公寓楼安置小区 -三闾,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,50,"5,556元/平"
老西门 3室2厅 南 北,老西门 -北站,3室2厅 | 123.15平米 | 南 北 | 其他 | 低楼层(共31层)  | 塔楼,0人关注 / 28天以前发布,95,"7,715元/平"
城中 宏大 紫云天商厦 电梯中层 办公装修空置中,紫云天国际大厦 -宏大,4室2厅 | 170平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 26天以前发布,95.8,"5,636元/平"
水岸春天 4室2厅 东南,水岸春天 -紫桥,4室2厅 | 151.3平米 | 东南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 27天以前发布,76.8,"5,077元/平"
城中， 朝阳D五区 北坊菜场 四医院 正规三房拎包入住,宁远花园 -宏大,3室2厅 | 135.7平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,75,"5,527元/平"
滨江中心城 4室2厅 南 北,滨江中心城 -德山,4室2厅 | 132平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 29天以前发布,72,"5,455元/平"
鸿运名苑 2室2厅 南,鸿运名苑 -五强溪,2室2厅 | 89.89平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,60,"6,675元/平"
广德花苑 3室2厅 南,广德花苑 -甘露寺,3室2厅 | 129平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 25天以前发布,92.8,"7,194元/平"
江南玫瑰园 精装 业主诚心出售,江南玫瑰园 -桥南,3室2厅 | 141.33平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,73.8,"5,222元/平"
通透格局 现代化装修。全屋高档板材，品牌家电,江南大院 -桥南,3室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 26天以前发布,52,"4,407元/平"
名郡国际 3室2厅 南 北,名郡国际 -桥南,3室2厅 | 121平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 28天以前发布,60,"4,959元/平"
名郡国际 3室1厅 南,名郡国际 -桥南,3室1厅 | 120.56平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 23天以前发布,70.8,"5,873元/平"
城中 宏大 美景大厦 电梯中层 精装三房带大厅拎包入住,美景大厦 -宏大,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 31天以前发布,60,"4,616元/平"
常德碧桂园中央花园 4室2厅 南,常德碧桂园中央花园 -桥南,4室2厅 | 142.67平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 26天以前发布,80,"5,608元/平"
南坪花苑 3室2厅 南,南坪花苑 -火车站,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 24天以前发布,78,"6,000元/平"
福捷华中城 3室2厅 南,福捷华中城 -桥南,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,62,"5,689元/平"
城东 新小区 带暖气  视野开阔 通风采光好 拎包入住,泓鑫中苑 -三闾,2室2厅 | 84平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 24天以前发布,60.5,"7,203元/平"
