标题,开发商,房子信息,发布信息,售价/万,单价
石桥区樊华精装修，拎包入住，户型通透，采光好,樊华似锦二期 -高新,2室1厅 | 81.07平米 | 东 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 6天以前发布,78,"9,622元/平"
富临原山大三房改4房，朝小区中庭，很安静,富临原山 -越王楼,3室2厅 | 140.95平米 | 东 | 精装 | 高楼层(共14层)  | 板塔结合,4人关注 / 10个月以前发布,115.8,"8,216元/平"
品质大盘，通透户型，全屋带暖气，带一个产权大车位,香榭里大道 -越王楼,3室2厅 | 137.98平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,9人关注 / 一年前发布,148.5,"10,763元/平"
三桥片区，明月岛旁，顺辉花园城，3-1-1-2,顺辉花园城 -江油,3室1厅 | 122.14平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,50,"4,094元/平"
火车站旁品质小区大三居...............,荟丰佳苑小区 -江油,3室2厅 | 114.37平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,41,"3,585元/平"
位置好，交通四通八达，配套完善，办公自住均可,文竹大厦 -火车站,4室2厅 | 211.04平米 | 北 | 毛坯 | 低楼层(共14层)  | 板楼,8人关注 / 一年前发布,118,"5,592元/平"
爱风家园，套3双卫，110万，单价7000电梯房,爱风家园南区 -科创园区,3室2厅 | 141.82平米 | 南 | 毛坯 | 低楼层(共16层)  | 塔楼,4人关注 / 一年前发布,94.5,"6,664元/平"
出行方便，户型方正，居住方便舒适，中间楼层,锦湖花园 -科创园区,3室2厅 | 98.91平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,79,"7,988元/平"
售阳光清华C区上下两层5室2厅3卫带车库满两年,阳光清华C区 -科创园区,5室2厅 | 127.74平米 | 东南 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,125,"9,786元/平"
金柱园大三室。没有公摊面积，拎包入住。房东急卖,绵兴小区 -大都会,3室2厅 | 110.4平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,61.8,"5,598元/平"
富临1886，单价9000每平，满两年，中间楼层，户型方正,富临1886 -高新,3室1厅 | 93.62平米 | 西北 | 毛坯 | 中楼层(共29层)  | 板塔结合,4人关注 / 7个月以前发布,82,"8,759元/平"
业主诚心出售，价格好谈，奥利给！加油干！,灵通社区 -1958,3室2厅 | 75.47平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,7人关注 / 6个月以前发布,43.5,"5,764元/平"
此房户型方正，采光好，中间楼层，居家的好地方,千喜园 -南河坝,3室2厅 | 119.14平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,92.6,"7,773元/平"
房子户型方正，屋顶带私家花园，小区安静配套生活方便,亚川水岸枫景 -丰谷,4室2厅 | 145.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,51.5,"3,535元/平"
品质小区，环境好，安静舒适，视野开阔，业主诚心出售,东原长岛 -越王楼,3室1厅 | 82.87平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 5个月以前发布,97,"11,706元/平"
华润紫云府  *ANG 户型好 朝中庭  采光好,华润紫云府 -科创园区,3室2厅 | 115平米 | 东 | 毛坯 | 低楼层(共27层)  | 塔楼,17人关注 / 一年前发布,130,"11,305元/平"
电梯中间楼层临江好房诚心出售中,富临·丽景花城 -火车站,3室2厅 | 131.57平米 | 东南 | 简装 | 中楼层(共23层)  | 板塔结合,18人关注 / 一年前发布,106,"8,057元/平"
虹色景苑  三室二厅二卫  精装修 拎包入住,虹色景苑 -科创园区,3室2厅 | 139.44平米 | 东南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,79.5,"5,702元/平"
园艺山清水大三房，楼层高，视野好!对中庭，满两年！,九洲家园 -科创园区,3室2厅 | 138.23平米 | 东 | 毛坯 | 中楼层(共11层)  | 塔楼,3人关注 / 一年前发布,97,"7,018元/平"
市中 心位置成绵路标准三室户型方正采光好,涪城路12号 -大都会,3室2厅 | 85.56平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,14人关注 / 一年前发布,49.5,"5,786元/平"
此房位于小区中庭，户型方正，标准大三室,枫璟398F区 -高新,3室2厅 | 108.31平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,14人关注 / 一年前发布,96.8,"8,938元/平"
出行方便，户型方正，配套成熟，物业管理水平高,水岸花都(江油市) -江油,4室2厅 | 154.47平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,66,"4,273元/平"
小三室，随心装，此房楼层好 视野宽阔 采光充足,西城国际 -高新,3室2厅 | 92.94平米 | 东南 | 毛坯 | 中楼层(共25层)  | 塔楼,27人关注 / 一年前发布,64,"6,887元/平"
园艺山教育园区，清水大三室。朝南对中庭,春晖花园 -科创园区,3室2厅 | 97平米 | 东南 | 毛坯 | 高楼层(共12层)  | 板塔结合,1人关注 / 6个月以前发布,65,"6,702元/平"
华润紫云府  三居室带大阳台   纯清水，视野开阔,华润紫云府 -科创园区,3室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,5人关注 / 5个月以前发布,130,"11,207元/平"
高水品质楼盘  精装套三  保养好  拎包入住,翠满庭 -高水,3室2厅 | 96.19平米 | 东 | 精装 | 低楼层(共17层)  | 塔楼,3人关注 / 一年前发布,103,"10,708元/平"
此房位于花园小区户型方正，位置好，楼层4楼巴适,花园小区(涪城区) -火车站,3室2厅 | 86.54平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 7个月以前发布,61.8,"7,142元/平"
园艺山 东辰和科艺旁  采光好  清水,长兴星城二期 -科创园区,3室2厅 | 119.69平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,132,"11,029元/平"
香榭名邸四室三卫清水房出售，带车位,香榭名邸 -江油,4室2厅 | 146.71平米 | 南 | 毛坯 | 中楼层(共24层)  | 塔楼,5人关注 / 8个月以前发布,82,"5,590元/平"
房子是一个联排带350平花园，清水房，户型方正,林海山庄 -科创园区,8室4厅 | 400平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,650,"16,250元/平"
电梯小高层，套三双卫，朝南，小区中庭,喜来公社 -科创园区,3室1厅 | 105平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,109,"10,381元/平"
一，中，警钟街，安装电梯，楼层刚好，铁牛广场,警钟街82号 -南河坝,2室2厅 | 79.16平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,63,"7,959元/平"
顺河街正临江套三带衣帽间精装房急售！,嘉来盛世华庭 -铁牛广场,4室2厅 | 174.26平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 8个月以前发布,174,"9,986元/平"
视野开阔 大三室 离教育机构近 配套齐全  清水,上海城·名人苑 -江油,3室2厅 | 134.73平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,6人关注 / 一年前发布,58,"4,305元/平"
乐荟城东辰旁边，电梯入户，精装三房诚意出售！,田森·奥林春天三期 -科创园区,3室2厅 | 102.17平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,4人关注 / 3个月以前发布,128,"12,529元/平"
三汇绿岛电梯低层套三精装带弧形大阳台,三汇绿岛 -富乐山,3室2厅 | 140.33平米 | 东南 | 精装 | 低楼层(共15层)  | 板塔结合,9人关注 / 一年前发布,128,"9,122元/平"
此房满两年，精装修，顶跃带露台,福泽源小区 -经开区,4室2厅 | 128.02平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,6人关注 / 11个月以前发布,65,"5,078元/平"
带120平大花园，车位，证满两年税费低  诚意出售,中玮海润广场 -经开区,3室2厅 | 88.1平米 | 西 | 简装 | 低楼层(共33层)  | 塔楼,4人关注 / 9个月以前发布,89.5,"10,159元/平"
房子可以临江的大三房，户型方正，价格可以谈,桃花岛 -经开区,3室2厅 | 119平米 | 西南 | 毛坯 | 中楼层(共20层)  | 板塔结合,35人关注 / 一年前发布,107,"8,992元/平"
富临山庄新上小独栋，大花园，位置好，有钥匙，,富临山庄 -科创园区,4室2厅 | 228平米 | 西 | 毛坯 | 低楼层(共2层)  | 暂无数据,2人关注 / 3个月以前发布,435,"19,079元/平"
二十一世纪花园 3室2厅 东南,二十一世纪花园 -高新,3室2厅 | 90.17平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,25人关注 / 一年前发布,58,"6,433元/平"
业主诚心售房富乐城市花园三室双卫,富乐城市花园 -富乐山,3室2厅 | 136.76平米 | 西南 | 简装 | 高楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,74,"5,411元/平"
此房证满两年，带屋顶花园 家具家电全齐，直接入住！,阳光清华C区 -科创园区,3室2厅 | 101.28平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,21人关注 / 8个月以前发布,82,"8,097元/平"
此房满两年税少 精装3房双卫 视野无遮挡 拎包入住,岭南神韵 -科创园区,3室2厅 | 92.15平米 | 西北 南 | 精装 | 低楼层(共15层)  | 板塔结合,10人关注 / 9个月以前发布,98,"10,635元/平"
樊华似锦二期简装三房，业主诚心出售,樊华似锦二期 -高新,3室1厅 | 92.62平米 | 南 | 精装 | 中楼层(共26层)  | 平房,0人关注 / 5个月以前发布,85,"9,178元/平"
多层楼梯房，户型方正，南北朝向，简单装修。满五唯一,斌盛小区 -南河坝,3室3厅 | 141平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,113,"8,015元/平"
精装，家具家电齐全，中间楼层，对中庭，安静,崋潤·凌雲府 -科创园区,3室2厅 | 93.7平米 | 西北 | 精装 | 中楼层(共29层)  | 板塔结合,8人关注 / 7个月以前发布,115,"12,274元/平"
大桥头 三医院旁 兴发家园五期电梯 中装三室双卫,兴发家园 -越王楼,3室2厅 | 101.48平米 | 东 | 简装 | 低楼层(共20层)  | 塔楼,4人关注 / 一年前发布,86,"8,475元/平"
樊华似锦二期简装三房双卫诚意出售,樊华似锦一期 -高新,3室2厅 | 119.32平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,96,"8,046元/平"
园艺山急售，视野好精装三室双卫，凤  凰层，东南向，,锦林·俊域 -科创园区,3室1厅 | 125.07平米 | 东南 | 精装 | 高楼层(共17层)  | 板塔结合,6人关注 / 4个月以前发布,103,"8,236元/平"
业主诚心卖 精装拎包入住 采光好. 朝向好.无遮挡,恒大翡翠华庭一期 -经开区,3室2厅 | 91.51平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,93,"10,163元/平"
住家精装修房产证已满两年诚心出售,神州*南都 -经开区,3室2厅 | 110.22平米 | 北 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,102.8,"9,327元/平"
售阳光清华C区上下两层5室2厅3卫带车库满两年,阳光清华C区 -科创园区,5室2厅 | 127.74平米 | 东南 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,125,"9,786元/平"
爱风家园，套3双卫，110万，单价7000电梯房,爱风家园南区 -科创园区,3室2厅 | 141.82平米 | 南 | 毛坯 | 低楼层(共16层)  | 塔楼,4人关注 / 一年前发布,94.5,"6,664元/平"
出行方便，户型方正，居住方便舒适，中间楼层,锦湖花园 -科创园区,3室2厅 | 98.91平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,79,"7,988元/平"
三桥片区，明月岛旁，顺辉花园城，3-1-1-2,顺辉花园城 -江油,3室1厅 | 122.14平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,50,"4,094元/平"
三汇绿岛电梯低层套三精装带弧形大阳台,三汇绿岛 -富乐山,3室2厅 | 140.33平米 | 东南 | 精装 | 低楼层(共15层)  | 板塔结合,9人关注 / 一年前发布,128,"9,122元/平"
业主诚心售房富乐城市花园三室双卫,富乐城市花园 -富乐山,3室2厅 | 136.76平米 | 西南 | 简装 | 高楼层(共7层)  | 暂无数据,15人关注 / 一年前发布,74,"5,411元/平"
小高层电梯洋房  一梯两户  临江视野好,花园·星河湾 -高水,4室2厅 | 130.04平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,19人关注 / 11个月以前发布,118,"9,075元/平"
五一广场旁水韵滨江三室两厅两卫精装修带平台,水韵滨江 -1958,3室2厅 | 81平米 | 西南 | 精装 | 低楼层(共32层)  | 塔楼,14人关注 / 10个月以前发布,97.5,"12,038元/平"
西蜀名居大三室双卫精装修 江景房 诚心出售,富临·西蜀名居 -高水,3室2厅 | 127.51平米 | 东 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 5个月以前发布,86,"6,745元/平"
房东急售 鹏业小区 三室拎包入住  可议价,鹏业小区3组 -科创园区,3室2厅 | 88.68平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,42.6,"4,804元/平"
高新区 西雅图 朝南三房 拎包入住 满2年税费低,阳光·西雅图 -高新,3室2厅 | 94.7平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,89.8,"9,483元/平"
园艺山 精装三室 业主诚心出售 看房方便 带连接板,树高卡地亚B区 -科创园区,3室2厅 | 108.28平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,122,"11,268元/平"
电梯房，精装修，楼层好，阳光充足,兴发家园 -越王楼,3室2厅 | 94.8平米 | 东南 | 简装 | 中楼层(共19层)  | 塔楼,6人关注 / 一年前发布,79,"8,334元/平"
电信花园四室两厅1厨两卫，大面积,电信花园 -江油,4室2厅 | 179.24平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,11人关注 / 一年前发布,40.8,"2,277元/平"
园艺山 东辰和科艺旁  采光好  清水,长兴星城二期 -科创园区,3室2厅 | 119.69平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,132,"11,029元/平"
园艺山教育园区，清水大三室。朝南对中庭,春晖花园 -科创园区,3室2厅 | 97平米 | 东南 | 毛坯 | 高楼层(共12层)  | 板塔结合,1人关注 / 6个月以前发布,65,"6,702元/平"
香榭名邸四室三卫清水房出售，带车位,香榭名邸 -江油,4室2厅 | 146.71平米 | 南 | 毛坯 | 中楼层(共24层)  | 塔楼,5人关注 / 8个月以前发布,82,"5,590元/平"
此房位于花园小区户型方正，位置好，楼层4楼巴适,花园小区(涪城区) -火车站,3室2厅 | 86.54平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 7个月以前发布,61.8,"7,142元/平"
房东急售西点楼上，离外国语近。生活方便,普明寺前街90号 -高新,3室2厅 | 100.04平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,58,"5,798元/平"
此房户型方正，采光好，中间楼层，居家的好地方,千喜园 -南河坝,3室2厅 | 119.14平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,92.6,"7,773元/平"
火车站旁品质小区大三居...............,荟丰佳苑小区 -江油,3室2厅 | 114.37平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,41,"3,585元/平"
富临1886，单价9000每平，满两年，中间楼层，户型方正,富临1886 -高新,3室1厅 | 93.62平米 | 西北 | 毛坯 | 中楼层(共29层)  | 板塔结合,4人关注 / 7个月以前发布,82,"8,759元/平"
金柱园大三室。没有公摊面积，拎包入住。房东急卖,绵兴小区 -大都会,3室2厅 | 110.4平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,61.8,"5,598元/平"
业主诚心出售，价格好谈，奥利给！加油干！,灵通社区 -1958,3室2厅 | 75.47平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,7人关注 / 6个月以前发布,43.5,"5,764元/平"
园艺山急售，视野好精装三室双卫，凤  凰层，东南向，,锦林·俊域 -科创园区,3室1厅 | 125.07平米 | 东南 | 精装 | 高楼层(共17层)  | 板塔结合,6人关注 / 4个月以前发布,103,"8,236元/平"
樊华似锦二期简装三房双卫诚意出售,樊华似锦一期 -高新,3室2厅 | 119.32平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,96,"8,046元/平"
大桥头 三医院旁 兴发家园五期电梯 中装三室双卫,兴发家园 -越王楼,3室2厅 | 101.48平米 | 东 | 简装 | 低楼层(共20层)  | 塔楼,4人关注 / 一年前发布,86,"8,475元/平"
园艺山  太阳城二期 精装套三 户型方正 税费低,太阳城二期 -科创园区,3室2厅 | 111.35平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,13人关注 / 一年前发布,98,"8,802元/平"
一桥河边三室二厅一卫出售，简装，满五唯一无高税,长钢137号 -江油,3室2厅 | 94.8平米 | 西 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 4个月以前发布,25,"2,638元/平"
海赋二期中间楼层  满2  无抵押  钥匙在手随时看房,海赋长兴2期 -经开区,3室2厅 | 83.08平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,9人关注 / 3个月以前发布,105,"12,639元/平"
高新区火炬、普明学旁长虹天樾，新小区、环境好,长虹天樾 -高新,4室2厅 | 131.03平米 | 北 | 毛坯 | 低楼层(共21层)  | 塔楼,8人关注 / 一年前发布,113,"8,624元/平"
三汇绿岛电梯低层套三精装带弧形大阳台,三汇绿岛 -富乐山,3室2厅 | 140.33平米 | 东南 | 精装 | 低楼层(共15层)  | 板塔结合,9人关注 / 一年前发布,128,"9,122元/平"
17年新精装 大三室 平台房 平台房,铭洋丽景天下小区 -江油,3室2厅 | 119平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,27人关注 / 一年前发布,35,"2,942元/平"
海赋二期中间楼层  满2  无抵押  钥匙在手随时看房,海赋长兴2期 -经开区,3室2厅 | 83.08平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,9人关注 / 3个月以前发布,105,"12,639元/平"
三鹏广场 采光好的一个户型 可以拎包入住 大3室带双卫,三鹏广场 -涪城,3室2厅 | 145.9平米 | 西 | 简装 | 中楼层(共15层)  | 塔楼,1人关注 / 3个月以前发布,108,"7,403元/平"
品质大盘，通透户型，全屋带暖气，带一个产权大车位,香榭里大道 -越王楼,3室2厅 | 137.98平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,9人关注 / 一年前发布,148.5,"10,763元/平"
富临原山大三房改4房，朝小区中庭，很安静,富临原山 -越王楼,3室2厅 | 140.95平米 | 东 | 精装 | 高楼层(共14层)  | 板塔结合,4人关注 / 10个月以前发布,115.8,"8,216元/平"
奥林春天二期精装内跃，拎包入住,田森·奥林春天二期 -科创园区,3室2厅 | 99.08平米 | 东南 | 精装 | 高楼层(共29层)  | 板塔结合,2人关注 / 3个月以前发布,105,"10,598元/平"
御西街 满两年 三室采光好 双卫,御西街 -御营坝,3室2厅 | 103.03平米 | 北 南 | 简装 | 高楼层(共7层)  | 暂无数据,20人关注 / 一年前发布,48,"4,659元/平"
紫云府全新精装修套三，可以拎包入住，视野无遮挡,华润紫云府 -科创园区,3室2厅 | 97.68平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,42人关注 / 一年前发布,100,"10,238元/平"
蓝澳岛 看房方便 房东诚意出售,蓝澳岛小区 -火车站,3室2厅 | 119.48平米 | 东南 | 简装 | 中楼层(共32层)  | 板楼,46人关注 / 一年前发布,85,"7,115元/平"
业主诚心出售，二桥旁涪江丽苑！！1,涪江丽苑二期 -江油,3室2厅 | 117平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,31,"2,650元/平"
精装套四，满五唯一，装修保养好，可拎包入住。,旭城阳光 -江油,4室2厅 | 118.07平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,63,"5,336元/平"
诚心出售 五路口 中间楼层 大三室,铁城小区 -江油,3室2厅 | 121.47平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,45,"3,705元/平"
纪念碑片区。3室2厅1卫，简装。。。。,宏安景苑 -江油,3室2厅 | 113.36平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,42.8,"3,776元/平"
顺河公寓步梯三室房，装修简单，看房方便,顺河公寓 -铁牛广场,3室2厅 | 121.35平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,26人关注 / 一年前发布,90,"7,417元/平"
星河湾小区大，环境很好，房子户型方正,花园·星河湾 -高水,3室2厅 | 130.02平米 | 西北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,87.7,"6,746元/平"
火车站万达旁带花园的套三双卫好房急售,富临·丽景花城 -火车站,3室2厅 | 115.04平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,38人关注 / 8个月以前发布,83.8,"7,285元/平"
南河坝文昌街单位房正三房仅52万,文昌街4号院 -涪城,3室1厅 | 79.79平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,46,"5,766元/平"
高新区，核  心区域，出行方便，周  边  学  校云集,长兴景苑 -高新,2室1厅 | 63.66平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,43,"6,755元/平"
中间楼层  精装房  大两居室  户型方正 配套齐全,警钟街10号 -涪城,2室2厅 | 109.78平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,78,"7,106元/平"
富临外滩花园 精装三房 配套齐全 生活方便,富临外滩花园 -铁牛广场,3室2厅 | 121.12平米 | 东北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,102,"8,422元/平"
装修保护好/三房双卫/有入户花园,嘉来·涪滨印象 -经开区,3室2厅 | 123.7平米 | 东南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,96,"7,761元/平"
青年广场旁 静馨园  简装3室  即将安装电梯  诚心出售,静馨園 -南河坝,3室2厅 | 107.52平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,70,"6,511元/平"
五里堆  震后电梯房   3室带地下车位,昊星·观岭8号 -越王楼,3室2厅 | 107.95平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 7个月以前发布,92,"8,523元/平"
瑞麟国际精装套三，拎包入住，满二,瑞麟国际新城 -高新,3室2厅 | 93.3平米 | 东南 | 精装 | 低楼层(共25层)  | 塔楼,1人关注 / 5个月以前发布,86,"9,218元/平"
该房双证齐全，满2年，户型方正，采光好,香河世家 -富乐山,3室2厅 | 121.64平米 | 南 | 简装 | 低楼层(共7层)  | 塔楼,1人关注 / 6个月以前发布,95.9,"7,884元/平"
户型格局好，双阳台，无抵押贷款，业主改善换房，诚心,江岸山景 -经开区,3室2厅 | 115.25平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,73.6,"6,387元/平"
世纪银座 4室2厅 南 北,世纪银座 -涪城,4室2厅 | 176平米 | 南 北 | 简装 | 高楼层(共23层)  | 塔楼,1人关注 / 3个月以前发布,152,"8,637元/平"
公园口单位电梯房  大3室2厅 就近入学 配套齐全,涪城路141号 -涪城,3室2厅 | 113.82平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,78.3,"6,880元/平"
此房满2，税费低，户型通透 采光充足，配套齐全,南街114号小区 -涪城,3室2厅 | 91.6平米 | 东南 | 简装 | 高楼层(共7层)  | 板塔结合,36人关注 / 一年前发布,43,"4,695元/平"
世纪银座 4室2厅 南 北,世纪银座 -涪城,4室2厅 | 176平米 | 南 北 | 简装 | 高楼层(共23层)  | 塔楼,1人关注 / 3个月以前发布,152,"8,637元/平"
公园口单位电梯房  大3室2厅 就近入学 配套齐全,涪城路141号 -涪城,3室2厅 | 113.82平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,78.3,"6,880元/平"
桃花岛朝南精装两室未住过人带阳台,桃花岛 -经开区,2室1厅 | 78.81平米 | 南 | 其他 | 低楼层(共20层)  | 板塔结合,0人关注 / 27天以前发布,90,"11,420元/平"
绵中旁 业主长期在外地 基本没有入住 宜自住陪读,海珂·三千城 -科创园区,2室2厅 | 76.59平米 | 西南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,67,"8,748元/平"
高水长虹世纪城旁，步梯套二，中装可拎包入住。,长虹五区 -高水,2室1厅 | 76.09平米 | 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,48.5,"6,375元/平"
电视塔旁，银峰小区两室，楼层好,银峰小区 -越王楼,2室1厅 | 59.87平米 | 东 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 23天以前发布,34.8,"5,813元/平"
双星园 120平米 69万  非顶楼 带17平米平台  精装,双星园 -科创园区,3室2厅 | 120平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,69,"5,750元/平"
中玮海润城，精装四室，业主诚心出售，满两年税费少,中玮海润城 -经开区,4室1厅 | 113.66平米 | 东 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 7天以前发布,105,"9,239元/平"
房东急售！同成自由界！清水4室！看房方便！,同成.自由界 -高新,4室2厅 | 124平米 | 西 | 毛坯 | 中楼层(共23层)  | 暂无数据,0人关注 / 7天以前发布,110,"8,871元/平"
科大花园北区 3室2厅 南 北,科大花园北区 -青义,3室2厅 | 124.1平米 | 南 北 | 精装 | 6层  | 板楼,0人关注 / 8天以前发布,76,"6,125元/平"
套三户型，户型格局好，楼层好，地段好,嘉和苑 -高新,3室2厅 | 119.2平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,95,"7,970元/平"
三汇绿湾春 3室2厅 东南,三汇绿湾春 -高水,3室2厅 | 136平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 7天以前发布,85,"6,250元/平"
置信丽都二期   现房急售  欢迎实地看,置信丽都花园城·二期 -芙蓉,3室1厅 | 103.48平米 | 东南 | 毛坯 | 中楼层(共22层)  | 板塔结合,0人关注 / 8天以前发布,79,"7,635元/平"
三汇四季公园 三房两卫 朝小区中庭 楼层好,三汇四季公园 -经开区,3室2厅 | 97.44平米 | 西南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 4天以前发布,90,"9,237元/平"
典汇国际 四室两厅双卫精装修电梯房。,典汇国际 -安州,4室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 8天以前发布,116,"9,134元/平"
石桥铺 品质小区 精装修 拎包入住,人和天地 -高新,3室2厅 | 121.93平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 5天以前发布,139.8,"11,466元/平"
精装电梯 中间楼层 大三室 阳台都有10平米,明月雍景湾 -江油,3室2厅 | 88.22平米 | 东 西 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 1天以前发布,46,"5,215元/平"
文泉·西海岸 6室2厅 东南,文泉·西海岸 -高新,6室2厅 | 109.87平米 | 东南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 13天以前发布,155,"14,108元/平"
业主诚心出售，看房提前约，简装叠拼别墅带露台,富临山庄 -科创园区,5室2厅 | 248平米 | 南 北 | 简装 | 低楼层(共4层)  | 塔楼,0人关注 / 11天以前发布,260,"10,484元/平"
