标题,开发商,房子信息,发布信息,售价/万,单价
伟星长江之歌 5室2厅 南,伟星长江之歌 -城南滨江版块,5室2厅 | 240平米 | 南 | 其他 | 高楼层(共40层)  | 塔楼,0人关注 / 5天以前发布,361,"15,042元/平"
东方龙城秉心苑 2室1厅 南,东方龙城秉心苑 -大砻坊,2室1厅 | 61.6平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,11人关注 / 11个月以前发布,70,"11,364元/平"
碧桂园天门烟波二期 3室2厅 南 北,碧桂园天门烟波二期 -龙湖街道,3室2厅 | 127.73平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板塔结合,1人关注 / 4个月以前发布,72,"5,637元/平"
官山花园  毛坯1室2厅 随时看房 价格可谈,官山花园 -八佰伴,1室2厅 | 60平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,98,"16,334元/平"
房子两个房间都朝南，光线很充足，小区不用交物业费,江南春城 -柏庄时代广场,2室2厅 | 76.52平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,72,"9,410元/平"
碧桂园双玺  毛坯3室  新小区 人车分流  看房有钥匙,碧桂园中梁双玺 -繁昌县,3室2厅 | 118.08平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,95,"8,046元/平"
松韵园 2室2厅 南,松韵园 -南瑞新城,2室2厅 | 93.55平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 3个月以前发布,84.8,"9,065元/平"
松韵园 2室1厅 南 北,松韵园 -南瑞新城,2室1厅 | 74.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,65.8,"8,813元/平"
泰山路站旁多层住宅，公摊小得房高，业主急售看房方便,奇瑞BOBO城 -BOBO商业步行街,2室2厅 | 84.5平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,47,"5,563元/平"
2021年交付次新房，8层电梯小洋房，此价含车位,伟星雍璟台南区 -雕塑公园,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,1人关注 / 3个月以前发布,190,"17,273元/平"
绿影新村 位置好户型正精装修拎包入住房东诚心出售。,绿影新村 -弋矶山,2室1厅 | 56.62平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,88,"15,543元/平"
诚售！徽商春天毛坯小两房，中间楼层，采光充足,徽商春天南区 -左岸,2室2厅 | 91.09平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,3人关注 / 3个月以前发布,100.8,"11,066元/平"
房子两个房间都朝南，光线很充足，小区不用交物业费,江南春城 -柏庄时代广场,2室2厅 | 76.52平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,72,"9,410元/平"
京福苑好房出售，城东板块 位置好电梯房 房型方正,京福振兴苑 -无为县,2室2厅 | 80.21平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,58.8,"7,331元/平"
元亩塘板块新小区 准新房 前排无遮挡采光 中间楼层,春江明月 -南瑞新城,3室2厅 | 109.4平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,4人关注 / 5个月以前发布,137,"12,523元/平"
官山花园 2室2厅 南,官山花园 -八佰伴,2室2厅 | 85.2平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,145,"17,019元/平"
润安花园，优质2房。精装修。房主诚心卖。,润安花园 -红旗,2室1厅 | 66.3平米 | 北 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,72,"10,860元/平"
房子两个房间都朝南，光线很充足，小区不用交物业费,江南春城 -柏庄时代广场,2室2厅 | 76.52平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,72,"9,410元/平"
京福苑好房出售，城东板块 位置好电梯房 房型方正,京福振兴苑 -无为县,2室2厅 | 80.21平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,58.8,"7,331元/平"
团结三村 2房朝南 户型 中间楼层,团结三村 -弋矶山,2室2厅 | 50.87平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,0人关注 / 一年前发布,82,"16,120元/平"
繁华地段，成熟商圈，精装两房。,弋江嘉园·徽韵 -柏庄时代广场,2室1厅 | 56平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,9人关注 / 5个月以前发布,48,"8,572元/平"
南瑞新城沐春园 小两房 好楼层 拎包入住,南瑞新城沐春园 -南瑞新城,2室1厅 | 68平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,65,"9,559元/平"
金龙小区，交通便利，好楼层配套设施齐全,金龙小区 -繁昌县,3室1厅 | 91.99平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,68,"7,393元/平"
祥生如意花园北区，小区出行方便，,祥生如意花园北区 -南陵县,3室2厅 | 109.18平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,52,"4,763元/平"
衡山路站旁，龙凤佳苑全新装修，一次未住业主诚售,龍鳳佳苑 -BOBO商业步行街,2室2厅 | 86.84平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,69.5,"8,004元/平"
华仑港湾 2室2厅 南,华仑港湾 -城南滨江版块,2室2厅 | 89.2平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,5人关注 / 一年前发布,125,"14,014元/平"
满二  两房格局好，楼层好，全天采光，看房方便,绿影新村 -弋矶山,2室1厅 | 57.94平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,98,"16,915元/平"
南瑞新城瑞东园 精装修 小房子 楼层好 适合老年人,南瑞新城瑞东园 -南瑞新城,1室1厅 | 46.57平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,39.8,"8,547元/平"
新出D区小两房 双南楼层高 无户口 毛坯 房龄新,中央城D区 -中央城财富街,2室1厅 | 85.7平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,1人关注 / 2个月以前发布,135,"15,753元/平"
团结一村 3室1厅 南,团结一村 -弋矶山,3室1厅 | 54.6平米 | 南 | 毛坯 | 中楼层(共5层)  | 塔楼,0人关注 / 1个月以前发布,86,"15,751元/平"
弋江嘉园三期 2室2厅 南,弋江嘉园三期 -柏庄时代广场,2室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,74,"7,552元/平"
"中央城B,全新毛坯房，楼层好，视野宽阔，采光充足",中央城B区 -中央城财富街,2室2厅 | 81.74平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,118,"14,437元/平"
翡翠印象毛坯房:92平方65万，三居室边户型，9楼,无为碧桂园翡翠印象 -无为县,3室2厅 | 91.59平米 | 南 | 毛坯 | 中楼层(共15层)  | 暂无数据,0人关注 / 4个月以前发布,63,"6,879元/平"
安展蔚然家园，小洋房公寓，好位置，好楼层,安展·蔚然家园 -芜湖市政府,2室1厅 | 71.1平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 4个月以前发布,99.8,"14,037元/平"
锅炉新村 中间楼层 得房率高 诚心出售 看房方便,锅炉新村小区 -波尔卡商业区,2室2厅 | 48.13平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,27,"5,610元/平"
无土地出让金 无增值税   居家装修  中高楼层采光好,儒林西苑 -中央城财富街,2室2厅 | 73.22平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,95,"12,975元/平"
鸠兹家苑馨园，电梯房，中上楼层，采光通风都很棒,鸠兹家苑馨园 -大阳垾,2室2厅 | 91.78平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,69,"7,518元/平"
中间楼层 采光好 视野无遮挡 有阳台晾晒方便,香格里拉花园 -华强城,1室0厅 | 33.2平米 | 东 | 精装 | 中楼层(共4层)  | 塔楼,0人关注 / 1个月以前发布,45,"13,555元/平"
绿地南北通透两房  采光很好 诚心卖,绿地镜湖世纪城阳光花寓 -绿地镜湖新城,3室2厅 | 91.97平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,4人关注 / 3个月以前发布,94,"10,221元/平"
美加印象 5室2厅 南,美加印象 -华强城,5室2厅 | 189.83平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,2人关注 / 3个月以前发布,208,"10,958元/平"
汀苑小区 大3房，诚心出售，中间楼层。,汀苑小区 -芜湖站,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共5层)  | 平房,1人关注 / 5个月以前发布,116,"9,134元/平"
此房产证满2年，无大税，户型正，客厅通阳台,平安山庄 -八佰伴,2室2厅 | 82.87平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,142,"17,136元/平"
大润发旁 轻轨口 得房率高 价格可谈,云龙阳光地带 -华强城,4室2厅 | 151.7平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,26人关注 / 一年前发布,115,"7,581元/平"
蓝湾半岛 3室2厅 南,蓝湾半岛 -柏庄时代广场,3室2厅 | 116平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,118.8,"10,242元/平"
儒林西苑精装修三室  价格可谈 采光刺眼,儒林西苑 -中央城财富街,3室2厅 | 114.91平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,136.8,"11,905元/平"
金苑小区 有电梯 繁华地段 精装三房 拎包入住,金苑小区 -中山路步行街,3室2厅 | 109.39平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,19人关注 / 5个月以前发布,85,"7,771元/平"
儒林西苑精装修三室  价格可谈 采光刺眼,儒林西苑 -中央城财富街,3室2厅 | 114.91平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,136.8,"11,905元/平"
金元华府，精装修三室拎包入住，户型方正，房主诚心卖,金元华府 -无为县,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 1个月以前发布,86.8,"6,835元/平"
伟星金域蓝湾C区3 2室2厅 南,伟星金域蓝湾C区3 -新时代商业街,2室2厅 | 65平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 5个月以前发布,90,"13,847元/平"
滨河二期大四房 南 北 通 视野开阔 采光无遮挡,滨河小区二期 -无为县,4室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,120,"8,511元/平"
好楼层 视野开阔 阳光无遮挡 有车位,伟星金域蓝湾名门 -新时代商业街,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,260,"20,800元/平"
出售，此房好诚意格局方正，配套设施齐全，采光通风效,绿城玫瑰园 -无为县,4室2厅 | 127.6平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,662元/平"
凤凰城南岛 多层2楼 南 北通透户型,凤凰城南岛银杏轩 -凤鸣湖景区,3室2厅 | 94.92平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,79.5,"8,376元/平"
精装修，拎包入住，户型方正，诚心出售，随时可签,碧桂园镜湖世家 -左岸,3室2厅 | 100.35平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,150,"14,948元/平"
锦绣家园 2室1厅 南,锦绣家园 -五一广场,2室1厅 | 83.74平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,5人关注 / 7个月以前发布,115,"13,733元/平"
白金湾旁，步楼阳光好楼层通透，赭山+荟萃+轻轨2号线,三山里小区北区 -镜湖中心,2室1厅 | 57.3平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 7个月以前发布,73.8,"12,880元/平"
精装修拎包就能住， 交通方便。,莲塘新村牡丹园 -方特一期,2室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,95,"10,796元/平"
伟星城5期，通透双阳台，精装三房，好楼层，拎包住！,伟星城5期 -伟星星悦广场,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,32人关注 / 一年前发布,185,"14,231元/平"
状元府邸，好楼层，产证满二税少，房主诚心卖！价可议,状元府邸 -无为县,3室2厅 | 121.79平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,88,"7,226元/平"
观湖园南区，南北通户型，3室，毛坯房，产证满二税少,蓝鼎中央城观湖园南区 -无为县,3室2厅 | 103.92平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,99.8,"9,604元/平"
此房无大税，东边户，采光好，户型方正，双阳台,文津花园 -中央城财富街,3室2厅 | 122.19平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,208,"17,023元/平"
绿城玫瑰园 大四居 中高楼层 视野开阔 阳光充足 急卖,绿城玫瑰园 -无为县,4室2厅 | 129平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 暂无数据,0人关注 / 3个月以前发布,99.8,"7,737元/平"
伟星物业  平湖秋月  精品三房  优质楼层  拎包住,平湖秋月 -大砻坊,3室2厅 | 114.29平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,28人关注 / 一年前发布,180,"15,750元/平"
毛坯三房 业主诚售 钻石楼层 全天采光 随时看房,伟星雍璟台北区 -雕塑公园,3室2厅 | 109.15平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,1人关注 / 4个月以前发布,156,"14,293元/平"
伟星左岸F区，安静无扰！身份的象征，先进教育资源！,伟星左岸生活F区 -左岸,3室2厅 | 108.49平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,200,"18,435元/平"
兆通大观花园，精装自住房，装修保养很好，诚卖,兆通大观花园 -芜湖市政府,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 1个月以前发布,155,"13,479元/平"
东方蓝海，中间楼层，飞机户型，,东方蓝海 -汀棠公园,3室2厅 | 127.12平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,5人关注 / 一年前发布,195,"15,340元/平"
雅旭新乐府，南北通透，户型方正，业主诚心出售。,雅旭新乐府北区 -柏庄时代广场,3室2厅 | 116.66平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,10人关注 / 11个月以前发布,158,"13,544元/平"
中梁1621  南北通 时尚复式  全新未入住精装修 诚售,中梁江城1621 -柏庄时代广场,3室2厅 | 112平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,3人关注 / 3个月以前发布,163,"14,554元/平"
开发商精装三房，中高层，全天采光，户型方正，诚心卖,万科·海上传奇 -城南滨江版块,3室2厅 | 105平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,200,"19,048元/平"
户型好，价格可谈，业主诚心出售,荣盛华府 -雕塑公园,3室2厅 | 125.5平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,215,"17,132元/平"
东泽园小区 3室2厅 南 北,东泽园小区 -马塘马饮,3室2厅 | 104平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,3人关注 / 7个月以前发布,69.8,"6,712元/平"
配套设施齐全！小区环境优美，证满税少，房型正,蓝鼎中央城铂金园 -无为县,3室2厅 | 119平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 6个月以前发布,87,"7,311元/平"
此房满二无增值税，小区环境好，配套完善,碧桂园芷兰湾 -无为县,3室2厅 | 115.23平米 | 南 北 | 简装 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,93,"8,071元/平"
全新婚房精装！一次未住！房东诚心出售！钻石楼层！,望江苑 -红旗,2室2厅 | 81平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,1人关注 / 1个月以前发布,108,"13,334元/平"
开发商精装三房，中高层，全天采光，户型方正，诚心卖,万科·海上传奇 -城南滨江版块,3室2厅 | 105平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,200,"19,048元/平"
碧桂园塘溪源著 4室2厅 南 北,碧桂园塘溪源著 -柏庄时代广场,4室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 4个月以前发布,198,"13,944元/平"
配套设施齐全！小区环境优美，证满税少，房型正,蓝鼎中央城铂金园 -无为县,3室2厅 | 119平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 6个月以前发布,87,"7,311元/平"
边户型方正，通透性好。小区环境优美，配套齐全,保利信达熙悦府B区 -芜湖市政府,3室2厅 | 152平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 7个月以前发布,240,"15,790元/平"
张家山花园东区  中间楼层 保养好  价格便宜,张家山花园东区 -左岸,3室2厅 | 110.42平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,5人关注 / 4个月以前发布,138,"12,498元/平"
伟星幸福里，精装三房，通透双阳台，诚售！,伟星幸福里 -伟星星悦广场,3室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,230,"16,547元/平"
长江长现代城 精装三房 改善好楼层 诚心出售 有储藏室,长江长现代城二期 -城南滨江版块,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,3人关注 / 3个月以前发布,165,"13,307元/平"
此房满二，空间大，视野开阔，采光很好，交通便利,信达外滩府 -八佰伴,3室1厅 | 98平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,6人关注 / 一年前发布,204.9,"20,909元/平"
新出房源，看房方便，精装修拎包入住,赤铸山庄 -华强城,2室1厅 | 75平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼,0人关注 / 31天以前发布,78,"10,400元/平"
城市之光 洋房 一梯两户 精装好楼层 急卖,城市之光第一街区 -雕塑公园,2室2厅 | 89.61平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 27天以前发布,138,"15,401元/平"
阳光翰庭小户型精装自住房，楼层好。,阳光翰庭 -大阳垾,1室1厅 | 67.23平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 25天以前发布,55,"8,181元/平"
上海新城精准三房 五小近在咫尺 省力楼层,上海新城 -南陵县,3室2厅 | 111平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 18天以前发布,65,"5,856元/平"
柏庄春暖花开 小区南边 南北通透双阳台,柏庄春暖花开 -柏庄时代广场,2室2厅 | 83.88平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 20天以前发布,123,"14,664元/平"
南边通透 精装湖景房 视野开阔 位置安静 价格实惠,芜湖碧桂园镜湖春色 -龙湖街道,3室1厅 | 116平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 25天以前发布,74,"6,380元/平"
户型方正，采光不挡，好楼层	。地理位置好，出行方便,张家山领秀城 -左岸,1室1厅 | 46平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 28天以前发布,79,"17,174元/平"
长江之歌伟星物业精装两室大阳台,伟星长江之歌 -城南滨江版块,2室0厅 | 97.64平米 | 南 | 其他 | 高楼层(共34层)  | 塔楼,0人关注 / 19天以前发布,157,"16,080元/平"
此房楼层好，位置好，采光佳，精装修拎包入住,伊顿公馆二期 -绿地镜湖新城,1室1厅 | 48.06平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 18天以前发布,59.5,"12,381元/平"
富通园 中间楼层 诚心出售 看房方便,富通园 -红旗,2室2厅 | 75.92平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 20天以前发布,82,"10,801元/平"
江城国际瑞华苑，小两室中间楼层，光线好,江城国际瑞华苑 -柏庄时代广场,2室2厅 | 65.86平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 19天以前发布,61,"9,263元/平"
婚房精装 拎包入住 好楼层诚意出售,柏庄观邸 -雕塑公园,3室2厅 | 87.82平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 16天以前发布,92,"10,476元/平"
绿影新村 2室1厅 南,绿影新村 -弋矶山,2室1厅 | 51.59平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 22天以前发布,98,"18,996元/平"
房源真实有效！楼层好，视野宽广，采光充足,城市庄园住宅赛纳丽城小区 -华强城,2室2厅 | 89.6平米 | 南 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 18天以前发布,108,"12,054元/平"
石城湖  有院子  户型方正  诚心出售 价格可谈,石城湖小区 -凤鸣湖小学,1室1厅 | 45.66平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,0人关注 / 28天以前发布,35.5,"7,775元/平"
汀棠公园 一楼带院子 单价低 诚心卖,颐景湾畔 -方特一期,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 22天以前发布,185,"17,130元/平"
多层三室 中楼层 不靠铁路 满二 诚意出售 价格好谈,松韵园 -南瑞新城,3室2厅 | 89.27平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 5天以前发布,81,"9,074元/平"
奥韵康城，中间楼层 精装修 买了直接拿租金,奥韵康城 -南瑞新城,1室0厅 | 30.79平米 | 西北 | 精装 | 中楼层(共19层)  | 板塔结合,0人关注 / 17天以前发布,24.2,"7,860元/平"
楼层好 视野开阔 采光充足设施齐全,鼎盛广场 -南陵县,2室2厅 | 93.75平米 | 南 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 6个月以前发布,60,"6,400元/平"
华强公寓，商  业性质，自住舒适，好出租,华强广场 -八佰伴,1室1厅 | 38.69平米 | 北 | 其他 | 中楼层(共27层)  | 板楼,2人关注 / 4个月以前发布,24,"6,204元/平"
团结四村，房子产权清晰，采光无遮挡，出行方便,团结新村四村 -弋矶山,2室1厅 | 59平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,88,"14,916元/平"
绿地凯旋豪庭新出2两室公摊小.楼层好看房提前联系,绿地镜湖世纪城凯旋豪庭南区 -绿地镜湖新城,2室1厅 | 77.9平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 7个月以前发布,85,"10,912元/平"
团结四村，房子产权清晰，采光无遮挡，出行方便,团结新村四村 -弋矶山,2室1厅 | 59平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,88,"14,916元/平"
急卖， 精装修 朝南 户型房子 复式 采光好 视野开阔,柏庄财富广场 -雕塑公园,1室1厅 | 58.36平米 | 南 | 精装 | 低楼层(共13层)  | 板塔结合,2人关注 / 1个月以前发布,35,"5,998元/平"
澳然天成，房型  通透，诚 心 卖,澳然天成 -银湖公园,1室1厅 | 52平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,2人关注 / 6个月以前发布,36,"6,924元/平"
徽商春天南区，电梯磁钉楼，自住精装小两室,徽商春天南区 -左岸,2室2厅 | 89平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,6人关注 / 10个月以前发布,105,"11,798元/平"
此房全新毛坯，从未入住过，相当于买的现房,东方龙城清荷苑 -大砻坊,3室2厅 | 103.3平米 | 南 北 | 其他 | 中楼层(共29层)  | 板楼,4人关注 / 一年前发布,158,"15,296元/平"
伟星物业小区，人车分流，本房价格美丽，房东诚心出售,伟星雍璟台北区 -雕塑公园,2室1厅 | 88平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,1人关注 / 2个月以前发布,109,"12,387元/平"
团结二村 1室1厅 南,团结二村 -八佰伴,1室1厅 | 32平米 | 南 | 其他 | 中楼层(共5层)  | 塔楼,1人关注 / 1个月以前发布,63,"19,688元/平"
带小院 精装两室 采光无遮挡 诚心出售,奥园芜钢小区 -南瑞新城,2室1厅 | 61平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,68,"11,148元/平"
金浩仁和天地，边户两房中间楼层 ，诚心置换。,金浩·仁和天地 -芜湖市政府,2室2厅 | 90.41平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,115,"12,720元/平"
景春花园，刚需小两室，全新装修，配套完善。,景春花园 -中山路步行街,2室1厅 | 62.01平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,62.8,"10,128元/平"
金帝豪   复式毛坯  随意装修  商品房  可贷款,金帝豪小区 -繁昌县,3室2厅 | 111.12平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,5人关注 / 6个月以前发布,41.8,"3,762元/平"
伟星雍璟台 小两房 价格低 视野无遮挡,伟星雍璟台北区 -雕塑公园,2室2厅 | 70平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,2人关注 / 2个月以前发布,87.8,"12,543元/平"
芜湖碧桂园镜湖春色 3室2厅 南 北,芜湖碧桂园镜湖春色 -龙湖街道,3室2厅 | 129平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,85,"6,590元/平"
此房小2房，中间楼层，采光好，价格低,伟星雍璟台北区 -雕塑公园,2室1厅 | 69.76平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,86.9,"12,457元/平"
旭日天都 全新毛坯 一次未住 好楼层 有钥匙 业主诚售,旭日天都二组团 -伟星星悦广场,2室2厅 | 85.32平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,8人关注 / 4个月以前发布,75.5,"8,850元/平"
精装修，直接拎包入住，欢迎带看。,芜湖碧桂园镜湖春色 -龙湖街道,3室2厅 | 116平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,65,"5,604元/平"
低层两房，父母居住陪读的好选择,安师大附中宿舍 -八佰伴,2室1厅 | 60.63平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼,4人关注 / 4个月以前发布,75,"12,371元/平"
此房房型方正，卧室朝南，明厨明卫，无大税，采光好,利民四村 -新时代商业街,1室1厅 | 40.5平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,37,"9,136元/平"
雍璟台北区 东边套两房 全明有窗户 通透方正 诚意出售,伟星雍璟台北区 -雕塑公园,2室1厅 | 88.5平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,130,"14,690元/平"
次新小区 大三室 好楼层 诚售,春江明月 -南瑞新城,3室2厅 | 128平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 7个月以前发布,146,"11,407元/平"
南瑞金坤园，孝心楼层，业主诚心出售。,南瑞新城金坤园 -南瑞新城,2室2厅 | 82平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 3个月以前发布,70,"8,537元/平"
此房满二唯一 多层公摊小 有院子,松韵园 -南瑞新城,2室1厅 | 76.46平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,73.8,"9,653元/平"
