标题,开发商,房子信息,发布信息,售价/万,单价
箭八组合，步梯3楼，离菜市近，户型方正，采光好,华庭苑 -箭盘山,3室2厅 | 129.79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 10天以前发布,103,"7,936元/平"
该房屋地处城南中间位置，小区环境优雅，物业管理.,碧桂园翡翠湾 -鹿寨县,4室2厅 | 144.04平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,5人关注 / 4个月以前发布,78,"5,416元/平"
动物园；军事博物馆旁；盛世中华房东诚意出售,盛世中华C区 -航四路商圈,4室2厅 | 132.93平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,4人关注 / 一年前发布,96.5,"7,260元/平"
柳北红碑路储运村、简装小两房、户型方正公摊小,储运村 -胜利商圈,2室2厅 | 74.73平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,55,"7,360元/平"
以一线滨江资源优势铸就的御景湾洋房,恒大御景湾 -阳和商圈,3室2厅 | 119.95平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,4人关注 / 6个月以前发布,82,"6,837元/平"
桂泰广场小区，清水毛坯，5房2厅2卫，采光。通风好，,桂泰商业广场A区 -柳城县,5室2厅 | 139.57平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 塔楼,0人关注 / 5个月以前发布,53,"3,798元/平"
龙城世家 精装4室2厅2卫 教育交通都有 好房子,龍城世家 -高新技术开发区,4室2厅 | 175.65平米 | 北 南 | 精装 | 中楼层(共29层)  | 塔楼,19人关注 / 一年前发布,215,"12,241元/平"
大平层，南北通透，采光好，配家具家电全,景秀园顺风区 -保利商圈,4室2厅 | 180.55平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,4人关注 / 5个月以前发布,118,"6,536元/平"
柳北区  胜利一区   三房出售  急售,中房胜利小区一区 -胜利商圈,3室1厅 | 122.13平米 | 南 北 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,89,"7,288元/平"
飞鹅商圈，户型方正、采光通透、鹅岗路一区2房,鹅岗路一区 -鹅岗商圈,2室2厅 | 61.49平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 9个月以前发布,51,"8,295元/平"
英伦风小区，配套齐全，房东诚心出售,香颂潭中西路33号项目 -十一冶商圈,2室2厅 | 75.24平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,2人关注 / 8个月以前发布,51,"6,779元/平"
"又一城四房两厅两卫  毛坯房142.87平,单价不高，急售",又一城 -柳城县,4室2厅 | 142.87平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 8个月以前发布,45,"3,150元/平"
步梯小户型，总价低，得房率高，适合过渡期,民泰園 -航三路商圈,2室1厅 | 67.59平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 一年前发布,45,"6,658元/平"
采光不错 全新毛坯 小区绿化很好 比较安静,广投龙象城 -柳东新区,5室2厅 | 171.01平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,105,"6,140元/平"
带柴房，户型方正。满五唯一。光线充足。,笔架社区 -柳钢商圈,2室2厅 | 77.79平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,45,"5,785元/平"
南雀新村二区  2室1厅，户型方正，采光通风好,南雀新村二区 -柳钢商圈,2室1厅 | 57.18平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,37,"6,471元/平"
采光、通风良好，生活便利，四通八达。,三中路60号 -三中商圈,3室2厅 | 73.36平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,5人关注 / 11个月以前发布,59.5,"8,111元/平"
柳北雀儿山胜利小区精装独特二改三房视野好.采光好,中房胜利小区六区 -胜利商圈,2室2厅 | 76.9平米 | 西南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,60,"7,803元/平"
柳北区+宏都新村+正规三房高楼层精装房,宏都新村 -黄村商圈,3室2厅 | 98.11平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,7人关注 / 11个月以前发布,56,"5,708元/平"
电梯房，精装修，直接入住，房东诚心出售,山水龙居 -沃尔玛商圈,3室2厅 | 102.38平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,105,"10,256元/平"
此房房证满五不唯一户型方正，通风视野开阔,十一冶二区 -沃尔玛商圈,2室2厅 | 59.34平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,32,"5,393元/平"
成熟地段  价格优惠  房子随时可看,北站路13-1号 -步步高商圈,3室2厅 | 89.06平米 | 西南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,49,"5,502元/平"
柳北区北星明园三房出售视野宽阔采光好,北星明园 -胜利商圈,3室1厅 | 103.81平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,69.9,"6,734元/平"
潭西 壶西 山水龙居 包含 两个车位靓房 业主急售,山水龙居 -沃尔玛商圈,3室2厅 | 112.33平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,1人关注 / 6个月以前发布,122,"10,861元/平"
箭盘山公园旁居住方便，成熟社区，生活配套设施齐全,晶远花苑 -箭盘山,3室2厅 | 129.73平米 | 西 | 精装 | 高楼层(共5层)  | 板塔结合,1人关注 / 一年前发布,88.5,"6,822元/平"
1楼有带院子 可停2辆小车 沃尔玛商圈 福馨苑 采光佳,福馨苑 -沃尔玛商圈,3室2厅 | 110.45平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,72,"6,519元/平"
水天一，高厅精装房，拎包入住，满五唯一，均价5字头,水天一州 -桂景湾商圈,3室2厅 | 142.38平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,23人关注 / 一年前发布,83,"5,830元/平"
采光、通风良好，生活便利，四通八达。,三中路60号 -三中商圈,3室2厅 | 73.36平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,5人关注 / 11个月以前发布,59.5,"8,111元/平"
柳南万达旁，精装修，高厅楼中楼，带大露台,怡华·名都 -柳邕路商圈,4室2厅 | 128.14平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,78,"6,088元/平"
城北邻江房，户型方正，采光充足，视野宽阔小区绿化好,洛清春晓 -鹿寨县,3室2厅 | 137.13平米 | 北 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 6个月以前发布,58,"4,230元/平"
大平层，南北通透，采光好，配家具家电全,景秀园顺风区 -保利商圈,4室2厅 | 180.55平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,4人关注 / 5个月以前发布,118,"6,536元/平"
采光不错 全新毛坯 小区绿化很好 比较安静,广投龙象城 -柳东新区,5室2厅 | 171.01平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,105,"6,140元/平"
带柴房，户型方正。满五唯一。光线充足。,笔架社区 -柳钢商圈,2室2厅 | 77.79平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,45,"5,785元/平"
南雀新村二区  2室1厅，户型方正，采光通风好,南雀新村二区 -柳钢商圈,2室1厅 | 57.18平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,37,"6,471元/平"
格局好，楼层棒，配套齐全，交通便利，户型方正,雒容林纸厂宿舍 -柳东新区,2室1厅 | 57.38平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,25,"4,357元/平"
沃尔玛商圈，香颂4层洋房。带前后花园,香颂潭中西路33号项目 -十一冶商圈,4室2厅 | 93.36平米 | 南 | 毛坯 | 低楼层(共6层)  | 塔楼,2人关注 / 5个月以前发布,105,"11,247元/平"
潭中西路香颂  93平3房2厅2卫,香颂潭中西路33号项目 -十一冶商圈,3室2厅 | 92.34平米 | 东南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 5个月以前发布,65,"7,040元/平"
小区是鱼峰区规模较大的纯居住区,国信凤起新都 -西江宾馆,3室2厅 | 104.07平米 | 南 | 精装 | 高楼层(共10层)  | 板塔结合,13人关注 / 一年前发布,89,"8,552元/平"
又一城小区，精装三房两厅两卫，带车库,又一城 -柳城县,3室2厅 | 131.86平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,49,"3,717元/平"
电力小区三楼毛坯房，大四房，满五唯一,电力小区 -鹿寨县,4室2厅 | 158.64平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,70,"4,413元/平"
鱼峰区古亭山商圈三房，生活配套完善。,温馨竹园 -古亭山商圈,3室2厅 | 88.22平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,65,"7,368元/平"
兴怡园户型方正采光好，电梯中层,兴怡园西区 -恒大商圈,3室2厅 | 94.62平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,10人关注 / 8个月以前发布,82,"8,667元/平"
35中旁粮油宿舍   3楼小三房 房子保养干净拎包入住,粮油运输公司宿舍 -保利商圈,3室2厅 | 95.89平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 4个月以前发布,50,"5,215元/平"
飞龙景苑好房出售　精装三房　单价七字头！,飞龙景苑 -步步高商圈,3室2厅 | 123.38平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 10个月以前发布,86,"6,971元/平"
尔海南山御景 3室2厅 南,尔海南山御景 -大桥商圈,3室2厅 | 126.06平米 | 南 | 简装 | 低楼层(共7层)  | 平房,0人关注 / 3个月以前发布,83,"6,585元/平"
满五家庭名下没有其他住房  红本在手  朝南  视野开阔,金河湾 -沃尔玛商圈,3室2厅 | 119.52平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,4人关注 / 一年前发布,95,"7,949元/平"
柳北区 黄村 新江小苑 大三房 房东急售,新江小苑 -黄村商圈,3室2厅 | 104.19平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,32人关注 / 一年前发布,58,"5,567元/平"
满五不唯一、毛坯房，完整胜利商圈,中房胜利小区六区 -胜利商圈,3室2厅 | 102.94平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,65,"6,315元/平"
香颂潭中西路33号项目 4室2厅 东南,香颂潭中西路33号项目 -十一冶商圈,4室2厅 | 97.05平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,68,"7,007元/平"
柳南万达商圈 毛坯电梯三房 装修风格自定 诚心出售,金穗福苑 -柳南万达,3室2厅 | 132.32平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,88,"6,651元/平"
15幢的學，出租中，看房要预约，楼层好,广雅路北三巷 -雅儒商圈,3室2厅 | 85.76平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,66.5,"7,755元/平"
房子户型非 常方正，设计合理，不浪费空间，南北通风,肉联厂生活区 -五菱商圈,3室1厅 | 78.23平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 4个月以前发布,53,"6,775元/平"
雅小十五中，户型方正，中层无遮挡采光很好 通风很好,北三巷法院宿舍 -雅儒商圈,3室2厅 | 119.45平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 10个月以前发布,84.8,"7,100元/平"
此房满五唯一，正三房两厅，步梯公摊面积小,雅儒花园 -雅儒商圈,3室2厅 | 122.52平米 | 北 | 精装 | 低楼层(共8层)  | 板楼,5人关注 / 10个月以前发布,87,"7,101元/平"
景秀園西区 4室2厅 东南,景秀園西区 -保利商圈,4室2厅 | 127.83平米 | 东南 | 精装 | 高楼层(共6层)  | 塔楼,6人关注 / 8个月以前发布,87,"6,806元/平"
金河湾电梯五房，户型方正，采光好,金河湾 -沃尔玛商圈,5室2厅 | 179.96平米 | 南 北 | 精装 | 高楼层(共11层)  | 塔楼,5人关注 / 一年前发布,155,"8,614元/平"
地王公馆 3室2厅 南,地王公馆 -步步高商圈,3室2厅 | 151.49平米 | 南 | 精装 | 高楼层(共53层)  | 塔楼,2人关注 / 7个月以前发布,215,"14,193元/平"
沃尔码商圈，户型方正、柳工颐华城3房,柳工颐华城 -柳工商圈,3室2厅 | 120.36平米 | 南 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,115,"9,555元/平"
房子户型非 常方正，设计合理，不浪费空间，南北通风,肉联厂生活区 -五菱商圈,3室1厅 | 78.23平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 4个月以前发布,53,"6,775元/平"
雅小十五中，户型方正，中层无遮挡采光很好 通风很好,北三巷法院宿舍 -雅儒商圈,3室2厅 | 119.45平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 10个月以前发布,84.8,"7,100元/平"
此房在港城路边一楼带有40平米的花园，可以做门面。,蟠龙苑小区 -古亭山商圈,3室1厅 | 82平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,3人关注 / 一年前发布,55,"6,708元/平"
金河湾电梯五房，户型方正，采光好,金河湾 -沃尔玛商圈,5室2厅 | 179.96平米 | 南 北 | 精装 | 高楼层(共11层)  | 塔楼,5人关注 / 一年前发布,155,"8,614元/平"
景秀園西区 4室2厅 东南,景秀園西区 -保利商圈,4室2厅 | 127.83平米 | 东南 | 精装 | 高楼层(共6层)  | 塔楼,6人关注 / 8个月以前发布,87,"6,806元/平"
"物业管理到位,，小区环境好，此房采光通风好..",恒大城 -古亭山商圈,3室2厅 | 89.19平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,65,"7,288元/平"
柳北区 北雀路06房龄步梯2楼精装3房单价7000,北星明园 -胜利商圈,3室2厅 | 99.17平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,71.8,"7,241元/平"
星园林居 2室2厅 南,星园林居 -西环商圈,2室2厅 | 96.63平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 4个月以前发布,70,"7,245元/平"
城中区福柳新都满五唯一红本在手,福柳新都 -广雅商圈,3室2厅 | 106.26平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 一年前发布,63.7,"5,995元/平"
品质小区、香颂大道、三房两厅两卫、采光通风充足,香颂·大道 -保利商圈,3室2厅 | 109.59平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,9人关注 / 10个月以前发布,103.8,"9,472元/平"
保利绿城商圈 尚成国际电梯四房 朝南花园东边套采光好,冠亚·尚成国际 -保利商圈,4室2厅 | 139.02平米 | 东 南 | 精装 | 低楼层(共32层)  | 板塔结合,5人关注 / 10个月以前发布,121,"8,704元/平"
屏山大道 铸造厂生活区  采光好新装修公摊小,铸造厂生活区 -箭盘山,3室1厅 | 80.61平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,8人关注 / 一年前发布,45,"5,583元/平"
碧桂园打造的城南优质小区，环境优美，户型方正,碧桂园翡翠湾 -鹿寨县,5室2厅 | 266.53平米 | 东南 北 | 精装 | 低楼层(共16层)  | 塔楼,1人关注 / 一年前发布,133,"4,991元/平"
联发柳雍府，电梯中层，毛坯2+1,联发柳雍府 -永前路商圈,3室2厅 | 74平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,2人关注 / 8个月以前发布,69,"9,325元/平"
城中万象商圈 恒大华府 环境宜人 学 校几步路,恒大华府 -万象城商圈,3室2厅 | 119.22平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,121,"10,150元/平"
东环大道精品房+格局好+户型方正,东环大道73号 -东环商厦,3室2厅 | 86.49平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,9人关注 / 一年前发布,49,"5,666元/平"
柳邕路步梯楼中楼，单价低，户型方正，业主诚心出售,宏城绿都小区 -柳邕路商圈,4室2厅 | 184.58平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,2人关注 / 11个月以前发布,90,"4,876元/平"
柳州碧桂园4房2厅2卫，一梯一户，南北朝向户型。,柳州碧桂园 -河东开发区,4室2厅 | 143.7平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,9人关注 / 一年前发布,169,"11,761元/平"
柳北黄村证满五年+南北通透三房+视野好采光足,恒興名園 -黄村商圈,3室2厅 | 107.16平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 4个月以前发布,75,"6,999元/平"
15幢的學，出租中，看房要预约，楼层好,广雅路北三巷 -雅儒商圈,3室2厅 | 85.76平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,66.5,"7,755元/平"
柳北区 北雀路 胜利 中房金茂园 清水毛坯3房 步梯3楼,中房金茂园 -胜利商圈,3室2厅 | 110.1平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 塔楼,1人关注 / 1个月以前发布,74,"6,722元/平"
菜市旁  健康楼层  两房  南北户型,北雀路21号西区 -黄村商圈,2室2厅 | 82.93平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 10个月以前发布,47,"5,668元/平"
利民小区正正二房，地段好，户型方正，光线足,利民小区 -飞鹅商圈,3室1厅 | 61.69平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 一年前发布,45,"7,295元/平"
卖点：地理位置优越，配套齐全，交通便捷，采光充足。,城站路94号一区 -汽车总站,2室2厅 | 68.91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,48,"6,966元/平"
柳北北雀庆丰路三丰名园精装2房房东诚心出售,三丰名园 -黄村商圈,2室2厅 | 81.51平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,60,"7,362元/平"
胜利小区一区 配套齐全 采光好 近公园大润发,中房胜利小区一区 -胜利商圈,3室2厅 | 122.13平米 | 东北 | 简装 | 高楼层(共28层)  | 塔楼,2人关注 / 7个月以前发布,91,"7,452元/平"
恒大城精装小三房   电梯中层 环境物业好,恒大城 -古亭山商圈,3室2厅 | 92平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,66,"7,174元/平"
柳南区磨滩路100号小区三房出售有钥匙方便看房。,磨滩路100号小区 -西环商圈,3室2厅 | 104.65平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 2个月以前发布,57,"5,447元/平"
老城区清水毛坯电梯大三房生活交通便利,北岸馨园 -三中商圈,3室2厅 | 115.45平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,93,"8,056元/平"
品质小区、香颂大道、三房两厅两卫、采光通风充足,香颂·大道 -保利商圈,3室2厅 | 109.59平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,9人关注 / 10个月以前发布,103.8,"9,472元/平"
恒大城精装小三房   电梯中层 环境物业好,恒大城 -古亭山商圈,3室2厅 | 92平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,66,"7,174元/平"
东环路测绘大院三个房间朝南 公摊面积比较少采光充足,东环大道10号 -西江宾馆,3室2厅 | 90.53平米 | 东南 | 精装 | 中楼层(共7层)  | 塔楼,7人关注 / 4个月以前发布,65,"7,180元/平"
靓房！恒大翡翠龙庭 精装三房双學位 格局好,恒大翡翠龙庭 -恒大商圈,3室2厅 | 110.33平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,2人关注 / 8个月以前发布,115,"10,424元/平"
西班牙风情电梯小洋房中间楼层 精装3房 空置出售,协和家园集美郡 -西江宾馆,3室2厅 | 89.93平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,96,"10,675元/平"
柳南万达商圈，中间楼层大三房，业主诚心出售，随时看,银城园 -航一路商圈,3室2厅 | 124.73平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,77,"6,174元/平"
桂景湾带花园，正1楼，2004年房，满五税低，单价6字头,桂景湾 -桂景湾商圈,3室2厅 | 111.57平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,22人关注 / 一年前发布,69.8,"6,257元/平"
中房胜利小区一区 2室2厅 东,中房胜利小区一区 -胜利商圈,2室2厅 | 82平米 | 东 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 8天以前发布,55,"6,708元/平"
柳州绿城杨柳郡 4室2厅 东南,柳州绿城杨柳郡 -杨柳郡商圈,4室2厅 | 144.17平米 | 东南 | 精装 | 低楼层(共38层)  | 板塔结合,0人关注 / 5天以前发布,178.5,"12,382元/平"
箭盘山，金盛广场，盛天悦景台采光良好，南北对流,鸿泰名都 -东环商厦,4室2厅 | 140平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 8天以前发布,120,"8,572元/平"
柳北品尚名城电梯三房、户型正采光足、新装修拎包入住,品尚名城 -桂景湾商圈,3室2厅 | 125.68平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 8天以前发布,98,"7,798元/平"
广雅小苑三房满五唯一看房方便。,广雅小苑 -雅儒商圈,3室2厅 | 115平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 8天以前发布,75,"6,522元/平"
鑫柳家园 精装大三房 业主急售 看房方便,鑫柳家园小区 -沃尔玛商圈,3室2厅 | 113平米 | 南 北 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 7天以前发布,96,"8,496元/平"
谷埠街国际商城 3室2厅 北 东北,谷埠街国际商城 -谷埠街商圈,3室2厅 | 103平米 | 北 东北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 5天以前发布,97,"9,418元/平"
福柳新都社区楼上 一梯一户大四房 方便读书 三面采光,雅儒路73号 -广雅商圈,4室2厅 | 123平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,98,"7,968元/平"
红岩二区 低楼层2房 欢迎看房。,红岩路二区 -革新路商圈,2室2厅 | 61.29平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,38,"6,201元/平"
万象城旁，精装4房，带车位，未入住过，价格还可以谈,中辰阳光郡 -万象城商圈,4室2厅 | 103平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 4天以前发布,145,"14,078元/平"
万象城华润凯旋门证满五唯一视野好采光好，户型方正,华润凯旋门 -万象城商圈,3室2厅 | 88.21平米 | 南 | 精装 | 高楼层(共47层)  | 塔楼,0人关注 / 6天以前发布,115,"13,038元/平"
革新一区 3室2厅 南,革新一区 -革新路商圈,3室2厅 | 98.09平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 2天以前发布,65,"6,627元/平"
业主急售入住不过1年，精装修保养好干净漂亮。,荣和千千树 -箭盘山,2室2厅 | 59.71平米 | 西南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 5天以前发布,76,"12,729元/平"
十一冶二区 小三房 新装修  采光好,十一冶二区 -沃尔玛商圈,3室1厅 | 58平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 5天以前发布,40,"6,897元/平"
此房满五唯一税费低小区离教育地点距离短出门有菜市,十一冶一区 -十一冶商圈,3室2厅 | 108平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 刚刚发布,73,"6,760元/平"
栗园新居 电梯中层楼精装婚房未入住  满五唯一,栗园新居 -革新路商圈,3室2厅 | 92.19平米 | 南 北 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 2天以前发布,65,"7,051元/平"
信和维多利亚美庐 3室2厅 南,信和维多利亚美庐 -保利商圈,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共7层)  | 塔楼,0人关注 / 5天以前发布,92,"8,071元/平"
鸿府一线江景精装大四房，亏装修出售，方便读书。,鴻府 -五星商圈,4室2厅 | 179平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 1天以前发布,280,"15,643元/平"
长信宿舍三房二厅南北朝向采光好户行方正,长信宿舍 -九头山,3室2厅 | 86平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 6天以前发布,57,"6,628元/平"
"鱼峰区 捌中金盛广场电梯精装三房 交通方便,看房方便",金盛广场 -东环商厦,3室2厅 | 115.59平米 | 南 北 | 精装 | 低楼层(共14层)  | 塔楼,0人关注 / 7天以前发布,110,"9,517元/平"
新装修两房 房品靓 用料足 文小笼中,风情港购物中心 -五星商圈,2室2厅 | 87.44平米 | 北 | 精装 | 中楼层(共49层)  | 塔楼,0人关注 / 1个月以前发布,110,"12,581元/平"
隆升小区电梯房，全新毛坯，急售,隆升小区 -柳城县,3室2厅 | 115.42平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,38,"3,293元/平"
隆升小区电梯房，全新毛坯，急售,隆升小区 -柳城县,4室2厅 | 138.24平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,45,"3,256元/平"
恒大城 精装大三房 户型方正采光好  看房方便,恒大城 -古亭山商圈,3室2厅 | 129.71平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 31天以前发布,110,"8,481元/平"
兴怡园3房 商圈成熟 户型方正 采光好,兴怡园东区 -恒大商圈,3室2厅 | 104.72平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 19天以前发布,100,"9,550元/平"
鹅岗二区 得房率高大两房 顶楼 方便读书 通风好,鹅岗二区 -鹅岗商圈,3室1厅 | 77.13平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 30天以前发布,43,"5,576元/平"
恒大城全新精装三房   业主诚心出售,恒大城 -古亭山商圈,3室2厅 | 91.59平米 | 南 北 | 精装 | 中楼层(共23层)  | 塔楼,0人关注 / 22天以前发布,69,"7,534元/平"
沃尔玛商圈，配套设施齐全采光通透城站路94号一区3房,城站路94号一区 -汽车总站,3室1厅 | 71.1平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 20天以前发布,45,"6,330元/平"
古亭山精装三房 房东诚心急卖  方便看房,冠亚·国际星城三期 -古亭山商圈,3室2厅 | 90.83平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 17天以前发布,69,"7,597元/平"
恒大城全新精装未入住过。通透双阳台，江景三居室,恒大城 -古亭山商圈,3室2厅 | 91.39平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 29天以前发布,69.8,"7,638元/平"
香颂·大道 3室2厅 北 南,香颂·大道 -保利商圈,3室2厅 | 146.66平米 | 北 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 20天以前发布,175,"11,933元/平"
兴亿商住楼 3室2厅 南 北,兴亿商住楼 -五星商圈,3室2厅 | 133.55平米 | 南 北 | 精装 | 高楼层(共4层)  | 塔楼,0人关注 / 18天以前发布,118,"8,836元/平"
蟠龙宝邸 153平米装修很好  电梯楼3房2厅业主诚售,蟠龙宝邸 -箭盘山,3室2厅 | 153.19平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 18天以前发布,129.8,"8,474元/平"
