标题,开发商,房子信息,发布信息,售价/万,单价
好房推荐盛世雲景153平仅售90万,盛世雲景 -卫东区,4室2厅 | 153.36平米 | 东 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,90,"5,869元/平"
建东小区，步梯2楼两室一厅，有证，带储藏室。,建东小区 -卫东区,2室1厅 | 67平米 | 东 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,33,"4,926元/平"
天意花园两室两厅114平简装有证全款56.5万有车位12万,天意花园 -卫东区,2室2厅 | 114.42平米 | 东 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,53.3,"4,659元/平"
三所小区 2室1厅 交通便利 小区环境干净舒适 适合居住,三所小区 -卫东区,2室1厅 | 65.68平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,22.9,"3,487元/平"
新华路旁大乘领仕馆117平三室,大乘领仕馆 -湛河区,3室2厅 | 117平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 17天以前发布,56,"4,787元/平"
蓝欣家园，电梯房，三室一厅，通透性好，精装有证,蓝欣家园 -湛河区,3室1厅 | 90.9平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 19天以前发布,44.8,"4,929元/平"
秀水名居，三室一厅一卫，交通便利，出行方便！,秀水名居 -湛河区,3室1厅 | 88.97平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,47,"5,283元/平"
培新花园，两室，小区干净舒适，适合居住,培新街社区 -新华区,2室1厅 | 63.65平米 | 东 南 | 简装 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,15.8,"2,483元/平"
新华路湛河旁，电梯三室112平，通阳台，仅43万,沿河路社区 -湛河区,3室2厅 | 112.53平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,8人关注 / 5个月以前发布,43,"3,822元/平"
怡馨家园两室一厅交通便利 小区环境干净 适合居住,怡馨家园 -卫东区,2室1厅 | 92.04平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,43,"4,672元/平"
龙腾国际，64平，简约田园装修风格，2室，看房方便，,龙腾国际 -湛河区,2室1厅 | 64.41平米 | 北 | 简装 | 中楼层(共21层)  | 暂无数据,4人关注 / 6个月以前发布,31,"4,813元/平"
水岸豪庭 3室2厅 南 北,水岸豪庭 -新华区,3室2厅 | 157.94平米 | 南 北 | 毛坯 | 6层  | 平房,0人关注 / 15天以前发布,110,"6,965元/平"
茂源街，中级法院家属院简装78平两室,市中级法院家属院 -湛河区,2室2厅 | 78平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,25,"3,206元/平"
保险公司家属院 89.41平3楼 三室一厅,建设12号保险北楼 -卫东区,3室1厅 | 89.41平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,41,"4,586元/平"
高压社区 2室2厅 小区环境干净舒适 适合居住,湛南路187号 -湛河区,2室2厅 | 78.25平米 | 东 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,36.8,"4,703元/平"
恒大名都 看房方便 产权清晰 视野开阔,平顶山恒大名都 -湛河区,2室2厅 | 80平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 10天以前发布,60,"7,500元/平"
新程街小区，二楼三室一厅，精装修马上完成，58万,新程街社区 -新华区,3室1厅 | 87.17平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,41,"4,704元/平"
十矿家属院隔壁，八矿家属院，两室，精装修，有证,大乌路小区八矿家属楼 -卫东区,2室1厅 | 71.02平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 7个月以前发布,19.8,"2,788元/平"
锦绣花园小区，三室两厅两卫，低楼层！,锦绣花园 -湛河区,3室2厅 | 142平米 | 西 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,74,"5,212元/平"
东安路南段老年公寓隔壁128号院,东安路128号 -卫东区,2室1厅 | 78.91平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 10个月以前发布,38,"4,816元/平"
建东小区，神马帘子布西院，有钥匙，诚心出售。,建设东路北二十一号院 -卫东区,2室2厅 | 88.52平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,28.5,"3,220元/平"
公园南门 中建嘉天下 87平2室2厅 南 北 通透 有证满二,中建·嘉天下 -湛河区,2室2厅 | 86.92平米 | 西 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,53,"6,098元/平"
平顶山学院家属楼，57平，2室，简装，看房方便售27万,平顶山学院家属院 -新华区,2室1厅 | 57平米 | 东 | 简装 | 中楼层(共4层)  | 暂无数据,3人关注 / 7个月以前发布,25,"4,386元/平"
建业桂园142平三室两厅两卫毛坯房带车位,建业桂园 -新华区,3室2厅 | 142平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 10个月以前发布,115,"8,099元/平"
楼层好，视野宽阔，采光充足 小区环境好,平安景苑 -湛河区,3室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,73,"5,105元/平"
豫森时代新城，135平毛坯66万大三居室,豫森时代新城 -湛河区,3室2厅 | 135.5平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,3人关注 / 一年前发布,65,"4,798元/平"
建业十八城高层三室两厅两卫毛坯房,建业十八城 -新华区,3室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 10个月以前发布,98,"7,260元/平"
平安景苑小区3室2厅 小区环境干净舒适,平安景苑 -湛河区,3室2厅 | 121平米 | 西 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,68,"5,620元/平"
常绿·大阅城 4室2厅 东,常绿·大阅城 -新华区,4室2厅 | 123平米 | 东 | 毛坯 | 低楼层(共23层)  | 暂无数据,1人关注 / 一年前发布,79,"6,423元/平"
建业十八城精品户型，两卧客厅全南户型，空间布局有致,建业十八城 -新华区,3室2厅 | 135平米 | 东 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,88,"6,519元/平"
帝佳尚城144平方四室两厅，毛坯现房，随时装修,帝佳尚城 -湛河区,4室2厅 | 144平米 | 西 | 毛坯 | 低楼层(共32层)  | 暂无数据,5人关注 / 一年前发布,66,"4,584元/平"
凤凰小区毛坯大三室~交通便利小区环境干净~随时看房,凤凰小区 -湛河区,3室2厅 | 147平米 | 西 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,98,"6,667元/平"
建业十八城高层前排三室两厅两卫毛坯房,建业十八城 -新华区,3室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,2人关注 / 10个月以前发布,85,"7,143元/平"
林溪美境三居室 有证 全款房 户型通风采光好 看房方便,林溪美境 -新华区,3室2厅 | 119.23平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,77,"6,459元/平"
建工佳苑 电梯洋房  复式  270平 7室,建工佳苑 -湛河区,7室3厅 | 270平米 | 西南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,239,"8,852元/平"
明珠世纪城 顶层6层7层加露台 五室四厅 有证可分期,明珠世纪城D区 -卫东区,5室4厅 | 197.7平米 | 西 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,80,"4,047元/平"
碧桂园，3室2厅，交通便利 小区环境干净舒适 适合居住,碧桂园 -湛河区,3室2厅 | 121平米 | 北 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,96.5,"7,976元/平"
建设路东段臻龙旺世4室2厅2卫电梯房10层湛河观景房,臻龙旺世 -卫东区,4室2厅 | 153.78平米 | 西南 | 毛坯 | 高楼层(共11层)  | 暂无数据,1人关注 / 11个月以前发布,76,"4,943元/平"
神马大道老车管所，有证毛坯现房，16楼好楼层,平安景苑 -湛河区,3室2厅 | 126.96平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,1人关注 / 6个月以前发布,65,"5,120元/平"
湖光花园 简装裸房，三室两厅两卫，中间楼层，有证。,凤起园 -新华区,3室2厅 | 139平米 | 西 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,94,"6,763元/平"
交通便利，配套成熟，适合居住楼层低，采光好有暖气,江南世家 -湛河区,3室1厅 | 98平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,4人关注 / 11个月以前发布,60,"6,123元/平"
大地城～把西头～～大三房～有证有暖,领创大地城 -湛河区,3室2厅 | 125.55平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 7个月以前发布,92,"7,328元/平"
新华路，锦绣家和160平，电梯大三室，视野好，西边户,锦绣家和 -湛河区,3室2厅 | 160平米 | 南 西南 | 精装 | 高楼层(共24层)  | 塔楼,1人关注 / 8个月以前发布,80,"5,000元/平"
林溪美地三室两厅两卫，楼层好，采光好，环境优美。,常绿·林溪美地 -新华区,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 7个月以前发布,78,"7,156元/平"
宏升国际  142平毛坯现房三室交通便利配套齐,宏升国际 -卫东区,3室2厅 | 142平米 | 东 | 毛坯 | 高楼层(共31层)  | 暂无数据,2人关注 / 10个月以前发布,91,"6,409元/平"
大乘领仕馆138平3室毛坯，直接更名带大平台,大乘领仕馆 -湛河区,3室2厅 | 138.66平米 | 西 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 5个月以前发布,79.9,"5,763元/平"
建业十八城三室两厅两卫毛坯119平,建业十八城 -新华区,3室2厅 | 119平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,85,"7,143元/平"
银基誉府花园洋房小区 6 7复式洋房 含车位,银基誉府 -湛河区,6室4厅 | 140平米 | 东 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,220,"15,715元/平"
湖景房.有证无高税.好楼层户型通透，有钥匙,湛景苑 -新华区,3室2厅 | 142平米 | 东 | 毛坯 | 高楼层(共25层)  | 塔楼,0人关注 / 一年前发布,112,"7,888元/平"
九龙广场  147平  毛坯现房  4室  有证 可贷款,九龙广场 -湛河区,4室2厅 | 146平米 | 西 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,88,"6,028元/平"
惠泽园精装修三室有证可以直接过户,惠泽园 -湛河区,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,96,"7,273元/平"
万达旁碧桂园天玺精装修全新未入住三室两厅两卫有证,碧桂园天玺 -卫东区,3室2厅 | 113平米 | 东南 | 精装 | 中楼层(共31层)  | 板塔结合,2人关注 / 9个月以前发布,112,"9,912元/平"
房屋位置好，出行方便，小区生活成本低。,龙兴苑北苑 -新华区,5室2厅 | 165平米 | 东 南 北 | 简装 | 高楼层(共17层)  | 暂无数据,1人关注 / 8个月以前发布,90,"5,455元/平"
急售建业十八城毛坯大三室，139平,建业十八城 -新华区,3室2厅 | 134平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,92,"6,866元/平"
大悦城毛坯四室，里面有杂物可以协商处理，房东诚心售,常绿·大阅城 -新华区,4室2厅 | 125.86平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 暂无数据,1人关注 / 一年前发布,80,"6,357元/平"
碧桂园应国府洋房.145平大三室.户型方正.,碧桂园应国府 -卫东区,3室2厅 | 145平米 | 东 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,185,"12,759元/平"
中梁壹号院洋房四室两厅两卫毛坯,中梁壹号院 -新华区,4室2厅 | 131平米 | 东南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,108,"8,245元/平"
一品阑珊湖景房三室两厅两卫毛坯,大唐一品澜山 -新华区,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,115,"8,157元/平"
建业十八城  通阳台   含车位 随时看房,建业十八城 -新华区,3室2厅 | 136平米 | 西 | 毛坯 | 低楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,95,"6,986元/平"
常绿九鼎毛坯四室两厅两卫，小区环境干净适合居住。,常绿·九天庄园 -新华区,4室2厅 | 130平米 | 西 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,98,"7,539元/平"
九龙广场 3室2厅 东 东南 南 西南,九龙广场 -湛河区,3室2厅 | 139.65平米 | 东 东南 南 西南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,88.5,"6,338元/平"
一楼！带车位！佳田西湖岸197平四室两厅两卫，有证！,佳田西湖岸2期 -新华区,4室2厅 | 196平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板塔结合,0人关注 / 6个月以前发布,172,"8,776元/平"
一楼带院，有车库！佳田西湖岸洋房复式有证可分期,佳田西湖岸 -新华区,5室3厅 | 164平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,270,"16,464元/平"
建业十八城小区三室两厅，交通便利，小区环境干净舒适,建业十八城 -新华区,3室2厅 | 158平米 | 西 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,148,"9,368元/平"
平安景苑大四室户型好有证可分期诚意卖房,平安景苑 -湛河区,4室2厅 | 151.56平米 | 东南 西南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 9个月以前发布,73,"4,817元/平"
建工佳苑洋房一梯两户户型好采光好诚意卖房,建工佳苑 -湛河区,3室1厅 | 136平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,98,"7,206元/平"
九龙广场136平三室两厅两卫售价80万,九龙广场 -湛河区,3室2厅 | 135平米 | 西 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,79.9,"5,919元/平"
九龙广场 3室2厅 南 西,九龙广场 -湛河区,3室2厅 | 136平米 | 南 西 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,90,"6,618元/平"
带车位！70年产权，带前后大院子！十八城二期毛坯房,建业十八城 -新华区,4室2厅 | 196平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 11个月以前发布,270,"13,776元/平"
带一个车位，全湖景房，新城区大唐一品澜山三室两厅,大唐一品澜山 -新华区,3室2厅 | 137平米 | 西南 | 毛坯 | 中楼层(共26层)  | 板塔结合,4人关注 / 11个月以前发布,115,"8,395元/平"
新城区常绿大阅城前排118平，毛坯3房,常绿·大阅城 -新华区,3室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,3人关注 / 一年前发布,72,"6,102元/平"
观湖无遮挡，中梁壹号院，南北格局3房，随时看,中梁壹号院 -新华区,3室2厅 | 114平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,4人关注 / 一年前发布,72,"6,316元/平"
九鼎四室两厅两卫，中等装修，拎包入住，有证，可过户,常绿·九天庄园 -新华区,4室2厅 | 130平米 | 西 | 简装 | 中楼层(共29层)  | 板塔结合,1人关注 / 8个月以前发布,102,"7,847元/平"
运输公司家属院有证有暖，看房方便有钥匙，可贷款,运输公司一分公司家属院 -湛河区,3室2厅 | 109平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,59,"5,413元/平"
平安景苑，此房是一个五室两厅，顶楼带院子,平安景苑 -湛河区,5室2厅 | 187平米 | 南 北 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,99,"5,295元/平"
常绿大阅城三室两厅两卫。户型方正精装修,常绿·大阅城 -新华区,3室2厅 | 124平米 | 西 | 精装 | 高楼层(共29层)  | 暂无数据,2人关注 / 5个月以前发布,95,"7,662元/平"
林溪美境前排四室两厅两卫毛坯房,林溪美境 -新华区,4室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,3人关注 / 7个月以前发布,85,"5,986元/平"
建业十八城城洋房小区，六室三厅，交通便利，小区环境,建业十八城 -新华区,6室3厅 | 197.16平米 | 西 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,280,"14,202元/平"
出行方便，户型方正，居住方便舒适,林溪美境 -新华区,4室2厅 | 138平米 | 西 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 5个月以前发布,99,"7,174元/平"
碧桂园天玺190平四室两厅两卫,碧桂园天玺 -卫东区,4室2厅 | 190平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,262,"13,790元/平"
建业18城洋房，六室三厅三卫，交通便利适合居住,建业十八城 -新华区,6室2厅 | 196平米 | 西 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,270,"13,776元/平"
适宜居住一楼有庭院，出行便利，配套齐全，生活舒适,东环路街道环东社区 -卫东区,2室1厅 | 63平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,2人关注 / 6个月以前发布,32,"5,080元/平"
碧桂园天玺精装修大三室，干净整洁。,碧桂园天玺 -卫东区,3室2厅 | 124平米 | 东 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,125,"10,081元/平"
金港广场，四室两厅两卫，通透户型，有固定车位,平顶山金港广场 -湛河区,4室2厅 | 137.55平米 | 南 | 毛坯 | 高楼层(共35层)  | 暂无数据,0人关注 / 4个月以前发布,83,"6,035元/平"
平安景苑大三室146平南北通透，舒适三室，全新毛坯,平安景苑 -湛河区,3室2厅 | 145平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 塔楼,9人关注 / 一年前发布,66.8,"4,607元/平"
户型方正，全款更名。自家车位。,金世纪和谐家园 -新华区,3室2厅 | 130平米 | 东南 | 毛坯 | 中楼层(共29层)  | 板楼,2人关注 / 7个月以前发布,73,"5,616元/平"
林溪美地3室2厅2卫毛坯房，79万,常绿·林溪美地 -新华区,3室2厅 | 124.35平米 | 东 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 10个月以前发布,78,"6,273元/平"
北观山南观湖  无遮挡.中梁壹号院.三室二卫.随时看房,中梁壹号院 -新华区,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,75,"6,579元/平"
有证可贷款，有密码随时可看房。,建业十八城 -新华区,3室2厅 | 134平米 | 东 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,88,"6,568元/平"
房子在站南新城位置 于老城区和新城区交界处 ，地理,千田·新开元 -湛河区,4室2厅 | 147平米 | 东 东南 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,2人关注 / 7个月以前发布,68,"4,626元/平"
可看湖的好楼层，不要犹豫，快快来看房吧,凤凰花园A02秋实苑 -新华区,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 一年前发布,87,"6,905元/平"
有同等面积地下室，指纹密码锁，双层中空窗户推拉门，,建业十八城 -新华区,3室2厅 | 136平米 | 东 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 9个月以前发布,160,"11,765元/平"
买的就是大户，图的就是省心，好房子，好价格！,新城区一品澜山 -新华区,3室2厅 | 150平米 | 南 西 | 简装 | 高楼层(共26层)  | 暂无数据,3人关注 / 一年前发布,112,"7,467元/平"
建业十八城 3室2厅 南 北,建业十八城 -新华区,3室2厅 | 137.01平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,145,"10,584元/平"
林溪美地三房两厅两卫 有证满两年 可贷款 采光好,常绿·林溪美地 -新华区,3室2厅 | 123平米 | 西南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 4个月以前发布,73.8,"6,000元/平"
湖景房，中粮壹号院125平，毛坯3室，视野开阔，可按揭,中梁壹号院 -新华区,3室2厅 | 125平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,79,"6,320元/平"
金玉花园四室两厅两卫，观湖！！,金玉花园 -新华区,4室2厅 | 171平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,95,"5,556元/平"
恒大名都精装修3室90平69万诚意出售,平顶山恒大名都 -湛河区,3室2厅 | 90平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,69,"7,667元/平"
常绿九鼎，南北通透，毛坯四室带车位,常绿·九天庄园 -新华区,4室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,105,"8,077元/平"
沁园小区金座5楼精装三室两厅，有证可以商贷和公积金,沁园东院 -湛河区,3室2厅 | 138平米 | 西南 | 精装 | 低楼层(共22层)  | 板塔结合,2人关注 / 8个月以前发布,65,"4,711元/平"
九龙广场 3室2厅 东北 东南,九龙广场 -湛河区,3室2厅 | 128平米 | 东北 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,3人关注 / 3个月以前发布,52,"4,063元/平"
恒大君睿府，精装全新，四室两厅两卫，有钥匙可随时看,平顶山恒大珺睿府 -湛河区,4室2厅 | 141.26平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,125,"8,849元/平"
大悦城前排三室两厅一卫，户型好，交通好诚意出售,常绿·大阅城 -新华区,3室2厅 | 122平米 | 西 | 毛坯 | 高楼层(共21层)  | 板塔结合,0人关注 / 4个月以前发布,75,"6,148元/平"
恒大君睿府，精装全新，四室两厅两卫，有钥匙可随时看,平顶山恒大珺睿府 -湛河区,4室2厅 | 141.26平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,125,"8,849元/平"
四十一中后边盛景青园电梯房3室2厅2卫119平方,盛景青园 -卫东区,3室2厅 | 119平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 2个月以前发布,80,"6,723元/平"
倾城小区业主有心出售。看房方便,倾城小区 -湛河区,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,8人关注 / 6个月以前发布,57,"5,328元/平"
凤凰花园三室两厅两卫，通风性好，带车位，随意装修,凤凰花园A03春华苑 -新华区,3室2厅 | 138平米 | 西 | 毛坯 | 中楼层(共28层)  | 平房,0人关注 / 一年前发布,103,"7,464元/平"
佳田西湖岸 4室2厅 西,佳田西湖岸 -新华区,4室2厅 | 196平米 | 西 | 毛坯 | 高楼层(共6层)  | 塔楼,0人关注 / 一年前发布,238,"12,143元/平"
建业十八城三期 ，三室二厅二卫。,建业十八城 -新华区,3室2厅 | 121平米 | 东 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,83,"6,860元/平"
空中2层别墅，南北双露台，楼顶花园、产权清晰,常绿·九天庄园 -新华区,7室3厅 | 245平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,120,"4,898元/平"
下复式，一楼带院采光好！建业十八城小高层两层毛坯房,建业十八城 -新华区,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,125,"10,417元/平"
百合金山110平三室两厅一厨一卫,百合金山 -新华区,3室2厅 | 110平米 | 东 | 毛坯 | 中楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,72.5,"6,591元/平"
凤凰小区毛坯三室~契税满两年~过户费用低,凤凰小区 -湛河区,3室2厅 | 125平米 | 东 | 毛坯 | 高楼层(共25层)  | 暂无数据,3人关注 / 一年前发布,73,"5,840元/平"
鹰城7.1大厦142平毛坯现房 三室两厅两卫,鹰城7.1大厦 -卫东区,3室2厅 | 143平米 | 东南 | 毛坯 | 高楼层(共30层)  | 暂无数据,8人关注 / 8个月以前发布,68,"4,756元/平"
凤凰花园A02秋实苑 4室2厅 南,凤凰花园A02秋实苑 -新华区,4室2厅 | 187平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,150,"8,022元/平"
如果要等待，我建议您看完这房子后再等待！,凤凰花园A02秋实苑 -新华区,3室2厅 | 124.9平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,81.9,"6,558元/平"
新华路北 华灿光明城市 带40平露台 20平地下室,光明城市 -卫东区,3室2厅 | 123平米 | 南 西 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,70,"5,692元/平"
龙腾国际  134平  毛坯现房  户型方正  采光好,龙腾国际 -湛河区,3室2厅 | 134平米 | 西 | 毛坯 | 中楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,77,"5,747元/平"
平安景苑，三室两厅两卫，毛坯房，小区环境好适宜居住,平安景苑 -湛河区,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,60,"4,688元/平"
金世纪和谐家园四室两厅两卫毛坯诚心出售,金世纪和谐家园 -新华区,4室2厅 | 180平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,2人关注 / 一年前发布,95,"5,278元/平"
宝创福园小区，四室两厅两卫，交通便利，小区环境优美,宝创福园小区 -新华区,4室2厅 | 174.48平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,99,"5,675元/平"
带车位，储藏室，公务员小区，湖景三室，南北通透,湖光·凤舞园 -新华区,3室2厅 | 123平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,9人关注 / 11个月以前发布,76,"6,179元/平"
建业十八城小高层三室两厅两卫毛坯房,建业十八城 -新华区,3室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,98,"6,902元/平"
金玉花园小区，上下两层复式，观湖效果不错，全款更名,金玉花园 -新华区,6室3厅 | 251平米 | 西 | 毛坯 | 高楼层(共11层)  | 暂无数据,1人关注 / 7个月以前发布,141,"5,618元/平"
光明路南头帝佳尚城113平毛坯3室2厅2卫,帝佳尚城 -湛河区,3室2厅 | 113平米 | 西南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 10个月以前发布,58.7,"5,195元/平"
蓝湾新城精装四室两厅两卫，拎包入住,蓝湾新城 -新华区,4室2厅 | 167平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,142,"8,503元/平"
高档社区，景观好房，高品质的生活就在这里！,凤凰花园A02秋实苑 -新华区,5室2厅 | 262平米 | 西 | 毛坯 | 低楼层(共29层)  | 平房,0人关注 / 一年前发布,210,"8,016元/平"
荣邦瑞府 145平三室 毛坯湖景房 看房有密码 可贷款,荣邦瑞府 -新华区,3室2厅 | 145平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,130,"8,966元/平"
美镜 观湖好房  价位优越 位置优越,林溪美境 -新华区,4室2厅 | 140平米 | 东北 | 毛坯 | 高楼层(共26层)  | 暂无数据,1人关注 / 8个月以前发布,89,"6,358元/平"
中间楼层  优质房子 买即住 关湖好房,荣邦瑞府 -新华区,3室2厅 | 145平米 | 西 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 5个月以前发布,132,"9,104元/平"
